Time,Event,A1,A2,A3,A4,A5,A6,A7,A8,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A25,A26,A27,A29,A31,A32,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D12,D14,D15,D16,D17,D18,D19,D21,D22,D23,D24,D25,D26,D27,D28,D29,D30,D31,D32,E1,E2,E4,E5,E6,E7,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,G1,G2,G3,G5,G6,G8,G9,G11,G12,G13,G14,G18,G20,G21,G22,G24,G25,G27,G31,H1,H2,H3,H4,H5,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H21,H22,H23,EXG1,EXG2,EXG3,EXG6
6343.75,InitialInstructions,49.94312,38.24804,21.98121,21.38721,18.78771,19.46804,29.44982,48.92129,30.01945,34.53704,50.47667,31.63651,17.30308,22.9193,32.33425,44.98017,35.88185,34.04018,21.26105,24.96271,26.50079,34.04635,34.31205,30.07342,14.61086,22.85108,12.4408,36.71805,15.8537,37.49946,21.08177,35.89981,5.097651,27.25659,23.03703,25.66866,25.31948,0.1394542,20.12455,21.15154,5.820171,15.518,39.39922,45.00168,23.77103,7.763996,7.80444,22.10857,30.06632,19.42851,12.33767,37.49385,17.74211,19.95669,20.37268,41.21507,19.63589,19.04687,14.15697,14.80137,18.9197,5.410866,1.419972,12.7577,11.97498,-0.8964215,-0.7808064,2.358867,13.32178,13.13142,5.030358,6.496125,21.78603,6.960752,1.047455,-5.564322,2.841225,1.679447,0.02363072,1.140686,9.786552,13.07695,51.07681,20.39227,-2.240036,7.964215,20.32411,54.71996,12.63616,9.187538,28.41495,14.21204,16.76384,16.66077,6.194903,3.534982,15.47981,4.437439,9.784349,10.50516,7.702581,0.09052499,4.028492,11.51537,2.387108,-0.8388571,7.564449,10.58195,3.393023,5.709387,2.938995,-9.44794,1.959954,10.09149,-1.9755,-6.283249,-10.80044,-7.344204,5.060154,22.8201,0.6895688,5.995586,0.06700661,6.941489,23.21857,9.517204,9.654526,5.569118,10.89164,-1.256246,0.3625671,-1.371102,-5.793181,-4.664542,-3.958437,0.5002475,16.7287,-4.772323,7.270709,26.27579,1.96454,-0.9493026,0.374759,0.8649309,-1.617519,-1.412608,-10.03621,2.376657,3.530198,17.53052,18.1762,16.25366,22.76013,17.35961,29.80315,13.48034,7.443579,14.84964,8.454076,8.799247,5.855024,5.33812,11.44304,3.242363,0.9417567,38.68023,9.544909,3.719561,20.20187,18.01136,14.85971,17.24632,12.87161,17.27838,4.034238,44.12455,4.350971,2.73742,7.266084,-0.2050634,25.6048,10.9389,10.59967,18.08156,11.08874,22.14962,17.9168,10.19292,2.826608,9.553743,5.546478,13.30889,4.027438,12.72275,18.15308,17.20143,10.7798,12.66391,16.22828,6.725401,30.94534,15.20286,13.03923,11.01408,16.01369,19.21091,4.406514,12.57086,11.87222,12.84845,9.115637,13.11357,13.15861,13.00368,23.46144,17.92315,23.76086,47.63528,12.77004,9.447559,-0.9359372,43.6899,6.636165,27.12287
6734.375,prebase_instruct,-113.0256,-94.21851,-50.31845,-33.7884,-19.88191,-3.521747,13.10592,-86.02682,-54.93501,-23.51516,14.18048,8.158703,0.411106,-42.74608,-61.34222,-32.08778,-21.92028,-4.473728,-11.27473,7.384079,-36.82145,-29.56111,-5.143246,9.808433,-0.7107373,-29.0945,-6.070516,21.41564,-3.27313,22.50525,4.185883,28.22432,-1.062719,13.53201,12.83777,14.85171,20.59806,-1.986696,11.13482,15.20156,6.415745,6.507322,37.01134,45.4006,31.77778,14.89043,12.13985,19.5692,29.80919,21.2804,13.21624,43.48632,20.87338,25.3327,19.03535,45.75246,21.56654,22.23222,21.84559,14.82246,16.48129,10.38896,15.37056,21.6497,15.05232,10.02698,6.165252,9.984455,15.73283,23.46836,16.11904,13.62602,32.28761,20.9059,11.32724,6.737866,13.65137,9.145946,9.546833,8.065106,6.773192,24.70123,56.39833,25.67258,6.463969,10.21485,15.53589,60.58587,15.07117,7.025701,29.03333,18.374,19.94125,13.90557,-0.07556312,15.19325,22.32926,14.46722,19.36671,24.86585,23.12747,-4.202931,15.78275,33.46523,29.11608,27.74323,12.43018,21.77086,18.20975,35.77867,37.09554,38.26803,48.0158,28.97996,28.58866,39.25413,48.95621,13.79514,30.30255,58.55588,7.076833,10.925,8.856404,11.84764,25.50374,12.3198,18.20151,10.27229,15.211,6.051307,7.872099,6.552493,7.348676,11.6897,17.70913,23.93611,53.8589,11.04044,22.86062,36.27152,24.7,10.13606,11.94753,12.96425,6.56044,5.801376,5.037873,8.412051,9.146194,10.00004,14.43128,17.92386,23.86562,21.47537,23.48727,23.21807,14.93019,21.99181,16.41802,18.43245,12.95489,12.37923,20.10125,10.66766,11.24558,42.73417,16.68807,9.83678,18.91191,17.16874,4.351107,8.35161,13.782,19.51175,14.13457,50.05795,11.88225,9.697091,16.45981,10.76672,-39.00648,-34.2868,-34.04228,-17.03258,-20.78926,-4.367845,-11.07552,-11.1583,-11.69503,-3.627409,-8.79882,15.43626,2.195525,5.947825,16.37818,2.019958,7.106972,15.18126,11.30106,-7.716569,16.2046,-10.46447,-12.77514,-17.41666,-25.69674,-6.94191,-11.70783,-27.65938,-18.18931,-33.89587,-48.17603,-40.02541,-34.11328,-53.69509,-51.0279,-68.2886,-97.47492,-93.34079,-45.63921,-26.64622,94.44695,6.743787,32.00881,-39.86607
117503.90625,prebase,-9.835775,-8.57517,-2.018998,1.622665,1.859205,12.58745,20.94773,-3.520871,-8.983591,10.81173,35.98094,20.5341,8.3959,-5.963083,-3.079365,10.47494,3.553101,11.26779,-0.9505698,8.884645,3.358054,0.3565978,10.37679,16.11942,12.54312,2.784798,-1.766747,20.95022,11.96352,39.08226,19.0975,35.26126,9.034329,26.45696,26.52348,26.34127,30.51822,6.445031,22.69066,28.13915,12.95417,8.11488,43.18362,50.92748,32.07233,16.3703,13.39415,17.10684,27.79739,19.34144,17.91576,43.71107,24.66663,29.24972,18.00217,39.26442,24.8852,21.69738,22.25556,22.59912,22.83932,10.91683,8.655661,18.22668,11.84513,7.277931,8.130307,11.27223,19.44175,23.97042,12.96768,7.85237,31.34068,19.17459,10.53921,5.012064,13.97505,9.95091,9.263803,9.452433,10.79364,18.51209,60.65039,30.7087,14.50628,23.10481,29.60057,65.76955,21.4438,17.49528,36.15695,20.23467,21.94695,23.28365,8.045986,17.88765,23.72465,13.88905,15.66229,26.56816,18.18551,3.50797,15.95039,22.65651,9.874569,6.806836,8.667715,22.20301,11.30516,16.39174,14.33192,3.860363,14.52303,22.92145,10.63334,6.189397,4.394874,2.899106,14.73782,27.87042,13.26311,13.77378,13.74408,19.94271,34.21651,27.13994,19.82928,16.2067,17.9787,9.400823,10.71188,11.44896,5.453406,4.126951,7.575723,6.250066,22.47699,4.044738,14.88378,22.91902,4.752915,6.965387,9.007772,6.209919,5.376379,8.462474,3.247696,4.964172,9.817073,6.866776,10.65374,17.60102,23.34068,16.8268,20.79251,24.9332,13.43354,21.63057,18.123,22.25166,16.01469,13.62379,19.65707,10.79315,6.908936,37.78222,7.53577,5.565746,14.72162,8.697504,-0.9095303,6.878366,7.360539,11.37401,4.757238,41.67513,5.93562,7.398206,13.13589,8.413649,0.6458662,-3.847091,-7.331401,5.954562,2.274678,10.87971,6.384332,5.355822,-3.155839,6.369771,4.69544,11.32726,9.290668,-1.136014,17.48278,8.300114,5.554601,11.99785,18.94964,9.289907,32.96677,11.47279,7.382958,4.751484,5.8014,15.30955,5.275162,2.675803,10.73153,0.0429611,-7.617108,-2.301379,-4.846735,-10.07345,0.8979695,-7.4675,-15.0381,2.456404,-5.596957,1.585157,10.52915,21.65271,2.275603,8.811205
237503.90625,exit,-15.20004,-11.59118,3.504926,2.633832,9.765822,19.67312,23.00877,-9.418221,-4.951309,8.678991,33.57049,27.76709,7.914067,-14.13291,-14.17453,5.549154,-5.332184,9.006854,3.616108,14.82214,-7.263268,-15.4223,8.350606,25.12326,11.51183,5.728462,4.389066,25.35856,14.47239,43.6439,25.52666,42.69285,17.95692,27.26528,28.38539,32.10406,31.72857,11.96998,22.12156,27.07354,13.94503,10.00217,42.66111,51.48771,30.1387,12.96016,11.97017,18.53013,28.81909,16.8233,13.65544,39.946,21.7897,25.33245,22.44605,37.02696,22.25601,22.39032,19.45066,8.059624,18.04842,4.055167,4.539583,20.72549,17.45207,16.24969,16.84611,20.64314,17.6293,16.1153,6.958016,10.29686,33.22343,21.95684,18.22543,3.414383,5.550307,6.520787,15.13317,20.65412,8.771694,19.03383,59.72966,27.31894,6.01479,7.410209,22.0235,61.82647,17.05661,16.95555,28.41484,25.6833,31.8163,31.54672,14.02213,17.4808,26.88754,20.53952,13.63337,19.08656,21.97063,4.993174,13.46005,20.85684,14.0237,7.552966,8.461403,21.90837,10.05168,14.77559,12.58393,0.2923644,10.58332,14.68197,5.916584,3.480638,-4.238949,-11.41386,2.849326,22.97512,19.71033,15.63452,17.17266,17.28956,32.50233,15.83114,12.19896,4.596123,9.004657,-2.133833,-1.642359,-7.446937,-7.582746,-8.712174,-6.741742,-4.935033,16.44646,-8.474413,0.122709,15.60084,-6.27556,-8.166574,-8.609427,-5.668457,-5.401165,-8.028722,-19.90751,18.56932,14.23262,9.464369,12.54425,12.68553,16.30854,21.58226,25.41469,23.70907,14.0426,23.50405,13.53286,15.52972,16.47291,12.41028,17.42517,13.81257,10.6174,43.30287,13.72155,8.355646,14.5339,10.82027,5.655965,5.362665,6.554395,9.606867,3.372696,39.68855,14.02481,14.98449,22.43193,15.01752,-10.53161,-19.26,-17.93981,-8.345173,-10.03173,3.901681,-7.335357,-10.81727,-12.77205,-7.711348,-6.185712,8.167829,-2.356882,4.367849,17.47567,6.634505,2.301816,-0.8698667,13.31868,17.41775,41.55576,19.76119,14.08446,5.854131,12.68761,24.78723,11.96684,11.49633,15.06121,10.0364,0.6535971,3.667185,4.266864,-2.209659,0.6041272,-6.011053,-13.02447,2.384664,1.668432,5.612872,6.376769,9.984186,-8.391136,6.408927
237507.8125,FeelingItInstructionsButton,-15.16557,-9.228416,6.512901,3.534261,10.69108,22.25801,25.6604,-9.914626,4.257818,10.65307,38.87078,29.57064,9.422834,-14.80962,-14.61014,4.237005,-3.62373,10.97262,5.208782,16.95217,-8.99506,-16.14967,10.34964,31.56984,15.5734,1.96464,3.77184,27.51456,15.6382,44.94974,28.30735,46.81118,20.19801,29.59356,30.15335,35.01709,35.93117,15.34661,24.06835,29.66777,18.38629,13.02753,45.99734,54.85383,34.83504,17.04533,12.86297,21.98852,31.48526,20.40137,17.12682,43.2533,23.85597,26.82758,22.7382,39.11649,24.70359,24.34455,22.39615,1.98813,13.204,-2.361488,-3.503612,13.18958,10.30536,10.05059,9.213372,12.78658,13.67793,11.30772,0.7029693,4.319812,26.65127,15.56832,12.01953,-1.359951,-0.7600825,-0.06176708,7.879083,12.83958,5.25912,12.90351,52.73088,19.75091,-0.7801593,5.135682,13.02881,55.73765,11.25593,11.15193,23.5194,28.06226,33.28093,32.10558,13.96571,15.71233,26.55548,19.1063,13.47278,16.37177,19.66546,5.315968,12.53069,17.97567,10.89094,6.925103,8.098787,19.80758,7.705956,14.0135,11.82739,-0.7989787,10.6239,11.83597,3.460289,2.946806,-4.61799,-12.16854,1.713772,23.00255,12.60913,12.67789,11.23206,12.67562,27.34679,12.06448,9.527927,3.416875,6.647111,-3.684138,-3.030381,-10.01427,-9.212501,-10.09999,-6.896739,-3.756587,17.35598,-7.831816,0.633341,17.72812,-4.977921,-7.423152,-7.238412,-3.75166,-7.353301,-7.328662,-17.4951,16.82951,13.40979,11.12287,14.18447,13.08803,16.08494,20.7629,24.7716,24.2018,12.33477,22.46437,13.27777,16.65825,15.11595,11.85227,16.71791,11.58173,8.717645,41.25117,12.28008,8.268316,12.93712,12.4796,7.74215,7.316204,5.901447,8.029117,0.3126781,37.38771,11.79962,13.67991,20.43431,12.12453,-11.69983,-19.89479,-18.0372,-9.046064,-11.67079,1.073121,-6.825475,-12.16047,-14.28375,-6.612107,-8.177717,4.706318,-6.930006,5.300142,16.99265,6.6088,-1.224807,-4.044003,11.78794,17.16925,42.61575,20.61187,14.42246,6.151811,13.23632,24.04821,12.36104,10.35268,13.42136,9.216369,0.2451127,4.692612,4.593508,-3.627941,1.694974,-5.227667,-13.30099,3.000425,1.702844,4.086354,5.535249,7.964657,-6.432583,-0.8553036
237781.25,InstructionsForEnding,12.22153,9.099928,-10.14016,-10.4227,-9.257962,-9.829476,5.617485,19.51978,15.00747,16.4892,25.87995,5.032049,-0.5270784,17.66324,19.97791,32.97079,18.11104,29.86296,9.967432,11.50438,23.50681,20.22479,28.19834,28.33706,8.935597,30.24715,12.97877,27.21011,-11.54328,7.984837,-16.06087,4.241556,-27.03297,3.370413,-1.76913,-7.997289,-3.208094,-26.48332,8.549164,1.247617,-16.99815,0.5824854,30.98129,32.5193,21.03543,6.648411,-1.89649,7.964411,20.2865,11.21855,6.674443,34.13551,13.67242,14.78011,13.73187,36.84346,13.05044,15.93552,14.13357,14.23543,13.89099,13.98016,13.36651,23.62374,15.41268,12.43429,4.438516,8.507774,15.75218,20.70147,15.9063,16.76608,34.65981,16.40034,6.523171,8.561357,17.04758,7.859278,10.13931,5.979279,11.27095,18.15294,57.64484,24.6996,7.613404,21.95014,22.08237,61.26201,16.28879,6.429236,34.18702,1.069169,0.5729983,3.51939,-3.327745,-0.5691908,7.373478,2.657793,9.304863,14.09926,14.04056,-2.604752,11.0767,20.00957,17.38648,11.61447,9.850838,14.71983,9.386456,19.8328,16.44649,11.48616,20.39745,20.62128,13.1479,13.17741,9.05015,1.605089,17.2601,34.66894,6.268952,3.195058,7.599304,7.331329,22.35432,7.018396,12.88157,9.010683,14.99238,8.353065,9.965675,8.337292,2.087643,5.346928,7.208297,10.23598,28.1056,5.11313,16.28363,30.71293,10.61331,6.731272,9.063273,7.609027,4.832473,6.426088,-1.740296,-6.150004,5.514673,2.917863,5.787249,8.897817,17.00783,10.43219,24.59025,19.59466,8.875449,12.62889,5.08996,6.276908,7.236324,2.20333,9.565512,4.907683,0.3856843,38.71008,14.8346,4.277133,18.07026,8.39294,3.296149,7.204519,7.440957,14.08495,8.085007,44.38209,13.58889,4.711546,8.942829,7.941947,14.33877,5.833676,9.732775,18.43511,11.9062,21.26365,12.89106,11.0494,5.057834,6.241782,9.828876,16.06474,6.518276,2.814793,12.95475,9.040163,9.09012,14.46305,8.387541,-21.66294,-2.397518,-22.40048,-24.96992,-20.18026,-20.7123,-12.30699,-12.56867,-17.33228,-2.710152,-14.83042,-21.21288,-19.03339,-16.0232,-16.97127,-6.850579,-7.748344,-7.83757,9.857715,-17.58216,-7.171317,18.6108,21.00244,18.88815,10.3608
368820.3125,ImaginationSuggestions,-4.471139,0.1977236,1.385889,-0.9860057,-0.5259774,4.606136,13.5066,0.5111022,-0.3197623,10.56576,30.21803,12.49936,-1.829558,-1.670226,0.04130936,14.93448,9.542266,17.2611,1.095297,4.143655,3.417999,6.432454,16.02303,20.97559,7.952946,12.45341,5.140483,22.3026,-0.06883282,29.31376,13.70919,34.38268,5.064494,13.27812,11.72417,18.73652,19.14505,-1.816089,8.558434,12.91488,4.834814,-6.736369,27.19407,36.54271,20.41377,2.875623,8.048297,5.303564,14.64782,6.327354,2.065524,33.94589,10.06489,13.33006,8.263449,27.33115,4.742681,12.80701,11.82301,7.669819,13.42862,2.683146,-1.186456,4.04276,1.231141,1.537876,1.053215,3.409402,11.37042,11.4407,2.884223,-1.746207,20.72622,7.146469,4.236447,-2.360888,-2.176654,-1.458794,2.14766,5.808584,8.458324,16.30792,50.1954,22.93781,3.07301,2.469274,19.95516,54.59657,12.85787,2.887504,25.31511,14.10999,19.40782,20.72399,9.155578,8.860725,18.88302,11.77712,10.43662,11.57882,14.42108,3.154248,6.585376,17.41306,7.961321,4.670939,10.97114,17.67951,6.589933,18.19294,10.22982,0.8592716,16.02243,16.73825,2.557732,3.448585,-0.6719877,-5.177598,6.427337,25.81983,5.383249,12.60807,5.340976,13.52626,24.9077,14.1832,7.480174,4.133659,10.35909,-0.9877476,0.4382295,-1.854955,-6.472144,-7.217563,-2.339988,-1.395785,19.40432,-6.606509,4.951072,22.66648,0.115267,-2.47465,-2.097674,0.4360865,-2.452052,-0.7683021,-11.23894,6.731801,5.206923,-4.780587,0.451121,3.313699,9.678656,3.528825,15.3961,9.000585,5.041942,11.75279,6.482972,7.878424,8.296964,5.607467,10.43974,4.708116,-1.995749,29.76303,-1.519434,-12.23905,7.492303,1.031076,-4.066408,4.701374,1.972286,4.058212,-6.37029,31.21806,-2.403093,3.392759,10.92987,2.397566,-0.6001196,-9.948643,-9.592167,4.008868,-5.721161,7.256492,2.162067,-1.488179,-9.166008,-3.837541,-1.664879,2.489175,1.37469,0.07505859,9.467716,6.251637,-0.08617967,6.953447,11.05613,4.499747,28.6818,5.133788,-0.2072,-2.389789,7.467365,10.91179,7.625067,6.435724,10.40221,3.511506,-3.401467,-1.87619,-3.169482,-4.162282,-0.6279863,-4.890434,-8.054383,9.436553,-0.5687884,5.121317,9.66723,20.65529,2.926485,9.181375
716136.71875,enter,11.8278,11.12236,21.35634,15.96609,19.56132,23.27322,34.55359,13.2834,22.11154,27.44759,55.46873,33.68367,15.94495,8.078326,6.931064,20.73845,16.14292,26.95498,15.03887,21.91922,14.79685,2.817457,26.0032,40.13314,7.303217,15.2625,3.602889,25.30926,22.74375,50.60001,36.1846,56.06748,28.23397,33.21219,38.37111,42.31118,45.22047,25.15751,26.25718,37.98569,29.47163,14.60454,49.2038,58.74331,39.17931,23.53153,22.7872,20.3146,29.0874,20.45386,17.81091,42.26498,25.13492,30.1782,17.63462,37.01398,16.36029,22.05237,23.65248,7.924863,20.16781,4.828386,-1.849399,6.154737,-0.2826126,4.914682,3.626129,2.881172,12.92328,20.26422,3.939193,6.330694,19.22991,9.399133,5.211425,5.425612,2.629508,6.265424,7.289533,13.16025,6.230978,24.00292,56.78579,23.97646,5.301946,16.53795,21.98804,61.49193,21.9042,10.06249,27.44825,37.62717,43.00927,36.69374,25.23444,22.00405,37.14743,30.99084,20.60205,26.86258,29.27118,17.35734,21.87243,33.75783,21.7361,21.31644,25.0345,10.39446,17.10537,30.36492,25.54618,16.91763,30.00469,28.82803,18.01464,17.58847,16.85233,9.051068,21.76728,45.15434,3.2383,0.9665792,3.249918,7.408815,20.29597,14.32946,13.32433,16.97992,18.75929,14.12632,13.76998,9.560317,8.276762,9.549676,12.84366,16.23147,37.69325,12.68333,22.94563,43.11069,17.84478,10.77101,19.01091,18.38419,13.54558,15.45075,10.47835,4.271531,0.8084067,11.13734,11.40744,12.48955,13.07292,12.11489,12.58316,18.76376,8.240776,17.41789,12.15392,21.24453,5.756967,9.112075,14.71898,6.678366,1.587356,37.4325,4.127689,-0.6558965,13.27047,11.5491,7.132881,8.374875,4.527914,7.597852,-1.436422,36.47446,3.243448,5.218988,14.76909,6.678051,14.17365,6.646564,5.703014,19.91628,12.69632,22.92332,17.88965,17.86197,9.289147,16.99839,15.85582,12.16369,6.783036,2.594541,18.52332,9.764367,4.082862,14.68118,17.74565,22.79007,48.10298,25.32781,18.44086,16.87204,20.55673,28.63652,20.53565,16.79655,22.93163,15.65175,10.68174,12.08573,15.59856,5.881753,18.66649,15.20599,9.206057,21.55077,13.8927,17.82543,22.98189,29.12033,19.09319,16.9033
780382.8125,awe,13.57056,17.37765,12.19763,21.86832,20.02573,27.62397,41.27869,16.78954,21.00175,30.901,55.08435,42.46552,27.83977,20.19499,17.75112,30.41669,23.97444,42.28858,29.61337,42.42481,24.23903,18.71142,39.91035,43.12839,39.9855,35.40455,38.38349,61.22689,21.33578,48.85355,30.35742,43.10565,10.27016,35.74921,35.40118,35.45823,29.24429,1.837514,34.29351,31.51236,6.041154,26.26909,51.01873,52.5365,25.30984,6.315488,4.152239,37.16488,42.75319,26.91366,16.93524,35.80604,12.07185,12.3469,36.27236,59.26818,17.43699,11.91794,10.23529,35.22493,41.64969,49.80383,43.60141,43.0918,27.4677,20.79059,19.54257,14.51842,38.80978,39.2455,40.75789,38.22437,49.78974,35.12779,21.52491,36.57648,31.86188,26.72865,29.83722,32.01928,40.04066,42.43022,77.75977,44.11142,22.809,38.02468,43.77482,81.36906,35.53696,31.19601,50.92015,11.36049,17.21452,16.3881,9.174366,4.107247,13.88146,8.558164,0.811479,7.53308,8.656159,1.422891,1.988595,9.498072,9.615353,5.972274,11.16129,0.1316322,-5.732478,7.294795,12.10433,3.833897,16.72849,5.280849,-1.458098,4.814294,7.45006,-1.971339,18.28526,36.18593,3.424215,-9.215064,17.38,5.169501,36.75539,20.71789,35.21606,27.35419,34.24546,28.58396,29.86739,19.6723,15.44387,9.289688,9.640299,17.71911,30.21357,15.07454,23.95553,38.91655,17.81799,19.71331,22.191,24.0042,24.71012,19.44685,17.91891,4.306488,-1.206779,33.38422,37.57574,40.221,40.07271,26.88898,25.53285,15.4781,6.417176,8.480997,0.876633,0.6003265,-2.042251,-3.652205,4.515115,2.313407,5.342752,40.73166,21.83511,19.00697,50.8363,44.69224,41.26538,43.36283,45.36139,47.07034,36.76597,64.421,19.75176,7.510602,4.180997,17.21018,23.34364,16.1717,14.55523,28.63451,21.38613,37.17962,25.12959,26.03495,19.00202,26.55293,26.10754,51.26536,40.05528,42.99512,43.6301,45.47456,44.43451,46.12115,50.18314,10.48602,36.5876,22.47629,16.50015,19.39942,21.35943,24.84159,10.17471,14.60161,15.82717,12.25849,8.067842,18.14437,14.99988,10.14471,22.25999,12.2426,5.613915,17.77798,11.76126,6.765672,22.60449,26.62086,28.97593,24.10944
782332.03125,awe,-7.42628,-7.320771,-17.38283,-14.61471,-15.70871,-13.08575,-0.6284818,-3.022195,-3.737095,-1.199161,16.22279,2.5471,-9.70678,-5.742445,-5.89378,5.921428,0.8878576,9.197074,-6.392058,0.3132404,0.9677869,-9.151064,8.212257,15.8147,-3.634274,8.293607,1.121938,15.47284,-17.07362,12.99314,-0.7548149,14.76961,-6.900641,-1.423891,-2.840853,1.930007,3.374392,-10.4889,-1.105804,-0.2517282,-7.806709,-10.85568,22.85352,27.20996,9.963248,-0.9899421,-0.5194309,0.4743498,8.20476,-1.302679,-5.371566,23.00025,6.494566,12.84319,-2.731561,12.54984,-2.143623,7.993303,10.04091,1.943062,9.902422,-15.27151,-15.30853,-1.413743,-3.694674,-0.6798111,-3.555928,-0.3753804,2.970412,6.763693,-12.9581,-10.68464,12.90039,0.5166716,0.212644,-15.5536,-11.83265,-14.44404,-4.895535,9.769077,-7.018511,4.205863,41.0587,14.67037,-6.253384,-5.646252,1.717605,47.0074,9.250864,0.1218339,18.71749,2.750265,9.374176,11.59631,3.602249,3.329684,11.86638,5.313869,9.194755,11.2781,11.45537,-2.792161,9.64243,17.44911,9.509018,3.148296,4.673515,15.94526,0.283712,8.888866,11.07579,1.185427,12.72189,22.43329,4.209089,1.986779,-2.111302,-2.733944,8.122191,21.74669,1.110799,8.149055,4.763263,3.603338,14.68216,6.583243,3.941317,1.564635,-1.10728,-4.485235,-2.205927,-0.5576122,-7.571473,-5.818937,-2.217602,-1.852824,15.7349,-5.715046,6.096345,17.01082,-0.1477101,-6.368567,-1.710885,0.6991197,-3.868294,-1.926154,-0.4631491,1.047879,2.899977,-6.583719,-4.23367,-5.458127,-4.014056,-0.9975098,-0.6885415,6.430943,-0.3681416,9.733002,4.472817,3.414669,7.156957,5.521471,9.355858,1.242305,-3.671333,28.95582,-3.858722,-12.55963,-1.045243,-3.095267,-8.175845,-7.075685,-9.942327,-6.938848,-15.35179,23.8415,-6.015062,-0.3281248,5.774569,0.6119864,-5.491737,-11.65795,-8.598271,-2.270814,-6.628319,7.376254,-1.842726,0.08973478,-6.919816,1.801284,-0.8494061,-8.170667,-18.32763,-11.32955,1.837991,-7.698988,-15.88466,-10.49837,1.303941,-6.759029,11.66164,-8.719285,-15.98415,-17.2514,-7.924573,-0.2748892,-6.134156,-8.866475,1.206496,-12.0151,-17.0197,-15.20991,-14.45932,-24.65718,-13.8201,-17.08172,-22.23495,-7.903934,-14.37978,-4.327335,3.869622,10.96646,-6.375922,-3.381943
