Time,Event,A4,A5,A6,A7,A12,A13,A14,A18,A19,A20,A21,A30,A31,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B30,B31,B32,C4,C5,C6,C7,C8,C9,C15,C18,C19,C22,C27,C31,C32,D1,D2,D3,D4,D5,D6,D7,D8,D10,D11,D14,D15,D16,D17,D18,D20,D21,D22,D26,D31,E2,E8,E10,E18,E19,E20,E31,E32,F3,F4,F6,F7,F8,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F26,F27,F28,F29,F30,F31,G2,G20,G22,G24,G25,G27,G30,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H22
2949.21875,prebase_instruct,1.385308,8.515407,8.571353,4.732168,3.957648,1.583137,-2.22756,22.89002,16.96985,23.96171,7.982403,14.8155,-8.187593,17.03636,2.42035,13.09677,-1.756833,4.101046,11.52318,13.11863,24.28,15.37694,4.71823,11.49738,13.34168,-1.732493,1.31101,-12.82881,5.524592,21.93648,13.91341,20.6862,16.15077,16.07151,13.36464,1.34384,23.99332,27.78167,24.00574,5.889679,14.70296,34.31591,4.964997,-5.22345,-3.691351,-2.249697,19.66103,34.22427,23.27427,27.15416,-2.046579,11.2328,-10.23394,-10.64382,-5.930922,28.84181,15.27385,7.880368,3.544843,2.19022,16.90974,9.524444,9.428276,22.27738,12.20099,10.83906,21.08503,5.3795,8.177434,3.589665,-15.00727,17.79514,7.31733,14.14162,12.15939,-16.96163,2.731579,3.192077,-0.1573395,-8.263223,4.31475,-1.646417,32.94274,18.04722,3.182336,-7.428061,18.50189,24.12662,38.33154,37.91504,24.95415,22.10491,33.14338,28.86765,30.97559,36.04117,17.48253,18.40805,11.63553,-3.915629,9.399471,-2.434033,17.65435,6.284819,-4.368216,11.54972,27.47174,32.3135,28.25727,2.215147,-7.456289,15.14088,11.20337,-16.2487,10.66585,-4.832714,4.237257,12.90158,23.20735,11.63964,0.03964428,9.710513,25.78189,13.34924,11.62001,-0.5917904,-14.98295,-15.23628,3.010592,18.81923,9.241846,-2.804157,0.6731979,4.023591
13398.4375,prebase,-1.587175,7.211298,5.581162,3.191994,-4.676865,0.6873733,4.145462,11.13981,11.24301,21.16386,14.8597,15.29068,-16.53289,14.11042,8.125707,17.34626,1.944828,8.325509,15.2477,15.29321,28.31775,18.66715,7.17079,16.39309,15.87618,0.7318739,4.732796,-14.34937,2.634426,16.50889,7.866837,12.50182,15.7221,15.64621,5.938811,-7.41084,10.14784,13.43353,9.428425,6.169663,9.257784,19.07914,-10.72205,-18.74708,-17.04528,-24.72994,-3.941201,10.27764,-2.189214,6.540112,-7.848934,-2.449495,-21.77616,-23.62925,-12.13701,19.45191,13.54143,11.96535,10.21925,-0.4030605,8.99577,9.577403,9.335579,9.868514,10.04457,8.668265,12.27472,8.528649,4.371403,-3.198097,-17.91093,14.58148,13.63115,21.01848,13.53637,-25.14612,-24.08112,-9.660888,-4.117424,-12.98691,-6.525671,-7.365786,6.754651,3.192185,0.8339179,-16.23901,2.216263,11.05425,20.14084,20.16239,10.7754,7.151147,18.96208,6.419697,11.1581,12.64996,7.652436,3.364281,-0.05788876,-14.08503,2.817583,-3.66892,21.35872,-1.237209,-16.77378,0.02339698,11.95882,8.575382,11.74509,-6.20923,-12.12082,15.40659,9.167436,-10.67051,3.349604,-10.47,5.565105,14.55501,23.66785,12.77295,-2.399673,5.612065,21.55101,13.52876,10.50648,-4.805118,-17.86164,-25.06758,-6.348351,11.41147,4.325405,-8.231544,-7.258646,-4.9042
133468.75,FeelingItInstructionsButton,-1.319155,10.48269,15.73641,11.60979,-4.071746,3.634465,14.51374,23.11039,8.975353,30.0877,21.57323,15.55375,-9.776254,19.72322,13.22604,25.05664,9.813982,13.04562,20.40673,26.07746,35.7158,26.89894,11.87095,25.75745,24.90826,11.20087,18.65674,-1.160469,15.25871,30.51419,19.9726,23.17119,32.52575,30.27302,17.83266,5.778559,24.76443,28.52249,23.53906,19.97945,17.1284,29.84327,2.483842,4.500821,-4.05935,-16.23345,6.423353,25.24363,20.176,17.46584,-4.81206,5.771543,-9.64215,-11.88009,-21.38928,12.44961,23.50942,16.39301,17.50309,13.51234,18.10178,17.48051,13.56994,21.5892,20.38715,12.16107,16.5294,12.14256,13.45041,13.83117,-1.524092,18.63422,7.624269,20.60726,13.2919,-20.7143,-5.247273,-21.10411,-8.938226,-11.26945,2.773375,-3.575313,29.08367,19.15814,9.795318,3.679064,13.49953,20.17841,33.52543,35.26601,21.92711,18.95329,28.71356,38.39529,27.42128,24.71981,14.23671,10.00194,11.61725,5.095444,18.21203,-0.5486131,29.52744,20.12006,1.534934,13.06338,16.56946,23.67998,23.18193,-5.09261,-9.437327,18.85859,13.86745,-7.233,9.346295,-21.40585,10.93325,23.26254,31.61597,17.44578,6.497209,14.59974,33.83538,24.7961,22.41172,2.626855,1.280244,-7.413607,12.20442,19.61455,9.641252,5.387187,4.899303,13.57925
200472.65625,InstructionsForEnding,8.259933,11.36668,12.10628,7.378318,-0.4561687,-0.45452,3.783553,14.43474,7.78079,21.83951,14.55227,14.42974,1.004839,19.80374,12.97149,23.25277,8.320509,16.09369,18.05756,21.07407,32.11195,19.61806,12.28589,15.14648,16.87737,3.138938,8.801006,-7.971203,4.469668,20.27048,11.08692,16.55446,18.25927,19.22925,12.14462,0.6977521,18.6746,20.27373,9.701624,16.55538,14.4003,25.7282,-3.416964,-7.795353,0.6844484,-10.86031,8.127563,20.53652,6.600085,16.49034,-2.51954,9.708274,-17.36521,-14.75437,-20.14736,10.44921,18.09653,18.36063,23.82987,16.9396,12.70831,20.24354,25.76327,14.1341,16.88756,22.67899,14.12725,17.14443,19.52399,7.032023,11.70673,8.03623,12.89494,24.33245,10.88878,-22.20554,-11.53533,5.919021,-5.390656,-12.27162,-2.01368,-1.830282,14.85051,6.478981,6.891844,0.9708475,16.61595,18.57362,28.7038,22.40565,11.41778,6.8303,21.01174,15.8601,18.65661,25.02983,13.46755,15.06166,16.68735,0.1542581,18.02248,-2.409186,25.78356,16.15778,0.330132,18.13789,22.80116,12.58089,11.02673,-4.784527,-11.99444,15.83326,11.23885,-7.978079,9.012,-19.07178,18.54123,26.49024,33.33113,20.95659,7.985221,19.33407,36.94187,25.4735,27.00157,13.73663,7.025716,-2.740812,16.91498,24.92588,14.17028,16.44604,7.8457,19.1204
550394.53125,ImaginationSuggestions,4.472116,15.3174,14.89213,11.92271,5.820778,5.441799,-0.5257646,16.89601,13.81225,24.21485,13.39782,16.9452,13.48244,23.26617,17.69356,26.7037,12.11887,15.96899,27.62098,26.1162,36.53012,24.52242,10.3564,23.31463,24.30917,3.940305,12.22153,-2.907897,11.04899,23.16113,11.31084,15.14284,18.76735,20.84046,10.19088,1.432894,19.45142,20.21464,11.65886,8.549239,10.24247,24.81269,-2.803664,-16.12851,-9.691592,-24.428,5.114698,22.3545,20.18926,9.568954,-10.44154,-4.986682,-15.61816,-11.40758,-15.97358,10.03898,17.43082,16.70358,18.07001,10.66044,17.28525,14.9527,19.34419,15.21123,19.12128,10.59534,20.23133,19.88332,10.46929,8.522514,-0.9095196,23.66484,16.54251,22.38764,21.43145,-16.65246,-1.808799,-19.13254,-2.926276,-9.012696,0.8215877,-2.917573,23.43643,17.21295,2.39851,-9.397807,10.07682,13.91858,28.60543,26.30699,16.25514,17.80644,26.65439,21.66629,20.33622,21.31699,9.56275,10.22037,4.083404,-9.586815,1.28767,-2.554273,20.00451,1.904936,-10.5434,6.012391,17.23628,24.6808,20.19897,0.5038565,-13.0105,5.792595,0.5919405,-15.14545,2.962803,-22.65948,14.38707,25.526,30.55049,21.27415,11.44843,20.05273,30.72056,25.97857,18.78055,10.85829,-7.933654,-7.663161,4.504387,22.02316,13.31571,4.961146,1.570892,6.701329
807800.78125,awe,-7.176585,4.026417,5.660126,-2.328907,-3.893607,-1.399296,-4.583171,5.829432,11.69683,17.34742,7.724576,13.51569,-10.63337,7.428945,6.427289,12.80858,1.545014,2.356731,14.11646,14.1748,23.27296,12.33866,1.306374,7.13825,9.848269,-5.998552,-1.435561,-16.19983,-2.049899,11.51045,3.496095,9.328376,7.903031,8.089117,3.612858,-7.35061,11.17329,11.37317,5.791452,2.878127,2.153893,21.86415,-3.290524,-13.93736,-6.697833,-13.59824,7.274882,21.69476,8.814785,11.44479,-10.136,3.325345,-21.1258,-18.1011,-26.11937,9.402717,8.718203,5.559937,6.116075,1.497798,8.863607,9.223112,11.74606,9.966198,11.21737,8.346624,19.10493,6.241438,9.141836,18.9086,-14.46535,13.07596,1.380573,10.76276,14.6346,-24.35221,-4.25932,-13.50234,-11.13921,-13.54225,-8.579679,-6.58907,17.80286,12.28293,-6.008274,-14.21851,4.684832,12.00246,27.68322,19.73621,9.855813,12.36855,22.55451,18.72812,18.77052,27.33396,12.83588,9.747986,-0.188853,-14.08205,3.48627,-5.585587,17.03256,-3.592735,-22.78191,4.825251,21.91986,19.76701,15.78527,-10.75038,-12.64523,5.212379,2.172777,-10.97296,0.4223195,-27.59317,0.8174577,9.205913,17.26635,11.186,0.07517819,7.166541,19.07173,13.84102,3.779962,-5.191597,-16.92461,-23.4337,-4.239249,10.04492,2.333423,-8.470223,-4.95937,-2.061549
808800.78125,awe,-17.44027,-7.308027,-3.113302,-6.384676,-10.73497,-5.756349,-11.70648,8.587211,2.492917,16.92439,10.349,7.307178,-25.96051,-1.120283,-1.45559,2.018584,-7.982622,-7.960341,4.986415,5.568481,14.25287,1.879686,-9.368637,4.678164,0.06022418,-11.57505,-0.2233369,-16.9378,-6.676774,4.752573,-4.199247,2.194987,12.86462,9.225405,1.466694,-9.080244,4.931013,4.438383,1.429491,9.568062,2.876751,16.08019,-10.73525,1.633337,7.948733,-9.102452,13.99573,22.25512,10.49521,20.78204,5.331132,16.25079,-6.840484,-12.00532,4.171347,25.03188,5.018785,-0.9537387,-2.530011,-6.997801,1.28947,4.705052,0.1327697,-1.176149,-10.0309,-0.5272902,7.431425,4.639963,-0.7642666,4.952771,-24.94278,6.044267,11.33503,8.930235,3.68869,-29.49262,-22.59164,-20.31856,-9.382814,-19.17978,-11.79888,-11.47801,10.39864,3.162837,5.297374,-2.648989,9.131233,7.057865,21.70823,13.82673,-0.3244607,4.300093,11.69118,17.82903,11.91137,21.56223,10.20795,15.78644,11.43412,4.135528,16.13112,-5.349633,19.54114,21.51163,7.628542,18.57989,22.12829,12.85301,9.374973,-10.38739,-3.177945,26.8035,21.8036,3.934104,12.67502,-9.344443,-8.257946,0.6149726,8.373322,-2.00363,-9.106913,-3.467836,8.815879,3.98058,1.857113,-10.98213,-23.66415,-30.6061,-17.57755,-0.6526227,-8.615252,-16.51998,-17.40174,-15.84012
863980.46875,exit,-52.51566,-33.40686,-24.93322,-26.94581,-35.13485,-25.3946,-15.8208,-18.42488,-23.6372,4.373573,-8.459769,2.713245,-11.87282,-20.05055,-24.61098,-23.39576,-33.2695,-33.60911,-15.15454,-8.83271,-6.130107,-16.54609,-29.70551,-11.52376,-12.80589,-29.84884,-13.07075,-29.75967,-20.10917,-3.228688,-16.71602,-11.33654,-2.013665,1.432273,-6.766567,-19.40586,-3.598423,-0.04518358,-8.31975,-0.2171248,-3.428556,8.542908,-19.52922,-7.708758,-1.012854,-10.17107,7.771671,18.28455,10.58165,14.68756,-6.559893,3.905098,-11.48191,-8.862046,-5.281347,21.72956,-18.64687,-29.19973,-34.33369,-54.2556,-11.89633,-17.86851,-23.97002,-9.861682,-15.89656,-35.17243,-7.688583,-12.7548,-20.95828,-37.06334,-97.46564,-5.124811,-3.174949,-5.809663,-5.633435,-28.42234,-15.35696,-9.587724,-5.121068,-8.681849,2.878869,-4.042295,9.594592,-0.8893607,-7.139454,-15.3294,0.2550434,2.648355,15.19983,9.609374,-6.119262,-3.320271,5.297058,23.52206,7.270878,19.49713,2.472571,7.230092,0.0489548,-11.50681,-1.732902,-18.55535,8.347983,2.36299,-8.74383,4.460012,14.249,11.65045,3.539952,-0.5244268,-3.507683,10.23293,5.024218,-1.736725,8.933093,-11.18318,-41.36163,-27.87603,-26.34183,-31.58391,-34.86798,-40.4464,-37.40097,-33.43291,-45.61526,-66.39703,-81.255,-93.21625,-81.03819,-47.78709,-47.85406,-79.71867,-79.20744,-80.02162
921562.5,enter,-14.01089,-6.772886,-2.850007,-7.876537,-10.85097,-8.36043,6.532938,9.007082,-2.865321,13.73506,6.764024,15.90698,-5.745259,-1.198658,-0.8461361,1.345393,-8.929372,-5.739089,5.369416,7.547458,13.41348,2.524451,-8.80409,1.785248,2.971798,-13.51222,2.48138,-15.7647,-2.011122,7.947792,-6.301784,2.701696,12.78339,12.48224,4.193951,-4.451784,5.647902,5.841805,0.1945504,6.319544,4.83802,12.30286,-7.658306,-6.368234,-6.524522,-23.74215,-0.7066573,9.311845,-2.093559,12.97526,-5.006219,7.048926,-3.39493,-0.3249312,-16.80997,17.45171,3.49188,-0.3309336,1.164945,-11.81689,0.7766993,1.069945,-0.6151133,3.03748,-5.657131,-3.594532,8.83224,10.34315,1.178653,-4.811184,-20.7457,1.876879,-0.3730817,11.62119,10.84803,-24.03899,-13.97286,-8.494449,-4.365796,-9.477429,0.5405985,-2.183661,1.121648,-4.509327,-5.784907,-12.27171,1.945556,5.580265,14.22843,13.77637,10.04668,0.8687795,14.56644,11.30407,3.68403,5.489136,5.314965,3.552421,-2.515167,-12.96159,-0.2650173,-6.116785,20.93885,-1.413696,-21.68597,-2.891244,7.037646,-1.960847,-2.252736,2.347117,-5.525415,15.30952,10.46286,-9.51298,10.35511,-13.65385,-4.338772,1.72814,7.75536,0.1154721,-8.337738,-4.402846,9.686666,5.170144,-3.542291,-12.46189,-28.03693,-26.96623,-11.76973,-0.08070181,-9.146493,-18.92395,-22.18945,-9.758877
1015976.5625,frustration,0.8426386,8.055322,5.573437,0.8727446,-1.818015,0.03953921,-4.699726,14.29299,15.08961,20.36271,4.329789,15.04949,-22.24557,9.007881,8.935431,17.46878,6.384412,6.975637,14.29257,15.43007,24.5017,13.15024,-0.3324246,12.853,9.55642,-6.092301,4.659022,-10.00695,2.363867,13.5514,0.2394126,8.446395,16.98634,12.62425,5.621018,-2.836608,7.768338,8.386797,6.500103,10.5589,5.16115,17.93491,-6.79105,-6.216015,-1.838537,-16.69834,6.113519,9.134445,-2.243865,11.02902,-1.492174,5.692955,-19.2126,-25.67546,-24.38464,18.82892,14.59191,12.04523,11.20745,3.710822,5.514019,9.807531,8.159,6.580999,11.14633,4.326997,11.94018,9.439006,4.492507,-1.248089,-6.142101,21.17045,11.94206,15.74746,6.686068,-28.15914,-13.2879,-25.97855,-7.629316,-13.64433,-8.649984,-9.574074,6.686672,2.748016,0.1907529,-11.6432,6.623821,8.46092,18.02941,16.01046,6.359911,5.547124,17.94932,16.69178,10.17989,12.62228,6.636505,4.013391,8.757236,-3.370839,9.976016,-3.97275,23.05196,9.799708,-10.18337,5.861943,13.55793,5.502714,2.62947,-6.615662,-16.08535,13.4099,8.100631,4.707292,5.435915,-23.32263,7.489236,15.52222,20.87843,11.94875,3.700937,9.723363,23.64044,18.7437,14.54993,2.780955,-15.38173,-8.644381,-0.4010611,14.23529,4.57199,-2.585623,-4.349817,0.9699852
