Time,Event,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A12,A13,A14,A15,A16,A17,A19,A20,A21,A22,A23,A24,A26,A27,A28,A29,A30,A31,A32,B1,B2,B3,B4,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B21,B22,B23,B24,B25,B26,B28,B29,B30,B31,C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C13,C14,C15,C16,C17,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,D2,D3,D4,D10,D11,D12,D13,D16,D17,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D30,D31,D32,E1,E2,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E31,F1,F2,F3,F4,F5,F6,F7,F8,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F32,G1,G2,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G24,G26,G27,G28,G29,G30,G31,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,EXG1,EXG2,EXG3,EXG4,EXG5,EXG6
7601.5625,InitialInstructions,8.663445,-3.458188,-1.667469,-34.50073,-41.33325,-18.13853,-64.53795,-10.5738,-26.19401,7.958795,0.1582282,-32.18338,8.147884,5.303807,6.347144,1.656217,0.6397158,-5.899517,62.15605,3.969855,-7.398407,0.4367602,-32.01201,5.558809,-41.60361,2.025348,1.008339,11.24815,-16.26751,-5.209023,-31.86968,-33.5725,-24.59431,-19.26715,-7.252467,-5.446634,0.8045515,-21.01535,-16.506,4.826124,-17.99433,-13.75095,-12.49308,-30.6431,-31.03132,9.262593,-1.505727,16.01991,14.61517,-20.10766,-19.81287,43.54112,-0.8211523,37.44324,-22.9006,0.9087149,18.57791,-1.108716,-4.316193,13.7392,36.99515,19.44744,19.24842,25.95984,35.6296,57.13799,20.15536,-8.543285,55.00598,34.77895,48.81645,23.66683,26.95827,38.34029,40.0771,28.42902,-1.781367,15.88723,14.67302,21.14271,0.3337962,1.422714,-2.51177,-5.746421,21.03789,-7.216553,35.35061,-17.26443,-24.02318,-59.52198,15.02753,-29.025,-32.72297,0.7897273,-6.422023,-29.65278,44.01859,30.41872,-7.474627,-15.48695,-15.04218,-29.91561,-2.755323,-11.79112,0.5179284,-1.465798,-14.32222,-2.034021,27.60376,33.32175,6.607236,13.14296,3.484991,7.006593,7.868565,9.821787,-2.69199,9.076571,-7.418875,6.90591,-3.617334,-6.210852,-0.2160454,-1.287949,-0.1513296,4.991494,2.889043,4.456612,1.826899,-4.15002,1.419726,19.75174,1.289823,-8.853897,5.783189,-7.284052,-8.168591,27.40077,20.6331,24.2963,30.21692,13.98619,1.177011,32.07658,16.63621,22.08981,24.49511,28.71469,6.790012,28.49608,34.07349,18.71461,34.04773,29.45807,23.28074,15.66005,18.44576,14.58174,24.953,32.91037,21.94752,26.86564,37.55984,-6.560454,4.269437,8.395267,10.57515,3.045992,13.59123,23.75133,-0.05495666,13.18759,1.806324,-0.5044567,-3.660959,2.392647,-10.81627,-17.52625,-0.3437512,10.23064,-8.972258,4.664145,-9.118127,5.112914,50.36467,28.01818,21.99715,-4.439463,2.804513,19.86526,17.18714,-26.58978,-8.504495,-23.65989,-59.99965,-28.59033,2.319438,-11.87608,-40.86443,-18.58325,-22.43575,-22.63854,-32.218,-22.76828,-48.36329,-8.216386,-27.82503,-10.65269,-6.213149,-16.38384,-21.9408,-39.86356,-21.47136,-30.69999,-34.61581,16.20697,25.20194,-0.1309867,31.78816,-15.97707,-16.25429
107625,prebase_instruct,-3.445042,-3.425328,-12.25436,-36.92325,-41.35283,-12.75337,-56.84381,-24.19058,-27.28563,0.4052377,-4.076528,-38.04478,6.406426,-2.494695,-5.238276,2.912116,-12.0915,-7.714262,58.06912,-10.36911,-17.56025,-1.04563,-25.92362,16.00288,-58.46284,-13.52065,1.612288,3.832627,-13.28636,-6.824634,-29.00259,-27.42669,-18.70807,-16.43606,-5.387282,1.426806,11.33173,-12.01535,-2.7869,9.012622,-11.1407,-14.83131,-10.67329,-25.06209,-23.39585,14.19911,5.899313,15.00135,16.03499,-13.67491,-7.420242,49.02803,4.566624,36.61653,-17.6592,7.734158,18.1791,-1.192556,3.785677,5.866933,27.25504,14.73502,17.05416,21.36841,27.17114,40.90638,32.74173,-9.782401,53.44593,28.96817,46.68045,18.02124,24.89209,35.33574,40.47451,18.18169,2.721524,14.70554,18.42523,29.04366,3.366847,8.975379,1.526922,1.869185,28.9154,5.077134,43.52476,0.9765195,-25.44827,-48.74825,23.77884,-20.88774,-16.04946,14.59202,-2.32697,-16.29751,48.28341,2.354583,-6.717155,-1.268681,9.077312,-5.843625,2.87746,-1.456455,11.84777,11.74218,-11.22603,6.027369,35.11448,15.19668,5.209132,-5.706851,-8.197617,2.956224,23.23745,8.224133,-5.44872,11.01561,-3.938725,5.263494,-2.223267,-4.947492,-2.969518,0.5597128,6.678967,12.18977,6.237392,10.99497,5.004151,-4.167111,0.4356672,23.51546,5.270298,-6.389764,6.803606,-6.335825,-5.243771,7.005576,18.57942,25.50527,33.71158,19.66878,8.732648,40.82424,19.85944,24.61403,20.73936,22.48575,9.860232,29.66795,25.57664,12.6872,36.78237,32.4923,22.93412,17.68168,15.84375,10.98892,14.24306,29.41138,20.71387,11.05927,25.20752,-12.52569,-5.987052,-1.400239,0.04197091,-1.250159,3.523154,10.50852,2.934193,11.69426,-2.922156,-5.228626,-6.471006,-2.54621,-13.70494,-15.94208,-3.948803,19.91111,-7.598938,3.691899,1.355406,5.854928,51.02032,16.31145,9.873221,-3.183337,3.079876,19.99401,24.17296,-12.98762,2.869725,-10.73913,-48.64622,-25.23135,7.768477,-1.773926,-28.41502,-8.684354,-11.40425,-4.510564,-17.04548,-13.67376,-40.50564,-5.429338,-9.51466,-11.33576,4.055579,-18.31532,-8.168117,-35.45439,-11.40765,-10.59526,-6.907772,12.23092,-2.671155,-22.2134,8.943893,-4.020594,4.653688
118074.21875,prebase,-25.3244,-17.68468,-23.15624,-43.90616,-50.94846,-16.94131,-55.76805,-42.70697,-38.68512,-5.155105,-18.86202,-38.4882,3.501185,-16.08207,-16.89639,-10.10407,-14.03331,-8.011536,56.25568,-24.00476,-30.41736,-3.515481,-26.12407,5.953009,-68.4379,-21.62993,-16.11849,1.911535,-20.68334,-17.13397,-40.13268,-41.94738,-32.36246,-23.18039,-15.86305,-13.50155,-4.825675,-20.93375,-12.65166,-4.951764,-25.58887,-21.95803,-18.5145,-36.46496,-37.59148,-3.215462,-15.09069,5.919683,6.079994,-26.22104,-27.52926,30.44891,-13.3455,29.91001,-29.35227,-9.558274,1.518118,-15.41111,-15.70897,15.37451,25.21022,6.167907,11.43391,9.496444,8.439801,19.6321,9.637764,-19.95407,47.06956,23.91582,34.90904,2.729955,12.72464,22.90526,25.54041,1.800555,-13.61621,-11.22861,1.860116,6.164548,-13.81666,-13.04642,-17.56415,-18.69809,5.535874,-18.49371,22.62375,-15.48661,-24.25725,-44.46574,14.39174,-22.29159,-21.85568,-5.066476,-11.58047,-21.77576,21.04617,3.14517,-29.76886,-16.47445,-1.086671,-9.058868,-15.55479,-16.37394,-0.9678439,-1.588712,-29.05641,-14.09238,14.00626,-1.364105,-12.22874,-18.17804,-20.15408,-11.58991,4.160233,-11.05245,-25.93335,-10.33265,-25.3004,-15.79591,-25.32924,-25.54197,-21.03556,-19.7696,-14.95211,-11.3141,-12.07252,-12.3306,-16.02525,-24.68019,-16.91128,3.324969,-16.45006,-29.09256,-9.829117,-27.48923,-29.18774,-27.9536,13.5112,12.9323,24.88598,12.06146,4.132164,29.02917,5.47623,1.915565,-3.279433,1.89181,-0.3116017,21.5814,25.41646,5.722603,25.98525,22.89321,16.97193,13.28829,-3.196218,5.450377,10.56307,30.45046,14.1005,-12.81525,7.339486,-25.72701,-17.52897,-11.59996,-10.5946,-16.49556,-7.228782,1.190554,-17.21393,-3.984409,-24.0038,-21.53016,-22.11149,-19.30531,-23.09342,-32.97231,-19.43587,13.80121,-22.23195,-14.9427,-29.52226,-16.87897,24.76648,9.262564,3.653077,-20.85815,-16.69605,2.58976,20.0175,-22.63288,-11.1382,-26.10248,-62.01332,-32.28131,-7.410373,-18.74537,-42.08696,-16.96335,-27.39976,-10.72704,-29.98923,-23.47693,-51.13295,-16.15616,-28.62448,-17.9925,-5.732303,-24.42081,-15.55663,-49.21505,-21.44815,-18.73103,-18.00968,0.9246606,-4.865505,-32.68981,-9.420344,-14.63262,-4.148599
238074.21875,exit,3.407845,3.219738,2.727335,-22.40095,-30.41432,-2.910215,-53.80468,-21.46958,-15.32388,12.36738,14.37393,-29.23024,10.7716,-2.150903,0.1161298,13.39477,9.203749,-2.482291,60.25584,-4.69496,-11.8337,6.054245,-11.08664,13.11842,-48.84445,-5.841457,13.02571,8.524635,-19.58205,6.76211,-20.84641,-21.59255,-15.15648,-13.57956,-1.571461,2.199927,6.48672,-9.376196,-12.16092,8.618509,-16.92777,-15.79608,-10.03958,-31.30406,-27.39908,5.819597,-4.042257,10.59297,5.146772,-26.71275,-15.09984,40.35256,-5.372909,30.92734,-24.81481,-6.221679,14.72929,-11.19136,-12.40238,-0.001711622,13.94233,-4.224152,2.575975,8.167457,18.05431,31.81312,20.31816,-24.12767,44.27356,20.71478,34.04173,11.79328,9.650311,21.20031,26.05273,12.04762,-13.52272,-5.645301,-0.2761184,14.54478,1.811017,-13.67702,-15.67977,-13.82143,15.08128,-9.46676,28.10242,-1.058153,3.546925,-27.65249,33.18803,-3.726166,-5.730842,15.06155,11.89667,-1.012511,60.5534,28.91838,-4.737559,6.257271,21.62879,9.404954,13.66551,11.31699,30.29547,27.57233,-5.843383,4.911345,31.58428,12.19521,-0.729516,-4.328924,-0.910956,-0.5207172,16.05602,-2.900119,-8.872481,8.299171,-7.609263,2.246545,-5.743153,-2.998316,-5.301979,4.525637,2.679521,8.066949,7.10741,8.239789,3.679876,-7.55656,-3.320927,22.0431,1.627483,-7.885083,-0.3402983,-3.504551,-7.747477,-3.350569,13.53396,11.48722,18.29705,1.53386,-5.683513,24.97239,11.4704,15.49086,15.48086,12.37902,0.1272202,9.958749,2.520033,-4.545927,15.57949,15.22261,19.89567,9.800695,-16.54351,-8.858713,-21.53268,4.671841,-1.55409,8.402654,17.6741,-9.849351,-4.790434,-0.666909,1.309459,-3.355709,2.191749,8.259063,-8.993634,9.596052,-8.531672,-10.20148,-9.243134,-3.85377,-13.60051,-24.54229,-9.969699,1.42461,-17.90304,-6.089389,-17.30185,-10.4814,28.38964,9.640516,3.802017,-14.62709,-6.026898,10.01223,6.510204,-6.971722,9.437967,-1.953589,-40.13551,-9.873049,23.45438,4.669569,-18.7966,-1.925349,-3.269005,12.36096,-6.138617,-1.630264,-26.18933,3.634453,-3.373091,1.255314,16.04839,-4.005674,5.321923,-20.17164,0.2639914,3.287755,3.482661,7.331164,12.26382,-18.2828,13.73508,7.843744,1.670701
238121.09375,FeelingItInstructionsButton,19.57947,18.54612,23.329,-12.65532,-12.26695,16.5261,-28.63879,0.9345842,1.132619,28.58768,35.78141,-8.089806,28.94922,19.69973,20.40288,29.56878,27.99378,16.52539,76.78855,16.04752,8.705111,24.0182,3.282871,33.97477,-24.72924,16.09394,18.71509,38.40214,7.775432,23.08772,-2.81431,-6.186327,-1.013373,8.863776,16.92168,13.89438,22.36947,4.170197,6.797922,25.35101,4.44793,6.447532,12.56028,-7.242995,-5.255632,30.52732,16.48668,31.02739,29.511,-0.889735,5.870798,63.35314,22.41925,53.53307,-2.165169,20.99197,39.39202,19.97061,24.09115,38.32552,48.15919,33.49365,28.88824,33.1567,43.2956,66.99205,53.26772,11.56035,73.8978,43.79328,67.75815,39.79452,44.55363,52.48288,57.83821,37.96109,26.44156,28.47007,28.2765,46.40547,25.1843,27.28918,17.15166,23.01993,46.31529,23.1322,63.4315,11.17951,3.570006,-21.22649,40.91714,5.312066,-0.383512,28.51588,17.25003,3.343525,57.56247,16.29135,-1.064959,8.941776,23.4995,13.53769,21.662,10.10683,24.44156,22.23071,2.417579,16.88293,42.18172,43.2863,15.19801,31.16178,17.14267,30.42369,39.71889,30.1563,13.16439,40.89963,16.66989,30.91316,15.22446,12.82983,20.19603,19.81399,20.4855,23.90137,22.82827,20.6955,19.09451,10.625,13.60852,36.76134,19.8243,4.640592,16.85748,11.28106,6.359942,28.18018,32.15872,34.59595,41.70018,30.52566,17.36961,48.32991,35.38543,36.95021,39.59188,36.55502,18.84053,38.00552,38.84884,25.48947,48.60406,40.70234,37.41277,33.23469,12.07513,26.75621,23.87552,44.25163,25.89,39.09046,44.21249,11.63238,16.0438,20.85443,22.96301,17.73792,26.25611,35.38044,15.91218,30.61946,15.68235,18.49331,13.2477,18.44573,12.20698,5.204438,19.37394,39.6162,16.4597,27.0142,20.60637,24.89373,58.16399,41.97967,37.01343,22.33376,26.99505,46.64789,37.73632,4.69979,19.81134,5.493158,-25.31561,3.2146,31.80114,14.7676,-9.652665,11.35647,7.887458,17.14193,-1.647586,9.483504,-15.97629,18.77505,4.742773,17.92483,26.9861,8.508992,10.98169,-7.571877,11.04463,7.658472,8.397632,17.70835,16.26696,2.816779,32.42341,9.871818,18.93244
305113.28125,InstructionsForEnding,-2.051903,-4.037304,-11.98991,-28.90035,-32.47489,-8.513954,-53.33026,-22.40284,-22.72917,3.457569,4.973534,-34.44076,5.574306,-4.549563,-8.07844,3.770536,-8.386819,-3.918981,53.58869,-8.789586,-18.48204,-1.946344,-39.62818,5.650702,-53.33022,-13.30286,1.135376,2.076368,-21.08266,5.875594,-16.12342,-19.55835,-12.08265,-9.243207,2.686386,3.867758,7.561745,-13.9223,-2.681254,4.841425,-20.58993,-18.26696,-9.922081,-28.42687,-27.15683,2.861849,-8.538864,9.930556,9.707986,-17.63136,-10.95113,43.84448,-4.105941,33.57719,-19.50006,3.84068,17.80389,1.18152,-0.9373443,21.18361,37.37984,15.46443,14.58512,19.10272,24.71779,41.52212,28.0504,-3.136447,63.19451,25.52658,37.68892,11.49118,20.0281,33.53246,36.46461,13.3789,-1.602348,3.484486,10.84843,20.85691,0.2188222,2.332765,-7.06903,-3.631513,20.11173,-1.40895,37.44905,-3.899374,-8.500215,-33.65665,19.31166,-9.512114,-12.23055,0.3850315,-7.890076,-10.48773,33.88066,4.197926,-23.93201,-2.774415,11.54763,4.927017,-4.567632,-5.43736,9.066107,10.71364,-14.16601,1.968473,26.72698,19.19839,-0.8034077,-1.089719,-12.78463,-0.221718,11.62551,-0.7653792,-10.78395,5.355761,-13.94805,-3.093033,-10.42182,-10.82008,-9.94764,-6.278976,-0.8502809,4.602757,3.790089,5.302011,2.789472,-6.831404,-3.563565,18.46058,-2.559461,-17.46275,-0.4514536,-11.96039,-16.15356,6.026283,14.22156,14.53329,28.47855,18.97737,6.768853,39.34921,18.16047,19.10572,20.60773,23.2431,8.811577,28.99431,23.17513,15.7027,37.09524,21.61477,17.95869,11.73082,2.351975,18.59345,15.01155,35.71284,25.59767,14.40065,25.70431,-12.67078,-7.624795,0.1050365,1.446653,-5.529453,6.018966,12.09702,-4.723767,9.602028,-7.398433,-11.73467,-9.601818,-4.795644,-5.754341,-19.13216,-5.730699,16.19006,-10.6154,2.383374,4.292399,7.718611,38.28247,25.71596,20.54365,-2.543019,2.638481,21.28439,18.64367,-9.887709,7.265653,-6.746556,-40.11026,-11.28422,15.83677,1.109247,-23.19626,-0.4003217,-5.050287,4.874128,-12.10592,-9.719265,-26.72368,-0.365631,-11.44093,-4.205227,8.391932,-9.91003,-6.42225,-24.86242,-7.549051,-4.498293,-2.617135,11.85805,14.48564,-12.68438,9.973312,6.483735,3.897654
654941.40625,ImaginationSuggestions,-3.051369,-10.76866,-9.092864,-31.1974,-28.19986,2.081651,-40.22461,-26.13495,-26.7837,-0.2753206,10.58073,-16.86804,10.5595,-12.24394,-11.79342,-8.293361,-8.686281,0.4961927,57.88839,-15.56108,-22.42632,-1.647911,-15.33363,13.19164,-51.71173,-25.49535,-17.30105,4.985033,-10.16051,12.00768,-8.673354,-18.62222,-10.34618,-4.887662,15.87333,5.844265,22.5355,-0.8042389,2.291344,16.98991,-3.578834,-7.992849,-1.354211,-12.65025,-8.732522,12.93672,3.30969,14.12543,11.42882,-7.678189,4.271821,45.32431,3.253272,38.80501,-11.27615,4.65238,18.97682,3.441189,0.8875573,23.69121,33.55315,21.90425,19.61367,18.0678,18.90759,40.57889,25.56159,2.819173,64.74367,28.80913,47.02235,23.21201,26.74096,34.01729,33.83751,16.7841,-4.130517,8.190536,9.901942,21.61468,-0.07876603,10.21283,5.060441,0.8889486,19.90488,-3.335168,39.71667,7.768161,-1.433999,-25.59774,32.26917,-10.43641,-6.955059,12.86676,3.466731,-6.605663,47.9791,9.423539,-7.553817,-1.375679,12.50386,0.2404116,-5.520882,-3.866196,7.349076,5.83666,-16.451,-5.153264,13.31372,19.84428,9.49693,8.609164,1.422248,1.547295,25.32077,4.177786,-10.87167,6.969857,-10.9339,-0.02814738,-12.31784,-19.85305,-15.48808,-15.01882,-7.284459,-3.024383,-7.839543,-2.753537,-13.21046,-14.73916,-13.73634,7.744666,-13.89225,-28.13997,-14.82125,-20.80805,-26.95802,4.139196,15.73055,22.23741,28.56678,21.4592,9.898491,34.197,16.80896,18.00433,15.67561,13.6307,4.787763,25.11479,35.21487,15.16696,35.53496,25.22723,21.7135,16.60432,2.540759,15.39076,18.11796,37.33072,15.11946,14.12164,19.78647,-19.77274,-13.09355,-6.881473,-5.104448,-15.01702,-3.500635,8.496014,-17.92992,3.606986,-16.92865,-9.758584,-17.19975,-8.784659,8.058125,-9.597519,-7.647466,11.83678,-0.04836164,7.907542,-1.635091,6.407469,35.32887,24.85738,20.6362,4.304955,9.806989,27.52983,22.92343,-4.621964,8.009697,-8.494894,-35.28029,-4.276766,16.73728,-4.957063,-17.40305,-4.583247,-6.589969,5.212558,-18.20793,-14.00699,-30.49587,-5.511476,-17.22451,-7.903819,1.48401,-19.60679,-10.53258,-29.23402,-11.61421,-6.73757,-3.655372,6.412936,-7.026467,-22.70227,-3.206532,-7.391807,-7.309316
716570.3125,enter,7.161675,7.27196,8.353212,-14.29428,-21.81194,-4.651101,-44.46653,-5.90834,-7.011559,17.10569,16.23035,-20.49129,7.674501,2.703507,6.226438,11.51091,10.97811,-7.353757,51.36277,-4.278363,-3.120147,4.774924,-1.497159,7.751212,-38.54485,3.578951,2.598006,16.37227,-15.73678,10.82051,-12.67598,-25.35457,-18.91356,-10.63652,11.27603,-1.47406,7.960362,-16.25369,2.275668,4.615912,-22.06129,-13.97868,-8.782084,-24.74372,-21.05356,-3.086389,-15.77854,3.264637,-1.840596,-22.63717,-10.03139,28.67161,-13.98759,24.157,-27.10074,-10.8158,1.134314,2.90485,-10.48397,-1.419198,8.283757,-4.782552,2.967912,-0.05815472,2.483395,26.68708,29.34742,-21.20782,48.06583,14.52255,32.78951,6.707085,9.87799,24.53606,28.12114,8.383223,-3.997114,4.128941,8.939164,18.04871,-6.057893,-12.86845,2.984938,-3.838776,15.36562,-1.306397,34.49503,-6.078094,-8.504196,-30.99174,17.1763,-18.892,-9.413969,4.382399,-3.903989,-13.55735,30.29434,21.65884,-10.71336,-2.145712,13.60834,5.839983,10.3696,1.586649,8.98088,7.379549,-13.13407,5.580972,23.46292,7.949944,-5.806756,-10.03134,-15.03802,-7.505451,16.55125,-5.940004,-8.711593,3.59124,-9.462239,-0.04097819,-11.04539,-10.75066,-8.548509,-5.102584,-1.374801,5.291654,4.111698,4.05887,-1.846236,-4.042231,-10.5866,17.44584,-3.724674,-15.54699,0.04126555,-13.06703,-15.37867,-14.07019,12.06667,6.357977,8.51393,-7.286401,-10.10574,16.7804,1.799194,4.590382,0.4885614,-0.4771392,-12.06548,4.978306,-5.198719,-14.80407,9.14325,9.071111,11.63234,5.434054,-22.07178,-19.48065,-5.219564,5.439143,5.684847,-4.352641,0.7659074,-3.725723,-1.435576,6.933067,9.117621,1.870989,4.493645,14.9996,2.365807,15.51705,-6.451697,-8.970699,-5.480548,0.2138896,-13.57649,-14.90261,-7.252005,-7.074566,-8.943132,0.3128775,-2.253756,-5.016898,26.95971,16.79391,12.98451,-5.237421,2.957812,16.96086,5.089854,-12.17656,7.022789,-6.924605,-31.10112,-1.060493,24.50158,4.185845,-15.72345,-4.840578,1.011662,6.349559,-4.003772,-1.617789,-18.95817,1.515075,-5.628819,3.547579,20.09121,-0.29244,5.031403,-9.625007,-0.1712685,-5.24149,-3.060576,11.28363,9.953855,-18.97323,24.29592,2.774049,13.2431
827347.65625,love,25.11612,15.50215,15.7977,-12.07677,-19.41759,-5.805315,-39.7977,14.52037,9.147427,28.25887,32.30486,-16.58751,16.51992,27.79524,22.70951,21.65633,16.23343,12.24658,60.51609,23.49145,14.81077,28.88332,3.958429,32.8261,-14.9861,12.77732,3.570901,20.38665,15.75714,9.92329,-12.49033,-23.50577,-14.20717,-10.29494,8.00483,-3.563193,7.85535,-13.09534,-4.054911,-1.344023,-19.29375,-9.428338,-7.612789,-21.95358,-23.54537,0.6410077,-5.672212,12.05667,9.904671,-12.96506,-6.206549,36.8419,-2.627507,39.94031,-9.22935,-0.01335548,14.89424,27.05845,25.7076,24.44127,42.96067,29.46592,27.86004,22.37883,27.65145,70.85298,51.16982,8.197791,73.03274,40.41705,58.07851,31.86481,43.86398,45.65567,51.19267,27.53522,21.54517,21.96411,26.51478,43.45041,26.45498,19.82188,20.07794,27.8537,41.3707,21.72606,64.01064,-0.60096,9.001305,-13.83573,39.66951,1.676771,0.7103208,27.79712,13.03401,9.620329,78.01804,37.86462,17.8205,21.14408,37.94013,20.65709,22.78177,17.34293,29.28589,32.41882,12.85299,27.91242,43.87242,36.7062,7.338678,26.31326,-1.432333,21.88144,38.00102,23.87152,16.78402,30.59764,15.65342,25.23197,11.65087,12.19783,19.1529,21.87461,22.57462,28.61463,26.26276,25.25293,22.4644,19.57391,18.38922,40.63595,19.56351,10.93627,19.40826,11.31419,12.47838,-6.707802,15.7047,18.94279,32.70826,20.987,9.549298,35.93832,13.63256,16.7345,18.08386,16.1928,7.907725,28.44303,34.18813,21.87013,45.69552,32.12346,28.82191,29.17395,23.08351,33.57526,30.82018,38.44264,23.87646,7.803896,28.55966,20.96128,27.66733,33.29597,34.99654,23.71351,32.20776,41.0311,21.77864,38.77736,21.40114,24.5579,17.93082,21.92185,22.86303,16.17637,24.42626,39.73835,26.11591,32.74653,20.17746,32.33988,51.40833,40.67061,36.87425,26.78364,35.18509,50.87315,37.09303,-2.9708,6.838969,-4.461719,-30.30495,-0.8240908,28.18104,9.635913,-6.106723,8.455832,10.81977,18.79808,3.585243,5.769567,-13.65929,5.142452,13.78805,15.43112,31.61644,9.162704,19.46974,-3.123697,8.496652,5.86867,8.864449,25.27974,22.48461,5.570046,42.61812,15.90538,24.6139
887980.46875,love,29.63774,27.15434,32.10399,8.335402,16.31491,24.85334,-3.451836,19.29319,17.06832,44.12198,50.82982,19.44277,46.15721,28.85364,28.50145,34.38101,36.84704,40.09834,88.71661,22.27405,20.76978,23.90679,24.43037,51.36811,-13.0799,28.27699,29.391,23.08439,16.24934,51.50502,34.33068,22.46027,33.55841,38.27719,59.35215,49.83909,59.8461,41.18885,45.98163,56.10661,32.16475,27.04828,45.32802,27.66772,31.60812,54.78643,44.82837,48.8637,52.25748,33.97314,50.66539,84.38764,43.74534,75.43118,27.50747,44.61109,61.73112,20.27456,18.17175,28.88626,37.87394,44.44894,41.31962,31.33765,39.02609,56.5778,51.44372,10.73045,76.73048,45.97723,62.10958,36.80926,25.56852,50.84243,54.19631,31.88826,21.21243,18.52361,29.68241,44.17549,26.86076,19.92795,16.35356,23.18617,41.48827,21.76845,58.75435,43.75441,39.28808,15.14595,86.90509,45.76405,36.87395,49.22628,68.28846,44.99937,136.5954,87.17155,50.59786,52.50443,60.16276,46.42254,41.73555,39.72631,55.53552,60.94462,25.80089,40.41801,56.4673,42.09974,38.96257,23.97953,25.46402,26.04502,42.83413,30.11596,22.32116,36.57925,21.07702,36.96932,22.30877,26.07226,24.01967,29.07627,38.29657,38.18293,34.2679,36.21992,30.94205,29.94909,32.12158,49.57137,27.17829,22.35177,30.88519,25.51385,24.1829,34.92654,51.65015,48.69153,56.75375,44.71159,36.46468,67.48949,53.81827,58.16842,50.18171,40.42137,38.13647,53.69587,61.69976,40.03837,59.37172,50.30754,52.92156,41.70804,20.6866,26.84929,42.64451,53.16795,47.28297,39.12038,40.21055,23.2705,27.70916,32.48774,33.93997,29.24019,35.84747,38.52007,30.0822,45.42007,25.84062,19.84505,24.32346,29.07793,15.59175,13.77612,21.24039,32.91218,19.13221,29.92865,22.82566,28.57564,63.61201,38.55131,35.41294,23.0559,33.19186,46.14094,40.3825,31.4719,46.69976,33.9871,10.2921,30.08364,62.07679,40.06725,26.23345,32.39449,41.16982,46.65816,27.33129,31.99499,15.96502,34.75653,25.94881,31.23929,41.39371,24.88518,37.10902,10.76172,34.8633,31.12513,27.66985,44.79181,51.2781,26.11344,38.69273,34.05552,28.87502
