Time,Event,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A15,A16,A17,A20,A22,A23,A24,A27,A28,A29,A31,A32,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,C1,C2,C3,C4,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D15,D16,D17,D18,D19,D20,D21,D23,D24,D25,D26,D27,D28,D29,D30,D31,D32,E1,E2,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E31,E32,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F26,F27,F28,F29,F30,F31,F32,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G15,G16,G17,G18,G19,G20,G21,G22,G25,G28,G29,G30,G31,G32,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,EXG1,EXG2,EXG3,EXG4,EXG5,EXG6
7187.5,InitialInstructions,26.52026,15.60725,22.66082,16.1442,19.15347,17.91678,19.1517,43.61974,18.69699,21.66978,17.48148,40.21025,4.713835,30.34029,16.34034,9.826652,19.54598,22.7583,5.047377,12.65222,34.99055,16.47968,18.23207,3.614273,12.49989,40.7053,30.3719,29.11966,18.97323,22.46015,34.96069,41.83043,15.37009,31.94253,12.9494,37.61512,25.93291,17.82099,28.79519,22.68643,38.56052,16.37727,23.12622,19.33924,19.62009,33.98274,24.703,0.2660688,20.52741,38.5542,25.22396,23.14174,45.87883,12.95022,29.72664,29.57327,20.91757,30.25484,32.12093,26.67349,23.29029,32.7246,28.82181,24.68808,25.70633,19.42553,61.67838,14.04647,59.25945,19.79992,42.67836,25.16537,39.96886,29.98841,40.80814,26.67846,28.97228,21.17554,56.99353,35.60509,27.05604,5.460152,33.76606,47.02512,53.24558,31.95567,105.4101,23.70927,23.07495,25.2943,1.971167,34.0137,14.68985,25.41072,33.42672,53.08959,33.11147,23.37883,12.08407,46.21061,28.2063,25.10685,20.83677,24.69458,45.52799,18.73041,31.97039,14.76053,39.83181,40.59887,30.28955,3.651881,24.93727,22.33094,12.36943,32.68842,43.78015,16.49655,28.65189,17.39608,23.69341,16.64671,24.87194,15.20069,5.010552,49.73096,13.79824,36.46609,21.62,24.93162,26.98697,28.82495,57.22697,19.98531,23.4513,31.83999,14.29437,18.54567,20.56607,24.7549,24.1145,6.531684,5.411586,20.48797,13.71783,24.48947,25.5077,53.26088,41.75882,34.03877,27.09735,31.39613,29.83944,50.91383,36.31597,37.29046,32.84687,27.04648,37.02687,41.56541,41.48847,26.04142,30.79154,28.62321,28.21,1.702967,29.10263,39.20665,41.34074,47.48809,31.24912,15.54504,30.51476,12.86292,29.26908,28.17647,34.28761,23.14729,26.75663,25.08988,27.65684,24.83193,40.61833,23.05706,21.54394,51.7427,8.317012,6.853805,7.824972,15.49353,-27.41951,13.08566,1.690373,55.79574,22.35624,15.89723,5.113799,14.3736,14.39277,38.09595,13.64098,33.87647,31.70095,35.79566,16.75486,4.785627,42.84842,30.04307,20.32391,27.82141,46.19056,18.73658,24.67651,21.07591,46.54718,35.3242,14.87933,35.09015,-4.634235,34.22081,29.72713,29.23222,25.68977,31.87159,26.3365,3.888198,36.51558,18.51093,27.04815,36.18734,27.96258,27.67274,40.22675,32.79245,27.58212
107199.21875,prebase_instruct,-3.559387,-14.01501,-9.822574,-14.06964,-4.328219,-14.70662,-9.519405,14.98052,-14.73871,-7.903494,-12.42408,13.38052,-27.62443,4.844971,-15.68466,-22.39566,-8.039174,-1.881746,-24.76271,-15.18992,-1.111443,-10.89914,-11.83452,-13.32725,-10.96691,8.1806,2.5746,0.06540944,-8.238266,-3.118171,2.746004,15.43796,-12.40457,8.559834,-9.580684,7.316511,-1.785702,-7.520053,-11.34803,-11.89902,3.189353,-12.67821,-5.669651,-6.677665,-8.248343,-5.819932,-12.3034,-37.00379,-11.76808,5.794084,0.5282379,-1.436001,3.042561,-25.7796,-4.803373,2.476043,-0.001339946,8.920116,12.49017,7.46873,6.875357,2.142196,8.999725,12.41091,16.82229,0.0541947,37.79816,-12.83586,33.12881,-1.084235,23.1613,9.920303,9.83547,7.498045,20.19147,5.752739,8.774941,16.93295,36.46462,7.762889,10.14844,2.644497,14.62419,31.61194,34.21058,9.726608,85.45981,-0.2011264,-3.602042,1.673223,-19.0041,3.962405,-17.43572,-4.914958,0.9111872,16.43405,-7.769739,-3.490313,-13.46218,17.31436,-0.4842938,-1.522365,-9.950097,-2.507978,25.72486,0.2329741,10.32596,-18.38497,12.34592,7.404774,-2.588668,-16.17761,-2.886839,-4.469502,-18.16655,4.209117,17.8136,7.598332,5.048503,3.072343,4.09423,3.397335,2.2075,-0.1268078,-13.14912,31.72841,-7.047693,12.25207,3.161366,3.652526,7.02244,5.78926,33.28682,-3.209343,1.873103,5.618193,-7.897001,-6.838292,-3.855729,2.055348,1.149372,-10.47459,-10.41397,0.002027535,-11.47096,7.660778,16.16064,8.717158,-0.7496949,-4.646629,-10.31843,-4.609315,-2.863786,24.33572,10.52745,16.77809,8.658306,-0.1279897,25.75188,20.77657,28.01153,6.764964,7.709588,-0.9599356,-3.37722,-24.89416,-2.852454,5.570292,3.033419,2.793064,-4.785283,-17.22047,5.529311,-14.50496,7.856417,14.13098,18.8128,11.03364,-0.5967949,2.527324,5.2117,3.725951,16.55015,-0.8634678,-3.204003,25.21599,-13.50449,0.3918334,-19.57605,-11.79415,-18.97018,-7.213829,-20.7301,33.98663,-8.831964,-4.121047,-22.17439,2.813174,-2.941538,11.23212,1.106397,12.61889,-5.304466,8.94817,1.561067,-22.64053,18.67322,4.563841,-5.375423,-1.398247,12.97561,-8.168167,4.416491,-2.514292,23.13804,11.00926,-12.31423,2.938662,-28.54387,4.905161,-2.015456,-9.336523,-2.6559,-3.120178,-7.578272,-32.05645,5.844048,-14.4157,-6.16898,10.43091,-2.760169,2.571794,12.26589,-6.679983,-9.815409
117648.4375,prebase,-3.892422,-6.420764,-0.3605346,-11.51521,-0.4688933,0.1167458,0.06219412,16.21749,-9.89557,-3.177488,-11.94026,19.85154,-20.43096,5.178215,-4.952541,-17.884,-0.2497928,0.1178264,-13.78207,-10.81213,10.72783,-8.510409,-2.593462,1.984199,-5.368951,20.75014,11.6863,11.53952,2.937062,4.269207,13.97592,23.9225,-1.706381,20.8436,-4.319461,17.59787,7.367338,2.176396,2.620694,-1.404482,4.53125,0.2910032,1.127495,-0.01040601,-4.059999,2.345625,-5.937295,-29.59519,-6.188257,7.501973,-3.447646,-2.88189,9.785535,-16.5457,-3.283098,-0.07171949,-7.906814,-4.169086,2.703272,5.974909,-3.991142,-3.882952,0.1088959,1.587653,5.436434,-5.341268,38.09134,-7.411035,31.55168,-3.794573,17.50063,2.792922,12.45953,1.549053,15.05892,4.578322,13.39343,-17.91016,34.20396,14.32341,7.887764,-10.15193,8.880074,28.64277,32.65877,9.183403,84.25618,6.757884,2.093524,7.199218,-18.48435,9.100999,-14.89244,7.328126,10.78167,23.31133,-0.9471143,-4.469552,-7.476609,3.878426,2.711699,1.919047,-0.7339187,3.85636,19.86493,16.5943,20.84476,-9.020285,14.10118,14.06745,4.135494,-10.88365,2.057325,-2.608716,-8.874847,12.45396,16.81505,-0.8603864,3.916731,-0.7696649,9.698547,-1.093617,11.45517,-6.677307,-27.81171,42.56696,-23.16456,-1.638649,-15.34316,-15.02893,-0.4452408,3.520845,31.40349,-7.021903,-0.3081974,6.286169,-9.344646,-9.694544,-4.448705,-0.007927801,-1.136418,-12.80835,-15.89473,-18.50781,-19.99155,-5.110652,-6.264682,19.21491,9.328096,2.651263,-6.567917,-2.84163,-0.4613115,19.41645,2.062867,7.899579,0.04771977,-0.6541926,-4.266039,4.366363,11.20127,-3.813926,-1.994588,-5.340205,-4.776599,-24.49984,-0.8447179,11.68622,12.53848,12.51712,8.404484,-7.118217,3.029044,-10.4168,0.7255974,2.494213,4.701521,0.46904,0.8096694,6.478514,6.506591,4.842911,17.11651,-4.54812,-3.798057,23.50607,-11.11033,-3.344158,-18.50892,-13.24614,-5.033543,0.08751839,-11.99014,35.12347,2.398335,2.847211,-22.31857,-12.92164,-4.137093,15.86752,-0.4410398,10.79553,13.60704,13.57783,11.07436,-13.87588,26.01061,14.96218,5.715546,9.011289,21.06622,-1.801675,5.023519,-2.887722,27.31012,16.21041,-10.5075,10.34714,-27.1675,14.46856,7.451416,-2.031908,7.630412,5.785086,-2.845655,-22.21964,12.70432,-4.129995,-0.1784707,8.295549,-7.199869,-4.014115,5.276488,5.774573,1.83362
237648.4375,exit,-3.815276,-12.93768,-5.546873,-6.741548,3.336997,0.8756224,4.047256,18.00852,-10.26117,-7.938501,-10.78823,22.89418,-17.48035,4.348749,-11.62574,-24.44047,2.710401,-2.067038,-21.06733,-15.45096,-0.1690796,-12.98753,-8.47217,-10.4542,-17.51719,12.83687,11.82287,5.385514,-8.784524,-9.587745,16.04426,26.00349,-4.474323,7.496089,-15.72959,19.42915,4.085592,-9.434052,3.192346,0.4609298,10.20157,-2.003562,-0.4844551,-6.00848,-8.666636,3.15643,-3.300521,-25.10237,-6.158555,9.591629,-1.727373,-5.929444,7.913926,-17.90921,-1.188608,3.377157,-8.718864,-1.155783,-0.04357934,-20.56992,-19.82125,4.506747,11.06737,9.786047,7.144384,-7.797766,29.25469,-34.45878,19.27578,-9.036977,18.64395,2.115627,-7.869187,-10.31909,6.417461,1.998393,0.9802026,-9.927137,24.72728,3.472313,-0.4110137,-10.52617,1.309206,20.54493,27.36373,1.084345,72.45113,-2.690786,-8.649036,-0.3235491,-32.84672,-1.865469,-23.68412,-8.072723,-4.42355,12.36087,-13.87834,-13.48048,-24.1293,4.160957,-7.794755,-3.336828,-20.1573,-11.2714,11.81851,-1.743784,5.079062,-16.91813,6.916048,1.110329,-0.4224019,-24.51791,-5.4747,-5.079745,-14.41806,4.892293,13.36039,0.2224746,4.101016,-0.81617,0.1126935,-0.5293093,-0.9587561,-1.476675,-20.70209,22.17143,-12.86364,1.22531,-6.382966,-3.339051,-2.503405,0.4437596,25.16716,-16.84532,-7.619631,1.494181,-17.83516,-16.58743,-11.99056,-5.231802,-5.580496,-20.86254,-25.84407,-8.537598,-16.75167,2.734361,0.7019481,19.1401,3.209082,-3.107421,-11.13545,0.5628515,0.1246555,23.87814,12.14272,11.32025,-1.187575,-9.429016,2.668769,4.176637,13.26444,0.6165513,11.51923,6.396341,0.145521,-32.16237,-10.80145,-3.518869,6.398908,4.02982,-9.002345,-20.2642,-11.45245,-17.6948,10.07456,11.31733,8.610944,7.481406,0.1512973,3.183639,-6.777914,-3.286504,13.72405,-8.032875,-14.3771,17.03149,-24.1352,-5.69642,-21.3531,-18.61265,-53.26571,-10.29238,-30.54074,27.72036,-23.13818,-7.902701,-30.79705,-8.743886,-19.49785,-4.465374,-9.937037,3.619201,4.678369,-8.222818,-10.94398,-28.4129,11.15472,2.707814,1.258455,4.347984,12.25975,-12.61391,-0.1510839,-18.66936,14.40193,-1.424758,-22.43266,-2.291204,-37.43627,12.53731,-3.151983,-7.092327,-10.45282,-6.437886,-15.20544,-31.58607,0.8341458,-25.46245,-16.5869,17.2073,8.58834,13.65496,22.99804,-19.23347,-14.60947
237722.65625,FeelingItInstructionsButton,-0.05265704,-8.888979,-0.9667556,-6.360743,7.758391,1.744531,3.865211,15.00228,-6.931749,-6.029367,-7.462466,22.21396,-15.92612,0.06297445,-11.1403,-16.26605,4.846232,-8.53555,-19.20608,-10.09644,8.983098,-16.99593,-8.046991,-6.647804,-8.117786,18.91928,18.39867,11.59325,1.594976,4.589853,16.92633,28.0476,2.012968,18.6634,-3.269711,17.61706,11.79983,6.97937,1.451379,2.408399,15.26898,7.634068,12.04575,7.105474,4.320247,2.988466,-1.300026,-18.69345,4.995902,20.95724,14.90781,8.36007,9.383647,-17.93534,6.339013,12.25971,5.52698,-8.116139,-4.847084,-22.92704,-18.77411,-6.051568,4.437088,5.076062,-1.682209,-10.84843,26.7163,-34.12526,16.80082,-11.24031,10.34334,-2.841935,-10.62806,-20.52587,5.292858,-3.333379,-5.162244,-42.3977,21.72938,-0.1130843,-8.056415,-13.83105,0.9824438,15.75443,20.63082,-0.7885005,68.89824,8.988585,2.918494,13.21417,-16.82977,12.2751,-12.13403,2.175127,5.557061,24.8112,3.628821,4.524814,-9.10463,10.9952,1.853875,-2.218146,-12.93661,-2.569152,14.1698,6.713644,15.39825,-6.25161,13.59428,11.10038,-0.7181986,-15.40016,-0.7487215,-3.969927,-12.54727,3.868489,14.32797,-9.668327,0.986698,-8.547105,-4.28641,-8.619528,-7.61892,-9.818868,-24.98741,23.03854,-10.80675,3.081451,-0.2454613,0.8897105,-1.6905,1.995757,28.08772,-10.72911,-1.05642,2.874151,-7.481598,-14.25453,-10.52703,-1.689356,-2.288415,-9.997562,-22.77064,-3.445827,-10.88902,2.082175,2.710949,18.74392,1.662756,-2.426442,-11.7388,-0.151264,2.904961,31.26268,16.74207,17.86651,8.849392,2.265199,10.42383,13.40877,23.09369,9.561762,11.30861,4.853686,-2.999305,-30.93917,-14.45335,-4.728142,3.733738,5.164259,-10.28008,-24.52728,-15.96363,-20.08727,4.047791,10.43065,14.84312,2.94409,-3.195683,-2.002459,-4.97868,-5.865297,10.93233,-12.60184,-9.362257,11.6897,-19.23217,-2.097113,-22.98835,-21.33827,-4.403668,-13.80019,-24.43618,21.17316,-17.19113,-10.9767,-29.24346,-20.24737,-17.01157,-2.267664,-15.5802,-0.6602334,-5.536823,-3.465421,-13.09875,-17.5678,21.87973,11.97255,5.195183,8.925385,20.08049,-5.984314,10.93739,-3.889561,26.34022,10.17572,-11.17973,5.312818,-27.29307,14.19832,3.931866,2.903091,-0.04005124,2.631544,-6.918135,-23.67892,7.210566,-12.55839,-4.852383,4.570022,-3.50222,5.626715,13.13628,-6.638341,-8.543693
304710.9375,InstructionsForEnding,9.842279,0.5535176,13.36405,5.74235,14.98036,10.47153,16.05134,31.07442,5.322033,12.91553,7.696469,32.7554,-0.8005984,19.76462,2.238683,-5.179243,19.53329,11.49307,-6.4684,8.854499,19.65648,9.774562,5.797408,6.098047,7.568688,28.11871,20.50136,15.8841,9.316614,14.24377,21.71759,32.06031,4.122058,22.19839,4.717146,25.56861,9.44844,9.982953,12.08213,5.068113,15.25977,4.341159,4.576211,3.475834,5.509766,12.06999,1.226331,-19.13807,0.8121147,13.41434,4.679716,4.850137,17.29099,-10.16376,1.933827,7.138451,1.225124,15.25327,20.53483,20.52721,11.51042,10.0465,11.75059,11.10584,12.79724,8.636539,49.38707,-0.3703266,42.9561,5.83021,28.51323,12.51589,25.90002,12.38069,27.53792,15.53825,10.13479,-13.79476,43.69436,19.02688,12.40147,0.06190833,23.50488,41.16985,42.36015,22.9621,91.48451,15.93103,18.22865,19.94932,-0.6079056,22.29353,3.292416,14.86018,13.68901,34.84488,16.82095,5.361802,4.688449,13.51903,12.3219,13.62411,11.72216,18.9745,24.20255,15.58008,17.88504,6.432954,32.10635,30.98512,17.18053,3.401374,16.40306,15.09633,5.914917,22.7123,32.13271,4.91004,9.829774,10.76977,9.156473,10.94167,11.23316,9.008902,2.750992,41.87389,6.065399,24.56881,14.98926,17.19469,16.47465,24.0151,46.79995,9.654213,15.39979,20.44161,7.122252,5.126057,7.796745,16.94714,19.71578,5.881838,0.4450875,13.1366,10.75615,8.190228,7.823573,30.76339,15.20146,10.54462,0.4794824,4.151487,4.265486,25.18927,12.08735,15.56861,6.821957,-1.132952,10.19297,9.905981,20.04046,5.075161,10.7161,7.516448,6.600919,-13.48459,6.699815,17.0506,18.7866,19.21283,9.129102,6.791707,11.84776,2.52602,11.61892,10.38534,14.7617,9.668961,13.66333,22.87162,13.23095,19.4351,34.08142,12.5707,12.74519,41.22221,-4.423857,6.397588,15.18442,7.725038,-4.015992,23.62425,11.92866,50.2601,11.70008,26.02196,-23.64132,5.135974,18.48355,32.2448,4.842725,24.45743,10.66922,29.88359,11.0629,-5.768526,30.03947,17.63232,11.37288,16.95957,32.68105,2.7723,10.23029,6.4791,26.69692,18.43895,-4.807814,6.252486,-25.07401,11.4329,6.771921,8.899176,2.562595,10.34873,-0.8584718,-16.21424,8.952756,-7.742836,12.81792,20.46553,3.07346,13.46534,28.56571,-18.12586,-3.48525
654476.5625,ImaginationSuggestions,-25.77145,-30.89274,-25.91315,-28.27455,-17.76142,-21.19348,-21.00348,-11.37946,-25.47512,-17.78859,-12.58713,5.186649,-24.64475,-26.00984,-32.21342,-41.19793,-15.32373,-34.94435,-38.05909,-28.13561,-4.473125,-36.03863,-27.36654,0.3380273,-6.497433,-6.888419,-13.42516,-14.64916,-28.27941,-19.71206,-13.70396,-2.322223,-31.95886,-16.94563,-30.29778,-10.12986,-23.79517,-22.16536,-26.52001,-26.20949,-8.96911,-23.53787,-19.88354,-22.50633,-24.44277,-19.71646,-24.90848,-41.37016,-24.46055,-4.723125,-13.53286,-16.55554,-9.246325,-27.44556,-15.28431,-8.838687,-16.48943,-0.4416084,-2.081513,8.418246,5.990678,2.59051,2.037343,3.531044,8.610927,-14.65423,17.87865,-6.822498,37.20671,-3.701175,17.93152,6.095235,9.653584,0.8001825,16.82607,6.930484,3.868056,2.044959,29.7126,0.4149815,-3.223313,-14.61851,2.947835,17.51588,20.69016,-6.36803,63.99961,-16.51004,-20.68686,-13.00824,-38.12609,-9.70587,-23.52235,-18.74545,-9.616071,5.17011,-15.99998,-22.22602,-30.25704,-1.780969,-6.649047,-18.35192,-28.63572,-17.8376,10.93965,7.339353,23.17945,-32.80001,-3.388358,-3.637112,-15.27989,-34.84201,-18.25244,-15.8003,-24.70912,-12.10231,0.7060511,-2.239384,0.1920052,-9.82974,-9.409481,-9.395568,-10.09105,-12.09944,-25.11682,15.08605,-17.72054,1.756297,-13.18506,-12.34997,-10.86977,-8.53217,13.88701,-23.42701,-20.64912,-11.27354,-21.49927,-18.15244,-14.92445,-13.86196,-12.74058,-28.55182,-25.41079,-16.8018,-27.99263,0.6862296,-0.8249482,-8.913691,-13.04668,-11.63658,-16.28006,-14.70282,-10.65956,11.31094,-1.19603,3.974526,-9.575345,-16.59749,-2.484533,-3.913598,4.407406,-5.491189,1.848303,-7.70849,-6.847503,-30.6554,-8.134728,-1.30426,-9.115767,-13.35252,-17.32203,-14.13023,5.792233,-15.48846,1.177985,4.157845,1.062772,1.385577,-30.27876,-19.22783,-21.26501,-26.00191,-7.250954,-29.66191,-21.43857,3.485958,-34.66946,-20.82015,-22.48829,-31.7746,-31.01236,-27.36039,-45.55816,15.15318,-3.859881,-24.11535,-28.33029,-9.474043,-5.482837,8.08303,-9.165403,-4.31084,-2.596178,7.755937,-14.09699,-37.22034,-8.053452,-17.89662,-19.26573,-21.94089,-7.066855,-29.38873,-16.3395,-25.52229,-0.3834912,-2.717042,-28.72791,-17.63103,-55.18542,-15.54116,-21.76956,-29.00651,-22.93691,-22.88274,-22.17397,-44.51937,-15.10885,-33.58591,-22.74214,-11.60731,-19.5745,-16.92127,-14.16587,-23.72285,-32.48795
716109.375,enter,-0.747132,-12.851,-6.31353,-11.54692,-2.910033,-8.310729,-2.192796,31.53029,-7.924129,-6.201356,-13.34731,13.612,-17.96057,15.63574,-6.117072,-14.83174,-0.7177614,8.178497,-11.3012,-8.741227,5.595963,-9.541689,-3.178309,-8.090314,-2.825723,6.202627,0.1754835,-3.479706,-14.58617,-12.99456,1.568347,12.03259,-15.14246,-1.58281,-19.49685,5.072986,-9.032393,-14.7617,-6.488652,-10.78352,-0.9780318,-11.92284,-11.83902,-13.96877,-15.4157,-4.344041,-15.11781,-31.48253,-16.13548,-3.492876,-10.13542,-10.56717,2.858202,-25.74617,-13.42788,-7.866167,-17.96999,15.42323,14.58503,0.5424704,-7.868769,-15.42553,-10.37246,0.2990444,8.282495,1.10001,31.82971,-15.45661,24.33642,-20.04616,10.57314,3.815489,12.16643,-2.962013,8.912054,6.781413,9.833277,-18.2467,33.1029,12.81512,11.48705,-4.813427,17.63956,34.17344,36.29953,7.989634,78.42202,-11.77826,-8.073873,-0.03837035,-22.20775,-1.652086,-12.28822,-11.57785,-9.946104,-15.60356,-6.926997,-4.066539,-12.11287,0.5764412,-12.27365,-12.19582,-17.28688,2.998538,13.31425,-9.378299,-9.756121,-14.02823,18.77332,9.562867,16.74864,-8.393224,5.520957,13.62741,-10.10985,21.07289,22.71684,6.741906,10.37723,4.808939,8.264508,5.084757,5.770947,3.591231,-6.815047,24.55031,-7.16584,10.67812,3.806087,5.901789,1.865746,5.965809,36.96372,-6.955627,1.921673,12.95194,-7.009268,-5.559224,-8.217726,-2.877524,1.670052,-13.67661,-12.99513,1.244863,-15.05753,3.234697,5.327029,14.96691,-0.4037402,-7.733677,-19.86523,-14.74902,-17.022,14.61794,-4.066415,2.695129,-8.396483,-16.21715,3.708459,-1.193855,15.21155,-5.666771,-5.228093,-12.65049,-21.98485,-29.20385,-17.25372,0.7247615,-0.6391588,4.863294,-15.4361,-19.57352,-14.05304,-24.75178,-11.50131,2.253043,2.039479,-2.298004,9.834129,12.28234,12.79905,13.31122,23.30417,-5.399896,8.639542,35.69687,-10.78724,-4.29807,6.653446,-3.279064,-6.575433,3.153615,-8.876275,44.84001,-3.929492,6.429245,-6.52921,4.576362,6.611763,12.93235,10.77552,18.64166,11.76846,11.28751,14.43034,-27.25615,3.772286,-5.018936,-4.723269,-3.45754,12.62924,-14.97943,-6.055833,-17.58596,11.58306,9.712514,-22.20482,-5.277216,-34.61468,3.601378,-11.76488,-13.65372,-9.780742,-4.942789,-20.24402,-27.10072,-3.558714,-25.27192,-11.50195,20.40224,6.436867,15.3292,27.93725,-18.65141,-12.2084
751851.5625,awe,-3.809819,-14.80002,-11.18939,-15.09929,-3.172521,-6.406978,-9.784902,19.10623,-9.979074,-8.569652,-11.64623,15.74061,-25.87209,2.314439,-15.12266,-26.13772,-7.561238,-5.204119,-20.22703,-19.59671,5.669517,-13.32424,-11.23258,-11.95005,-11.49192,4.422181,3.294902,-2.472011,-11.23784,-9.305189,2.056622,12.35342,-13.75233,4.915216,-16.23572,5.665994,-3.115418,-8.756958,-13.74929,-11.32332,4.617517,-6.292319,-5.864897,-8.170624,-15.81545,-10.75807,-16.72019,-31.30584,-10.33115,3.341093,-5.586923,-13.43758,-2.476876,-22.56109,-9.546083,-0.9020612,-14.77223,19.14831,15.07117,15.67017,4.657068,-2.686287,-1.647251,-3.179417,-1.445699,2.314366,37.20168,-1.378271,35.20687,-7.403842,10.66082,-2.665222,15.36312,5.856651,16.10118,0.2444633,2.68521,0.334192,34.21022,4.980155,4.521507,1.093897,22.01547,33.89188,33.02534,13.56762,78.39614,-9.979851,-3.339742,2.099873,-18.82985,-5.394861,-16.23674,-6.72074,-19.23257,7.068393,12.4236,8.124443,-6.806919,1.979633,18.19381,-0.7178079,-6.460358,7.562352,8.675678,3.142809,8.956262,-14.10048,15.24615,11.73784,-2.14152,-20.32376,-2.474381,1.695135,-15.45677,9.968584,17.20761,-9.727554,3.060971,-0.7925432,0.7311512,-2.582316,0.4929756,-3.308205,-12.45436,35.07847,-2.60393,16.24301,0.8797559,1.442223,5.944213,4.503899,30.47857,-10.92697,0.5155931,6.154206,-8.576126,-4.811594,-6.439821,-2.526415,-0.222139,-17.15689,-18.15292,-2.513247,-21.67178,-6.367557,-3.568274,6.680128,-2.181825,-5.242332,-12.55905,-9.415559,-8.792911,14.30368,-0.7784135,4.39023,-10.4255,-19.7749,-6.511592,-5.419323,11.36496,-9.579585,2.207129,-2.385107,-7.16374,-25.37402,-5.56683,2.513393,-1.467751,2.692936,-9.665453,-8.740294,6.791399,-15.104,-2.260195,-0.05501162,1.490157,-4.312948,1.509158,1.739367,12.39821,1.278542,12.1435,-12.1496,0.1301308,24.35769,-27.00783,-10.56616,-9.859897,-12.91106,-16.52836,-1.319487,-23.83909,35.39668,-0.6193072,2.11364,-9.384101,6.419709,5.593817,18.67451,5.775944,19.42213,22.41808,17.52909,13.52166,-18.49524,7.513791,-0.7561115,-3.592124,-4.588495,20.81765,-11.95482,0.9891853,-4.762757,19.34152,11.15561,-17.20635,-0.7682265,-28.74405,0.3860144,-2.399874,-13.89605,-5.616351,-4.662847,-7.616505,-24.36005,1.309487,-13.97182,-7.125271,9.344855,-1.110798,3.739218,14.47699,-6.862509,-6.712607
776609.375,exit,-14.78976,-14.38863,-16.57053,-18.03605,-14.05591,-18.27979,-15.18789,13.06563,-15.46291,-10.67931,-12.01803,8.268677,-32.8189,-2.017231,-18.96858,-20.77449,-5.027394,-4.326097,-24.6153,-17.89135,0.8830393,-18.98712,-16.27596,-5.048644,-13.1122,-2.270906,-4.61722,-11.96757,-27.36191,-23.78427,-4.584319,3.403177,-28.61082,-13.38182,-31.55317,-5.259651,-17.69089,-21.06829,-17.87965,-14.47453,3.228565,-14.263,-11.7094,-13.92943,-17.17297,-11.95417,-16.02594,-31.57448,-10.65953,4.741103,-7.019677,-13.82413,-0.6705832,-20.12059,-4.826735,0.07088221,-9.896963,23.50603,20.52075,5.412,8.602088,4.413716,5.361794,2.218433,-3.662351,4.528785,36.078,-2.890269,37.41807,-1.938036,17.23748,-1.013785,12.3341,7.749862,18.59264,3.386259,1.002684,-7.249816,37.27393,14.2765,3.257327,1.91865,23.27192,35.57848,31.40214,12.00948,79.71974,-17.06263,-22.27167,-16.96586,-35.58727,-14.41207,-24.46615,-21.75929,-11.27949,3.056126,-14.06491,-15.39895,-30.29101,2.42766,1.423702,-8.417084,-22.57491,-14.56913,8.201396,-5.593273,-0.5133903,-34.97623,4.042041,-2.413236,-1.645529,-23.53365,-9.682974,-3.436933,-27.39666,1.25478,6.669241,-14.19665,-1.056733,-9.571252,-6.169675,-10.46859,-0.3485395,-11.39037,-17.32603,29.58419,-11.49632,10.30921,-8.105204,-7.005263,-4.596468,-8.836226,23.84667,-17.19629,-10.27884,-2.519751,-22.2561,-17.98295,-17.11434,-10.50855,-12.80289,-35.66253,-42.8644,-11.60054,-34.66957,-10.30637,-0.2983139,1.343165,-3.935998,-4.356123,-10.55518,-6.626218,-3.697916,22.57675,6.975366,6.389254,-5.331472,-18.46683,-1.114164,-2.042768,9.451606,-1.836974,2.665114,-4.372941,-2.205593,-21.84574,-5.609655,5.739014,3.764733,1.326001,-5.694253,-12.69069,4.894664,-12.70423,4.290967,-0.5684841,3.8905,4.202127e-05,-2.80801,0.9595831,-2.010597,-3.295922,10.76145,-9.172631,-4.14291,24.44915,-32.61879,-12.01391,-21.07714,-20.40241,-31.74985,1.044685,-23.57846,34.07185,-8.037947,3.785751,-17.89945,-7.747496,-4.989469,6.933623,8.742151,12.43914,22.40613,5.536141,8.973857,-36.48169,-8.649047,-12.96004,-10.73078,-11.74643,5.372551,-25.27498,-10.79492,-28.12889,6.163964,-6.997222,-29.84847,-10.71198,-37.43264,-6.503147,-12.54703,-17.49868,-11.42765,-14.54967,-22.99009,-34.67741,-8.324887,-33.85954,-27.32955,1.748573,-8.849624,-1.756857,8.844387,-26.146,-19.78008
