Time,Event,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A14,A15,A16,A17,A18,A19,A20,A22,A23,A25,A26,A27,A28,A29,A32,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,C1,C2,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C16,C18,C19,C20,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D15,D16,D19,D20,D22,D23,D24,D25,D27,D28,D29,D30,D31,D32,E1,E4,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E25,E26,E27,E31,E32,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F29,F30,F31,F32,G1,G2,G3,G4,G7,G8,G9,G10,G12,G14,G15,G16,G17,G19,G20,G22,G25,G26,G27,G28,G29,G30,G31,G32,H1,H2,H3,H4,H5,H6,H7,H8,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,EXG1,EXG2,EXG3,EXG5,EXG6
3128.90625,InitialInstructions,-81.65415,-94.88225,-82.0163,-73.99897,-53.03432,-31.10718,-24.65317,-55.28887,-74.17618,-50.12057,-42.73221,-15.50012,-4.601751,-12.43832,-40.37926,-62.64613,-37.92175,-21.84318,-32.06018,-20.38331,-30.9797,-13.40834,-36.7104,-6.567183,-30.74166,-23.71313,-34.04406,-11.77695,-24.81877,-16.45756,-21.85487,-6.826667,-8.073137,28.64441,0.41995,30.69259,-24.63231,-3.564799,1.878789,-1.657024,-29.49208,-25.35913,-35.45323,-23.09824,5.676773,1.769252,-10.47945,1.540508,1.11749,-40.55031,-15.64671,10.62736,2.024107,-21.62551,5.585046,-26.41222,-5.713962,7.134439,-5.275651,24.5777,-1.347492,12.02353,-10.61669,4.486679,18.97543,23.36389,-9.769242,-19.63532,14.73623,-18.79897,45.67915,-0.4026225,12.5457,-13.67524,13.70721,-1.672983,-7.36576,4.027532,15.01669,7.889665,-14.21388,24.70082,3.673685,5.470114,-1.110088,-1.552586,64.13712,-25.37079,-23.89092,-21.70678,-74.46203,7.205586,-9.308656,-21.97655,6.797299,19.25897,12.60685,-35.46366,-65.41135,15.33155,-8.463369,-5.429327,-10.3889,16.02285,5.915018,-16.68609,-1.600369,-17.67737,0.8009236,10.34209,16.93901,-0.08217943,13.3138,27.96633,4.503032,12.40041,2.191525,5.396515,-7.336071,4.366829,-14.15865,2.909693,4.980978,-13.40769,-0.4893476,2.393199,6.636952,-1.453985,13.6395,13.3252,22.48018,11.36313,5.096533,1.338645,-2.627662,2.54473,8.550774,5.539248,6.83286,-4.494624,-1.496718,0.4254513,-5.290035,-11.64355,-6.074968,3.382057,3.75478,7.508408,4.294459,7.46303,3.655565,6.490901,2.648762,12.21287,-1.091424,0.9298602,1.693044,1.396904,-4.320828,-2.107286,-1.37053,-1.408148,-5.384121,-10.441,11.25083,0.8928135,8.44514,4.492652,7.245601,-17.64658,-4.151495,-17.8067,-30.04325,-11.82768,11.55788,0.08589283,23.13604,-18.40052,4.186708,-12.4169,-13.22001,0.5165896,-25.40031,-11.25169,3.117902,8.561422,-2.544223,-6.895013,6.184876,-15.62881,35.42508,8.831641,-11.22922,-39.39787,9.465371,-25.34546,-55.93651,-41.14214,-16.48199,-53.32485,-49.11981,-77.29225,-60.43865,-106.4783,-93.75139,-93.10943,-60.30967,-110.3918,-83.16779,-112.8546,-130.6481,-107.4526,-176.7071,-92.89077,-89.18163,-87.03795,66.33385,27.23561,29.26627,-117.0159,-110.0811
103132.8125,prebase_instruct,-22.72486,-28.78673,-23.90357,-32.13182,-27.87324,-10.63699,-12.05626,-36.48332,-35.3495,-7.855075,-13.21061,7.904479,5.412487,-16.09566,-16.66136,-25.74263,-10.82878,-6.446353,-20.02424,-16.18965,-20.68026,-2.722462,-37.9064,3.659002,-30.10442,-14.06423,-21.18467,6.64356,-10.09319,-3.430489,-8.007018,7.34277,1.172297,38.44989,6.672504,35.00215,-15.60791,8.171123,16.68887,8.267893,-15.50334,-20.50894,-29.11372,-17.42783,8.504716,7.61126,-2.469207,6.951855,4.156676,-37.86304,-12.41502,13.40935,1.880208,-15.50848,7.362785,-22.354,-7.220949,10.62981,-2.507812,15.87618,-13.91186,16.70506,-11.05994,4.488355,15.35225,26.6428,-3.794686,-28.87837,2.209548,-15.30288,48.16228,-2.053016,4.804796,-8.37917,12.86323,-3.24387,-11.50618,-2.325641,12.10031,-0.5411088,-29.33454,15.55052,-3.215832,4.004217,-4.958198,-17.80034,57.21814,1.388155,-7.421842,3.966505,-42.88933,14.94136,-6.664632,-3.200066,15.21454,12.70838,18.2077,-23.55556,-33.89673,13.32014,-14.40071,-9.017416,-9.213666,7.798939,-2.396871,-15.77132,-16.69253,-5.597942,-12.77715,-13.73285,-13.59795,-18.62212,-12.48902,-2.341495,1.979912,1.666096,-14.49744,-6.989768,-17.30095,-18.17144,-23.91238,-18.20341,-16.35683,-37.34001,-20.9185,-16.23495,-17.10934,-23.35169,-12.93767,-7.543505,-6.803479,-17.25002,-21.74011,-18.91887,-35.23219,-24.44654,-16.03631,7.360942,7.011508,2.107104,3.929842,4.190145,0.2917917,2.685778,-4.161189,4.771047,-3.46204,14.85453,11.73751,14.56076,23.49099,13.51492,6.837571,15.15658,3.04846,2.409176,0.7339131,6.808937,5.514141,7.642004,13.10843,8.500681,5.595399,4.854005,19.68389,2.812208,11.26166,11.76207,5.006368,-22.30632,-7.608415,-18.7254,-23.97775,-12.13789,7.73377,-14.03771,7.334401,-32.08498,-14.27333,-28.37267,-22.42196,-5.031278,-33.27673,-19.79556,8.855898,17.16914,8.584324,-8.409586,-2.596597,-23.29487,26.21102,18.57556,-30.22736,-12.07418,31.06318,3.952888,-29.05988,-18.26356,21.19403,-6.484013,-18.01437,-21.01897,-6.60026,-42.82036,-24.88725,-40.09464,-21.64125,-22.98368,-22.32091,-22.25277,-26.98658,-24.77181,-67.07585,-22.14079,-24.66531,-24.52146,-17.1736,-11.93604,-19.76434,-27.54712,2.410211
113578.125,prebase,-15.77821,-27.2614,-27.43082,-38.98347,-27.63191,-10.81351,-14.10408,-25.67805,-34.19854,-7.621213,-11.43182,8.818504,4.258546,-5.473409,-12.16962,-22.98218,-14.20634,-4.361021,-28.47653,-11.85276,-18.02135,-7.559824,-32.30907,4.008202,-20.92536,-5.35841,-29.18067,6.127691,-10.51898,-6.578972,-13.10373,2.546185,2.069958,34.91821,6.386413,33.29449,-21.2516,6.931725,10.04279,2.305742,-19.41452,-19.92251,-31.54513,-18.18237,4.716353,0.4192474,-14.14078,4.524089,2.558038,-41.37836,-14.88014,7.146326,-4.712122,-21.50097,8.529586,-28.78237,-12.10154,-1.611915,-14.44106,20.47302,-9.214706,4.658854,-18.08461,-12.24475,-1.173563,8.714777,-26.15787,-29.59445,10.35857,-22.41836,39.54048,-8.999803,0.7969509,-22.03766,7.366535,-9.592213,-14.10785,-1.118743,7.840559,-2.898601,-28.42676,19.69199,-2.619546,2.035944,-6.539767,-10.16294,54.70535,-20.62454,-20.00407,-3.814299,-54.35649,3.317121,-13.13906,-13.63287,-1.549231,5.340796,9.941712,-26.81504,-33.8595,5.597873,-17.92004,-12.02311,-11.13371,-0.9470472,-3.914524,-16.01717,-13.19327,-7.445315,-9.979667,-9.515677,-10.72646,-21.45544,-8.616841,4.358879,-4.35856,1.227389,-4.081821,5.43021,-16.89036,-11.76211,-26.19882,-12.92649,-1.447342,-23.86805,-11.82774,-13.95399,-9.956172,-21.85693,-6.096097,-6.105062,-1.072907,-4.883728,-12.83045,-15.77672,-20.51637,-14.17256,-9.069196,-7.936789,1.36589,0.4967962,2.156789,-0.7313694,-7.199152,-10.22832,-14.47905,-5.320128,-9.595173,1.883618,-5.306009,4.612821,7.453344,-0.554309,-9.307322,-3.881545,-11.62878,-13.82396,-6.166253,-3.583122,1.10744,1.342313,6.869035,4.444548,-8.044616,-8.820371,6.139741,-17.02931,-9.217261,-7.277278,-13.70004,-12.38099,-3.049837,-13.28751,-16.47557,-8.557108,16.06963,-7.859361,7.580359,-19.3489,39.15368,-17.27846,-15.00823,7.307097,-22.50536,-10.67183,6.374483,9.063719,-4.256299,-13.55692,-6.590814,-14.56961,30.84472,11.73649,-16.96193,-19.29312,22.14025,-1.332055,-37.53032,-18.6035,15.59892,-15.32929,-26.57157,-31.03759,-19.03724,-53.41196,-31.33165,-44.8259,-25.28099,-28.94596,-25.89505,-30.16946,-29.39123,-35.36819,-71.06306,-28.89562,-31.70718,-31.45515,-1.218769,-2.552087,-20.85848,-31.7534,-8.201749
233578.125,exit,-14.98992,-15.19957,-13.84076,-28.83345,-17.82834,-0.2694296,-1.844201,-29.85946,-26.12168,1.950267,-3.702364,18.83567,16.98174,-14.47302,-13.51895,-17.24521,-2.301291,13.91328,-9.173147,-13.90049,-20.41439,9.870015,-11.74898,9.174333,-27.50376,-10.22531,-20.97535,17.12135,0.8663859,4.574569,-4.944318,14.26098,13.37418,46.70274,13.38381,42.80352,-8.431467,18.59724,17.70603,12.2967,-4.865724,-5.108825,-11.79528,-1.101897,21.16749,16.9537,4.504717,21.19077,18.45462,-20.65868,4.441261,28.56701,12.28071,-4.654377,23.70864,-6.672071,11.49673,19.46822,1.26123,20.6521,-7.641923,17.7289,-0.5050325,9.470038,20.96908,22.46427,-8.467909,-32.80147,7.809921,-14.25494,53.49324,5.043337,12.1143,-6.2728,19.18774,-3.495041,-8.143055,-0.2403461,13.77365,0.5026394,-26.11121,18.85684,-2.540131,4.04841,-8.704576,-13.26608,53.35221,-4.881955,-5.152963,8.10087,-28.66658,17.59902,-1.655595,-4.350323,11.00879,17.90851,14.53809,-17.84928,-28.85279,11.44503,-13.08633,-6.807224,-10.10577,-3.035356,-3.879171,-17.95229,-11.38637,-4.215353,-12.82934,-13.89998,-16.00915,-20.08213,-10.6598,-1.445355,0.8583358,3.467574,-2.114293,-5.766038,-18.9653,-19.28558,-26.44096,-20.3137,-10.91248,-29.07769,-10.94442,-18.66203,-12.42243,-24.89938,-8.390763,-7.089446,-4.943729,-9.68084,-17.09953,-14.70032,-25.21658,-19.1681,-8.955215,3.958694,9.752688,16.87955,17.50578,15.55554,12.54373,20.72861,15.78124,20.37935,4.063002,18.70951,13.90639,11.66992,29.61727,19.43233,8.0568,15.34466,13.82121,15.26322,15.35714,17.52175,15.57273,16.18086,27.25474,14.09591,13.35917,2.269543,18.80072,5.751017,9.991059,13.89856,8.481312,-18.63601,-6.430615,-17.36091,-21.14224,-15.33426,6.147672,-11.36976,7.924495,-30.22646,3.680873,-28.95292,-25.43769,-5.351268,-37.19509,-23.52895,8.617396,15.79884,2.040746,-2.779267,-9.600935,-26.85799,30.32376,18.745,-30.36174,-11.16678,35.32502,7.102065,-24.44298,-11.54572,23.48115,-3.002272,-11.81083,-29.50941,-8.587646,-36.39798,-22.1822,-31.77748,-11.44101,-17.53613,-13.92249,-16.43685,-17.87068,-26.20231,-57.54963,-19.55919,-22.79783,-22.70514,-6.788979,-1.619657,-13.80307,-18.2923,8.067381
233625,FeelingItInstructionsButton,-17.54996,-21.15061,-20.50669,-31.9412,-24.42539,-8.619433,-10.79276,-28.88349,-30.16906,-0.2080005,-5.411755,16.00443,10.91209,-11.85261,-11.99338,-20.84881,-9.070168,9.089601,-5.896685,-9.141931,-29.23235,11.74122,-6.696358,11.5204,-25.58076,-15.84996,-20.90304,7.055884,-11.93999,-8.618323,-12.45817,4.106791,-0.3510332,32.05158,2.038059,30.62685,-19.41228,5.144762,4.935654,-1.371982,-15.99402,-20.28159,-29.78425,-18.32316,2.984897,2.004758,-9.939142,8.099113,4.857957,-36.76304,-13.1288,10.46059,-4.647449,-19.12574,9.269607,-19.20877,-2.437867,8.169037,-7.484214,16.6693,-10.60591,21.65203,-3.34333,-0.8034936,15.25748,18.34529,-9.563503,-24.67377,5.965683,-7.744872,47.13589,-4.319684,7.620895,-1.74493,10.60914,-10.3074,-15.05669,-0.7024449,12.60123,-0.7437803,-25.33746,16.4837,-3.800663,2.014571,-6.929362,-13.26876,56.42907,-26.54806,-15.34475,-2.292507,-49.37542,3.006033,-10.87491,-16.84874,-2.192416,5.877078,5.728125,-26.22999,-32.41675,3.177829,-18.08045,-9.691983,-13.64214,-9.686274,-5.688202,-19.62909,-16.95264,-9.50436,-13.34504,-13.99066,-16.91232,-19.78642,-11.31566,-0.5045553,0.5242915,1.580646,-7.97412,-8.170922,-17.5595,-16.70974,-22.4574,-17.9938,-10.53317,-24.01632,-13.08097,-14.53721,-13.81653,-23.28083,-9.04895,-6.172687,-5.72737,-10.03037,-15.20414,-11.32523,-26.91175,-15.90932,-3.626632,3.512104,2.164074,2.467794,7.436762,8.156137,4.102462,-0.3784622,0.8525026,3.443531,-6.643635,9.447091,0.2712818,0.8074144,8.700788,8.378107,2.057466,10.1028,1.42255,2.055354,0.3576978,11.70878,11.85189,9.259244,12.15257,8.372328,10.21731,5.23403,19.58965,-4.839125,9.813137,11.63807,2.515048,-18.88409,-5.896427,-13.64267,-17.37863,-10.69004,14.75183,-9.484482,11.3076,-28.56066,20.29494,-25.63614,-20.76327,-5.889515,-28.89085,-21.24197,10.95108,23.14703,2.694403,-1.765662,-8.555338,-25.29627,28.38474,23.01598,-29.26827,-19.6206,24.37982,-2.923755,-37.29308,-20.19184,14.22397,-13.97341,-21.01438,-30.79236,-17.02494,-45.61796,-32.29725,-44.7496,-20.05936,-26.56808,-21.4607,-25.54901,-26.07012,-32.18182,-66.79006,-29.45514,-30.74852,-30.09158,-14.37654,-8.296494,-13.79549,-25.07203,-0.6324328
300613.28125,InstructionsForEnding,-16.54644,-25.95249,-13.75182,-30.67402,-23.96499,-7.51223,-10.13047,-29.5113,-28.27185,-6.817917,-7.368648,13.50362,4.316073,-8.555685,-12.52206,-19.64213,-13.36778,3.802923,-18.76513,-10.46577,-9.67209,3.14008,-22.55019,8.43099,-22.65427,-9.815607,-20.00655,4.749758,-12.9171,-0.1655637,-6.57555,10.91021,4.331354,37.62449,7.846992,36.04932,-13.13888,5.45749,7.842644,3.572613,-17.2038,-19.04616,-24.48472,-16.6412,7.333516,6.015077,-3.866413,4.128736,5.581002,-31.75462,-5.834783,13.03407,5.052881,-16.95226,11.59136,-16.90472,-3.7192,5.719839,-9.624167,29.59327,0.930178,17.47318,-6.983154,4.684956,13.52958,20.42439,-18.27811,-9.040048,8.37389,-10.76251,50.40711,-5.86952,5.905414,-13.20992,18.49283,-3.81683,1.124053,7.319323,16.20596,3.376568,-21.77798,29.67657,5.168282,6.8448,-2.730121,-11.27409,54.48927,-11.91039,-7.686282,5.742914,-41.48169,12.95605,0.07566419,-7.70534,9.657711,13.39328,12.79962,-23.50933,-29.89571,6.170156,-14.46102,-7.908242,-11.53861,-1.36847,-3.683772,-12.17018,-12.87401,-5.054387,-11.19556,-9.799054,-9.915432,-18.35215,-5.997775,3.490542,-4.498019,3.194278,-0.6825491,-2.85158,-14.03421,-10.61144,-18.90267,-10.9754,-3.635286,-17.42077,-4.164255,-6.570472,-6.738716,-17.54408,-6.386182,-3.856208,-1.024818,-6.601299,-11.23307,-13.25053,-18.67755,-13.3842,-7.448873,-5.475242,1.03409,0.6227358,4.748394,2.395399,2.54511,-0.9728538,-0.3663334,3.96029,-2.842916,9.408755,3.143839,7.766233,9.573444,-1.036615,-4.103241,7.115335,-2.377125,3.720835,1.405063,8.801017,2.178263,11.25344,7.070235,7.458484,4.272149,6.050994,13.12835,-7.236854,-0.6509053,4.442792,-4.345998,-15.41675,-2.37611,-15.78174,-19.00063,-6.084236,10.91052,-6.855855,14.18154,-18.08343,-11.05758,-12.478,-13.87196,9.261767,-20.10966,-8.293168,9.873727,15.52512,2.233137,3.96397,0.8336432,-11.06512,39.01061,18.78374,-13.60076,-11.35082,32.3787,0.9316208,-29.14457,-16.18508,20.15775,-10.58339,-16.76145,-29.70671,-17.08528,-40.01267,-29.1853,-46.14024,-20.32152,-25.95464,-24.16533,-25.20272,-25.89145,-29.44217,-63.16034,-26.06692,-27.44971,-27.83542,-6.673316,-1.014842,-12.29071,-21.93026,-0.059847
650378.90625,ImaginationSuggestions,-24.18977,-29.33994,-29.89847,-38.29327,-30.66207,-14.93517,-12.50995,-28.12949,-33.34419,-6.451681,-15.76369,5.863705,1.890552,-14.99447,-19.16732,-27.06274,-14.57197,-3.56595,-13.68938,-17.34695,-17.53546,2.134043,-11.71931,1.723108,-27.26692,-18.31989,-28.47741,7.694281,-6.669375,-4.012498,-11.8656,4.464731,2.259157,35.55095,2.362765,26.99794,-16.29075,6.782439,3.963377,0.4700755,-17.55361,-16.57074,-24.08884,-9.808276,5.2698,2.772405,-5.831306,0.9297593,0.324755,-31.5385,-5.040105,9.012318,-1.712007,-12.41388,6.107925,-19.53973,-6.412725,6.48938,-8.400043,14.04035,-10.34865,3.576203,-10.56224,2.211932,9.6078,17.9776,-18.48418,-15.92882,5.79198,-19.85775,41.6461,-8.652959,1.456134,-15.22476,9.211461,-10.22622,-10.04235,-2.783486,5.969907,-2.123502,-21.4122,13.04871,-5.827247,1.940196,-13.19333,-15.49537,44.59837,-18.0566,-13.98835,-2.591453,-49.5847,12.56757,-3.792784,-15.7509,10.4638,11.56231,17.25057,-23.34826,-35.87814,7.154775,-13.4,-13.73658,-6.983125,-6.56489,-3.074361,-18.12134,-15.60422,-5.641855,-15.05052,-12.70421,-14.70332,-22.24476,-8.561623,-1.620647,-1.776147,3.277508,-2.373126,6.473449,-12.4656,-16.98224,-26.89756,-18.20057,-10.3905,-24.63288,-12.01504,-18.2266,-16.36988,-20.69867,-7.990699,-6.683512,-5.775558,-10.22704,-18.31096,-14.55021,-28.03593,-19.10472,-9.605599,-0.04447053,6.133843,-1.359452,0.4473799,-2.702658,-0.5977008,-0.6095003,-3.206122,5.866728,-3.238961,5.754217,1.696813,4.837634,22.71007,12.99407,-4.648812,5.575462,-7.79488,-2.526737,-2.303599,-2.283854,-3.438648,-0.07238563,9.079942,-1.240674,-1.036514,-11.98134,2.672508,-9.452947,-0.2683691,1.761288,-5.288732,-23.27534,-7.521265,-18.72155,-24.28055,-13.72002,8.92029,-15.94259,1.197864,-28.88059,-21.72375,-22.50788,-26.19213,-8.756971,-30.2075,-19.75238,0.1007338,3.581167,-14.94107,-11.19474,-15.76162,-21.52015,23.67701,14.73621,-25.41455,-17.30056,23.41466,-2.784852,-25.04409,-15.01366,12.12463,-14.26863,-16.64456,-31.62365,-18.16446,-39.65401,-33.55437,-41.5882,-21.60844,-28.03733,-29.88544,-25.96177,-32.70721,-33.19925,-65.47187,-29.82121,-30.15579,-29.81067,-8.525552,-9.793323,-12.53986,-23.2194,-1.228633
711988.28125,enter,-21.219,-26.18644,-21.38808,-31.12199,-23.40791,-10.63687,-9.031833,-29.45256,-32.39502,-7.668787,-11.00527,12.13827,4.653197,-13.44683,-21.78916,-25.29262,-20.23927,-5.482306,-24.26414,-17.76559,-12.62092,-3.39807,-26.30011,1.397959,-28.29725,-14.67458,-20.92414,9.64437,-6.143456,-1.594386,-10.8448,4.55208,2.298246,35.56335,5.615804,25.57825,-14.86373,4.883239,6.970037,-1.883054,-15.17546,-15.73074,-22.67583,-10.77069,2.752333,-0.6198304,-6.629459,1.082759,-1.80124,-34.95459,-8.420844,5.697176,-6.770255,-18.20825,2.783237,-22.65201,-11.46889,0.25148,-14.59452,9.606344,-17.26341,1.534067,-15.2107,-12.79352,2.890737,7.460165,-18.6775,-31.36639,-0.7653307,-25.16818,38.57598,-15.5525,-3.895585,-28.61159,3.115151,-12.47751,-19.77661,-9.019348,4.629993,-7.1106,-23.57695,7.714946,-11.79398,-5.608431,-13.9975,-23.16849,37.8274,-12.53314,-12.05362,4.312121,-38.54956,9.344787,-4.08948,-14.44214,2.29193,9.461512,14.55087,-21.04372,-37.08409,7.430118,-14.84891,-14.65794,-6.840044,-5.105367,-3.531747,-21.12357,-16.1759,-7.991151,-14.39955,-14.86886,-19.19368,-22.04654,-16.12937,-2.820522,-4.444244,0.4860841,-8.593596,-5.649289,-17.61527,-21.84707,-27.25191,-23.80666,-12.53859,-32.18523,-19.6151,-18.80143,-18.41985,-25.95685,-11.47755,-4.932213,-5.300862,-16.3035,-16.79378,-15.42623,-33.1116,-19.80277,-9.382119,-7.450999,4.445086,-2.128996,-2.129398,-6.04454,-6.555278,-4.536152,-10.39997,-2.5556,-13.90751,-1.07912,-4.227993,3.506981,11.06213,0.9096018,-9.797595,-0.5231099,-13.10074,-17.75668,-12.05437,-8.182921,-10.31587,-0.8614007,10.22334,-1.520308,-3.286496,-18.48974,-2.321117,-9.015163,-4.961928,-8.256416,-10.48401,-20.36972,-10.13016,-19.5647,-25.71899,-18.83007,4.21684,-12.19101,2.875617,-26.22208,-25.64427,-34.63283,-24.94454,-12.89817,-37.86773,-26.83179,-6.741172,3.502223,-18.08189,-15.16075,-19.44868,-27.34836,18.05536,5.366696,-33.83151,-13.63519,23.93524,0.5880256,-25.17043,-11.05354,14.47212,-14.06185,-15.43196,-30.63051,-15.42518,-37.38108,-29.80685,-40.88272,-19.13051,-26.50312,-17.51186,-25.23193,-27.13819,-33.59895,-60.42513,-28.05774,-28.66623,-27.96827,-8.470909,-8.394361,-13.66824,-23.82882,1.352559
784003.90625,awe,-22.56302,-29.06531,-23.62229,-33.5722,-29.7211,-13.27638,-15.33187,-24.5262,-29.6336,-9.603047,-13.11018,6.047608,-0.7394335,-12.29383,-15.65115,-23.29536,-19.59942,-4.356904,-28.56676,-12.76731,-19.43635,-7.120402,-22.01332,2.058679,-27.21036,-9.873351,-27.06692,3.014524,-8.760419,-5.692803,-15.52063,2.033365,-1.489985,31.65863,1.394215,24.07306,-16.96913,-0.1647635,3.831588,-5.325479,-17.50229,-18.7925,-26.65802,-17.17691,0.4737973,-3.162051,-12.34052,-3.309083,-5.004076,-39.37519,-13.63508,4.468035,-7.618009,-19.76816,-0.3689063,-26.9279,-17.25235,-2.085388,-14.305,7.974916,-20.38864,-4.91668,-21.45842,-16.10896,0.9616619,9.422562,-23.46346,-35.63876,-13.27984,-30.73555,33.54275,-15.40229,0.3390898,-27.55281,3.776209,-5.53999,-23.09294,-7.876884,6.825517,2.053323,-12.21283,7.512164,-11.42523,3.413965,-12.0514,-34.22673,36.63497,-21.91119,-17.47557,-4.178829,-38.48205,2.405807,-8.619007,-23.54413,0.5068159,7.731624,-4.855866,-36.51295,-45.10614,-2.926473,-23.61449,-21.02327,-13.59393,-26.02723,-9.91048,-28.96439,-26.91133,-23.75091,-24.16951,-26.77946,-24.67412,-28.60205,-17.24581,-8.294021,-12.2506,-2.576194,-10.3635,-21.27515,-25.27429,-28.63672,-43.68167,-30.24977,-20.18448,-33.77315,-25.64218,-15.64832,-29.71407,-29.93619,-14.70841,-13.30078,-11.90923,-16.47271,-20.12996,-20.81289,-29.94792,-22.73232,-12.32766,-11.20312,-6.806579,-10.10641,-7.588198,-8.441183,-14.19583,-20.4362,-15.8215,-7.949325,-9.6442,-0.8768169,-5.077904,0.7788618,2.912204,0.4972327,-11.60134,-4.366315,-13.89904,-12.29663,-14.495,-10.58323,-8.855664,0.5994126,0.0001233593,-3.304857,-7.230993,-24.54969,-7.354626,-13.38453,-10.96329,-7.138721,-12.013,-17.32903,-5.630714,-17.23355,-24.235,-13.38705,12.34559,-11.73488,3.307137,-20.36878,-29.91063,-29.1338,-21.17122,-8.245079,-36.10417,-25.57687,-13.04014,-8.550312,-29.02447,-23.64058,-26.13462,-25.49339,16.94163,5.389651,-29.55175,-17.36736,20.9871,-4.835047,-23.83219,-18.07143,12.71072,-16.96381,-16.16049,-35.7116,-25.85496,-42.76706,-34.99635,-40.22212,-24.71644,-31.51736,-26.51466,-31.65467,-36.04618,-38.90884,-68.03654,-30.52,-43.19645,-43.34883,-20.98821,-11.55693,4.871214,-28.19296,-4.41774
856855.46875,exit,-6.284514,-13.11873,-8.083026,-20.00377,-4.751778,2.695053,2.976765,-12.05943,-14.42509,8.816971,4.875051,27.51659,13.76444,-4.123007,-3.891148,-7.954236,-2.853809,13.10361,-2.959058,-3.082006,-2.651645,15.57881,-3.628017,15.05323,-10.62589,-4.243311,-4.864473,21.5463,4.923522,9.23863,1.0065,18.14025,11.4933,44.67287,14.52187,38.81986,0.5246204,15.23337,15.23674,12.31303,-5.178588,-6.234963,-12.82025,0.2947636,16.46012,14.5384,6.149034,11.46799,9.18009,-18.93762,4.352318,21.19391,11.21409,-1.946176,17.71105,-9.82466,4.334255,14.40592,4.4359,30.37668,4.730195,18.53201,3.075844,16.41236,18.84207,28.32502,-2.638236,-5.879743,19.28538,-1.777097,56.71127,3.02396,14.62684,-10.02785,18.15217,4.42606,-4.791534,9.180587,18.69071,11.727,-9.418446,28.6872,6.306087,17.60549,6.855134,-1.997691,52.12472,3.347846,-1.980039,13.56657,-21.49886,22.85974,4.499155,0.9902859,29.17492,25.16427,29.00213,-7.855843,-26.08014,30.47089,3.206638,-5.641293,6.685297,33.5188,10.35205,-5.370885,-5.096682,3.984342,-7.28975,-2.937897,-3.363703,-12.00119,3.316657,11.23871,12.06736,12.05523,7.611168,13.44188,-2.888727,1.332945,-8.535652,0.6991673,8.181442,-10.83737,-2.164245,5.033636,-5.3014,-3.366501,4.25118,6.97218,7.233111,3.98195,-1.046282,-0.3177346,-7.519399,-4.735335,8.978717,13.92772,17.15137,10.13874,10.00947,8.374488,9.43572,4.502506,6.16579,7.802903,11.85309,16.52854,18.95803,22.90449,40.64698,26.68631,5.78938,15.91123,9.256641,13.48554,-0.5944543,14.16221,12.51665,13.72886,20.11996,11.01382,14.34907,4.045834,22.07802,7.909142,14.95595,18.09495,6.549544,-9.738907,1.269716,-6.204757,-10.14129,-1.479218,25.62231,-4.413763,12.69094,-14.76077,-14.42607,-10.60432,-6.889612,7.929021,-17.50896,-3.751709,17.70944,21.4338,5.812591,3.138643,2.99867,-5.448937,39.86708,27.8744,-9.969576,3.360369,39.09988,14.02381,-8.226527,3.869963,30.06875,7.35784,2.909383,-15.1101,-2.439314,-19.03259,-13.49588,-19.32561,-3.622813,-8.875228,-7.984044,-7.727541,-12.13357,-15.62918,-42.14498,-8.612162,-14.08941,-12.54672,6.708028,3.864052,-12.37076,-9.765326,19.54145
