Time,Event,A1,A2,A3,A4,A5,A7,A8,A9,A10,A11,A14,A15,A16,A17,A18,A19,A22,A23,A24,A26,A27,A29,A31,A32,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B26,B27,B29,B30,B31,B32,C1,C3,C4,C5,C6,C7,C8,C9,C12,C13,C14,C15,C16,C18,C19,C20,C21,C22,C25,C26,C29,C30,C31,C32,D1,D2,D3,D4,D5,D7,D8,D10,D11,D12,D13,D15,D16,D17,D19,D20,D21,D22,D23,D24,D26,D28,D29,D30,D31,D32,E1,E2,E4,E5,E6,E7,E8,E9,E10,E11,E12,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E31,E32,F1,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F26,F27,F28,F29,F30,F31,F32,G1,G2,G3,G5,G6,G7,G8,G10,G11,G12,G13,G14,G16,G17,G18,G19,G22,G24,G25,G28,G29,G30,G32,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,EXG2,EXG3,EXG5
31628.90625,InitialInstructions,-18.33938,-27.22304,-30.71089,-2.865402,-24.01135,-12.98077,-20.39855,4.832016,-10.23703,-15.46042,-16.33774,-21.95393,-32.9716,3.957677,-13.95945,-31.32348,-26.45688,10.12856,-17.77335,22.55679,-5.056454,-26.52095,-9.955166,-17.63754,44.47647,-18.93774,-10.03619,-21.43445,13.94922,-9.206802,3.295919,-14.12416,36.74234,-3.866879,17.05869,-9.390333,-5.594702,-51.65888,-14.82091,-27.15649,-12.75548,-13.65611,-4.236239,-16.35254,10.71513,-8.984722,-46.80154,-20.66264,-10.07997,-4.486521,-25.30185,-9.594518,-6.040115,-18.71494,17.86034,-1.900549,16.0151,-4.862187,-12.5745,-6.797855,-9.177404,4.396361,-13.41568,-0.7556475,-1.105029,3.343352,2.593304,-2.435948,-0.6098226,-3.331304,-7.739739,-4.324696,0.7128733,-11.60764,-16.27455,24.17148,21.50825,58.76546,18.59657,-10.73181,-15.88503,-7.023403,-6.970741,-5.072611,-6.665781,-12.98006,-14.44481,-26.74745,1.914708,-30.3031,-6.792369,-10.12673,-32.74633,-6.85656,3.292838,-3.787406,5.507677,-14.65936,15.73333,-16.19091,-11.94719,-13.8208,-18.61415,34.5794,-4.538208,-8.062078,29.29021,-8.340388,-7.971297,-2.293639,-3.226939,-5.053531,1.178714,-16.80728,-14.27608,-26.16389,-15.94464,21.05054,-13.90372,-13.57538,-10.89191,26.54458,-15.50379,-16.51836,-17.2401,-8.254376,21.10245,-10.8889,-11.30844,-14.56867,-9.835208,22.95006,-7.542942,-19.95504,-5.375261,-10.81348,-19.21886,10.85933,-6.610674,-14.2646,-9.91174,4.25196,-5.690372,-16.66491,10.24546,-0.7429363,-11.2215,-9.600338,18.32215,-12.16015,-13.99295,-2.2877,-15.8851,-8.297588,-15.95433,-8.680852,-5.413092,-5.310392,-12.67693,-10.20708,2.833422,-4.768671,-7.456227,-20.81095,-20.39443,-28.33211,-26.58203,5.85234,-18.14319,-0.5782585,5.84072,1.640216,-38.24239,-17.50085,-20.05559,-29.71889,-26.15183,-23.24819,-35.09271,18.61424,-10.65533,17.20368,3.251619,-25.14657,2.733431,5.705364,-13.20199,8.278503,-16.46833,-58.0924,1.696803,-18.51277,2.490665,-19.20399,-20.48498,-21.80359,-22.40422,-19.35647,-18.02178,-24.99284,-34.31532,-27.67592,-33.4648,-28.28436,-31.4162,-5.020727,-41.16854,-17.28228,-20.16384,-22.95911,-41.77843,-1.473798
131675.78125,prebase_instruct,-26.99096,-41.82971,-39.66215,-20.60345,-42.0482,-27.06161,-21.56199,-5.505349,-22.9889,-26.41957,-29.14056,-22.40448,-31.43673,-2.8785,-20.21119,-39.85178,-29.55229,10.73883,-16.18317,18.56877,-11.61415,-22.89354,-14.22483,-17.04946,18.97788,-38.71916,-31.82499,-41.41064,-4.899984,-33.12253,-15.63806,-37.73763,14.33718,-21.45496,-14.42673,-30.36947,-25.03427,-58.02368,-28.60312,-43.34756,-32.50585,-28.30654,-17.40465,-29.46584,3.317887,-22.58751,-57.82316,-33.76376,-20.72579,-16.02537,-39.43414,-17.12304,-18.51934,-24.32707,30.6261,-6.98497,16.73344,7.75702,-9.487137,-0.9437953,-5.742043,5.963332,-8.576734,-7.599513,6.858593,8.593177,8.595815,7.691665,6.839838,0.5137714,-3.350871,-4.933317,5.329651,-8.643557,-11.61499,30.2782,21.2518,62.15527,2.909935,-26.39393,-33.16214,-28.55852,-19.22828,-18.59759,-16.90795,-21.92379,-36.53478,-55.68637,-7.817613,-39.4403,-22.01117,-35.83208,-34.02189,-15.16245,-14.83738,-14.76746,-12.99934,-26.1059,0.5600336,-18.83255,-24.14752,-21.47051,-26.64047,22.26653,-7.006264,-9.187681,27.92283,-11.0716,-10.31248,-6.033733,-8.979318,-11.6667,2.950342,-16.04438,-11.12124,-20.03724,-20.3381,17.04326,-12.00434,-12.66848,-18.56359,19.21826,-16.00986,-21.96395,-17.4504,-11.22505,17.62628,-18.48701,-12.05499,-18.52258,-16.22845,23.3174,-8.291319,-24.84446,-9.152649,-34.37172,-5.720316,9.214987,-13.56995,-17.77876,-7.525441,2.231639,-9.764778,-18.74516,4.331497,-2.763891,-9.274628,-4.499444,21.44199,-9.609614,-17.52094,-12.08407,-15.67113,-10.24458,-17.55542,-18.45931,-4.66032,-11.49605,-7.318876,-7.710887,5.705996,-13.18155,-5.84833,-21.8203,-27.01538,-30.18804,-21.05987,2.910729,-14.60625,0.1388929,7.647238,3.182612,-39.06837,-30.5438,-12.03389,-28.76251,-23.35261,-19.22787,-50.96608,16.75982,-11.26547,7.759918,4.170506,-20.53526,5.628145,12.82155,-32.47136,-15.02518,-41.29797,-76.50257,-20.28123,-40.73404,-23.21877,-40.22837,-43.85513,-43.97028,-51.68523,-42.61,-43.76921,-52.05442,-49.27717,-48.70655,-54.32837,-47.87748,-55.77417,-32.54224,-54.52861,-41.36104,-47.86598,-25.90015,-34.18832,-32.90898
142121.09375,prebase,5.330264,-5.916305,2.003594,16.02398,-8.188782,-0.4567105,0.54099,20.91928,4.125536,3.450402,-4.99137,-12.76755,-7.079136,17.61126,2.782524,-18.1415,-22.64692,23.71814,-1.034845,33.60433,-2.391855,-10.11106,0.6695118,-17.29082,61.39717,-5.051536,4.300574,-9.641109,25.2894,7.365408,20.11276,-0.8840459,50.7091,9.056825,29.02877,3.021763,6.942197,-32.2004,-4.606223,-17.4326,-0.8101605,-5.927883,3.410127,-9.275153,23.10469,-1.594944,-35.6849,-11.77271,-5.946168,1.446739,-22.9712,-0.6271109,-8.434982,-15.07354,19.48686,-10.72103,13.14263,9.553522,-10.02866,-3.113896,-12.06007,-1.956444,-15.56788,-12.24927,0.1584719,0.6095446,3.274634,-7.0847,0.7230812,-2.75913,-9.046855,-5.646853,-2.30777,-13.20272,-15.06861,23.76962,13.00638,55.07408,27.24803,0.364014,-7.485847,-0.1652502,-0.1022453,-0.3769611,-7.040441,-9.371098,-12.64043,-31.09047,-1.22972,-32.07672,-9.59159,-13.69642,-29.41649,-9.490135,-6.691831,-7.304605,-2.619024,-20.65078,6.068003,-24.78003,-22.98026,-20.57501,-23.78359,24.4277,-13.44874,-4.688221,22.53829,-7.600901,-14.2888,-9.982866,-4.755986,-9.367742,-3.647029,-10.38222,-16.7353,-21.37788,-26.80272,17.56038,-14.13323,-14.98623,-21.59628,18.42913,-16.33021,-17.93653,-16.49049,-9.17016,16.93047,-17.08868,-12.83818,-26.72714,-15.35186,19.58986,-11.77292,-8.159296,1.134693,-11.41502,-6.849064,16.51122,-4.4312,-8.887784,-4.166072,8.852024,2.676399,-13.60829,10.79381,0.03624611,-10.03715,-7.127527,21.60166,-10.23637,-5.879212,-5.49718,-10.18469,1.062433,-0.4261182,-5.627436,-0.9160573,-7.737919,-11.54451,-6.439829,3.290794,-11.26773,-11.24055,-11.0053,-19.1547,-23.76129,-21.63124,4.599736,-14.7282,2.498236,8.459684,4.813564,-34.96012,-24.55879,-12.51188,-34.42225,-23.62411,-22.49189,-46.974,12.15818,-10.14524,5.351017,3.328751,-27.28092,1.252057,10.91028,0.08495325,19.71913,-2.964115,-41.50494,16.68989,-1.744589,14.20901,-7.621675,-8.567691,-12.89768,-18.36978,3.119065,-8.717616,-8.825239,-26.17957,-7.492574,-10.15963,-7.745931,-18.13955,7.072019,-3.933777,-7.875078,-14.46834,-26.89838,-32.03501,19.9835
262121.09375,exit,-16.92958,-30.68791,-22.75784,4.391349,-10.67566,1.495119,-12.11763,6.831746,-5.911667,-10.5068,-8.104162,-14.84555,-19.52045,9.020491,-2.850354,-21.21991,-21.832,19.06079,-3.123488,32.0588,5.233168,-11.17189,-5.235782,-8.677392,51.15502,0.1826693,5.048421,-5.768672,29.9666,3.055435,18.70925,0.254294,50.03547,11.42807,19.3094,3.163188,7.282428,-25.36156,1.0521,-15.21535,-0.6178077,-5.491376,3.956253,-7.711759,22.68184,-0.232269,-30.79149,-10.0039,-2.611567,3.322003,-22.80901,-7.054301,-14.40651,-15.87735,28.50795,-5.931384,13.24345,-3.735917,-18.21359,-25.86299,-31.40188,-24.94486,-13.65025,-24.02554,-10.56281,-16.45793,-19.0869,-5.783904,-10.75416,-14.44345,-23.1345,-9.273176,-12.75633,-26.6413,-20.19747,15.93339,10.72474,53.94896,28.54294,3.276165,-1.725281,1.328609,-0.05598106,3.102839,-4.839384,-5.614085,-13.71789,-29.55141,-2.880228,-28.01302,-10.43351,-20.63544,-32.43342,-10.64997,-0.06137788,-4.276377,0.9770381,-11.69392,10.4886,-11.16108,-14.87314,-16.49697,-20.52681,32.5701,-29.91894,-24.13408,-4.680426,-28.96664,-37.6067,-24.33284,-17.34167,-17.81589,-10.24717,-31.52502,-16.29876,-30.07281,-19.89976,18.11225,-11.91777,-12.44589,-11.72188,24.31194,-14.23235,-10.98434,-20.3171,-5.980322,18.36862,-14.92987,-15.94473,-21.63239,-13.00827,1.752804,-22.48437,-6.903749,0.02088588,-8.668967,-8.70236,7.872396,-11.15021,-24.65095,-14.28871,3.714369,3.113137,-20.15944,8.016555,-10.33305,-24.03121,-25.38466,4.569412,-17.01153,-12.67276,-8.969591,-11.18066,0.3470723,-7.163708,-2.349546,0.1211431,-3.378047,-14.69588,-26.13982,-16.71477,-14.50441,-29.81995,-14.17087,-26.42786,-23.19478,-14.40025,9.891015,-12.16158,5.538094,10.96939,7.711569,-32.21502,-7.711283,-16.14314,-20.19715,-16.34406,-31.50763,-47.16778,20.05498,1.222497,12.89915,4.393056,-20.45533,8.542837,13.83076,5.637502,21.53252,-3.114335,-40.64544,18.23558,-5.698575,12.2893,-7.158216,-10.48502,-11.94458,-10.79791,-12.40066,-18.72407,-17.42039,-18.3778,-22.97635,-34.0061,-21.81738,-43.12928,-4.685655,-35.04109,-18.13564,-22.55527,-24.40233,-23.4279,-11.18447
262453.125,FeelingItInstructionsNoButton,-0.2733651,-9.190678,-16.83433,11.72379,-10.18801,-2.723798,-1.330573,22.27477,3.105559,0.1587492,-13.66191,-2.020473,-19.79588,21.44637,-0.360775,-17.86871,-5.921574,30.75335,3.264659,34.0597,-0.8449332,1.052836,5.770168,-14.73718,45.7044,-7.939785,-5.270584,-15.55104,18.95031,-8.519815,7.255189,-11.89856,35.37664,2.195476,7.421976,-7.622731,-3.836817,-40.84655,-10.1336,-21.76325,-11.52993,-17.29754,-9.751568,-14.25654,11.83427,-13.24357,-44.87788,-21.16578,-16.86564,-8.291652,-35.67648,-15.08216,-23.00861,-27.22928,27.84315,-15.97284,-1.249671,-13.23564,-29.49111,-27.70085,-33.69481,-21.99243,-24.01776,-28.35774,-15.90951,-10.66638,-13.70461,-16.45585,-15.51717,-12.89716,-18.42818,-14.19667,-6.331678,-15.36833,-19.4121,18.25941,16.82372,53.0437,19.18883,-6.867519,-5.866457,-0.9548462,-6.330577,1.644469,-12.99529,-6.028141,-12.14499,-17.65287,-9.226077,-33.06969,-5.897735,-11.34083,-40.77753,-15.84172,-4.737966,-6.080534,1.786067,-9.702621,10.04032,-5.433327,-5.06656,-7.915943,-11.34037,43.39329,-24.11451,-20.86546,4.58467,-19.62953,-23.96784,-14.44162,-11.43439,-4.286233,-2.339368,-17.3586,-10.19563,-18.35026,-13.61967,28.96385,-3.22827,-4.131413,-5.694008,35.43996,-5.366074,-2.821667,-6.049046,5.358133,28.93031,-8.451834,-1.814382,-11.14152,-7.193579,2.254531,-20.42264,-13.63094,-12.87082,-29.68914,-17.68134,-2.176138,-21.77594,-28.95113,-22.44761,-4.393979,-5.319075,-27.77514,-1.005954,-13.07991,-26.88367,-31.81201,2.00515,-28.67908,-27.01078,-30.58136,-21.82389,-12.10802,-10.53483,-10.6798,-15.54606,-20.46872,-26.48995,-30.65724,-19.0611,-23.71167,-32.10386,-1.903129,-8.037926,-7.884073,-3.572317,19.64839,2.179314,19.22082,28.21023,20.59729,-18.34147,-20.74246,-7.07323,-27.63259,-17.0132,-20.6242,-41.93823,18.80543,-14.24501,6.24802,7.544224,-10.92132,9.112585,18.02082,-3.280999,14.88688,-10.46732,-47.92444,9.12329,-8.373073,5.855773,-11.18316,-13.35579,-11.38553,-17.20411,-8.706904,-8.992186,-20.79328,-28.12988,-16.05892,-20.74341,-16.41717,-30.41586,-0.2659982,-10.39821,-5.670506,-11.02257,-11.70101,-19.45999,2.816067
298378.90625,InstructionsForEnding,-10.88133,-31.06762,-25.00682,-9.293802,-29.03964,-12.6008,-25.59569,0.3471421,-20.01016,-18.10733,-15.28512,-25.0457,-35.89412,0.8832058,-18.10535,-32.15875,-30.34606,7.587116,-10.33326,27.09804,-1.111141,-23.14558,-1.745293,-7.803172,32.33163,-18.91607,-15.49926,-25.45724,5.201221,-11.33854,3.225221,-19.4829,34.32659,-8.190964,17.34767,-8.309793,-10.91947,-41.1253,-10.01616,-20.72178,-9.459517,-11.85446,-7.073645,-22.7268,16.54173,-4.459534,-30.39581,-11.25623,-11.3455,-6.556778,-17.06017,-3.803518,-7.564136,-14.80038,35.83892,8.093241,30.40522,22.50842,2.010969,8.910438,3.411642,8.710588,-2.122787,-9.286177,15.29259,17.27551,11.39501,12.48565,16.23182,11.37505,-0.8541136,5.402931,11.69379,-6.165947,-5.538041,28.93552,21.68472,62.88226,7.381571,-18.70634,-22.37712,-17.03429,-14.69439,-16.23511,-14.8409,-17.89887,-22.23582,-34.91868,-0.953444,-37.81362,-15.97417,-24.44178,-33.68098,-16.26458,-9.816432,-15.41163,-7.974485,-27.48924,-0.9973069,-23.98433,-22.3168,-25.72055,-27.61256,20.56573,5.159873,-2.225889,29.48208,-0.5793567,-10.78132,-6.592361,-2.851822,-20.05237,0.5798638,-8.951274,-8.625845,-24.19926,-24.02189,11.31583,-20.20169,-21.68835,-22.4093,17.70653,-28.01929,-30.30069,-31.58037,-14.89614,12.43447,-30.17147,-26.7925,-25.23533,-26.35007,29.52936,-4.722116,-8.30267,5.243268,-3.628972,-0.498966,28.12537,1.713583,-3.972852,-1.353294,5.958081,-4.115473,-13.03405,12.40591,4.678048,-1.506015,3.974802,30.4203,1.484501,8.521651,3.618603,-3.390419,-0.8220831,-6.533412,-4.407111,10.98069,14.85206,10.70476,6.540972,12.81344,-6.413822,2.706273,-28.87644,-30.27416,-34.22263,-30.73033,-1.80573,-18.12752,-2.237981,6.92008,0.2295429,-35.79362,-23.12599,-7.641654,-15.34412,-25.07357,-4.864309,-33.75314,18.20457,-10.22511,16.70888,7.066152,-17.18111,9.54308,22.05661,-19.73918,-0.7530226,-25.24841,-59.76505,-5.010251,-16.45886,-7.012814,-29.10218,-27.4876,-30.61401,-32.60009,-24.09035,-29.51731,-34.80017,-33.68005,-28.49022,-33.55609,-30.71124,-40.51227,-21.6705,-29.95913,-28.56964,-31.59333,-42.21391,-50.09572,-5.599282
647871.09375,ImaginationSuggestions,-24.63214,-21.83876,-25.98389,-2.225022,-23.62279,-9.786537,-20.92976,4.090675,-9.861004,-14.09925,-20.69263,-23.51619,-27.59228,7.032555,-13.00524,-29.01765,-29.59301,8.646704,-15.1919,23.13244,-6.117774,-20.15635,-14.48005,-13.31355,30.56818,-11.6182,-9.806954,-17.13766,13.04061,-16.09751,1.870321,-14.95243,36.50266,-3.912389,-6.704384,-8.911638,-10.85463,-37.11568,-10.38308,-22.64191,-12.10955,-14.08717,-9.818344,-17.81017,11.1729,-9.115589,-30.27823,-18.69435,-14.12492,-5.031319,-22.23764,-7.183622,-11.13261,-17.35567,22.0316,-8.400415,13.43027,0.463588,-12.98069,-6.374463,-4.680334,-0.05511962,-11.25283,-17.69202,-1.613866,3.06147,-0.3978973,-5.923094,-1.970497,-5.973675,-7.636123,-18.11374,-2.303505,-16.418,-15.6124,17.7918,13.57786,47.56177,14.68802,-11.09426,-13.09789,-10.23679,-9.507648,-8.529715,-9.621766,-11.87235,-27.17093,-23.41584,-4.650486,-34.8698,-15.47511,-16.97157,-22.53062,-14.5073,-3.880764,-11.73995,-7.04813,-23.34571,3.425697,-22.34708,-26.41796,-25.38632,-26.64497,20.96213,-10.10222,-10.06257,21.69211,-13.95654,-16.54917,-12.53106,-16.21454,-18.2748,-11.56486,-31.02751,-22.55661,-29.62739,-30.09517,8.923957,-20.57592,-23.83107,-24.07835,12.61071,-29.39723,-34.10073,-30.70818,-25.11984,9.083493,-31.69898,-25.84506,-31.25402,-29.63696,23.06538,-4.594347,-21.77882,-3.431046,-22.31077,-10.7221,11.42015,-10.20691,-14.38079,-8.762589,4.150555,-7.587406,-10.73303,7.515019,-3.621963,-10.30953,-7.709606,18.84909,-12.0474,-15.33728,-11.70186,-12.8539,-6.824614,-15.18171,-13.26094,-1.266665,-2.263785,-12.72255,-9.549554,2.172687,-6.763062,-4.449017,-28.89207,-33.59121,-32.73302,-27.67066,0.0864429,-24.09308,-2.398856,11.48102,2.011071,-36.2532,-16.0805,-20.06124,-18.55328,-19.33756,-34.10321,-50.91185,9.94741,-14.3051,7.845218,-0.9304157,-21.18458,1.277301,13.93434,-5.113279,5.104068,-13.51566,-53.42571,3.835535,-11.95016,3.034405,-18.83501,-19.97868,-14.784,-18.80842,-13.22389,-11.87002,-22.37555,-30.03012,-16.87568,-21.79179,-15.06213,-23.66306,5.762052,-14.94961,-11.42589,-18.79243,-32.65725,-48.16782,3.137035
709476.5625,enter,-12.24117,-14.9119,-6.539831,6.421723,-10.24329,-0.866251,-12.63713,17.77365,-0.7573492,-2.871902,-9.154672,-17.42222,-25.05214,10.4422,-5.056885,-12.40612,-23.02518,15.05709,-3.435987,31.49062,-4.032469,-10.71991,-1.932493,-12.77104,38.54292,0.8201544,-1.56418,-10.12346,17.9465,3.463882,12.11216,-5.014478,39.92741,2.84809,29.29729,-5.847265,-3.886742,-28.66046,-7.629362,-19.71502,-13.45325,-16.01754,-6.693067,-13.50797,10.59454,-14.06489,-36.71207,-22.34897,-18.90213,-3.048631,-32.39751,-16.5614,-15.20106,-19.77077,24.48576,-20.36598,-1.32264,-7.892317,-28.88799,-14.97549,-19.71584,-1.218578,-23.80454,-29.89901,-10.41058,-5.588845,0.8967472,-6.135662,-10.23688,-1.756205,-6.128039,-10.21388,-2.855477,-9.561852,-13.69922,24.09001,20.93185,50.92701,17.30496,-6.380044,0.2152347,3.477676,-10.1396,2.384276,-12.38771,2.069251,-12.69732,-16.77954,-2.472908,-20.92822,-6.456475,-6.843345,-24.07934,-7.915054,-5.042195,-4.753265,6.512444,-11.61341,10.27464,-5.907244,-10.35152,-9.562818,-11.37909,36.26784,-15.98092,-6.599283,25.53151,1.204445,-6.022365,-3.232373,1.895779,-3.89431,-3.436634,-12.58393,-6.819157,-10.82642,-12.72775,28.97808,-1.713345,-3.26994,-11.95147,30.74997,-12.75558,-12.31011,-16.15921,-3.697383,28.87199,-10.87419,-10.45111,-7.99617,-8.873777,17.5507,-9.715005,-15.0787,-10.54716,-24.14828,-25.8754,0.4702615,-19.21986,-19.64267,-14.31176,5.612148,-2.299473,-14.61246,10.54898,-3.437818,-20.19653,-19.63427,6.170165,-30.21848,-24.0661,-30.2241,-24.62747,-13.67093,-7.724538,-10.49404,-22.64292,-28.6349,-32.52971,-22.42625,-6.585515,-8.639063,-20.11911,-17.9808,-22.29828,-23.63088,-14.62704,6.095747,-15.19303,3.848967,13.88428,2.724907,-38.58578,-21.52837,-23.6183,-28.22991,-28.86301,-39.4065,-43.38236,16.68172,-12.94038,0.8517177,3.57655,-20.37562,3.79249,8.975633,5.435944,17.62628,-5.314968,-38.21733,15.54868,-0.7797358,12.25665,-7.135104,-8.862267,-3.737619,-3.27172,4.549765,-0.5602127,-8.270675,-15.64897,-4.892486,-22.18409,-4.871318,-14.14042,17.98748,2.727841,1.349879,4.230206,-27.87355,-30.29886,37.14428
778941.40625,awe,-22.60624,-37.54132,-36.86371,-15.41772,-31.31495,-22.17052,-12.53749,0.8381683,-19.51767,-28.86538,-24.51674,-15.72673,-16.6382,-0.0629741,-18.934,-26.97309,-16.80026,8.470431,-14.32508,21.39242,-9.337779,-18.30083,-10.7169,-8.970084,15.68715,-21.14325,-23.09697,-32.21187,-0.7352296,-19.6537,-10.23722,-27.28638,22.12728,-13.16863,6.358875,-22.45975,-20.1004,-38.05855,-17.8762,-27.60077,-23.06536,-19.74693,-17.69574,-26.80333,3.467351,-17.13209,-34.45776,-23.60975,-21.92546,-11.71807,-25.09843,-17.56103,-19.10089,-23.10174,25.64147,7.499588,22.69759,10.05691,-10.29455,-8.815421,-19.36067,-15.81323,-5.207516,-3.69325,-0.5602534,-1.427556,-6.77454,0.2309386,-1.136324,-1.134228,-14.28609,-6.881809,-1.247651,-13.14908,-11.38955,21.27564,17.58189,48.95043,2.344524,-23.9154,-24.32634,-27.85678,-18.60658,-18.89385,-16.90655,-21.77514,-37.42577,-57.95279,-8.972577,-35.608,-23.65761,-37.6497,-34.52176,-16.01924,-15.3675,-17.43417,-13.49026,-33.62672,-4.875858,-29.23485,-22.98367,-20.57737,-21.40825,28.17963,-22.55606,-16.98553,8.600846,-19.59142,-23.47755,-16.43923,-10.66289,-15.71213,-6.277555,-16.35281,-16.0444,-23.63699,-20.58178,18.37494,-14.06856,-18.00742,-13.84388,20.99163,-16.94421,-18.68825,-17.17283,-9.522286,18.46347,-17.84501,-12.87214,-27.62301,-16.56222,7.520017,-14.44705,-20.76014,-3.271308,-23.94297,-24.33058,4.451766,-15.32234,-16.6644,-18.18707,-5.80749,-12.50574,-19.33435,-0.05355748,-13.62283,-18.77669,-19.42566,9.999084,-12.21364,-16.23245,-13.26645,-14.2645,-6.182469,-13.26515,-12.65394,-1.200968,-1.10376,-7.706298,-14.62767,-9.513239,-18.49412,-16.68706,-16.96425,-18.26527,-18.79167,-11.72113,8.375543,-9.916359,10.69954,14.21451,4.462236,-34.99562,-16.47789,-11.42333,-24.42259,-20.80629,-18.05754,-48.54572,20.83183,-1.886573,21.6198,5.053988,-15.83669,3.733921,7.741843,-19.21646,-10.16975,-32.60267,-60.07165,-8.22982,-27.53608,-20.97231,-39.30232,-40.38963,-42.57803,-40.5257,-39.25577,-51.41322,-49.70165,-40.69595,-54.41292,-50.11991,-56.00416,-57.36319,-35.18282,-50.05855,-51.0885,-50.14094,-18.45917,-30.05645,-28.34725
922027.34375,exit,-9.962385,-13.55584,-16.92779,14.30616,-10.99411,-3.116415,-13.12912,26.98951,-0.1876839,-0.3272802,-8.166951,-13.03977,-13.80939,13.15788,0.4467752,-11.04556,-22.12214,8.83869,-0.1527733,34.55002,4.206777,-8.931437,-7.210155,-0.1498561,34.48124,0.7174016,-5.22063,-14.30828,13.87452,-7.503487,9.401396,-11.98154,38.77512,-2.228769,13.24183,-5.954145,-8.074529,-32.73689,-0.03954085,-9.664346,-6.873857,-5.463352,-5.456429,-14.78632,19.07596,-1.109262,-18.34535,-8.12528,-8.844487,-0.8415725,-12.49472,0.3598179,-5.562982,-9.715873,24.98867,-10.54731,13.72653,8.523316,-4.353025,-1.248776,-6.704423,5.781413,-11.07705,-13.74939,0.5405769,4.562326,8.061913,-2.416838,0.7237368,3.596847,-0.7298403,-6.374741,8.486619,-4.008281,-6.875596,31.69782,24.61076,55.69149,11.92195,-9.719649,-7.49694,-7.319632,-8.859535,1.462869,-8.275196,-4.841969,-16.74355,-23.05092,-1.098646,-23.0495,-14.67631,-19.01147,-22.26156,-10.52047,-6.982721,-12.73537,-0.455664,-16.80363,4.322205,-11.22143,-3.107272,-16.36905,-15.6557,34.14708,-5.070842,-5.814044,26.52116,-1.555203,-11.17214,-6.732859,0.4711852,-8.781425,1.792009,-10.93734,-12.42878,-7.130481,-14.01533,23.41219,-12.47733,-17.08658,-10.18844,26.55723,-12.91907,-16.19252,-17.15731,-7.184871,23.12972,-12.95693,-12.35326,-19.36679,-10.92612,25.44386,-0.09420467,-11.6903,5.758296,-19.32416,-0.4598756,17.99891,-3.237574,-4.645258,-4.647358,6.814243,-6.055648,-13.49793,9.09911,1.734792,-5.952278,-3.201174,21.11757,-5.594918,-4.8701,-5.806718,-5.413301,3.029035,-0.7589608,-1.797873,1.016397,0.6094763,-10.77903,-4.324684,4.687003,-13.18041,-5.415929,-14.236,-25.65477,-20.98177,-10.44421,12.2191,-12.29975,4.358827,34.03736,9.660168,-41.21403,17.49143,5.809132,-18.73755,-21.13992,-18.31435,-44.36493,15.10425,-10.69279,8.593542,2.633573,-15.15529,6.429183,14.75571,1.442181,8.300054,-12.30485,-47.69825,15.23274,4.474353,7.158623,-16.45036,-16.68676,-4.958823,-14.46497,-7.418715,-9.833519,-14.36221,-20.23845,-17.33547,-12.25501,-18.10695,-6.062744,1.901431,-7.954264,-8.598607,-16.39474,-24.26036,-31.86361,6.520468
