Time,Event,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,C2,C3,C4,C5,C6,C7,C8,C9,C10,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C28,C29,C30,C31,C32,D1,D2,D3,D4,D5,D6,D7,D9,D10,D11,D12,D13,D14,D15,D17,D19,D20,D21,D22,D23,D24,D25,D27,D29,D30,D31,E2,E4,E6,E7,E8,E9,E10,E11,E12,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F29,F30,F31,F32,G1,G2,G3,G4,G5,G6,G7,G8,G10,G11,G12,G13,G14,G15,G16,G17,G19,G21,G22,G27,G29,G30,G31,G32,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,EXG2,EXG3,EXG4,EXG5,EXG6
5660.15625,InitialInstructions,3.564042,-9.397342,-28.6058,-70.86526,-26.3483,-38.25752,-21.95256,-32.30745,-13.48571,-12.79364,-16.95809,-44.94712,-18.57559,-19.15323,2.120584,-4.976981,3.896651,-6.784444,43.15397,-3.457765,-16.31686,3.145788,3.279619,-20.71355,-0.4809919,-35.73119,-7.34099,-3.535084,-2.171597,-26.31594,10.96553,-32.46307,-28.29022,-26.35912,-15.35841,-11.80477,-18.55965,-10.8013,-4.184738,-13.28882,-9.411549,-5.944288,-14.50487,-18.70252,-17.73426,-14.18223,-43.30076,-6.011604,-10.50976,-24.14565,2.2551,-4.760378,-28.38448,-30.34405,-6.392794,-3.903067,-8.09339,11.05065,-25.49281,-1.966875,12.6744,-3.244959,-10.03882,11.98541,18.78079,14.74253,4.864637,7.387357,7.150242,8.063635,-9.656677,24.58332,7.688357,25.34098,-0.261487,9.885242,15.54825,19.5386,5.397759,1.004538,12.73814,-13.16703,24.11217,11.75998,-12.54994,15.89359,0.9697413,4.663828,52.97913,-15.86884,-19.73012,-13.78662,-22.16925,-5.60121,-31.56789,-10.43937,8.543436,-3.682438,-11.93165,-5.884949,3.776895,4.492427,-26.92605,-12.63357,12.76514,13.36015,25.18382,16.67363,-5.574033,-9.336997,-4.806015,-8.091841,-49.86502,-15.12694,-22.78319,-3.836622,5.787551,2.369614,-0.1892236,5.689331,3.690659,2.593022,-2.323589,-7.117749,-14.44017,-12.40642,-12.39203,-14.65462,-17.03841,-15.57904,-13.21804,-13.58432,-10.21219,-21.63417,-11.68815,-7.292361,-15.99756,-9.349415,-4.76661,5.085559,-7.549317,-1.95437,-2.225662,-0.07959674,-6.757496,3.586806,-5.195257,11.80082,-0.9471996,-0.8569105,-0.3841987,-2.408571,0.01717285,2.722535,-0.5902085,0.248862,2.592945,7.156461,5.881744,5.254011,1.803522,6.510381,0.722595,0.5570999,-2.887061,7.665526,13.64881,-7.178468,-0.9753363,1.066114,6.363141,-21.7358,-13.21629,-11.79399,-19.17854,-8.957195,-9.714208,-15.56351,-14.13927,5.822353,-16.18737,-21.38301,-23.21801,-23.21273,-27.985,-36.16541,-19.32388,-28.27022,-1.474041,-7.791858,1.446027,-19.38669,-4.2419,10.86424,-22.6357,-57.42899,1.703857,-10.82731,-51.78233,-22.80082,-3.362163,-26.84019,-14.90539,-45.29514,-23.50221,-24.03708,-37.32005,-29.67978,-40.60239,-21.32074,-35.52569,-24.53771,-40.78715,-42.64602,-36.74554,-88.55373,-25.32272,-27.02933,-28.04801,-31.28666,-29.10655,-19.93263,-31.98276,-22.43286
105667.96875,prebase_instruct,19.30713,7.789388,-10.58519,-28.49752,-10.70654,-19.09475,-3.601268,-17.29127,3.048744,2.90859,2.817704,-27.00036,2.808024,-5.94962,16.06259,9.572719,12.02091,11.90178,57.52924,10.90768,-5.162824,6.185478,18.59594,2.517739,20.02223,-24.90144,3.911252,10.92405,15.27318,-16.93042,26.04978,-11.56124,-12.48141,-10.32733,-1.510411,7.58875,5.171756,5.512967,18.01016,-4.834855,11.73173,14.56033,-1.309875,3.566397,1.171675,7.707394,-18.42616,7.40789,-0.1532979,-12.72331,20.25523,13.86045,-10.14059,-5.378471,6.322273,8.941553,4.050269,27.68167,-10.4053,19.24895,21.50183,6.250124,-4.375868,13.37082,20.42273,24.37244,23.84778,22.32462,22.45541,10.2286,-9.334185,35.84982,22.31758,38.78331,7.874097,3.969084,20.54543,30.06948,12.17081,3.899637,14.45891,-7.874682,26.83242,14.58242,-6.379894,24.84323,-0.4031894,-1.759035,60.72324,-6.965939,-16.58582,-6.951477,-16.26949,2.761937,-19.14145,-6.390904,9.573977,-4.005805,-9.627854,-2.205397,0.58953,4.87026,-27.19299,-15.68165,17.30595,9.600893,21.18238,11.27059,-9.127142,-10.68094,-9.14969,-9.068285,-47.01446,-11.44661,-22.53066,0.2763246,5.248736,0.3271171,0.1991738,1.720771,4.270151,0.2636625,-0.2152925,-6.347019,-13.18804,-13.77275,-16.0381,-12.99273,-15.13409,-8.362191,-11.81232,-15.48184,-13.91028,-18.6239,-8.202498,-12.35668,-11.5206,-12.18139,-10.55711,12.65757,-5.133496,15.37259,17.77476,12.28972,13.95618,21.51602,7.190573,24.81867,7.381378,5.788193,8.107375,6.791218,9.451527,12.08977,10.38132,16.3017,18.47248,24.52346,25.31631,17.69138,18.1892,19.50516,18.19199,13.66501,9.405439,15.43743,18.90596,12.77319,10.05853,13.11946,21.55518,-24.96494,-5.749929,-3.541678,-8.256558,2.64089,4.734228,-1.726943,0.9142048,16.75884,-3.424945,-4.3231,-10.4631,-7.911709,-10.10049,-16.71156,-6.539618,-11.1068,6.320858,2.964339,-0.08216332,-7.227858,9.249925,15.96595,-9.705974,-40.32875,17.71102,0.9781869,-33.0139,-5.51,13.45397,-13.12613,-1.200327,-28.31115,-9.095687,-7.801672,-25.80406,-19.38513,-32.50001,-8.555981,-22.14269,-9.064146,-30.04741,-19.49687,-26.33212,-64.05466,-14.31684,-6.629153,-7.861126,-29.42589,-32.92005,-19.45026,-25.45276,-20.36891
116117.1875,prebase,3.897111,-7.381086,-15.50298,-40.00702,-12.97265,-29.96989,-17.51887,-34.09475,-15.97857,-11.5072,-8.222954,-41.76383,-14.08903,-19.29206,-2.234996,-9.194424,-4.837986,-9.551206,32.16709,-2.847951,-24.80391,-8.3651,-4.375925,-24.18202,-8.912974,-47.86553,-17.01709,-4.715063,-6.011672,-33.00052,25.88096,-13.25324,-11.26737,-9.880332,-0.05007331,-5.59624,-0.09630442,4.71321,15.34005,-1.433871,-1.41516,7.917269,-3.554505,-19.10808,-19.23937,-10.26571,-34.19911,1.547453,-4.403882,-15.32996,-1.526137,-6.98904,-26.19996,-20.90776,3.304797,8.443376,-4.209176,10.73847,-23.6022,2.533979,22.98434,9.092749,-4.694521,10.57062,10.25356,13.03045,10.26476,12.20186,20.44817,18.29736,-10.58654,28.37236,6.613745,18.18389,9.698676,0.1574533,13.46733,21.38613,9.883785,3.433564,9.63272,-8.415502,21.45854,10.37284,-8.002832,20.76499,-3.138718,1.858323,57.61253,-11.58547,-11.73177,-3.699611,-8.985474,-1.535876,-28.93673,-9.8753,3.308168,-8.158054,-7.471382,5.452551,-2.458243,-2.738817,-31.92602,-11.12432,13.27235,11.41426,12.9209,5.260754,-11.41876,-8.806585,-2.168374,-14.06836,-45.07455,-18.46524,-28.37599,2.656057,8.20309,4.863158,3.403456,6.310891,3.68444,0.883811,-7.459064,-7.907003,-20.63794,-18.82617,-17.69645,-18.81262,-19.48385,-19.88896,-16.13788,-16.99795,-14.2751,-25.74426,-14.52455,-11.17156,-19.68937,-11.9269,-12.16628,21.33308,1.623263,-6.021389,-4.011422,-1.148189,1.190583,7.887445,10.93377,26.75293,14.3025,11.46827,3.169965,7.459264,7.433432,20.1948,17.54317,18.8399,10.20803,7.813291,10.43244,5.039008,2.379276,0.2368241,-4.957774,-4.04506,-6.199085,10.57421,15.81365,2.366915,15.64166,18.97774,19.67015,-17.79798,-18.06558,-15.92634,-22.45438,-8.71121,-14.1384,-15.5042,-12.07712,8.605962,-18.3028,-16.21627,-21.27517,-13.74583,-20.94844,-28.80702,-19.98141,-20.72782,-2.308238,-9.42611,-6.638081,-9.721472,5.486971,3.571386,-12.57363,-38.00786,22.4983,7.592882,-28.81362,-7.182446,17.10567,-5.763271,4.415822,-21.68915,0.4054844,-1.119973,-18.56548,-13.03639,-25.91026,-6.438505,-19.03446,-10.18209,-28.69471,-28.36227,-17.98426,-74.80897,-9.97299,2.986324,1.392571,-21.83123,-23.29719,-16.49954,-20.06606,-13.00528
236117.1875,exit,29.41451,14.19779,1.63776,-26.71909,-3.238558,-14.76935,16.17519,-3.531045,12.59626,12.92169,15.18059,-19.80079,-2.283901,20.34976,32.32985,16.32707,23.53011,13.12244,52.00637,29.2102,6.201025,18.71721,15.87965,-0.8531985,21.05982,-16.68227,14.67717,18.05845,13.86106,-10.69712,35.2355,-4.971354,-6.13786,-6.177334,1.479598,7.599176,3.127634,3.089298,7.439914,-9.15158,5.754318,0.1703073,-17.46749,-5.970388,-13.43741,-11.78731,-50.06447,-17.43353,-25.62287,-39.50808,7.942684,-1.163123,-28.39837,-27.93091,-19.01144,-16.6815,-22.87373,20.20271,-20.42883,-11.62334,2.937913,-14.76837,-5.704104,7.76579,6.443862,8.603421,0.6264331,0.07856113,7.531017,9.093964,-10.07299,15.92269,-5.725777,14.60412,-5.1493,-17.77454,-4.43084,3.972433,-8.93602,-12.76384,4.174077,-10.22187,5.622496,2.12579,-8.152619,18.62484,-11.91372,-0.4879147,54.46347,-25.78255,-13.2361,-0.02699678,-2.214551,-17.12953,-29.8158,-4.97022,1.730137,-5.023272,0.8424598,11.09908,-4.806353,-8.656554,-26.53463,-0.9231794,5.718963,5.13031,11.70992,8.354778,-2.828732,5.188034,9.686087,-2.40149,-18.66121,-4.938397,-1.645815,-6.849014,-0.7129245,-7.668082,-3.856396,-4.062111,-0.0496669,0.7521222,-4.980817,-3.247206,-15.51462,-4.71942,21.83403,37.91832,18.28987,14.78819,43.63306,65.11449,61.33221,-6.883581,36.83301,71.14668,-7.484265,17.87602,58.37258,15.78913,-6.159265,5.728148,5.516733,5.627469,-2.559679,-4.572654,-18.22162,4.572412,-10.19946,-13.71089,-18.52398,-6.212191,-10.73961,-0.7372626,-4.565143,-2.961149,-4.149609,-5.042242,-1.768268,5.958698,7.638203,14.95088,11.68855,13.0558,5.361958,11.28888,6.564617,-10.9964,-0.00864011,-1.476108,6.837924,31.06309,36.59714,23.08755,9.418135,59.39905,50.72772,21.2017,11.43471,74.59959,40.29068,9.05019,30.24388,22.33633,-11.8785,-4.112855,-2.386721,-12.99823,2.584032,-2.730487,-6.873462,-5.060013,7.661193,18.66088,-10.10193,-33.97763,26.11459,10.0466,-21.28176,3.737549,23.72613,-2.413387,8.025469,-18.67766,3.134858,1.900105,-17.83528,-8.415641,-19.15772,3.492265,-15.69941,-3.425823,-20.78628,-14.39163,-17.28095,-57.49804,-3.979332,5.047052,2.776438,26.1906,23.93613,28.4025,-6.538831,3.064946
236171.875,FeelingItInstructionsNoButton,20.62034,5.760683,-5.858271,-10.41882,-6.228582,-16.42388,2.417502,-10.73895,6.631017,7.692505,9.755757,-22.79989,1.73437,4.029169,23.68051,15.69921,21.39323,14.85795,55.20272,19.58645,7.128596,21.49383,24.3795,6.242188,20.91985,-14.57582,14.9036,21.99312,18.28802,-8.790805,31.38909,-9.599895,-12.01097,-9.670501,-3.62675,6.768007,0.2306131,2.771169,13.8331,-1.437881,7.372294,5.185059,-6.201245,-1.334577,-12.08099,-8.994656,-44.97953,-3.765866,-8.062978,-18.977,13.04475,-1.870759,-24.57658,-21.34708,-6.341733,0.3410029,-6.412765,18.88167,-18.39376,-5.01134,11.63731,-2.343466,-22.6879,0.4710793,1.95623,-1.221548,-3.140088,-6.014796,-8.08511,-14.42744,-23.49403,1.42324,-8.477818,6.49068,-20.79306,-18.89735,-14.4537,-2.539352,-19.23078,-28.27028,-10.56076,-27.16057,0.3950569,-8.723741,-24.78765,3.894145,-19.34278,-11.91572,39.86157,-9.463703,-12.83899,-7.143431,-9.160071,0.09299028,-23.83196,-5.754244,9.768329,0.3401658,-5.12494,4.055516,3.394007,-2.355587,-22.82203,-7.622646,5.567652,9.348658,17.33083,12.99537,-0.6116195,1.947212,3.84191,2.468515,-27.04604,1.607298,-3.421008,-13.47208,-19.84249,-21.04027,-11.84043,-10.97805,-1.050596,-4.991747,-10.72528,-18.48185,-5.128924,2.5732,8.230118,13.32287,6.84993,5.169047,17.27099,26.07212,20.76643,-11.9327,13.68616,21.25059,-17.47344,-3.124783,11.6673,-3.392162,-13.6823,12.35512,10.46501,6.718946,-1.00579,2.59567,-8.342279,9.232194,-1.333572,1.834009,1.408696,-3.14768,2.476132,4.735198,-2.965476,-6.460732,-1.218336,2.383052,4.476354,7.037266,5.583083,15.72065,16.69907,15.36371,5.239189,7.534838,5.68964,-11.6635,-11.34982,-2.823257,-7.390546,4.155881,3.921964,5.744927,2.306103,17.67191,8.730716,6.735044,3.3614,26.04199,-3.625299,-9.574272,-17.96949,-17.9152,-35.04555,-32.41956,-15.20948,-35.14624,-4.378448,-9.160334,-19.93181,-28.15976,-12.94608,15.50136,-31.83998,-37.52876,21.90445,4.715555,-26.88518,-0.6015245,21.65169,-11.07885,-2.50932,-25.29281,-4.55732,-5.525835,-24.77602,-15.10199,-31.44155,-3.88463,-18.71739,-14.72667,-30.42734,-21.73078,-25.35073,-64.63853,-12.54831,-4.715205,-5.034841,8.364176,0.4614886,10.65238,-15.57521,-11.0964
272101.5625,InstructionsForEnding,40.71224,34.13542,20.4017,-4.495445,25.51086,14.35767,14.84133,3.303883,25.15839,29.15002,33.71024,4.343791,25.64404,-0.9267588,30.0661,33.09182,37.7281,33.84997,78.72417,19.10562,12.21302,35.31271,39.48369,21.64862,35.87986,-16.92801,20.5156,40.20023,31.4192,4.254215,59.44157,22.62201,13.87263,14.35264,9.331415,36.56656,41.78256,32.9932,36.68617,6.525759,41.65855,41.7833,-2.420361,29.40422,24.86786,34.00257,6.451679,16.16462,-3.564343,-28.73722,41.52493,28.97052,8.40391,13.89423,7.885726,1.377454,-13.76709,46.75542,13.5792,19.34278,13.98839,-10.19609,0.8720134,17.94404,19.06043,21.82026,18.9003,16.43381,14.88599,11.6708,-5.071556,40.72827,16.48085,22.71693,8.726204,12.26406,17.01219,26.64519,14.83014,5.984606,18.76341,-1.600119,26.31129,19.81317,0.3275684,29.72725,2.573453,5.291554,64.17304,-19.05979,-8.310688,3.348247,-3.952136,-17.40969,-31.42311,-4.701432,-4.531014,-6.455845,-4.736937,8.156025,-14.69192,-11.15688,-35.13381,-8.211282,-5.503506,0.0009116754,10.47397,4.80556,-11.16394,-0.4642535,1.094562,-8.491211,-37.9992,-8.914433,-14.57988,-11.67768,5.354133,1.873377,0.9343745,8.288779,3.46475,4.902603,-9.445496,-5.283952,-11.60129,-9.827024,-6.867651,-10.62071,-9.340363,-9.637325,-0.94516,-9.502029,-6.820469,-13.61873,-6.386594,-8.028636,-8.910114,-8.826886,0.870397,6.568463,-16.57245,36.43102,36.51176,28.43808,21.55478,16.7969,6.877656,11.46005,-7.524251,-19.00498,-24.33119,-14.41036,-19.77107,-3.853698,-3.089227,4.543476,11.5263,19.24861,23.98708,30.11526,30.94265,33.74433,35.97172,28.94674,19.95734,23.79137,21.69637,5.975713,0.5943722,-2.908794,13.92526,-2.064178,0.3875902,5.967293,-4.414828,3.764738,4.315813,-0.2696109,1.267346,17.45814,0.6856724,-4.410797,-8.042499,-0.5660592,-11.53686,-18.15974,-5.002009,-11.28454,9.586967,4.88892,7.849117,-2.59188,11.03432,30.00793,-7.25783,-28.45769,38.65231,23.69045,-4.579467,23.19941,38.25012,6.181349,15.42176,-13.07329,12.97456,7.58288,-9.331341,3.167801,-2.166582,19.73415,1.79182,9.92597,-10.72363,0.3347228,-8.920817,-42.74615,7.156582,4.701478,3.03013,-18.4938,-16.12315,-3.121628,-10.36395,1.253721
621890.625,ImaginationSuggestions,5.206511,-9.66643,-16.69481,-35.68454,-17.612,-22.08778,-12.92084,-25.6538,-7.84673,-5.468429,-2.491829,-35.96018,-12.07935,-21.56178,1.042862,-1.261429,1.259778,-4.540705,37.25624,-3.361178,-14.24534,1.720441,7.278421,-12.38144,0.87995,-33.84143,-6.970638,7.164704,0.1200704,-21.06585,16.95998,-10.3753,-11.71063,-7.701177,-6.273731,-2.6626,3.246185,2.556101,13.28866,-10.63139,3.512611,8.862145,-7.263598,-9.31388,-5.49018,3.494069,-25.0359,1.564972,-6.054068,-18.3722,6.422264,-3.648461,-9.738285,-6.902466,2.022207,4.506554,1.079515,16.18596,-10.41535,13.86044,21.22084,3.515462,-8.757985,11.59874,8.427323,13.2486,12.28461,8.51596,10.5655,0.8450655,-16.19937,27.28177,5.049471,21.2166,1.382289,3.201075,-0.5386276,15.94825,-0.6533014,-4.30378,6.047063,-11.64873,17.38379,5.671343,-7.901739,15.61381,-8.265827,-5.240278,47.09947,-19.46243,-17.64593,-4.663632,-10.40788,-1.633672,-27.38352,-12.69879,5.060821,-6.384835,-11.951,-3.317859,1.178444,5.316746,-28.71383,-16.81751,14.58367,8.718258,9.881816,6.29633,-16.93964,-13.45356,-10.82619,-16.84669,-52.56441,-22.82714,-30.76645,-5.823792,-3.517631,-3.482385,-7.582407,-1.853271,-8.454146,-9.081446,-21.14294,-19.95064,-29.59702,-23.65489,-25.60832,-26.02633,-28.77342,-27.96433,-22.48595,-24.25326,-20.54693,-35.61448,-21.372,-21.9101,-24.82285,-23.84952,-13.46292,2.93272,-4.389161,-1.112451,3.146377,4.815422,7.578551,12.18609,1.556803,14.77502,4.008585,2.201162,-0.2947947,1.74178,4.876279,15.09148,4.512213,5.067737,8.086164,13.43592,12.25727,13.16742,11.19522,7.572173,2.577667,5.015114,5.070468,11.58911,11.72483,-1.946802,0.1469004,1.487291,10.70561,-25.96811,-20.90374,-16.95425,-20.42707,-15.18754,-13.85991,-17.03599,-12.40076,1.566358,-21.30467,-22.91249,-26.48873,-23.67208,-22.32376,-24.17911,-22.87607,-21.435,-5.291152,-8.276994,-3.637776,-15.43601,-2.26791,10.82544,-21.07696,-38.3941,20.31745,-4.886842,-31.02874,-14.85199,6.272513,-18.98645,-2.324924,-25.08253,-9.271771,-5.794115,-26.42287,-23.15424,-32.94038,-16.08512,-26.99645,-29.23574,-34.95771,-34.58984,-25.39278,-70.83822,-19.60033,-5.127314,-5.937373,-33.71947,-27.78305,-21.31755,-32.83309,-17.84261
683503.90625,enter,2.950155,-4.713865,-18.36577,-42.6098,-27.23517,-24.30003,-14.5816,-27.73731,-12.28539,-10.39916,-4.497851,-39.73774,-12.99191,-25.6966,-1.425894,-4.669934,-0.5968251,-8.41024,30.77614,-6.87918,-14.90879,-4.28787,3.467854,-10.83405,2.289786,-37.83099,-8.547749,3.162128,4.044456,-24.68394,17.90636,-13.36183,-18.6452,-14.0483,-7.351291,-5.540546,-3.941993,-8.398762,7.323109,-8.904013,-0.3247094,-4.34065,-6.473142,-11.76207,-17.26959,-3.703884,-30.20356,-3.585376,-3.699352,-12.43852,-1.612968,-9.909062,-17.65882,-12.00815,3.870022,4.483026,6.010769,2.363097,-18.11057,6.003075,19.04427,3.659667,-4.504315,6.471496,13.52845,13.97424,10.56861,10.12963,20.71809,22.38903,-7.545546,30.96807,6.256385,23.46518,9.138154,2.288637,8.623329,17.78967,9.637125,7.466295,10.8846,-8.13739,19.46995,13.33535,-4.480427,24.04835,-4.477965,3.267825,55.97166,-12.13683,-10.13983,-2.129318,0.6879729,7.954659,-18.30074,0.05561123,26.58962,7.186456,5.133349,8.357514,18.26299,16.11741,-9.043795,-0.6876504,26.76724,24.79884,25.05222,24.43899,3.35233,4.36479,10.50307,0.3523184,-28.05553,-6.269283,-10.92772,13.49795,16.49864,8.195822,3.168884,5.869316,-1.872212,-1.170551,-12.86157,-11.28325,-19.6039,-11.15073,-14.5154,-16.29669,-10.34694,-16.76701,-20.47258,-20.05706,-16.01483,-20.53796,-11.87506,-20.33303,-15.98507,-13.18879,-10.66063,22.61206,10.02894,-0.9489249,-2.016738,-1.134506,3.055569,10.05484,0.4059661,21.84945,10.50469,12.87205,11.58713,15.82082,16.17814,26.48268,15.35187,12.03203,9.766865,8.650031,10.49333,7.41815,-5.356828,3.087277,0.4795608,1.782398,-4.201828,7.097332,11.71536,-0.2268515,19.10162,22.36812,21.5523,-29.1039,-24.01921,-25.35537,-27.37986,-20.19018,-16.64849,-18.89133,-13.10973,-0.9269612,-25.40504,-30.82576,-25.22577,-25.49219,-24.35894,-33.45783,-24.92724,-24.38297,-5.766974,-10.97764,-5.323193,-17.01836,-5.618357,5.305223,-23.97895,-36.79222,19.05405,-4.470947,-31.52103,-15.04545,9.0772,-19.41171,-3.080255,-19.89803,-2.129867,-1.33515,-25.18865,-23.27831,-29.29301,-13.07979,-27.38412,-14.10514,-40.32096,-35.68202,-25.27122,-71.97241,-18.60834,1.677419,0.7476216,-27.41539,-31.66056,-20.94323,-27.28193,-15.1356
787152.34375,awe,19.82804,13.71975,0.8373376,-2.859618,-0.9012486,-12.41635,0.225539,-14.78498,2.039223,5.553994,11.59237,-25.16276,-5.524451,-10.95141,18.25676,6.932481,12.07224,3.458361,37.05549,6.496192,-4.806518,5.976819,12.47977,-0.9073339,-2.757481,-26.33085,0.1979265,8.13761,1.249105,-25.29159,33.91507,4.236831,-3.805129,2.175314,2.970948,5.066285,13.95819,11.55286,22.79128,-3.133309,9.188783,13.14813,-1.378935,-8.036998,-12.83365,-3.954499,-23.49899,-4.846761,-17.15629,-19.05006,-1.408809,-13.11684,-21.5173,-15.56134,-9.674328,-8.669921,-6.304356,-2.394319,-26.98562,-9.899861,6.405301,-9.680633,0.9946782,-9.074081,-7.33119,-4.644592,-3.314109,-2.008582,6.047374,8.655455,2.896931,15.46801,-5.79887,14.36016,8.196383,-8.273108,-4.56064,14.29057,3.437429,5.183319,7.245655,-1.224427,15.13217,16.89969,2.977014,28.37478,3.060984,11.42885,59.40755,-14.26045,-10.17941,1.454038,4.723419,-1.62028,-21.1771,-5.161387,10.7457,1.712798,0.1120636,10.91897,0.269857,5.373994,-23.69086,-3.635362,13.78053,6.4034,12.22546,12.41788,-3.672026,1.50657,9.767147,-7.230467,-29.58918,-5.123526,-7.055875,-7.416685,6.251317,7.736393,10.5959,11.66077,9.233376,11.19582,4.293947,1.291764,-10.12032,-9.199252,-4.462717,-4.713892,-8.68456,-6.371152,-2.779005,-2.267891,-1.47019,-10.02162,-1.86949,-4.361589,-4.422543,-0.5569295,5.152341,5.698781,-8.713605,-1.177282,-4.494541,-7.949987,-11.28541,-4.83498,-10.75415,1.956349,-5.484119,-4.682729,-6.651984,-4.594059,-4.197083,6.291873,-7.218668,-4.749046,-7.100967,-6.852614,-3.437634,-6.804605,-20.01564,-4.967128,-1.114221,-3.113673,-13.63991,-9.255604,-10.18435,-15.33375,-0.9125141,-2.947648,6.046004,-13.09417,-10.47875,-6.50132,-9.890043,-1.862588,-6.874087,-6.20901,-8.280881,7.995081,-17.50234,-17.96385,-33.54658,-34.23675,-16.28993,-38.06672,-21.79954,-16.92983,-0.2675511,-5.134181,-3.576291,-5.165789,6.108327,1.004442,-11.38874,-25.17671,28.49129,11.20851,-12.49078,5.929086,26.93262,-1.254568,8.398681,-12.69959,9.262833,6.15221,-6.7859,-0.2953162,-8.803047,2.406439,-8.293132,-0.4864667,-5.347222,-7.995934,-6.023524,-44.18478,4.113442,8.834806,8.178074,-19.79949,-20.1586,-3.218771,-2.365051,7.257674
824945.3125,exit,18.60184,4.205511,-9.500829,-36.21323,-19.28414,-28.51134,6.23893,-13.11562,1.518216,-1.485025,3.65232,-33.45879,-19.93478,-10.26684,16.81822,8.005426,8.567984,-3.276922,25.19438,7.892681,-4.467847,4.961881,8.764368,-9.514355,-3.826435,-21.12088,0.9293918,5.980394,1.589997,-27.01558,11.49423,-19.89215,-23.93885,-26.8996,-21.18432,-13.55863,-13.42703,-17.85134,-9.674348,-24.30679,-11.73462,-19.89276,-29.9464,-25.05337,-29.77539,-21.27171,-52.07278,-30.91309,-34.05919,-37.23915,-16.96869,-31.56288,-38.17119,-39.39927,-22.53104,-25.68078,-23.73475,-14.63812,-38.05553,-26.39223,-8.690169,-23.93171,15.72243,-0.5381119,-1.788881,-0.5986297,-1.553217,-3.416584,0.5373882,-1.069608,6.971879,23.68113,0.2550458,11.46455,0.2067499,-3.590957,5.91957,16.72388,3.706763,1.31784,21.80569,13.2538,16.07346,15.4333,18.70734,35.30793,5.668536,10.18737,65.96548,-32.34017,-28.69712,-13.18512,-7.186267,-13.88543,-33.44856,-14.50946,2.757952,-8.145865,-7.59027,-1.071651,-6.024899,-2.053532,-25.51058,-8.913183,9.482211,6.733013,9.327366,9.53594,-9.482499,-1.844213,0.7822946,-10.71973,-35.12064,-12.41909,-17.70581,-12.08069,1.234151,0.4295561,-2.4151,7.487026,3.557779,4.783483,-3.995084,-0.2329843,-20.55816,-16.61248,-14.7022,-17.34228,-18.98852,-18.06051,-18.11893,-21.84084,-13.17177,-22.52761,-15.24719,-15.53232,-18.34744,-17.87359,-16.11954,-4.519813,-22.42717,-17.95723,-20.84204,-21.20211,-26.27066,-19.3448,-20.579,-9.38178,-17.612,-22.2089,-21.73372,-16.3758,-15.70638,-4.215704,-16.62912,-18.11911,-14.10466,-13.15604,-13.47888,-10.05369,-20.23602,-11.78669,-11.93361,-9.524384,-13.58436,-9.871227,-5.48091,-20.60872,-10.80761,-12.59511,0.2391545,-8.679585,-2.740109,-2.537895,-7.750086,4.054996,2.986545,1.597546,6.66081,15.59168,0.2078788,-3.834233,-5.047418,6.439137,18.11928,-2.06245,-2.837701,19.06598,8.862844,0.4270939,8.960785,18.08074,28.68682,3.245932,11.36966,-43.4153,9.895536,-11.47248,-33.95383,-19.85982,3.37354,-15.87232,-10.22094,-26.42283,-7.20826,-8.260666,-17.46419,-13.10663,-25.36401,-18.6079,-18.93891,-28.34164,-13.97502,-17.47469,-17.46433,-52.35941,-7.535774,-5.682198,-5.523507,-32.08321,-21.63206,-17.48245,-3.43929,-7.856857
