Time,Event,A3,A4,A5,A6,A7,A8,A9,A10,A12,A13,A14,A15,A16,A17,A18,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,B1,B2,B3,B5,B6,B7,B8,B9,B11,B12,B13,B14,B15,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C28,C30,C32,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D12,D13,D14,D16,D17,D18,D19,D20,D21,D23,D25,D26,D27,D29,D31,D32,E1,E2,E4,E5,E6,E7,E8,E9,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E26,E27,E28,E29,E31,E32,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,G1,G2,G4,G5,G6,G8,G9,G10,G11,G14,G15,G16,G17,G18,G19,G21,G22,G24,G25,G26,G27,G28,G30,G31,G32,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H16,H17,H18,H19,H20,H21,H22,H23,H24,EXG1,EXG2,EXG4,EXG5,EXG6
3226.5625,InitialInstructions,-4.800429,37.63317,49.00377,25.49183,14.3124,35.7467,30.88443,7.312137,30.85746,-2.014167,2.940155,19.70259,1.00371,5.042003,33.23655,29.69641,14.61935,15.4616,8.492589,-3.170288,-2.734113,43.09983,14.11764,9.245459,-23.06631,23.42712,3.071767,53.10122,12.55075,12.32229,26.35506,-4.884483,40.70193,18.0858,34.27702,0.3378582,18.99168,31.05783,11.65223,3.605338,-13.96249,10.05239,12.03641,1.088898,31.91033,45.23396,-12.01067,0.8031642,26.00639,15.59668,26.35493,26.82224,-5.007588,9.779401,18.46712,2.70225,36.93931,-8.560106,26.79783,32.98416,21.91476,31.84455,32.28288,26.34571,27.71756,24.40558,14.90062,53.51404,32.5478,32.65509,29.78295,27.43489,23.93835,28.35782,36.08124,21.94133,11.83544,22.15853,30.38976,13.48694,6.320662,12.3402,24.8872,43.74361,-0.905629,7.301171,-23.46616,-53.03361,7.518429,33.37138,38.17605,-1.204733,19.38477,-0.9665629,-33.83381,37.57287,25.23063,5.048001,-15.63761,-33.24156,9.069858,-0.2497006,13.49178,22.06018,-2.604302,21.22366,5.969205,17.62579,23.20607,27.75139,25.41059,18.89227,18.66884,13.55619,13.04497,4.077653,1.631588,-15.41562,44.13955,14.72858,18.98171,-7.46115,5.416738,9.832192,22.24446,12.78177,50.35223,25.95332,39.32497,27.45845,43.56543,45.37135,28.77673,19.23205,11.81822,23.23078,20.68712,23.69025,17.88077,24.76967,15.14229,18.75087,16.38782,28.21256,17.66082,12.19111,21.76372,21.35701,22.1361,24.18308,29.45248,27.40709,23.25856,31.04233,25.81053,22.62404,16.50754,10.41043,16.07314,30.57084,31.84805,27.87205,28.70397,29.8589,28.90204,26.94357,17.16828,23.81578,14.63877,63.43358,72.70645,12.08039,63.7835,21.21265,67.54686,61.51462,10.67297,43.76166,-20.7703,29.05849,11.46535,22.52029,14.23276,24.67862,31.94399,22.685,27.95812,12.29877,44.45434,38.68522,2.746685,-34.14898,31.39028,26.81273,-30.9604,17.66389,-0.2755691,8.361966,-46.43936,-35.88105,-26.72062,12.6753,1.382925,30.31317,-17.25966,-8.502404,-3.590187,-23.75333,-8.957376,-24.94949,33.1582,-26.23728,-32.60647,2.655982,32.6481,15.18057,0.8381792,-11.78415
103226.5625,prebase_instruct,-24.40014,32.0808,45.40438,23.41306,15.64002,15.82953,4.125514,-9.95735,31.83779,1.408139,11.46356,6.459763,-20.80469,-20.97753,25.21049,34.231,15.54161,4.46233,-12.98484,2.29004,-1.672613,41.25237,11.63683,4.977009,-27.18577,34.17045,6.035232,55.99317,15.45319,19.79455,33.16678,1.880563,46.86192,26.10773,40.83796,3.762797,25.34966,41.89886,14.07475,7.732247,-9.33162,15.70567,19.00925,11.94861,31.05592,42.65986,-10.00703,0.5209924,27.55156,19.51625,35.56656,25.81167,-1.851517,10.1389,22.03874,4.034381,12.72164,-8.97442,26.9979,32.82088,21.84774,34.41409,34.12446,30.4034,32.00611,37.06945,11.73081,50.28239,34.61861,34.86548,35.45199,29.96172,21.47609,29.76962,35.22208,26.72664,8.623701,20.79753,30.49819,23.0507,22.46429,11.67767,28.3755,33.25799,15.2357,22.22315,-3.101425,-24.50813,19.66541,50.87375,58.39426,17.94015,28.2931,30.20827,-8.186632,48.16854,37.29189,17.26506,-6.533117,-4.382897,13.6676,8.995481,27.28008,18.81335,44.01099,27.19299,19.58858,42.61558,40.84742,48.25885,28.80115,22.08133,26.07167,24.24098,14.75937,15.877,10.66681,5.203525,27.70388,28.15423,26.57688,9.749092,19.85155,22.74432,32.57511,26.78572,52.256,32.94274,49.56036,34.10241,26.51954,59.69938,32.7211,24.26033,12.35832,22.41391,21.89786,24.84919,19.616,23.42648,16.40843,20.55539,21.53031,34.60476,27.51984,16.85121,32.00026,28.2826,25.62639,28.0794,31.31681,29.63377,23.95492,30.17974,24.5646,22.79421,15.54403,13.25741,17.04597,28.20939,29.96444,29.50627,34.85358,33.20969,32.90334,32.33799,3.783432,17.60182,8.175551,50.8516,61.17443,6.949155,51.61362,32.24851,54.98543,53.39738,-8.028854,29.31876,-11.14102,25.0303,-7.163024,12.90058,7.562987,12.47748,31.2507,22.49438,17.76686,7.497279,34.97667,39.97799,-25.96391,-9.125978,39.92505,33.47698,-27.86458,16.53519,-1.381851,4.914484,-37.64928,-21.8532,-17.56261,27.44339,2.933357,27.42601,-15.23589,-19.24912,-11.65907,-28.73939,-6.178042,-54.8411,30.20108,-12.86182,-18.11025,48.27907,50.06332,16.43258,-3.145603,-20.34939
113675.78125,prebase,-10.86387,37.89498,49.93747,23.58333,17.61694,15.67094,22.79367,6.003516,34.99763,4.141197,6.751581,3.885492,-15.21478,-17.11162,37.85408,36.51051,24.73425,3.626659,8.380644,15.27109,5.829788,47.79748,17.07162,2.064424,-16.12653,32.72424,6.073483,53.69751,14.70852,16.928,28.85063,-6.414629,44.36263,24.88673,40.73806,9.108211,27.41032,38.80043,17.88734,13.3062,-3.976153,18.3979,17.02128,11.46708,35.45837,48.33886,-1.66952,8.047208,33.23071,22.43518,31.0855,34.01659,6.135454,18.23953,24.13412,7.394305,6.498753,-14.83045,26.74586,30.64652,21.14781,30.51139,30.50744,25.42375,26.49549,33.63155,11.2047,50.32236,31.30529,29.13517,28.25677,21.21002,20.83686,27.40676,28.9699,23.0176,7.92671,19.01262,28.87726,14.69502,12.59366,3.103464,21.41388,30.04918,13.60041,16.34013,-11.43342,-33.78706,13.14198,42.09111,49.50996,10.57066,22.80837,22.64553,-13.38468,40.35894,27.38636,8.790347,-9.85394,-8.3349,7.168711,1.336933,21.63768,15.77177,34.75525,18.89956,7.22229,25.02275,27.5181,31.83435,25.25036,19.60963,19.97009,18.11299,7.789593,4.491475,3.444067,-4.433951,16.2822,23.6046,19.24122,-4.856174,8.253982,12.32477,17.42312,14.26607,39.2596,21.22267,35.80273,19.83322,16.07067,45.77476,30.01826,19.43427,16.77581,28.75899,26.67173,28.45428,21.9159,25.8462,19.71796,24.44197,20.49743,30.9502,21.50964,13.98577,25.21183,21.93816,22.99277,22.95923,31.25509,28.14061,29.62105,36.25715,28.85915,26.61458,21.283,12.96352,26.4872,30.69436,33.70836,29.90904,27.13971,28.88505,29.43691,25.85535,-0.008000161,9.09713,6.255383,45.3736,53.66074,2.476266,44.23256,13.09392,45.18973,45.167,-8.049842,20.96562,-29.45223,28.70054,-9.069088,9.680781,5.055726,18.58917,30.0379,19.61969,18.96823,4.445477,32.86034,43.25536,-9.749616,-23.03184,31.81653,27.80757,-34.62674,19.83477,-8.409195,3.894001,-34.39688,-23.66841,-27.52317,19.52634,2.016086,25.34364,-18.21739,-6.122756,-7.022623,-23.76856,-7.956521,-36.55711,29.23651,-11.79461,-15.2093,21.01307,31.03961,3.024834,-3.709107,-11.59924
233675.78125,exit,-23.85366,32.6643,45.12635,19.74018,13.4083,15.94137,18.83247,0.4254371,31.47322,-1.590789,10.95595,5.223326,-11.873,-10.75572,33.96314,33.69228,17.58942,1.365385,1.105237,7.608948,3.457598,42.37506,17.61895,1.212267,-20.34978,27.54332,1.034912,49.33734,11.29584,16.99768,30.96884,-2.521809,42.1171,22.71772,39.1936,2.023333,22.5191,42.69556,13.79256,8.426106,-5.363142,18.14425,19.92664,14.48383,33.67724,45.23117,-0.6668121,6.994748,29.63622,20.8927,34.20374,28.441,1.192748,15.70807,20.52154,6.759873,8.567169,-8.969294,20.08339,24.62435,19.10026,28.84895,28.67767,21.58493,22.27389,25.36073,5.768296,47.44476,27.50304,24.6935,23.55113,11.87872,11.80073,20.05776,25.56227,16.57932,0.05130572,8.338275,17.38792,7.526171,6.505302,7.613104,15.63532,19.60052,12.30275,12.67787,-17.30605,-42.58717,12.2912,43.60342,47.65966,7.844517,22.85443,16.73536,-22.09775,42.37011,26.57475,5.346734,-14.45956,-23.16325,9.18437,1.765955,17.65454,3.114065,22.18229,15.69576,3.617023,23.76384,28.52422,31.65532,18.14914,15.00074,13.4614,13.06736,4.722024,2.220754,3.820128,-12.93375,15.5264,24.5523,15.43521,-6.594859,3.993445,9.130084,13.46568,11.26331,41.10976,20.58444,38.1221,20.79212,13.62297,46.09193,20.23599,16.95309,11.46633,21.6119,22.60373,25.46039,23.40703,26.62259,13.46668,17.25159,16.46675,29.69832,22.67536,11.88443,26.28334,19.40456,18.68136,22.21497,29.42546,27.54131,23.85429,30.18012,22.76412,21.42002,16.27909,9.866125,13.67602,23.34444,25.80182,25.42538,25.24531,23.61485,27.26101,23.52723,2.791243,8.195338,6.450171,43.82399,53.98247,5.69235,44.3012,18.017,47.79851,44.85909,-12.69051,17.03734,-3.859465,21.50717,-12.0405,5.150297,-0.6290377,14.93963,23.39236,9.352156,20.09594,13.68474,27.97913,34.91973,-17.81829,-23.50155,32.07996,24.03477,-35.5988,14.07136,0.07161687,2.574703,-48.88099,-25.33994,-23.49323,15.44883,-2.892713,21.71558,-18.26474,-17.14349,-9.693035,-25.86078,-14.49988,-40.07647,25.50622,-20.82172,-27.3168,16.34422,31.00138,10.23475,-27.68371,-24.29766
233992.1875,FeelingItInstructionsNoButton,-11.66199,35.65314,47.28722,25.74366,14.61153,10.32524,12.64332,3.181332,30.69994,2.800265,7.740363,-4.127469,-22.13856,-25.88252,32.828,34.29207,22.26754,-3.845673,-3.22232,14.78993,-0.4153194,45.47776,20.38757,-6.294565,-22.82425,27.53653,2.568029,51.0489,18.37581,14.36481,33.57512,-0.7690078,44.52593,24.72776,39.02833,13.58414,25.76469,44.66178,20.72661,11.04702,1.947106,23.77178,29.5215,17.95615,38.32832,52.65231,5.452979,13.20765,41.54699,33.65728,45.0068,36.6773,8.373346,23.59687,31.14368,13.36319,4.067533,-3.382454,25.824,30.79387,24.82841,34.99649,35.34268,30.88858,29.65485,29.35741,9.008241,48.39119,32.59932,31.62358,27.00003,19.52683,16.53434,22.60932,34.42664,19.58161,3.659864,9.646097,18.38457,8.769764,4.602543,-3.342809,21.01141,30.42274,12.40741,14.74413,-8.280658,-28.84862,22.07953,46.14448,49.33454,11.37787,27.42558,23.83274,-14.51493,49.22478,31.42653,8.711121,-16.51749,-14.38147,13.67262,6.166721,21.83288,11.14694,31.14757,17.86898,6.712034,22.15947,24.59863,29.87545,27.74721,21.82247,17.30343,12.89249,13.92834,7.862108,7.233207,-17.44664,8.317862,16.74253,15.15433,-6.075982,-0.7278332,5.553528,12.36155,7.925638,34.51119,17.86673,35.10952,17.84194,7.473238,41.66709,31.5259,23.57931,18.50777,28.78444,28.89844,31.56402,29.51248,33.38028,27.62193,30.04068,29.01146,38.99319,29.47055,19.85507,33.13872,31.32525,32.07383,32.22542,42.12523,37.75771,34.29234,37.65633,32.03195,29.18591,26.64385,14.51768,28.82266,33.85448,33.78979,34.17793,36.89863,35.77982,36.50906,32.28578,-5.332278,1.022891,5.687649,42.15048,50.65714,3.302231,42.75086,9.89976,40.6254,36.39032,-18.86707,13.85146,-13.97518,29.67844,-17.61456,12.75777,11.54931,19.79585,30.27279,16.80145,21.65072,11.63927,32.87185,44.28595,-22.8486,-24.91436,32.48743,27.06206,-35.49816,18.30734,-1.864947,2.417475,-45.75715,-28.09727,-20.68173,22.34896,3.043874,25.37641,-13.35142,-17.26466,-10.77271,-21.21119,-6.76586,-35.74591,28.46533,-12.98306,-14.96183,11.853,22.46227,-8.021004,-10.86967,-20.53477
269925.78125,InstructionsForEnding,-24.23055,34.3152,46.31136,18.23217,9.627065,14.41674,11.04602,1.053881,28.13154,-0.6470398,2.783436,6.188332,-15.3134,-14.72554,33.8143,33.36283,21.26418,1.312755,-0.07136389,9.972604,-0.2048807,45.0443,16.42114,2.513949,-20.02337,30.67227,4.714973,46.13504,10.54269,9.406784,28.71016,-4.520614,37.03437,17.16215,29.9926,5.789156,17.86539,38.37328,15.33507,6.906952,-11.31729,12.09416,16.99097,12.12813,35.24559,42.99918,-3.758873,2.446946,28.97619,19.24818,39.40807,30.75921,1.575569,14.4742,23.06842,6.922757,12.11931,-12.40134,32.89999,33.8763,22.58271,28.65666,28.8411,21.83781,23.7123,26.80517,23.90818,53.50288,28.58609,29.40087,26.15122,35.43897,25.05195,27.49632,34.85418,18.42911,10.41681,17.65764,26.86429,11.64742,-0.9048746,10.9797,20.35669,24.00505,13.2713,14.73935,-7.483667,-28.24325,19.61973,49.16525,54.11132,12.30954,30.82858,22.1871,-7.077666,49.767,31.32487,9.188928,-12.90941,-7.338219,13.16378,10.11622,23.32021,10.65774,36.65593,20.82255,9.235691,24.11668,27.03523,32.80932,21.02945,15.96001,20.25298,13.94122,9.750119,7.037441,6.941771,-9.461685,12.73519,18.15402,18.62066,-8.19045,3.053187,6.111212,12.16055,7.685694,32.45499,19.29627,38.07954,20.63653,11.55015,44.39479,25.18913,17.77562,14.24167,23.28242,24.23031,24.5296,22.7739,24.8051,17.20825,20.94401,18.69317,35.64787,26.40935,15.38185,29.38352,24.71352,22.16104,25.1303,28.31861,25.44543,23.04859,31.81144,27.80415,25.03765,20.50315,14.71395,18.89771,29.44829,29.20076,26.42336,27.86278,25.65309,31.29418,20.98377,3.346899,10.34525,11.42565,44.54321,55.85034,5.917369,46.09698,9.984875,44.81894,42.83735,-9.958739,22.20219,-10.21321,29.94593,-8.175817,9.540288,6.546764,19.11765,35.35067,29.60072,22.52094,11.83421,31.13624,36.36333,-19.39146,-27.29044,26.76864,24.89792,-39.22001,8.846781,-6.157662,1.337786,-43.15906,-25.66879,-12.33132,22.86256,4.422861,27.77561,-13.45536,-12.26806,-10.97029,-25.26076,-9.188586,-38.20948,31.59008,-10.8299,-15.76044,10.4728,15.16659,-8.842952,-2.623328,-12.58579
619351.5625,ImaginationSuggestions,-10.86666,44.64289,54.31234,27.92019,17.6285,33.79888,32.51381,16.39761,43.2894,7.884101,12.11733,18.75283,8.593045,-6.895506,46.39072,38.69324,21.67198,16.06269,17.19745,25.89745,11.73053,49.62351,19.84657,15.31852,-1.783169,39.13124,11.62821,48.10432,14.78536,22.3465,27.91767,0.09020165,39.82996,17.64804,32.27076,8.304725,16.60707,28.38803,17.13618,5.324496,-11.71079,4.815471,9.685494,5.063392,28.50777,39.92788,-6.094094,-4.785615,21.8286,12.18375,28.39891,23.87227,-4.049699,2.729423,13.35923,-1.735063,4.291529,-2.75387,15.48756,17.75491,11.77936,19.73846,21.22504,14.40945,17.51631,30.15972,8.601624,45.22188,20.56805,21.38847,22.87765,19.44203,15.25079,18.9327,31.95017,15.23675,5.601325,13.24618,20.16235,16.94355,12.84726,5.615021,26.57939,32.37461,5.398935,13.75327,-12.39719,-33.60818,8.45633,40.92655,46.19711,1.581796,20.33636,17.60888,-20.20582,37.89727,24.61955,0.9941883,-16.43177,-26.40868,6.515076,-1.355813,12.3868,0.5569555,20.57183,15.88417,3.872775,29.39179,33.51683,40.27857,11.05748,6.71,13.49196,8.554313,3.396164,9.434477,7.401016,3.047629,23.47217,31.41559,17.92968,-2.468586,8.820136,16.86332,23.1019,18.86781,41.81242,26.75252,48.26172,26.76152,21.6479,54.91439,14.83482,10.74635,12.46834,22.02636,15.38008,16.04324,12.72378,10.3931,6.40767,8.278723,11.30837,25.10069,15.8236,6.230909,20.46493,11.93846,9.821684,10.00822,15.37931,15.49967,12.53042,21.30502,18.50813,21.60347,18.83757,14.07422,15.88995,18.6581,17.85281,13.99171,13.97988,15.87364,19.89121,15.58844,16.88094,21.85844,18.78075,58.49007,65.09145,16.62263,59.2594,31.42004,57.13786,50.86552,0.2063057,28.0024,-9.71844,17.50991,2.541854,9.170789,3.385728,19.76743,23.5874,16.9714,14.06297,10.04663,32.74699,30.61875,-2.829303,-20.34271,31.7044,29.17636,-30.71358,18.79626,1.57707,0.4162657,-49.93493,-30.1505,-20.51674,16.58563,-0.7330455,24.79649,-13.5507,-23.54508,-4.97258,-17.71924,-12.03013,-24.58326,28.51478,-27.298,-32.21255,25.85797,40.20696,19.63462,-8.167786,-20.10045
680980.46875,enter,-9.360507,45.50476,55.25099,33.0154,19.42738,18.20149,20.78752,13.36016,42.60134,9.638858,16.07203,5.02883,-9.508317,-15.65221,43.19989,42.4803,23.07611,3.664328,5.228412,21.41094,10.13295,50.01776,18.74594,1.987275,-16.04325,38.0872,7.808326,52.80719,21.33719,22.93946,29.35339,5.979173,45.82063,24.8148,35.19842,2.121149,27.21466,38.86816,23.45171,12.65172,-4.039966,16.95891,22.52978,12.52702,36.01923,42.33868,0.5243825,4.820438,27.18925,18.52969,38.00615,26.23586,-2.590038,10.00812,15.19117,6.223221,7.522307,-20.75705,16.39108,18.03374,14.15529,19.22246,22.75744,18.02952,19.55095,19.09028,6.461648,39.18875,19.53168,20.11465,21.88145,14.15201,11.40456,15.22944,25.06876,11.47894,2.055368,8.541648,13.57592,8.98371,5.741598,-0.2093693,15.82992,23.73293,8.332578,16.46884,-6.173422,-22.17612,15.28713,44.17665,49.30062,4.180618,20.40471,14.98646,-12.54286,37.514,24.28216,2.885542,-10.08984,-13.76138,7.255851,-2.924236,13.5834,7.656948,29.72804,18.62819,0.3296442,27.84775,28.65809,34.71009,17.11279,10.93083,9.43528,8.582341,3.811911,1.515535,-5.780583,-8.725356,12.33549,11.96958,8.213034,-6.544116,0.06067991,5.552721,14.38074,8.324893,33.54348,11.57326,33.67547,10.39213,11.54076,42.21293,20.42137,12.42119,16.23197,23.55347,18.81565,16.21588,11.776,13.00238,10.59455,13.53879,14.30737,27.43204,21.68168,8.659777,19.11856,17.92292,15.63551,15.89742,19.48943,13.81433,13.86134,22.17237,18.97637,21.14708,22.35952,11.44315,13.89539,18.70199,15.81592,14.24173,16.61464,21.78638,22.44276,21.57641,3.995666,10.85896,5.402444,47.90862,55.88386,7.562856,47.41626,8.709961,45.16732,40.14672,-14.23098,1.231203,-23.77043,19.32891,-12.04662,3.926087,3.422827,15.87884,27.84547,13.05694,11.93716,8.451475,27.66297,38.52193,-17.28563,-13.07144,33.89596,36.11231,-28.07985,22.64476,8.002597,6.759248,-28.40612,-26.79906,-19.34002,23.89743,6.814244,28.90975,-16.91143,-7.848754,-4.693392,-15.34918,-6.028014,-22.50879,33.09027,-14.69649,-22.00162,19.11186,27.50762,10.82342,-9.201907,-14.43909
899031.25,compassion,-23.90828,38.89425,47.77081,24.48864,16.13751,1.310108,8.290754,-0.9060813,31.24513,2.905181,10.21082,-0.1968831,-20.31683,-26.95424,32.95631,34.4735,16.67763,-4.296334,-3.271504,8.590926,3.729192,43.81772,8.438854,-2.695819,-21.10007,22.80493,0.5727125,44.0024,23.30643,25.83294,34.16021,-1.345719,42.84016,25.40296,37.20016,19.52754,24.67389,42.31073,22.0035,14.29969,1.307745,19.45707,25.02693,17.27413,32.04797,44.98122,5.306394,5.50496,32.49256,24.19845,45.37302,25.80523,8.048564,13.10321,23.44446,13.88748,8.414244,-24.0262,18.31592,23.90228,21.35855,27.13195,24.35357,15.8635,19.70031,28.55502,12.79897,46.04746,25.84614,23.22702,20.70653,21.25347,16.92992,21.07043,26.72032,13.43581,6.434944,13.77791,23.8203,10.76445,5.992309,9.429421,22.66722,35.04103,13.56269,19.2673,-2.254905,-20.28739,19.36497,49.37043,54.95985,10.71745,27.30178,19.39092,-2.557285,45.59391,28.75639,7.6601,-13.67647,-5.883944,8.698194,-0.5737199,16.59739,5.755417,37.76115,14.44447,3.308263,27.11047,26.11782,31.5251,17.48537,12.50144,13.98709,9.770373,11.49115,3.52738,4.738799,-11.25291,4.323792,13.35956,6.624863,-11.94666,-0.3295679,4.045183,8.611349,6.752473,29.40856,6.433675,24.47821,5.86887,2.210191,36.52914,17.99966,17.557,12.13959,19.82132,20.45863,21.5621,16.8091,21.22318,15.34952,18.40189,22.70053,33.74343,28.6039,15.53501,28.66521,22.74479,20.46357,17.96571,26.13583,21.26507,21.81485,25.00596,19.866,20.1823,18.23856,7.725513,14.58133,21.15573,21.85725,20.27433,21.94678,19.26556,24.52812,18.96242,-4.683785,-1.696042,-0.7823678,34.95054,46.61934,-4.9871,40.19892,13.69058,39.3624,47.7954,-7.672525,19.5663,-26.27763,17.56637,-6.293094,5.48699,-1.604439,11.55777,20.85723,13.19043,15.19272,11.64512,27.21809,29.06543,-7.362922,-10.11919,36.72244,31.97714,-23.53619,24.6733,6.412891,4.247818,-33.47739,-15.89667,-16.31213,27.85544,9.563905,30.18403,-13.45217,-6.541548,-6.706482,-21.05649,-2.47771,-28.06462,32.48802,-11.04729,-7.975562,11.20735,13.107,-6.743221,-7.161997,-13.6449
954886.71875,exit,-13.76506,37.63448,50.03259,26.78677,16.78514,16.85301,21.62163,13.13561,35.21232,1.307935,11.93357,10.9498,-6.29889,-6.982513,43.68649,38.55558,19.10624,9.039455,11.65881,21.01815,2.808681,48.11169,18.51078,8.695443,-6.760926,38.59303,11.35024,46.94908,17.60242,12.67907,25.54154,3.393676,37.05439,17.07733,27.53469,-0.696723,14.98597,29.97041,16.08191,6.819043,-7.494762,9.479301,13.62704,5.842515,32.23175,39.18471,0.8759028,0.4686008,28.05724,17.19979,29.88119,22.80506,2.575812,9.885047,18.58318,4.189228,13.40443,-3.994715,23.7114,24.28824,22.46172,28.51569,27.41394,20.40111,22.77581,28.81635,13.97371,45.8648,25.46765,23.69142,23.99142,20.13137,17.2194,19.64772,30.47768,14.18142,10.15132,15.19031,23.82962,10.62142,9.032793,2.293955,18.4797,20.81439,2.7773,14.11691,-8.201378,-18.61207,8.710765,45.38486,51.58153,4.670183,25.55412,21.87273,-11.36069,43.12035,29.74313,13.84024,-9.302749,-7.862535,7.333525,4.630355,19.59256,13.53798,40.40541,23.61914,16.35972,38.9568,37.06439,43.49895,20.53721,12.86617,14.71736,14.79481,6.758334,5.593365,10.85741,-4.460867,20.97489,26.08546,21.57132,1.818317,10.54927,18.1796,25.15132,17.09148,45.00929,27.94458,37.95064,26.00891,17.84672,50.89697,22.18238,18.05884,13.16606,23.98888,21.92996,24.65955,18.03262,20.99925,15.64322,17.65704,17.38927,25.90754,19.92794,9.94017,21.62901,18.63129,19.28379,16.9824,29.22599,24.60277,24.17865,30.2877,23.38913,24.06672,21.72756,18.24661,22.49568,25.41082,26.31256,22.93984,22.81376,22.39828,23.40321,22.90892,5.040314,15.79718,11.0438,51.1537,58.64263,7.216551,53.88044,32.14352,51.50784,63.53621,-10.82142,14.9372,-18.97703,19.87665,-9.180188,3.237528,5.248911,14.32638,25.87613,12.49092,21.34819,3.035454,23.84371,33.41771,-26.44131,-12.26499,30.96713,30.92882,-24.56941,24.87126,3.039077,7.245,-37.49078,-21.14181,-15.92756,29.90573,8.095276,26.51993,-8.528302,-23.2871,-10.78281,-21.97178,-3.568476,-29.00319,28.32991,-10.31708,-9.089406,28.59887,43.57876,11.16146,-16.48837,0.8591307
