Time,Event,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A15,A17,A18,A19,A20,A22,A24,A25,A28,A30,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B14,B15,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,C1,C2,C4,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D15,D16,D17,D19,D21,D22,D23,D26,D27,D30,D31,D32,E1,E2,E6,E8,E9,E10,E11,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F26,F27,F28,F29,F30,F31,F32,G1,G2,G3,G4,G5,G6,G7,G8,G9,G11,G14,G16,G17,G20,G28,G29,G30,G32,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H20,H22,H23,EXG1,EXG2,EXG3,EXG4,EXG5,EXG6
4679.6875,InitialInstructions,36.99431,34.36699,15.65285,-28.01106,-2.618212,2.469277,-29.19328,3.962286,22.05944,24.41287,2.114143,13.63944,35.15785,15.60739,-0.371871,-15.62181,-34.86559,16.80694,-34.16465,3.533364,10.35309,8.861165,17.19707,0.2986812,-32.46624,-5.666245,50.85375,5.121091,7.635283,4.589613,27.04604,8.822758,1.231628,11.67727,15.41821,6.72584,-22.95602,11.82697,5.738563,-19.71689,34.46204,14.88685,-7.718555,11.93686,0.6453529,22.05951,3.565121,25.72183,-21.39509,2.371297,19.6209,-11.01096,4.84166,3.34505,16.17303,7.87251,4.19906,8.857912,16.89882,12.06456,34.37806,-23.7549,15.23602,2.309428,21.23747,11.16324,-1.814806,20.85177,1.835513,1.284785,-4.110797,2.969105,4.852118,43.39621,10.22801,5.960302,10.13323,-1.315725,23.26699,17.11042,40.42674,5.701723,13.1051,8.768971,-36.86499,11.71459,-1.335916,14.67954,13.39763,16.97679,-9.600351,2.871141,-2.473416,8.764498,11.79596,-2.947995,-32.93306,-10.52974,36.08096,-7.725279,-13.79178,10.99867,-12.57772,4.501647,-6.868503,23.27915,5.355283,8.458104,12.52248,2.922991,-1.928409,-2.100445,0.2481696,4.841853,-0.5455852,24.70613,3.139282,2.852506,-0.1946404,2.973612,-0.6105332,0.3585068,2.395195,-0.5057232,2.395737,2.560839,3.322198,2.29349,-1.747439,-2.255154,2.651226,6.951211,0.4028732,12.13843,11.89808,6.197946,11.56471,5.933053,10.06902,10.76548,14.01084,35.40637,30.82714,32.35802,14.77183,1.079325,10.30562,9.172379,6.274055,15.44051,3.844875,5.384859,-0.2151329,24.93434,1.133645,8.654755,5.313945,38.73425,14.33175,16.60215,10.01141,33.47789,-4.222629,0.7689056,9.619597,2.580401,-20.58188,-4.034346,-3.467461,3.113437,-9.052379,-10.70481,1.476912,-10.23972,3.746395,-13.11735,-2.895435,-8.15828,2.104973,-16.40017,25.68145,-1.998988,18.68326,15.76106,23.26281,-3.277889,1.088246,-21.6572,6.807441,5.932979,-8.210826,10.87068,-23.70678,-3.957432,33.98187,17.01805,41.40638,16.4163,11.95116,13.97481,4.107694,-15.96852,-13.15194,6.530617,19.98285,38.51805
104691.40625,prebase_instruct,-21.14274,-28.13425,-34.44273,-53.94292,-26.33132,-13.76797,-34.07302,-35.96439,-33.10447,-14.23495,-35.01075,-10.29239,22.29771,-18.49868,-29.00759,-34.8326,-47.82143,1.126069,-60.66017,-6.234586,-12.54943,-0.8427666,2.765955,-8.908669,-47.06295,-18.99995,34.44596,0.1834432,3.224093,-3.287508,17.69814,0.7120906,-3.530515,13.54543,15.12929,8.107843,-13.14149,17.64554,8.6608,-12.83195,39.42103,20.0035,-2.46977,12.38391,5.678464,29.4613,11.32973,34.69807,-13.33179,5.682808,24.35192,-6.397355,-5.063879,-5.029614,21.56473,3.907749,3.341599,11.8278,10.60365,4.954391,28.94633,-20.44349,10.79841,-4.063236,20.45336,8.641938,-12.73906,13.9047,-1.810807,3.238805,-14.26741,-7.703748,0.9662094,39.67574,3.430957,-5.052117,0.9915077,-10.239,13.48671,9.751461,30.02803,7.699077,-0.1336246,-6.857425,-51.00442,15.32791,-6.430313,-0.1608546,16.2468,19.99366,-3.54513,-4.902751,-11.32138,13.45971,10.98913,-5.950322,-33.07119,-3.320663,35.58576,-6.171519,-25.26941,4.386884,-10.18355,-1.137996,-5.043519,23.04317,8.859184,9.94869,2.486731,-0.9918331,-8.256425,-10.29231,-10.81945,-0.9372378,-7.030557,16.27361,-6.597487,-0.2688749,-3.856791,0.6106491,-0.1320145,-4.073966,0.04958113,-2.090279,1.012649,-9.756637,-0.4092624,-0.2290102,-8.414116,-6.409754,-7.68648,16.39013,15.75648,17.20542,13.22371,2.308632,14.12257,7.760187,13.42073,5.250657,18.27129,37.69056,37.96324,11.19065,17.9934,5.383812,15.35012,11.2267,8.553461,11.93904,4.283429,5.55671,12.43501,24.58512,8.633114,0.3134395,-0.004589021,38.48,22.92118,9.997786,10.59886,24.05526,-8.305923,-12.87833,-2.808612,-2.648622,-17.4942,-5.969496,-14.26299,-3.76639,-15.23097,-21.04367,-23.6034,-19.27128,-7.77403,-29.51791,-13.35677,-21.03813,-9.786,-38.32119,5.237544,-25.41348,1.047118,-7.293052,-2.486601,-26.02318,-33.74688,-39.10182,-22.69318,-23.1535,-39.24651,-19.81826,-46.202,-31.29869,-3.418619,-32.12532,-1.464124,-14.92923,-17.55218,-3.588213,4.45021,-30.54029,-24.88259,-10.77436,-11.96795,-9.436883
115140.625,prebase,27.10556,16.52852,12.08455,-33.65864,-5.181311,-1.044878,-27.63354,8.193295,13.11562,16.46544,-2.000026,8.370232,38.82912,9.935526,-4.070541,-22.16258,-48.38392,15.30666,-45.5456,6.215045,10.22548,9.869401,22.34361,4.267536,-28.63068,-1.795855,49.03848,3.707004,12.74218,7.679623,30.68354,16.54165,-0.6491814,20.80224,9.71904,4.047206,-10.34082,19.47403,14.78023,-8.803406,35.67492,15.58763,-1.614561,15.36526,12.31249,30.53362,14.62213,29.1292,-16.62163,13.57643,32.08348,-3.052802,6.80523,5.922424,21.5106,11.14339,8.828169,12.2122,21.21324,19.02414,38.2501,-20.02617,22.50744,11.47023,25.36462,11.8563,-0.2645191,24.48869,6.58461,7.019687,-3.51771,3.955368,8.790002,46.88711,11.98696,7.145496,11.18659,-0.04493365,24.22181,19.04834,40.07001,16.41391,16.67381,10.52943,-39.77062,25.20039,4.60366,18.09018,23.57608,23.37219,-2.939671,-3.951488,-6.052147,14.73333,17.86605,6.200284,-21.09366,9.215183,44.01215,10.24773,-6.950773,10.36043,-0.8975337,8.828424,2.680193,30.13034,7.316856,9.700439,8.832593,3.560781,1.558458,1.367528,-2.759288,2.499129,-1.407707,21.85403,0.7387038,8.402592,4.507755,8.845172,6.832773,4.730248,7.798251,6.906283,9.415682,-4.689175,-0.3135651,3.027203,-4.18519,-11.65823,-8.027334,10.96217,17.33764,13.09114,18.44089,10.75947,17.52593,21.60919,23.49718,19.65099,20.18092,41.92841,41.28196,21.48408,21.30024,11.28268,16.67916,14.22422,21.35731,26.53181,13.65798,11.83794,7.263355,18.81839,2.950549,12.52073,12.25095,47.68418,15.839,13.59205,11.60581,38.13922,-4.282821,3.385667,10.37122,4.808059,-10.61551,1.848389,-0.2177737,2.644845,-9.462218,-14.21105,-17.12962,-8.758444,7.316026,-34.94241,2.59041,-4.649788,5.763144,-21.44267,22.1402,-6.848769,20.50318,11.67534,17.74093,-14.06316,-13.00969,-25.02167,-1.927345,-9.550558,-30.21969,-8.48985,-24.10983,-7.949656,12.86104,2.743044,13.87725,-7.260071,-7.120366,-1.509963,16.73454,4.512516,-2.805754,34.56538,-5.852448,6.867464
235140.625,exit,49.99553,44.48312,37.6013,3.533153,25.7773,21.15621,-12.32919,15.16401,36.56476,40.30884,18.13221,37.84727,52.38689,28.08133,11.47758,7.415021,-27.79537,32.79449,-32.91142,18.52132,22.07655,10.57038,42.47482,27.77586,-2.426161,16.74865,64.60648,23.80829,23.11077,26.26411,40.45709,23.54034,10.18725,28.55643,13.52094,2.80916,-12.52672,10.85912,4.586163,-15.38891,23.77517,9.168998,-9.11148,8.774203,-1.762393,9.494825,-1.185889,17.75469,-26.04249,4.986042,15.42637,-23.27256,2.216222,1.540249,15.74152,2.137919,-3.898784,-8.774615,7.721253,20.35715,47.8979,-25.8635,9.697093,-0.531307,17.33222,1.915332,-5.066429,20.19274,0.7799273,5.380441,-6.694227,-0.8399825,2.772829,48.41336,17.60533,2.760725,7.675072,1.24563,25.15059,27.36323,41.72118,18.92275,22.28109,26.73182,-12.47337,14.32543,9.287611,31.47785,19.63435,34.81899,14.87542,27.01602,23.20302,12.40527,23.96972,19.2125,7.0022,4.509345,48.83855,11.74353,11.03121,23.86156,10.09888,22.85616,23.07275,47.77427,5.937013,5.196517,8.919458,11.14212,7.795846,8.432242,16.55747,16.03892,18.01141,40.55565,15.85078,25.54276,20.54551,24.85535,25.77683,20.27633,23.91875,22.16142,24.81437,19.12768,21.53951,19.92177,15.97062,20.821,17.21073,6.060999,10.19842,0.392558,5.060035,-2.607908,8.30024,13.37838,12.06121,-3.4378,5.297368,25.06687,30.05183,12.47545,14.39289,-11.40794,-5.773811,-10.32995,8.320724,17.95895,4.414161,-2.549048,-5.360491,5.539871,-10.4873,-9.754605,1.012246,28.66398,-1.933588,2.307666,-6.773447,51.34966,7.990057,15.44899,24.12389,21.57991,0.5738064,11.14718,6.988959,20.32611,5.83411,-4.041996,-17.82908,-4.333996,4.842982,-26.51715,-1.123742,-16.86572,2.643321,3.990836,44.80778,21.61452,51.41786,38.24547,52.72772,28.79933,14.77359,5.791066,41.44725,29.90371,20.94088,39.82781,12.17014,20.33757,65.84895,35.55238,67.66039,43.77708,41.84107,43.32127,36.19351,20.97598,14.51657,24.76305,48.43126,62.93822
235542.96875,FeelingItInstructionsButton,-13.4379,-32.0374,-26.7264,-64.63808,-30.49384,-16.83098,-45.84309,-10.53664,-25.32108,-15.71001,-35.1595,-16.34519,44.54044,-13.50861,-22.11106,-37.98195,-55.16044,13.83516,-62.5645,-14.83779,-0.6155797,-7.150869,-6.77971,-19.11179,-52.36771,-27.36917,27.02621,-14.52797,-10.20292,-17.97553,-1.082081,-10.41975,-17.7934,-6.782713,5.680608,-4.236166,-34.19899,-2.679165,-5.073574,-22.1398,29.89808,8.984657,-6.204775,3.552864,-3.642997,14.82318,0.6793876,22.7527,-15.27593,0.6571769,20.4229,-11.7881,19.07752,18.11411,34.72104,22.53009,22.81651,25.2232,27.16496,30.49478,59.20537,-8.428968,31.60523,20.95714,41.27457,27.9474,11.33963,37.06765,22.4717,21.22203,9.254232,15.84099,24.40367,61.70998,27.86121,18.47383,25.2723,15.337,38.18213,37.17986,55.989,1.430776,-2.588497,-7.717302,-47.73175,3.784141,-9.553806,3.837873,18.86871,20.80641,-8.550308,-10.21045,-15.27383,13.31106,13.42021,1.223733,-30.19186,6.801046,36.07717,0.9873081,-7.999714,11.7633,-1.764446,19.50254,20.75657,45.87251,17.16011,22.25186,20.78078,19.34113,19.61564,18.05039,20.42884,28.81177,16.49162,38.72445,25.45873,22.17657,22.80548,28.62416,23.85739,22.8736,27.0376,26.79668,28.4395,15.3953,24.2412,23.87665,15.47772,22.0484,17.91533,23.38835,16.15197,6.764136,13.73068,15.49156,15.51198,19.22762,17.58484,23.68694,14.95364,32.34137,29.25037,16.26875,20.22939,9.774139,15.8856,30.10558,28.08304,35.3137,17.90673,16.45367,7.638685,10.17721,16.27764,24.74063,21.60258,60.10049,30.85571,26.29128,25.82246,43.28349,3.929303,1.648286,9.418112,18.6584,1.024208,5.357775,4.24233,17.48195,6.064032,1.144612,-11.22245,2.330216,16.2222,-5.249208,11.19659,-0.4807303,12.99824,-38.23241,-1.694889,-32.07177,-1.949612,-15.90598,-5.184614,-26.07736,-33.80138,-48.29099,-25.68531,-25.6796,-52.30761,-33.89072,-59.33615,-34.90665,-17.49704,-29.92114,-16.73296,-30.43049,-32.45976,-20.56888,69.13306,31.31554,26.99879,43.31501,-30.74782,-21.87374
302535.15625,InstructionsForEnding,0.01255693,-13.91953,-25.24137,-55.41869,-28.89006,-21.83953,-50.48675,-20.23892,-12.52505,-10.23555,-44.57035,-19.46133,27.2396,-11.10222,-24.84283,-44.17257,-65.96307,-2.132329,-60.0131,-18.60317,3.234772,-14.24364,-4.338283,-12.96057,-44.46603,-19.20191,28.97456,-15.19806,-9.778115,-10.70197,12.88221,-0.3983114,-28.23416,3.05391,-26.50447,-25.86545,-28.22814,8.439239,4.603163,-16.37661,2.166915,-10.46657,-17.30266,4.794433,4.088947,21.62627,4.147591,-3.267377,-31.8076,8.358659,30.74825,-5.25535,4.06262,3.874442,23.5239,18.54312,24.48813,32.54434,27.23017,15.37887,41.5615,-19.64106,25.47938,14.64561,35.11128,22.91978,-3.456156,23.85264,14.05919,15.19149,-5.904913,1.654828,16.39019,50.40614,16.8931,3.925727,9.276834,4.860965,28.17712,19.3573,44.98774,-0.6578969,1.665895,-9.50469,-52.30645,0.2361756,-16.57143,-1.582826,11.1361,17.81707,-14.00146,-15.60034,-22.83287,9.496216,5.361992,-12.76405,-43.89126,8.679792,30.41241,-8.56137,-28.48884,4.305735,-12.49645,8.200408,-3.927752,20.20953,22.07063,16.17544,9.324665,11.65108,1.814177,0.5082971,-0.9368548,1.498485,-2.159227,20.03429,0.02507727,1.830686,0.09528963,0.6338646,-0.2563966,0.282152,1.061391,-1.529819,0.2662892,-3.527163,-2.09653,-1.306452,-3.563471,-8.910062,-8.238944,31.10815,21.76476,-15.84171,-4.823405,2.565667,7.101784,19.27867,24.35379,23.94873,27.34531,36.14009,31.93734,16.91254,16.64231,13.66797,33.12085,38.94079,29.90605,29.11086,14.29087,5.683318,-3.529301,-5.97539,2.049892,11.71432,13.83262,62.30463,38.62469,22.0631,31.19995,27.97815,-11.38572,-8.081316,3.425233,-2.108942,-7.873937,-8.03732,-7.024615,-4.266446,-13.61961,-10.01611,-30.86288,-13.57967,-0.1102776,-26.34183,-4.897742,-14.03605,-2.174221,-38.51188,4.048592,-27.54911,-0.7274539,-18.41075,-3.039034,-19.25801,-29.70647,-41.16527,-17.00689,-23.83148,-36.64409,-15.49301,-44.52109,-31.16089,-3.933465,-12.52293,-2.500963,-14.60084,-13.09727,-13.49288,-3.972431,-13.45513,-11.93323,10.43798,-16.20743,-10.13691
652019.53125,ImaginationSuggestions,-2.542138,-15.89732,-22.60915,-46.01347,-14.70053,-8.362051,-35.91776,-21.60612,-12.12001,-6.469682,-26.62633,-2.084747,25.1635,-16.89708,-22.34488,-28.13988,-41.2949,3.254684,-52.56909,6.021576,-2.153794,-6.24406,3.505202,0.3739798,-34.65332,-8.787548,35.06954,-1.708632,0.3290406,-4.099191,18.52571,5.181807,-12.73674,6.191167,8.988452,-6.471475,-18.97849,5.088484,3.156902,-12.40264,29.65035,6.107811,-3.628065,6.99002,-0.548483,17.88614,6.806872,23.42088,-13.4718,1.443229,17.46897,-9.832423,0.7988261,0.7307792,28.31865,9.491992,6.96484,8.842563,12.03936,14.15798,41.21949,-16.58722,26.95952,5.905535,27.52481,11.627,-5.62074,23.85531,14.65189,8.390939,-7.643023,-1.559891,12.70538,46.21597,18.64777,0.2293765,7.316473,-2.404238,21.41489,15.62967,35.3358,10.74039,0.8949971,-2.254882,-48.38063,12.80698,-3.669647,6.181123,12.97805,20.07693,1.387055,-12.57929,-14.99739,11.8048,11.82071,1.236887,-25.11381,2.511219,37.51258,0.9297784,-21.54356,5.168077,-11.92982,6.646476,9.287291,28.40732,10.95483,14.92359,10.03464,9.734093,-1.881376,-2.165908,3.685851,6.842901,7.7685,25.35087,7.119389,9.383561,5.542592,10.68659,9.582163,5.384739,10.66565,9.457835,10.70506,4.088445,6.044156,9.341101,5.59262,5.112686,4.748796,8.277921,7.137717,7.001122,8.923506,10.66796,12.95456,11.63567,9.831176,7.641834,8.04441,28.24556,31.19067,13.35927,10.49235,4.09802,1.577679,3.057069,7.31283,20.98009,11.31487,11.12438,4.105233,10.92541,11.7765,16.016,11.88594,34.89624,9.698944,10.56075,8.167688,26.92562,-12.50267,-5.684034,0.1476041,0.1446372,-10.63265,-11.05577,-3.327132,-2.578535,-12.21715,-10.82043,-32.73654,-11.92186,-2.545909,-3.126641,-5.51101,-19.6164,-5.136016,-23.54371,10.72142,-16.3011,11.7437,-6.093882,10.55633,-16.91191,-24.70589,-35.942,-8.068727,-17.41216,-31.25285,-18.67197,-34.17653,-24.59008,-6.271216,-9.840089,-6.065994,-14.94839,-17.23508,-13.80883,21.09658,4.232791,-4.459444,20.14218,-13.3099,-11.94344
713632.8125,enter,-3.676686,-5.901731,-7.995893,-24.64521,-4.27675,13.9752,-13.6721,-21.93846,-11.99528,3.216342,-12.25926,15.99678,23.92066,-2.117827,-11.3443,-13.03297,-27.22065,3.303679,-48.32338,9.655335,-2.165046,-7.485267,20.26876,19.13633,-17.55748,4.751762,44.1297,20.97963,20.84409,17.23752,28.88291,14.36508,9.859508,29.17387,22.10457,16.92791,3.783309,23.89491,16.75733,-3.087101,42.10625,27.25521,13.29279,27.00504,17.21838,32.58857,18.62443,32.96312,-0.3968869,17.72646,33.73294,-0.1741611,-5.351287,-5.434619,16.52138,12.16702,11.85135,14.20622,18.55459,10.10454,36.1958,-28.25579,15.6056,8.655251,26.47744,14.15136,-11.31447,14.94232,-1.803297,4.906553,-13.39262,-7.991636,-2.808593,41.49509,14.00999,-6.355549,0.4945428,-2.173017,17.36729,12.00742,34.6889,15.35255,19.31207,11.17673,-24.41111,20.01446,4.562069,22.58438,23.39784,33.64231,3.776326,0.5371937,1.174525,16.49122,18.90785,5.74954,-10.36289,14.96649,42.96754,1.819795,-8.484866,9.320726,-2.958309,9.794986,6.670114,25.11464,7.840692,22.60725,6.305308,1.370675,-1.974861,-3.291268,9.020959,4.886937,-0.8432668,16.67114,3.329149,5.276386,2.812853,9.539839,6.191233,2.73572,9.350771,6.548614,8.768994,-1.999486,4.247435,9.335182,-2.196809,0.2059405,-0.2122651,15.66215,10.91605,17.79006,20.00904,16.94881,24.84586,26.31798,29.40675,23.27192,26.9784,39.60349,37.93111,8.053392,21.29989,14.21365,19.43452,25.6063,25.73776,31.46731,20.89283,18.31977,10.6687,21.86625,4.671433,14.16595,16.75238,48.65457,24.93391,22.01904,14.18124,25.01466,-11.91376,-10.96172,1.464871,3.01452,-18.43206,-7.964235,-4.398219,1.769473,-8.707792,-17.27193,-42.00078,-16.536,-9.11243,-22.99559,-11.8083,-22.43185,-11.15781,-11.00594,25.77542,0.9698004,29.43541,11.06878,29.49221,5.169082,-8.165578,-10.04548,17.87618,8.119883,-4.668782,11.58459,-9.337842,-4.472756,22.98868,-5.10787,23.24285,11.00196,14.04876,11.25672,17.36792,-11.18787,-14.77846,-1.941193,15.46325,19.35492
1261105.46875,love,24.82317,2.152502,-5.982531,-27.19342,3.369665,15.46905,-5.180579,5.051422,20.58392,20.2012,-0.868313,19.19652,37.94105,11.06478,13.61233,9.123793,-3.221739,18.05428,-23.32964,21.80371,15.46958,20.70026,21.99097,19.78351,-10.05458,11.7966,45.29692,24.10836,24.11724,18.59464,37.75997,20.39593,12.79732,36.38534,28.37658,20.1776,14.57179,28.78894,24.49405,4.513412,49.25782,24.94351,15.60394,30.6961,17.73417,33.38016,22.17861,30.28061,2.075748,18.40249,38.99529,4.822577,7.753258,9.767027,30.8394,16.27851,20.2403,21.30194,27.49363,25.94809,51.97738,-8.98313,24.73991,14.74185,36.68979,27.7821,1.962375,31.39764,15.32476,23.75319,1.948185,7.03228,13.46972,51.40104,26.85137,7.745686,14.59846,12.06208,24.46119,24.9172,48.09468,18.7966,22.72471,14.75377,-30.19668,22.92551,13.51408,28.8976,18.29999,31.10807,18.2009,12.67054,-5.620547,14.43421,24.31613,14.11431,-8.042357,9.250437,47.95284,5.402373,-7.01685,8.054261,-4.117685,7.094278,12.49752,25.00078,21.54429,12.44204,12.82348,13.03898,6.077261,5.535037,7.430803,12.86716,9.444468,23.40574,12.56199,12.05977,10.25152,13.56277,10.01156,9.918862,11.37979,11.18048,12.64677,3.277572,10.98213,10.74758,7.184895,7.099518,4.834122,19.90759,12.88329,16.85598,21.03874,7.75416,19.46709,22.65792,27.81406,31.24266,26.09022,39.76637,38.18775,19.58853,20.91585,25.63851,17.45527,24.11294,27.10694,27.04605,13.35545,8.122869,3.400982,19.21212,-1.377433,-6.608664,9.499816,53.66698,26.38144,14.5857,22.66466,39.14874,5.106966,7.669042,17.54118,10.9982,9.74154,21.64512,12.77046,9.538875,-2.303889,0.159912,-20.68467,3.975784,6.657571,-1.801155,5.981138,-6.734347,4.100945,1.292122,27.73587,4.664783,32.78689,11.24274,32.83024,4.43511,-10.07917,-16.14282,7.790919,1.173383,-10.0559,-1.346913,-14.83474,-5.179195,16.63746,0.3674512,14.31976,0.6461204,0.06584364,0.3379133,7.502823,11.62034,19.65055,30.29599,-7.525243,1.928887
1376492.1875,exit,27.05448,20.755,1.258762,-4.873961,-1.068047,8.584373,-23.17551,16.07588,22.35957,22.4245,-1.335472,20.88887,43.01834,13.94071,7.530626,-2.272018,-23.20333,26.27311,-25.24747,6.349511,23.19725,7.159463,11.4826,8.788723,-20.7829,-7.973147,31.72293,13.64783,7.68639,3.209037,14.47781,3.606604,-2.6817,11.43216,14.1324,-2.90947,-14.31573,-0.3142005,-3.964782,-15.44418,28.05663,2.938086,-4.91571,0.6465623,-10.54625,10.71893,-1.684176,16.0405,-10.05419,-5.062275,12.39549,-19.11532,1.040469,2.69268,29.26423,13.21736,11.25133,4.658919,0.6405857,18.69174,48.83845,-15.09547,33.73295,11.75906,27.69451,11.9115,-3.834798,24.37039,11.95897,13.67373,-4.622048,-1.127996,11.71466,42.41068,25.1305,1.305406,7.931065,3.001432,17.6353,20.79516,36.81758,6.473965,11.1283,5.558567,-26.333,9.61938,1.143707,8.075794,7.305495,17.76884,5.771251,-0.7839913,-6.339742,8.618709,12.36976,12.4756,-11.49996,9.326105,33.81944,0.2902609,-5.278756,7.816297,-1.011784,13.00721,16.84837,27.63402,-0.8964075,3.040589,10.76985,10.39921,5.928363,5.61082,5.824308,9.210202,8.383461,23.58895,20.06257,12.01736,12.73986,15.74131,13.86672,13.29219,15.99738,14.2694,16.04178,9.153469,17.05622,21.93603,7.429105,14.71095,11.54814,7.382777,0.001141973,2.928244,9.316405,4.018237,6.109899,8.874125,6.165668,6.457853,4.242528,19.08142,21.49817,1.333476,5.674453,7.714816,3.997161,13.4439,12.75582,19.49398,6.020798,6.002263,1.766515,9.601395,-0.05357233,8.115057,10.33708,44.46672,8.061235,7.420807,6.33911,43.14027,5.79312,9.210043,20.0345,14.68234,-4.344009,16.03005,14.75004,10.30725,0.6906843,-8.930141,-19.86246,3.303935,4.742484,-13.1908,3.350401,-7.062533,0.6932128,-10.64434,20.10156,-8.675538,24.96523,2.461967,25.98492,3.061949,-15.71369,-16.92495,7.172447,-0.6059246,-11.63535,-3.534184,-8.316011,-12.41854,21.15376,-0.8994765,19.0429,-0.9959939,-2.249367,1.991165,22.95368,0.4893544,2.080597,24.32114,5.444208,6.168573
