Time,Event,A2,A3,A4,A5,A6,A7,A8,A9,A10,A15,A16,A17,A18,A22,A23,A27,A28,A29,A32,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B14,B15,B17,B18,B19,B20,B21,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,C2,C3,C4,C5,C6,C8,C9,C11,C12,C14,C15,C17,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C31,C32,D1,D2,D3,D4,D5,D6,D7,D10,D11,D13,D15,D17,D18,D19,D20,D24,D25,D29,D30,D31,D32,E1,E2,E4,E5,E6,E8,E9,E10,E11,E12,E13,E14,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,F2,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F19,F22,F26,F27,F28,F29,F30,F31,F32,G1,G2,G3,G4,G5,G6,G7,G8,G9,G11,G12,G14,G16,G17,G18,G20,G22,G24,G25,G26,G27,G29,G30,G32,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H22,H23,H24,EXG1,EXG2,EXG3
5472.65625,InitialInstructions,3.895866,2.126414,-4.999301,3.615345,23.44715,9.840964,-11.55916,9.808468,12.12683,14.4008,14.88286,7.161009,28.84008,12.00443,-8.815794,31.15196,17.77955,11.56805,13.71763,27.15172,8.628144,-1.337468,-3.783825,26.53605,6.921901,17.26777,21.55249,26.98027,-9.360149,15.30178,26.97565,11.74184,7.92913,6.307501,27.85786,23.64389,-4.126756,37.62161,23.99928,25.55279,22.20447,22.62378,4.483716,26.16807,-7.929293,28.88401,33.87262,4.768646,42.01587,51.69938,63.05784,20.95257,32.54211,31.44206,28.57416,19.39715,23.55707,17.06331,42.35937,27.72221,21.81875,30.92735,33.11139,30.72985,29.37689,34.60908,34.79319,15.80916,15.07582,30.77917,20.47897,5.092374,52.98094,10.89133,14.40855,1.735498,-37.54021,8.974355,-2.035615,11.35309,-9.403677,-2.430863,23.34627,3.741941,9.074345,-19.24652,-1.314261,21.67968,0.8446141,-0.3724054,-35.29889,-6.25475,-10.12048,17.5485,28.77085,29.93736,31.00445,33.84035,37.15285,26.24814,15.97223,21.88532,9.130136,2.779731,7.873895,2.548651,19.34112,-5.057795,-6.218139,2.311994,8.540026,7.858677,10.13266,6.555455,17.0437,6.722472,11.13756,4.185599,6.423975,11.72186,27.37023,33.06269,32.82461,30.3731,26.39922,32.94953,24.10933,25.14547,26.5143,22.87165,6.823438,14.21057,17.8552,4.131059,6.825068,24.17362,25.21649,24.96687,35.36891,40.63237,29.63565,29.33245,21.44018,25.46056,28.65705,29.91079,5.852253,1.636521,-1.039972,8.80606,5.354497,14.22446,-2.041757,7.314111,2.044383,9.933654,13.98934,18.87826,-1.44747,-7.526488,41.4898,11.90117,40.91922,43.1045,30.31894,45.92628,31.67884,1.718585,15.33496,12.23617,-26.36373,18.99382,1.783222,0.3967477,3.566267,18.15708,-0.3019665,-8.042492,-24.83549,2.032888,-13.3437,-44.49784,-13.61542,-17.80556,12.36641,-33.16212,-3.036146,-10.01454,12.24162,-15.54287,-11.73781,-10.7527,-9.498949,6.520993,-11.96049,-7.849013
105769.53125,prebase_instruct,-27.98796,-27.16643,-24.28232,-4.945986,6.063023,-15.60097,-10.95174,-8.681067,-15.05833,4.717105,6.429701,-10.3805,7.126801,3.310362,-19.28099,5.605726,9.038425,-2.717785,-20.74364,7.209052,-14.36211,-22.59091,-28.69784,3.477883,-15.17855,-8.301798,-1.424562,4.729376,-36.03246,-7.254197,-2.163814,-19.76299,-25.67737,-25.24567,-5.56252,-10.63137,-36.64955,6.488317,-14.09832,-8.061022,-14.12671,-12.32527,-26.81886,-8.607029,-49.58718,-11.30548,-4.315966,-32.10157,10.07488,-6.297637,5.697431,-38.25249,-26.74594,-13.44602,-19.11332,-6.558396,-26.27088,-27.13816,-7.412124,-14.20109,-23.17732,-15.3668,-10.91113,-1.945221,-4.47345,-11.34812,-4.36726,-18.05158,-14.5511,-4.151923,-14.96076,-21.98651,16.9358,-17.43333,-14.57071,-23.72546,-62.62816,-20.26848,-27.93393,-15.37335,-28.18184,-26.95337,-5.267103,-18.529,-11.51193,-48.36107,-34.73497,-9.466307,-18.27482,-28.84826,-43.22827,-18.82133,-22.3122,4.911665,-8.493856,-13.0421,-12.02075,-3.483342,1.03596,-4.575205,-10.7697,-7.855505,-13.95895,-23.37559,-11.49937,-13.83391,-0.3412084,-12.40921,-10.74781,-12.1631,-13.21736,-5.365815,-2.765761,-3.653095,0.6169434,-6.915231,-6.302572,-14.77068,-8.126125,-8.958105,-23.04192,-9.330962,-12.32452,-13.55539,-13.02094,-13.27558,-9.646641,-15.2788,-13.18643,-15.06245,-20.95685,-17.82809,-15.62795,-36.72023,-19.14135,-19.10913,-17.73902,-24.15003,-5.777566,-9.229856,-25.75057,-21.88024,-16.74714,-17.47094,-8.497606,-14.10324,3.889734,-1.035663,-8.87574,-8.864961,-0.09972944,5.00954,-10.81281,0.5838929,-2.03704,-10.43316,-4.361301,1.820035,-23.2084,-24.57679,-11.0186,-16.61089,5.713368,7.883841,-13.53887,1.187396,-11.52708,-25.51794,-8.86168,-13.52715,-50.7011,-2.91077,-13.45991,-19.26548,-17.80951,0.605966,-20.11113,-27.68579,-49.25541,-19.55563,-42.29383,-75.46299,-40.68391,-38.56877,-10.09499,-57.24302,-26.40318,-44.00138,-17.21457,-51.85749,-37.24633,-43.1852,-41.13264,12.23999,-4.129945,2.975776
116214.84375,prebase,1.111146,1.305007,-5.191884,2.09049,13.0774,1.275978,-21.30181,5.078709,6.990192,6.505706,9.744454,5.587465,23.74977,8.480807,-10.13405,25.1179,16.20659,6.810605,8.089955,18.23496,3.046757,-2.561574,-3.545932,26.80165,2.985343,10.30384,19.10151,23.20017,-6.849946,15.13314,20.74696,5.044499,4.999928,2.225286,25.12651,24.05804,-0.1994171,41.04647,19.3604,18.84626,18.42128,23.35962,7.520943,24.77325,-12.49905,21.75981,33.67409,5.913991,52.6161,59.73953,70.2543,18.82122,22.98938,35.86918,44.99385,35.99269,30.73771,34.48011,44.62732,35.16657,38.52297,36.14538,48.94553,37.03175,39.72392,43.1967,41.52383,32.82008,22.81134,40.55785,29.6825,20.76023,60.843,18.41685,19.28325,7.596154,-34.58056,17.75411,11.5824,14.08537,-3.801903,2.723862,28.6319,12.96671,17.46555,-15.72939,2.154455,29.97909,7.752048,2.03455,-27.81501,0.5096753,-3.433825,22.64642,42.0203,35.98722,51.9287,48.07195,57.41721,44.16246,29.08593,35.77381,21.65302,19.28235,31.72383,23.89613,23.36547,3.70022,5.338233,7.092478,14.61451,9.903074,12.88426,9.332943,23.16268,16.10036,19.25768,17.12129,16.17055,21.00181,34.41962,44.30013,26.00977,22.54045,22.60445,20.30888,21.75565,21.31182,26.51334,26.71298,14.33984,22.86756,24.92048,9.220881,28.10038,23.97589,15.32562,16.11797,31.46924,35.28188,38.59878,29.26179,22.22819,36.58886,36.8,34.71994,0.7397757,0.9782084,-3.407949,1.361639,10.69249,17.19796,-1.793579,4.456603,8.828989,14.13246,13.43024,35.43243,15.23859,-6.410342,44.33641,19.46887,51.4437,52.81162,37.77702,51.8269,39.46108,8.38399,30.58957,26.87367,-23.31307,21.4817,5.994078,-1.616182,-3.171717,20.42471,7.205656,-5.724463,-25.19053,11.1789,-9.813406,-39.18821,-7.048085,-11.63005,10.46532,-26.80782,4.811381,0.3085692,16.04781,-8.294863,-5.749124,-4.425444,-5.161881,3.832654,-4.184056,-7.82951
236214.84375,exit,20.15827,26.88356,24.24086,33.03938,50.01924,30.0872,0.6347656,29.62611,28.75882,21.05396,25.25525,21.88221,47.44176,21.11811,8.586968,45.08743,32.90755,25.10945,17.89313,50.07761,30.8757,25.88965,16.43063,38.60611,35.08729,36.6057,41.29729,39.5109,6.48375,39.8862,41.6371,29.60133,23.4195,17.30739,27.54337,22.07037,-2.078652,49.4639,25.75094,24.80497,15.94933,16.49922,-0.6085138,18.96807,-9.776814,21.52209,19.39416,-5.713523,31.11226,41.31372,50.00927,4.939043,18.48958,6.367421,5.670435,13.25979,13.04429,-3.340198,21.957,12.9804,0.9990005,18.91113,19.39971,20.86272,20.33916,21.31325,24.86498,4.700833,13.17202,20.29548,9.533813,-2.649142,40.38197,18.28618,24.78524,16.47636,-21.82556,8.062808,4.242112,19.10007,-6.952741,7.247072,5.306801,6.622653,16.35948,-13.79319,-13.04015,10.69476,4.352566,6.411306,-24.76357,-4.155154,-6.241183,17.23948,12.53405,12.34241,15.31357,16.15677,27.08624,15.21049,7.152251,14.26737,4.822177,-7.102341,7.728772,8.478673,13.98182,2.900022,1.615925,3.190957,-4.914508,3.479093,11.02114,5.895757,14.65226,3.55563,15.3096,8.413869,3.447559,10.6121,4.379807,13.40094,31.15063,24.14002,19.50115,15.559,18.59838,10.30075,10.16568,6.588425,0.715294,0.7142231,5.768197,-13.02232,5.535106,3.02827,5.343166,7.959816,41.10395,26.18454,20.21494,11.25777,5.73745,-0.7477641,10.14348,5.552741,13.61351,8.738182,8.996537,13.87023,10.60165,11.73523,8.796531,21.9782,8.686965,-0.1621008,3.864842,-3.470738,-24.89805,14.43739,32.61043,18.4746,43.99224,45.47764,26.29356,40.46127,29.12054,8.593551,9.505873,5.119204,-4.443293,40.66827,26.08499,26.69176,29.5178,46.43437,29.25195,15.18381,-3.889107,25.53179,4.741738,-25.55158,11.43566,10.96509,35.99217,-3.09524,29.07871,18.47333,39.67188,3.294913,13.09322,2.949585,2.59151,7.623386,-4.307531,-3.32571
236273.4375,FeelingItInstructionsButton,-11.70965,-9.573027,-15.69287,-1.433179,6.936807,-10.65298,-23.73367,-2.879579,-4.624543,-6.729111,-1.39588,-7.402073,10.68686,-3.550352,-19.56033,20.38066,6.914854,-3.750335,-13.67218,11.11014,-8.973926,-14.30141,-19.33595,4.18509,-6.74724,-1.174197,7.739374,4.22896,-27.84876,-1.433036,7.559933,-13.25423,-15.52234,-12.32574,2.915896,0.1808877,-21.49574,18.23146,-3.424843,-0.5344685,-3.556791,-0.4737108,-17.05673,-1.189068,-34.25921,-1.585069,3.787734,-21.47837,25.36602,30.51466,43.89755,2.867215,2.9654,6.552265,12.42203,7.869998,4.162951,-7.818163,22.88182,1.179679,-2.589129,11.37178,19.19013,11.56303,11.97511,13.88806,20.9363,2.414045,0.5582725,13.28399,6.226499,-7.396675,35.85538,-10.49396,-11.411,-20.00948,-58.94129,-14.44853,-28.99995,-18.18676,-36.33084,-30.76368,-1.316758,-24.56331,-20.3623,-49.28896,-23.99642,-2.04159,-24.84311,-38.50665,-56.03463,-29.76807,-32.73186,-8.010262,17.72654,1.446887,19.82833,13.54825,28.47884,12.70224,-7.811198,6.178745,-8.113585,-11.17453,-2.060755,-3.917403,-12.6489,-27.37749,-29.28953,-25.75549,-23.64086,-26.34771,-22.3753,-26.02339,-11.15688,-19.33347,-14.92283,-12.38064,-20.10231,-13.6369,5.586797,9.008518,1.905656,0.9982423,-1.595662,-3.940231,0.3740475,-1.608972,-1.612023,-4.778292,-14.82046,-3.567849,-5.11254,-22.12785,-1.435539,-5.909554,-6.110913,-3.622331,11.15503,18.05375,20.12222,2.942275,4.327878,3.584871,5.277525,7.568401,-11.42993,-12.59002,-14.07165,-10.67268,-11.95601,-10.39209,-10.62479,-6.679604,-14.11376,-18.7955,-11.18024,-4.251933,-17.07697,-18.534,20.4578,-6.42462,21.08422,23.31159,10.77748,24.42744,12.6744,-15.28301,9.948581,5.997875,-41.33502,6.634969,-10.48928,-9.816025,-8.62851,10.36104,-5.049776,-20.70925,-37.36261,-7.051923,-26.8303,-57.45717,-20.26229,-22.00467,2.225084,-37.81701,-6.780488,-16.13326,6.688606,-31.33477,-17.23242,-27.01773,-26.4477,-25.23926,-38.55928,-23.46098
303265.625,InstructionsForEnding,7.099612,11.51936,11.18,12.86991,27.56137,9.041338,-3.171779,17.90334,17.36851,23.40892,19.85491,5.717732,28.59706,19.51834,-2.323547,24.00355,25.90426,14.30298,3.915241,35.45282,18.68949,18.73707,14.45488,40.79116,15.84547,25.06825,34.87638,42.02526,6.032153,23.07135,30.98947,6.368876,1.795987,8.527186,25.21449,25.08842,6.037629,29.21382,13.0549,18.21037,14.20072,20.69134,7.891007,6.851001,-19.22683,17.37934,25.93493,1.605046,51.85064,44.65994,52.86797,14.11661,11.5322,19.37081,18.00173,41.36049,21.66735,22.2093,34.14142,25.66221,27.91055,36.52628,33.18471,34.45094,38.8119,43.9869,40.77114,26.30131,23.386,41.09694,29.40091,26.30535,58.62847,21.38977,26.20886,19.29815,-20.42363,17.80444,10.81958,16.25363,2.575153,12.90654,25.86997,15.03987,25.67934,2.237954,-1.282634,24.58579,20.56698,15.9242,-12.19528,7.843493,5.450717,28.85556,23.51472,25.50108,26.8611,30.53403,42.15062,42.04031,28.25129,34.99813,25.36554,28.70413,34.9221,33.18835,30.03127,11.59148,11.38849,14.34037,18.27843,19.38231,19.96575,22.63627,26.93983,22.27829,29.93324,25.76547,21.89867,26.96268,14.37352,25.94285,15.08035,14.00574,10.39638,11.26998,15.14846,13.76496,17.53377,18.6956,10.24259,10.82323,18.09263,-0.7483266,9.746818,10.47895,3.554259,5.103351,22.56915,21.38801,29.44303,13.70936,12.43684,14.78794,19.37086,20.32428,13.13864,13.23784,10.26336,11.76652,21.62537,31.98874,14.9495,24.0015,18.17637,22.76338,23.56361,31.48121,7.013138,8.710912,32.5204,24.98942,37.9488,40.0326,28.15736,40.85642,30.02392,16.39736,28.16758,24.21708,-5.203323,40.50484,23.83253,18.67696,15.7339,39.52028,29.98931,14.84332,-0.9596976,32.04862,15.99047,-14.92674,9.872883,6.533175,25.91213,-6.628546,22.69719,12.37762,33.12136,12.3282,11.78678,16.67824,18.61697,21.68093,-3.247281,5.596988
652738.28125,ImaginationSuggestions,5.362776,6.052941,4.717142,14.61811,18.98459,2.897323,-0.4180873,16.89684,15.44204,12.60759,19.75445,9.321874,28.97487,12.7181,-0.5768127,22.19395,23.51711,11.31274,-3.712337,24.66022,7.678156,4.82793,0.07397188,25.52192,6.615994,11.81852,19.09561,25.0193,-7.465577,7.690436,17.04206,3.029108,1.863375,3.338799,22.32104,15.77411,-1.732929,29.9921,21.40841,20.26521,18.07821,18.60695,3.906835,14.93732,-13.63519,19.81641,26.60089,2.694256,27.00609,21.01033,42.00224,-2.724832,10.18343,7.593987,3.923906,14.77336,-1.677449,2.336193,20.43774,11.73729,8.760585,14.92184,12.67079,9.917444,13.38529,19.27837,19.34177,1.725619,1.000784,16.23202,7.700863,-2.140059,36.46922,6.643579,9.895263,0.3737049,-38.13395,2.659122,-7.747462,-1.543956,-20.09232,-1.54855,8.496298,-4.010753,8.655473,-23.03173,-12.6674,6.637942,0.5014034,-5.243998,-31.94829,-7.370654,-6.872961,11.2723,4.005633,6.107752,1.684608,9.014233,8.302986,8.03823,-3.818163,6.867313,-5.527443,-2.698701,10.61252,6.2695,14.3685,-2.718222,-11.81866,-3.571122,4.959826,-9.599813,3.363588,1.8409,2.17938,0.7013425,5.815761,3.979793,1.307323,8.162809,1.516424,6.922194,13.96111,17.54595,19.08987,19.51238,21.26429,19.24282,16.49403,14.05575,5.460947,0.9430001,12.08628,-4.81708,14.95843,11.60528,11.75285,8.399438,18.72248,12.7014,15.15795,10.57263,10.32331,12.69649,14.90452,8.2206,8.02166,3.22332,-2.305093,5.655921,5.273986,16.57222,0.6403221,9.091266,1.888052,4.437455,6.250253,10.55766,-2.591634,-3.159281,14.1186,3.536947,19.16311,21.91994,6.701548,17.30204,7.816219,-4.670117,13.433,8.255778,-16.40708,24.75855,10.20338,10.0862,7.783785,31.59166,18.503,2.818564,-14.12636,15.62765,-2.615094,-32.19225,-2.793343,1.213122,16.5922,-11.25598,13.64463,7.374848,25.18871,-7.464159,-0.1782954,-4.728951,-3.728532,4.00826,-13.91544,-1.714546
714632.8125,enter,-23.93318,-25.45195,-31.62752,-19.65858,-10.70695,-29.13325,-43.05877,-14.92529,-26.21334,-26.02054,-13.59605,-24.5701,-2.160509,-25.63701,-35.42498,9.192727,-12.56054,-19.14401,-21.08017,-2.856079,-19.43333,-20.50466,-29.44329,-2.05863,-23.48943,-19.02077,-12.43813,1.632027,-35.52032,-20.31868,-10.23492,-24.67148,-25.9578,-19.67845,-2.079735,-13.04608,-30.75116,8.096669,-5.232549,-4.170726,-7.556807,-9.885189,-28.28918,4.923913,-32.68612,-3.051152,0.9026615,-27.51817,-7.581578,17.74166,34.05156,0.4760095,17.76429,12.61989,0.1829699,-19.03628,-7.75442,7.755823,23.16659,-17.35063,12.6843,5.038877,-0.007884741,-18.26962,-14.883,2.439368,0.8921371,-13.82886,-27.95928,-13.04173,-16.88215,-35.52593,9.499165,-22.30347,-17.28678,-24.59708,-58.63876,-18.66239,-28.94668,-23.6445,-40.77291,-33.03757,-21.46759,-36.81725,-29.49779,-56.96374,-42.3344,-27.76429,-42.44048,-44.90947,-78.49689,-56.29574,-55.87801,-37.69417,-3.075654,-21.09031,-4.43041,-5.246124,2.076426,-15.00702,-27.11201,-23.92799,-39.97312,-40.07069,-31.32272,-38.24604,-36.19529,-53.78822,-47.09112,-51.68877,-47.94135,-43.25085,-45.60249,-43.73558,-36.833,-42.03716,-38.70842,-35.70351,-41.89874,-36.98368,-3.374982,-7.452309,-5.024533,-4.267357,-0.5863291,3.824519,-0.2241915,-1.489182,-9.833793,-21.36835,-29.55548,-24.91107,-20.04532,-28.87147,8.60725,2.288096,0.7604328,-3.566,-0.1498756,10.92412,9.639386,6.692304,10.34666,-0.8500948,-5.217003,11.69124,-36.84518,-38.99345,-40.96997,-41.37545,-39.1296,-24.90614,-33.65156,-29.86341,-40.12051,-43.0596,-37.06709,-25.51136,-46.66825,-51.3443,9.320077,-32.23326,5.662075,8.494451,-3.577013,7.097588,-2.660395,-39.99367,-29.55183,-35.05477,-43.62301,-4.390046,-18.20094,-20.2927,-24.66493,-1.447878,-12.33179,-23.7005,-44.48484,-15.80008,-32.14927,-63.61221,-38.99687,-32.73104,-16.87064,-51.34732,-23.63117,-37.4185,-12.27695,-48.35989,-36.75314,-42.59627,-40.99932,-55.59677,-60.24929,-48.43643
1045515.625,happy,-35.44101,-33.13882,-29.81594,-14.95789,-7.035668,-21.44074,-66.9295,-25.40819,-32.264,-42.07565,-31.52533,-37.60778,-16.37567,-41.01111,-44.85614,-8.08669,-26.42221,-38.55114,-43.43008,-1.004582,-15.42037,-17.67841,-23.18475,-4.037424,-15.23311,-15.78724,-4.972945,-0.4859841,-29.25691,-14.66256,-7.185427,-24.12982,-23.20256,-16.77946,-8.340051,-12.68521,-25.8265,0.7813231,-8.499152,-12.01483,-13.20956,-11.03178,-25.83413,-14.52866,-44.98633,-15.63947,-8.771962,-30.30884,-19.59064,-12.40215,-1.326234,-35.79023,-13.92302,-19.27707,-22.84601,-29.97914,-40.74066,-20.35111,-8.461289,-42.87343,-15.17758,-17.47981,-16.09453,-31.97438,-29.44053,-18.53542,-16.71468,-28.60435,-43.60109,-27.08805,-33.84111,-47.14961,-7.354301,-19.44674,-21.57108,-26.02692,-63.73001,-18.67899,-31.49852,-28.54622,-36.1637,-43.1085,-7.937757,-28.9694,-29.32218,-53.33983,-34.08263,-13.1171,-38.01584,-42.61375,-66.10558,-46.22871,-46.31277,-31.51497,-13.91182,-20.11145,-17.01853,-11.14166,-9.557857,-26.55705,-36.15844,-28.90226,-41.05823,-52.19239,-39.46126,-39.95905,-32.91381,-48.40338,-45.33378,-43.38879,-41.02064,-50.71539,-43.80737,-40.08363,-34.55821,-45.848,-40.06051,-38.16265,-44.57397,-41.97021,-20.03223,-12.61422,-20.36927,-19.31528,-17.61764,-18.87106,-13.30829,-17.83839,-20.07612,-18.14285,-32.19733,-24.18599,-17.92426,-33.15977,-4.92204,-26.34217,-24.47092,-27.96635,-18.83227,-23.69716,-28.10932,-27.43209,-23.87455,-20.66518,-17.77164,-21.22434,-43.51037,-45.46328,-50.74736,-46.52276,-41.89632,-39.30308,-44.27905,-44.30627,-44.55635,-43.61047,-42.19289,-33.6344,-53.81562,-51.9091,-23.81631,-35.45704,-23.53401,-20.36993,-33.66161,-24.97985,-32.45037,-40.28238,-32.86374,-39.78626,-41.30152,-8.071004,-17.57493,-16.24212,-25.31191,-2.856182,-13.41435,-26.52214,-46.71189,-18.02485,-40.70885,-66.53051,-37.5635,-33.42134,-18.74471,-52.73,-26.56108,-42.05568,-18.06711,-50.77052,-36.00651,-48.32348,-47.29803,-34.5881,-49.88026,-45.33498
1065281.25,exit,48.20744,48.27155,52.58031,48.6161,73.68595,57.81151,66.77077,74.55054,61.96645,74.62228,72.11255,61.36673,84.07441,70.9157,59.15968,60.04815,84.98352,71.94306,54.98932,75.10339,65.09708,62.6226,56.47565,78.28323,64.66261,68.56111,73.49773,85.42287,47.71176,63.69228,73.77119,59.88021,58.62841,66.26015,78.63753,70.90756,56.28721,81.96187,76.61282,76.88006,77.2831,77.58573,62.6759,57.76647,48.75438,76.62721,83.31158,59.89391,96.89196,84.2046,101.4156,70.06656,76.65121,64.53769,56.57486,76.86989,67.67786,76.96889,75.92988,67.21178,83.77017,74.03391,65.12353,82.61085,82.82576,82.85009,79.04231,62.76145,73.72794,85.91761,66.94536,61.34616,93.27767,63.49706,65.09547,54.97409,19.52694,60.45689,53.5642,56.22515,45.83525,37.0339,59.21395,54.71549,56.18079,31.12059,52.00547,69.70491,56.90187,44.2447,34.41463,58.88136,57.90366,72.58077,67.42265,65.28815,54.22889,69.62592,71.02,68.17271,70.30737,73.74905,62.93271,61.95731,71.24397,72.2745,78.76786,57.84096,63.95293,62.67978,71.08228,64.61205,69.012,70.30746,75.5089,67.00075,69.92117,71.211,68.20183,66.60443,61.24672,69.04508,68.03626,72.70521,76.06358,78.67579,76.10683,73.71292,72.24245,69.05609,53.08678,59.56985,68.68454,55.0112,72.09193,71.68797,68.67593,69.84275,74.16784,74.27667,74.4005,75.44046,73.36217,62.11644,67.35212,61.07448,68.45494,63.02872,64.67542,62.70781,68.70025,81.02531,69.24688,70.95819,63.75201,67.73975,76.33033,79.62991,54.35826,66.80505,76.21188,75.24339,83.46766,85.88147,76.12746,84.39346,76.2344,69.30253,80.56236,74.456,36.18151,72.81686,60.05969,62.94432,56.43989,76.11086,63.83001,51.50029,37.29728,61.44886,45.96821,17.1461,39.98845,46.1559,59.97343,28.271,52.86882,33.43482,59.68677,33.50877,41.62835,32.45844,34.039,78.37047,66.23792,71.64854
