Time,Event,A1,A2,A3,A4,A5,A7,A9,A10,A11,A12,A13,A14,A15,A18,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,B1,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,C1,C3,C4,C5,C6,C7,C8,C9,C12,C13,C14,C15,C16,C19,C20,C21,C23,C24,C25,C28,C29,C32,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D14,D15,D16,D17,D19,D20,D21,D22,D23,D24,D26,D27,D29,D30,D31,D32,E1,E2,E4,E5,E6,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E29,E31,E32,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G13,G15,G16,G18,G21,G22,G24,G25,G26,G28,G29,G30,G31,H1,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H21,EXG1,EXG2,EXG3,EXG4,EXG5,EXG6
5570.3125,InitialInstructions,-28.43175,-26.65607,-25.01203,-27.51901,-4.404369,12.688,-14.50479,-44.0824,-10.73832,2.561536,4.921284,-3.444173,3.195466,-31.84824,8.420033,17.70437,12.24093,-10.56482,-6.08787,2.005019,5.066465,6.399878,-5.30184,-62.12749,2.72607,20.33619,-41.36818,-28.0371,31.26501,-9.708076,7.800042,17.54519,4.539763,-9.740169,17.81833,19.13703,19.04538,18.1414,-9.650563,-5.074649,-10.72139,26.80809,22.64672,-12.22205,27.36457,27.76213,21.66485,26.4073,8.89393,28.65772,12.01916,20.1659,32.48345,28.99454,30.77018,17.66603,-20.29636,15.52428,17.65254,12.66069,28.41751,30.93325,25.71288,18.33662,-2.747878,5.67297,24.37389,26.4403,10.74297,5.79917,14.44438,15.71899,-2.863998,14.00962,14.21925,23.0426,10.82807,14.01354,20.12388,11.08173,-21.2792,-53.15473,10.57884,4.063247,3.976995,22.71328,14.29749,-13.57871,-9.260416,4.553701,18.37101,5.769152,4.930819,-0.7213146,13.13743,4.739683,22.83139,-4.074734,5.897776,14.89239,11.59248,1.733495,-16.52316,-13.61619,-15.82074,26.63314,15.82715,10.49391,16.14793,15.91834,6.783365,14.27755,8.611954,4.438282,6.1456,6.521306,6.15183,5.509773,8.35879,3.165895,3.891923,5.464369,45.27332,44.71143,12.19868,27.27155,18.3925,20.7945,28.82556,28.09784,48.77754,59.48774,35.04636,65.64603,32.32935,33.09766,30.76848,19.97536,19.92798,25.4742,2.45116,30.07943,29.42224,40.59362,39.03484,33.37532,31.4581,29.53472,25.90329,16.65976,12.80114,25.09466,20.11888,34.06706,42.64078,33.49249,26.54298,26.57599,26.02378,-6.323428,23.85025,11.43719,-3.662372,-6.356987,-4.667471,-4.244914,-5.167434,-11.66016,30.84048,-14.00601,-21.56448,-38.09084,14.28859,23.67899,13.03286,13.64862,6.954159,8.461758,-16.85685,-26.51199,-11.57922,16.65962,-15.99611,-3.855991,-14.35703,4.223025,1.232722,-34.10388,-43.79512,-27.42877,-12.33776,-32.02056,-14.71937,-14.67579,-54.18018,-13.89516,-23.87544,-35.41332,-23.49976,-27.58001,-83.59508,39.1847,14.00653,19.92042,3.131862,-1.094873,-17.42126
105589.84375,prebase_instruct,-6.719572,38.68668,20.84668,-1.198007,12.84159,10.34011,6.15669,-26.23456,14.57867,15.16012,15.34439,-0.6866947,4.243081,-14.18258,17.74533,20.61159,15.28618,-4.472504,-0.4206665,7.041509,11.69537,15.01173,-2.106259,-58.21861,2.44065,38.53785,-26.25043,-14.73714,46.8182,-0.2536977,13.51558,23.00742,11.56827,-8.490657,17.97034,20.37973,21.25477,18.2308,-10.69668,-6.510284,-9.505773,23.73848,19.50038,-8.42059,25.61616,23.61413,23.38744,18.97551,1.064417,21.86894,10.92936,19.95276,27.68049,20.28799,23.35612,14.27198,-13.30787,9.277087,9.892604,1.475971,15.91021,13.88941,12.66978,4.772989,-11.01475,-3.926479,9.450603,11.20857,0.9354267,0.2934563,4.616839,8.832614,-9.356513,7.068012,5.480859,16.65195,4.751957,10.33136,22.9639,23.08758,2.873484,-7.844597,17.10114,15.35987,19.28303,24.09087,23.67252,3.628316,27.90824,57.57948,20.36766,12.60394,9.822407,29.14486,6.325063,2.052733,26.3715,1.736856,16.64348,32.30843,3.875596,0.6533082,-16.02932,-14.91166,-9.385173,23.62288,5.152914,8.21405,13.00079,11.4322,11.42852,20.75182,1.719789,3.26351,6.797206,4.216712,1.795932,2.096593,7.638482,-2.657788,0.3434716,-1.254047,43.61764,38.19123,6.417002,15.82352,10.63105,20.49148,26.6369,27.23425,41.66919,50.8216,22.82996,54.69278,18.84873,26.87898,26.62669,18.99976,13.59443,23.77049,-2.928361,21.39266,16.01269,27.09703,27.06006,21.29196,22.02148,25.61453,23.08043,18.22294,9.938964,17.1611,11.47466,27.72619,28.68171,18.64625,12.95362,18.38893,9.346084,-10.13394,27.1628,11.95898,-4.350558,-7.95736,-1.41919,-2.563666,-1.009547,1.645889,31.27521,-16.05695,-16.58301,-32.79811,7.242788,27.38094,3.969894,7.036014,0.5918564,0.7363895,-17.15472,-17.94257,-11.98798,11.29693,5.669219,20.35664,1.872453,27.707,29.55001,2.01168,-16.20491,7.532352,29.79667,22.59091,45.76455,34.96032,-12.0016,16.54555,36.77368,13.53318,59.05496,39.39834,-15.96816,16.86244,-11.5069,-9.595694,-15.44454,63.77451,61.81091
116035.15625,prebase,7.192504,27.4786,14.41681,2.030682,11.11493,22.15936,20.21521,-14.41289,18.7781,21.01302,19.25611,10.06315,13.04887,-2.825579,20.50099,26.00477,23.69814,5.287514,9.725678,16.82232,17.58666,20.32919,7.460929,-42.28031,9.591924,43.19352,-18.4414,-4.349556,53.44498,7.397592,26.37108,34.01532,25.47987,6.701147,30.36573,36.14756,38.70694,29.09142,1.12614,4.891499,3.768862,38.42565,38.75802,5.486816,35.24044,33.20981,34.84389,35.65325,18.44351,39.42589,24.91044,26.54864,37.28154,33.24149,38.58751,30.36511,-2.530138,19.31048,26.99978,18.59711,34.21458,35.91494,34.90741,27.82662,1.594095,12.05883,31.78612,32.82623,22.43413,17.06203,25.89463,26.28852,3.253046,24.64666,22.66551,35.44226,16.95117,23.61178,29.47397,24.8,7.510765,-15.10876,23.59546,17.6293,22.34826,29.79469,27.0991,4.354046,22.45901,40.628,25.70949,17.55327,16.90566,21.5285,15.2038,4.8103,34.46391,12.10526,17.52225,29.16219,16.32475,10.88264,-8.576688,-5.962787,-2.210728,32.2175,22.69649,20.07497,28.09186,17.77434,24.35494,33.6973,9.963161,18.02962,12.72564,15.38195,12.81324,14.17423,19.13576,10.4056,11.96683,7.872577,54.54112,53.50541,20.30169,32.50319,27.22434,27.64347,30.09403,35.94382,51.42939,63.68086,37.18618,71.28028,39.27585,42.4757,38.69146,32.53536,26.08964,34.01952,13.572,39.94889,38.79,45.4689,43.70624,32.61266,36.54269,36.45534,23.70978,18.97982,15.92716,25.36517,24.28603,46.13597,44.77538,38.42161,35.47414,30.9914,32.16917,-2.771294,31.98215,19.07087,0.298897,-3.030715,3.617159,2.53473,-5.449717,-3.304223,35.06549,-12.63184,-6.015247,-31.68627,19.00486,27.54509,11.06002,12.61765,8.574529,6.044608,-18.50687,-17.73334,-2.542421,18.41733,9.851478,19.93699,10.538,26.59198,27.76519,4.207018,-21.10515,1.651676,21.98213,9.351178,29.28518,26.98624,-18.66767,13.51398,22.88243,8.014978,34.88773,28.19889,-26.05851,34.2181,9.422079,4.504536,0.5193478,47.81428,39.78771
236035.15625,exit,23.44359,38.9455,25.90129,10.29245,28.70723,27.96111,33.4452,-0.5219836,23.92287,30.41912,28.79952,15.1934,21.5862,0.647858,29.20754,28.89586,29.16511,6.598703,13.95018,19.99989,22.54894,20.32218,8.985502,-43.58933,14.53951,53.52435,-9.746845,1.359493,59.60392,19.89519,33.21435,38.90595,28.32109,13.03402,34.78426,36.04133,34.45473,31.81516,5.889992,8.214211,4.655155,33.52788,31.21009,4.835995,39.07427,32.96404,32.7608,33.81805,10.35441,35.59504,21.104,26.11991,36.87802,29.32118,35.80419,28.99907,-5.800386,3.163039,12.20061,3.953823,26.48306,20.22737,18.46563,8.582431,-12.03065,1.371209,19.50501,22.19079,7.069614,13.27889,12.0936,13.95981,-4.784492,16.03318,14.96725,25.73849,12.31857,22.3652,30.26302,28.95234,7.319401,-17.65757,25.11236,18.64263,21.71157,26.50142,25.80004,1.320215,17.05315,35.69919,25.07587,12.92742,4.997856,17.84578,7.669964,2.560128,34.3367,8.116162,8.099864,25.63602,15.5229,14.31217,-8.096454,-7.908879,-1.525964,31.98431,5.985667,11.78013,14.71178,10.39791,14.00241,37.99074,14.20457,9.509994,13.87069,13.2471,10.77364,16.80722,18.42286,12.10596,12.57779,16.0827,56.70026,56.25768,22.57541,21.75296,14.4833,31.52241,30.9524,30.89099,46.57095,56.76324,30.45576,67.10604,28.86185,32.06606,33.82064,25.33828,16.97763,28.92469,7.521956,30.43017,26.3179,37.18504,34.13334,30.13746,25.611,27.88802,25.80948,23.71642,11.74805,16.63122,9.788207,28.89062,34.92355,29.2963,19.41719,22.77017,17.92523,8.435216,40.95527,24.45315,14.04038,6.862988,10.51506,9.414587,9.204613,11.97442,41.86001,-6.531907,-8.696868,-24.84473,3.417663,27.34169,6.486074,5.545459,-4.021848,0.7868716,-8.807615,-12.30892,-4.555653,12.84923,21.44486,34.36975,24.99151,41.86337,42.40847,13.30925,-16.37549,5.358509,32.91908,15.56724,31.38442,30.92599,-3.705869,26.2234,32.56141,21.88066,44.234,40.28888,-12.75774,31.44729,22.04758,23.37705,29.84626,57.02696,40.44101
236093.75,FeelingItInstructionsButton,9.135543,13.62471,3.586988,-7.237168,8.596538,8.963485,19.9942,-14.01301,7.470318,8.415248,11.59089,-0.4853424,15.75125,-19.41116,11.64773,16.93681,24.26285,-3.266734,3.300821,7.226461,10.23469,13.93779,3.661746,-56.53003,7.380993,29.44818,-33.85236,-21.09974,42.56259,-4.692672,10.00323,16.1144,12.76731,-3.611269,15.3688,19.07596,22.70027,15.34016,-10.61252,-7.7094,-8.187061,23.30996,19.72527,-5.279989,24.99136,16.57245,16.31323,15.04235,-2.346912,21.57017,10.62855,16.31426,23.09469,14.75829,22.84789,14.87071,5.202003,10.42662,15.17947,0.5066733,19.07816,16.76893,21.43485,17.08221,-6.578805,0.1837281,20.87818,18.72799,9.784067,3.316051,9.984357,15.35733,-5.741815,15.31612,14.53529,26.30401,7.704069,18.70783,15.72107,15.44496,-7.329835,-30.94608,12.10131,2.752356,7.837317,17.51344,17.56366,-11.35,0.3472736,18.86336,16.75496,7.220497,-3.706714,4.117993,8.963925,0.05025176,25.07358,-3.94396,3.055921,8.540054,5.222803,5.901219,-22.03648,-17.95238,-15.81202,19.70304,15.43331,20.77236,25.02978,14.04823,18.84553,25.27431,4.831395,2.754961,6.468432,5.82604,1.056244,7.029864,8.176553,4.078978,4.580374,3.553023,46.21159,44.99323,15.12486,25.58491,18.34109,16.52411,20.00533,22.71696,35.46755,44.71661,20.60025,51.77236,19.00678,23.09438,24.70794,17.40719,14.34402,20.79527,3.324803,22.70811,20.33533,25.22511,20.81707,19.88308,21.47704,19.2156,18.14185,12.76848,7.429914,14.41219,12.5504,36.07172,25.76484,19.26076,18.90025,24.05683,16.80504,0.2242152,34.05575,17.65926,11.79529,-2.210386,1.62019,1.495933,1.3496,5.839025,34.02978,-13.72437,3.311394,-27.92756,6.947405,28.60919,9.220836,7.878356,4.559183,11.19956,-5.476935,-4.670825,-2.093065,12.87863,-1.273465,8.286418,0.09477763,18.01753,18.87689,-14.24671,-38.08836,-11.57659,7.12113,-7.196125,2.785067,3.21535,-31.30776,1.577281,2.46657,-7.221453,11.46978,14.50722,-37.75789,35.98132,22.057,22.70848,27.88298,32.57224,11.91198
303203.125,InstructionsForEnding,-2.155604,25.93908,12.35318,-4.318049,20.44864,21.8798,8.641218,-15.63774,4.999449,22.91442,18.1448,7.853082,6.739792,-14.16986,16.93118,22.37841,17.92527,0.944155,6.212471,6.936691,13.40161,16.64907,4.097773,-44.86237,4.89949,43.35147,-19.60142,-6.821445,52.41788,8.358381,20.73124,27.97351,19.73293,0.6387101,22.87053,27.83693,27.61847,25.60921,-3.566163,-0.4783413,-0.7941581,26.86303,22.36667,1.284362,32.9556,23.41611,22.25767,21.01591,3.704813,27.546,12.88674,19.67084,29.88288,17.11279,23.14458,22.53424,-5.300797,11.31709,15.71602,-1.320565,13.26739,11.28632,10.52261,4.158629,-7.758825,-6.492983,15.06311,14.44134,1.863949,6.141681,8.008528,8.996647,-3.758656,13.97808,12.32458,22.09541,6.047087,15.88682,23.50216,28.05965,5.930486,-13.19859,16.80976,12.54898,13.85849,21.5246,21.03317,-5.417705,17.22679,47.28959,17.74782,16.17333,6.235759,25.54585,4.44202,4.711224,32.57993,7.264275,17.73616,32.63853,17.85522,7.89408,-4.982885,-7.460875,-3.371504,29.5847,3.257363,9.890322,12.74682,3.839403,11.5948,27.09086,9.263312,9.766704,7.514125,8.372004,5.901258,7.809814,11.09117,2.603924,7.111369,5.794514,49.91801,47.96477,14.69476,12.287,13.40676,23.44231,23.47468,24.79905,38.69899,49.48072,19.54187,55.91195,19.82573,24.99567,24.02157,18.34577,13.21917,21.06671,-0.40715,20.15594,12.01151,25.40504,22.8581,19.02565,17.03287,22.25658,20.74971,15.61598,8.588117,16.87756,10.30927,31.96721,25.62671,16.27469,10.77057,16.33584,8.843585,-4.85161,29.84774,15.35433,-2.531965,-2.822118,4.684899,4.160913,-0.2785674,4.377997,33.21805,-9.688633,-6.402927,-31.91794,10.70636,33.54761,19.61968,14.13085,10.26682,15.66816,-12.59565,-14.49592,-3.108572,18.87443,14.87834,24.72521,14.15882,31.71598,38.09458,3.122087,-13.58801,5.596582,30.8977,20.82088,33.07014,28.00393,-12.04429,14.53605,28.87393,10.11884,41.80995,29.33009,-23.04555,18.34635,-1.941409,1.648318,-6.769085,55.59909,45.86919
653160.15625,ImaginationSuggestions,-3.889474,-21.30532,-13.78666,-18.79121,0.7082382,11.13794,3.372835,-26.59456,-5.713928,10.48099,7.600354,-1.586663,15.0094,-25.22391,12.39163,16.79755,19.69736,-9.143993,-3.972421,1.546651,8.99901,9.82837,2.303228,-45.35548,1.069351,24.06239,-36.45361,-19.88432,35.47883,1.760627,18.1233,17.14583,12.50517,-5.045722,15.41752,20.57409,20.21966,16.65981,-1.156639,-1.210123,-3.230692,15.98346,17.30108,0.4527408,29.20802,15.67579,19.79232,17.78477,1.870797,27.85441,8.664034,21.58598,29.75072,14.60158,23.20218,22.86215,-3.252852,8.771883,20.73104,2.850272,22.35436,16.14262,14.78207,7.848878,-6.46506,4.081654,16.8001,16.74254,6.551087,9.569386,12.93197,11.70628,-2.811717,17.7304,16.79962,23.30795,9.739728,24.6999,11.83648,8.824967,-15.29767,-44.91195,16.93719,0.001623593,-5.663637,23.87191,14.56951,-15.01123,-13.6001,-12.6767,9.70294,-0.06786646,-15.44462,-13.61575,5.656439,0.8585513,24.24306,-5.281023,-9.182364,8.213446,-0.9783139,-3.386271,-15.03163,-14.15622,-5.402109,27.10849,6.627414,5.826025,16.35653,2.627873,13.34803,21.28003,8.614457,4.987046,7.822043,10.6403,7.722619,8.527695,15.37956,6.974433,11.00767,4.81357,50.55611,48.01554,19.43907,15.37615,11.49204,13.44138,19.16235,19.37997,32.59084,43.64683,16.40295,54.20516,19.56002,22.54684,17.33517,14.14798,15.20368,22.83248,2.406661,21.12467,15.19469,25.19136,21.92018,17.68478,15.9973,19.2601,14.00238,12.19091,1.03749,11.6163,10.92626,34.78083,26.00283,17.30828,17.23536,19.75927,11.905,0.95072,33.56862,11.4387,11.38521,4.081256,12.94151,11.13165,5.110934,4.137141,39.17085,-7.875774,-6.711751,-19.31253,4.783828,25.63559,6.504634,6.432556,4.648021,4.584929,-15.08376,-1.506968,0.3117022,5.790343,-11.39722,-4.20236,-2.914842,6.041497,11.20463,-26.15177,-45.2813,-36.95876,-13.24812,-33.66051,-25.19203,-25.1252,-47.00779,-15.65604,-27.12672,-25.87986,-29.53846,-23.21678,-66.63929,41.4173,41.76102,38.07252,31.50547,-9.506207,-27.34285
714765.625,enter,-4.586319,0.9435977,-3.78211,-17.05604,2.19659,4.394128,1.863856,-15.07697,1.750407,8.215678,6.002757,-1.055619,4.6434,-18.91356,10.95164,14.92047,15.03779,-4.950498,-0.7800064,6.244882,7.344896,8.13897,1.441558,-48.1967,2.347937,29.87007,-26.78485,-16.45298,36.92102,1.884562,16.33481,13.23135,9.899267,-13.19126,13.74142,14.1831,15.24794,14.04579,-5.61361,-0.4071445,-4.526691,17.17314,19.23929,3.762457,29.00158,14.1837,19.85065,18.73464,2.369876,27.1372,14.2388,18.63696,28.06704,12.40275,26.90603,25.8733,-9.096156,1.656287,16.07429,-0.06599901,21.83501,19.79543,26.67864,21.27057,-8.00232,2.107105,15.50144,22.75641,16.82687,10.42047,17.3983,21.31073,-2.122289,21.09187,23.95167,27.52008,13.64409,29.80938,12.80767,10.56424,-5.644239,-26.14999,20.79311,8.359468,4.314151,27.35763,26.70256,-4.124251,-2.089938,15.51481,16.43235,11.04772,-8.556857,4.566983,4.126021,3.73068,37.63412,6.555559,6.969958,18.04607,9.130235,7.279169,-9.399155,-3.898582,0.8096648,33.03889,16.18781,18.38817,28.82297,14.8472,18.09377,21.75989,9.604959,10.91424,13.58825,9.815648,6.884931,14.45317,18.08023,6.521029,10.08113,9.545445,51.47023,47.62653,13.62651,24.27554,13.07255,12.13788,14.53255,19.39403,30.55911,40.45016,16.15676,54.22978,23.63393,29.97435,27.68484,18.69678,2.321637,25.36026,13.9546,29.11207,22.76986,26.52308,20.61057,16.17855,12.76358,17.36542,9.583945,13.51226,2.54755,8.360369,0.6186732,25.52601,24.87823,21.63391,23.79589,21.70364,16.70858,-6.393199,27.13177,7.354483,-3.351419,-4.221724,13.65759,9.505089,-4.541123,2.32633,33.28989,-11.64027,-12.32108,-23.55165,0.3817325,25.37246,9.147143,3.330226,0.7106957,6.894497,-16.42085,-8.506351,-8.786179,6.21067,-1.419907,1.210037,1.906663,10.40098,18.29473,-16.41435,-27.94198,-13.29498,9.914224,-5.810265,2.428601,0.8770536,-30.46514,-2.774209,-3.004476,-4.542353,4.621904,2.167607,-42.15345,31.18322,22.415,26.60383,11.23031,25.64452,12.14498
796664.0625,happy,16.6066,36.40343,18.14343,4.555756,19.07163,21.11262,23.18113,4.505896,20.08164,25.02318,19.61806,13.16864,20.27886,-5.580081,24.04628,25.1872,26.79021,3.337307,10.13335,12.52852,22.56722,18.44724,8.393794,-44.3119,6.926,42.01012,-14.78938,-6.114897,53.98113,15.7056,25.90115,23.68614,21.54599,5.276212,24.76088,22.50656,27.93557,27.21119,11.14703,13.66556,9.669453,30.69448,26.4038,2.938268,42.93355,29.32099,41.79037,28.85914,13.37701,37.27006,17.8142,34.77631,44.02594,28.79643,36.73152,37.47342,-2.440175,13.53248,25.75978,12.34168,33.94574,23.21446,20.49105,16.14622,-0.4978367,9.486101,20.94585,26.67372,12.66208,17.28417,16.60152,17.75224,2.3077,24.3722,25.49625,29.75755,20.39328,29.13671,24.40843,24.43128,16.48365,1.281477,34.10198,20.4907,20.91111,40.74813,39.65198,13.4113,25.72997,51.29388,38.83593,27.58261,13.31517,29.3933,11.15392,5.726411,52.75463,13.27189,16.1365,31.68358,18.70029,18.25238,11.43141,3.418638,8.869844,38.79541,14.8234,8.814143,22.46484,14.69823,19.99312,30.00028,18.23004,19.63778,12.54055,7.435073,-8.538584,15.93277,16.38995,2.025441,-1.320404,13.42875,49.42557,52.42323,15.51987,23.57871,18.3105,24.69116,29.29457,33.39271,49.31661,59.30365,30.67493,66.61488,31.54785,32.14973,29.34159,23.44068,22.56666,32.5667,14.04846,30.3155,29.82077,39.16195,37.8089,31.47341,28.60179,31.71373,24.11734,22.15699,12.76865,21.28688,18.81991,42.59859,37.87675,29.99024,25.71219,26.37993,22.99487,13.03472,42.13158,20.06091,19.00683,9.150949,26.99636,23.57451,13.93029,13.10166,47.66277,-1.018635,-1.781702,-8.734139,12.96903,41.03869,25.2144,5.474428,10.91279,16.44498,-4.651127,5.704677,-0.04898704,17.1569,31.20601,20.77118,20.85085,30.51185,40.52832,11.34622,-9.84515,11.55464,34.69337,26.76478,37.69236,29.84385,-7.546142,19.60873,27.89914,22.26113,45.88774,39.1698,-2.950258,21.62902,28.01743,48.25082,29.47481,59.13872,40.01382
834812.5,happy,4.674852,11.30055,3.38235,-4.863399,12.37765,20.44377,8.973482,-7.154212,8.236894,19.36454,15.53116,9.00622,15.52311,-14.23027,18.26652,20.11233,22.13377,-0.1335022,1.095608,17.19573,17.79187,7.262613,4.719228,-53.27867,-2.357529,39.5266,-13.46972,-0.6005489,57.1366,14.73306,27.84887,26.15282,22.77513,11.70571,25.75692,28.26325,36.97324,25.56451,10.97367,12.74275,7.186946,30.60771,31.51497,21.44474,39.91842,24.09243,36.33515,26.54586,11.94604,36.29377,23.77412,32.0897,39.05345,22.11303,31.17407,27.60679,-0.6608428,13.51624,30.02988,8.258762,29.68512,14.2869,12.10137,4.892393,-1.158908,8.823839,20.05956,19.17569,8.043112,15.34225,13.74668,13.32281,-0.1541057,21.62077,22.25868,31.58879,16.09805,29.43093,38.09785,28.0139,7.887596,-9.299134,26.61707,12.45654,15.9537,26.1573,25.58274,2.448695,13.33062,35.32834,18.26256,15.62697,11.82163,21.27359,33.52898,39.08305,41.47486,12.89435,12.08705,39.35332,24.82171,16.40373,9.995295,5.144563,11.28544,43.82861,6.077331,13.40513,16.40205,10.55044,18.36617,33.52834,20.83684,18.97891,23.41453,22.03218,20.59756,14.96768,25.32851,15.83316,18.96847,15.11404,55.09408,54.21786,20.58386,14.63608,21.99125,20.99355,26.23892,25.78743,42.75556,54.05296,25.69958,59.70091,26.84963,27.39975,28.21041,24.87092,23.52793,25.45659,9.663899,25.1407,17.76277,30.56581,28.34278,24.22108,25.10664,25.20075,19.60983,18.76737,5.908843,14.61946,11.32811,40.40837,33.11347,19.55748,12.75608,23.12832,10.08223,5.371279,34.94781,15.22517,9.035792,-1.378953,18.45176,14.95608,4.981081,18.82704,40.15752,3.572444,-2.579092,-17.4281,9.460293,34.9667,16.3198,-0.365114,9.036718,14.42498,-3.97556,0.7004536,1.584924,7.664399,17.83806,16.1103,16.64931,26.54764,37.68163,3.032868,-13.48767,6.081156,25.23443,11.50495,18.71229,18.217,-15.2693,6.725607,12.36364,11.11672,19.91421,13.40155,-28.74062,49.02204,29.58795,28.20806,20.44922,42.81842,29.99953
