Time,Event,A1,A2,A3,A4,A5,A6,A7,A8,A10,A12,A13,A14,A15,A19,A22,A24,A26,A27,A28,A30,A32,B1,B2,B3,B4,B5,B6,B7,B8,B9,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B27,B29,B30,B31,B32,C2,C3,C4,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C18,C19,C20,C21,C22,C24,C25,C26,C28,C30,C31,C32,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D15,D16,D17,D18,D20,D21,D22,D26,D27,D28,D29,D30,D31,D32,E1,E2,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E32,F1,F2,F3,F4,F6,F7,F8,F9,F10,F11,F12,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F28,F29,F30,F31,F32,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G21,G22,G24,G25,G30,H1,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,EXG1,EXG2,EXG3,EXG4,EXG5,EXG6
0,FeelingItInstructionsButton,-42.68058,-17.16852,-4.092303,-35.22713,-17.32498,-12.5189,-10.42869,-13.45752,-30.41112,-27.71481,28.34474,-14.41718,-16.09647,-41.78386,-10.57305,-7.530091,7.861754,-8.062096,-8.995595,-23.51059,-37.95038,7.405155,-29.81796,-38.53524,-18.48433,-2.563088,-21.0814,-4.040619,0.9386703,9.778342,-3.896838,5.923634,-15.00928,-18.09959,-36.04179,-3.49936,-25.98162,2.540541,7.346182,-33.29427,14.8592,-6.566138,-13.92531,-29.21524,-36.2751,-9.275731,-29.20575,-4.853301,-10.11081,-30.2025,-15.8112,-15.39625,6.969804,-11.26917,-0.08121181,-1.506811,1.812449,-31.31628,5.865619,-19.54255,-21.54426,20.10613,5.723724,-3.933451,7.607075,19.56958,6.579432,-32.6359,-27.54007,10.45688,15.8727,-31.10702,-22.73418,-7.399748,-4.250579,35.0037,-7.130913,-16.09969,-14.74774,-31.44946,-9.732396,-26.8377,-14.57142,-12.36991,-22.84299,-26.98676,-13.39034,-20.34621,-19.70391,-1.031938,-51.91565,-32.29751,-28.90164,10.12312,-20.7438,-4.228067,-5.467043,17.81257,-36.72338,-16.48772,-17.90176,5.622381,10.39641,-9.745403,2.943927,-7.596681,-0.8481858,-1.007195,-4.997592,5.515776,-4.112973,-4.919491,-3.565838,-3.972991,-15.16958,-16.92885,-11.54792,-11.21467,-13.04916,-13.7045,-11.45406,-21.32196,-19.35757,-13.05859,-16.39082,-19.37186,-12.8778,-17.08553,-19.22512,-17.75778,-8.838021,14.60817,-14.56405,-12.7646,-17.74215,-12.24835,-24.92591,-21.07049,-2.160024,-12.25267,-22.02654,-16.0489,-38.06702,1.092575,-4.293463,-15.80427,-14.17004,-14.12714,-5.409676,-11.25837,-5.995523,-8.7038,20.29614,6.037049,-3.70828,4.894975,-15.95581,2.031612,0.6120167,-0.9783154,-27.72632,-17.75574,-17.34277,-14.57144,-17.53675,-13.26542,-1.944711,-20.74181,-17.7462,-7.398363,-18.46223,-19.02377,-26.8775,-46.25679,-24.3321,-59.99212,-12.63067,-7.579861,-12.20295,-8.103921,-19.10748,-12.38628,-43.27221,-23.51328,-11.33628,-8.507773,-2.061832,-17.5561,-45.76772,-7.205291,4.565627,-18.94872,-17.81321,-13.29454,-41.64087,-10.98916,-28.39447,-17.38779,-19.15359,-36.74624,-23.67999,-35.63769,-13.88914,-44.66558,-33.89105,-15.02606,-18.39637,-21.09173,-13.07933,-21.68462,-26.6416
4289.0625,InitialInstructions,-40.27224,-22.6475,-14.02522,-41.93721,-31.12319,-24.36199,-22.69642,-7.536378,-35.64418,-39.91734,21.41107,-23.71248,-5.238726,-46.95024,-7.453468,-7.685226,3.904038,-13.17862,-7.284337,-22.80414,-33.29257,-1.262369,-41.38714,-48.85445,-30.18867,-17.88562,-29.65228,-12.29316,-9.049731,-0.6559081,-12.77585,-3.077944,-25.05535,-22.845,-40.77505,-10.4417,-32.81924,-4.385134,-0.8087441,-42.99697,11.29576,-7.733066,-13.65022,-37.30854,-39.18029,-17.13333,-32.12647,-9.510388,-15.5548,-38.33236,-7.830945,-5.545061,14.45568,-7.971755,3.474215,4.249002,5.363959,-21.80615,14.45241,-12.58874,-13.61245,28.5784,10.13522,0.7564849,14.45923,27.87097,17.37309,-27.05834,-20.96935,18.40194,26.14578,-21.46948,-15.32604,0.3921911,5.300118,44.13481,-19.26377,-28.7773,-27.68001,-46.85791,-20.80634,-37.42309,-28.73812,-26.24111,-39.95467,-38.0411,-31.23242,-53.84281,-29.74168,-17.53405,-68.38436,-66.09064,-37.69773,0.03735112,-29.22886,-16.42135,-17.54901,4.200778,-50.64015,-24.51076,-23.89949,0.3827486,8.842549,-11.57141,3.410945,-9.457935,-1.378698,2.753016,3.121412,11.43101,3.766596,2.771535,3.907146,2.208417,-16.92028,-18.78923,-20.29534,-13.72847,-17.13559,-19.35075,-16.07046,-19.04325,-16.8106,-17.35011,-18.74387,-18.81104,-10.68654,-19.38111,-18.21521,-16.63363,-16.04598,6.949036,-17.38181,-12.38434,-13.84387,-14.06086,-27.90873,-24.04627,-5.326164,-17.66689,-31.23918,-20.79347,-44.08534,-2.139888,-4.904123,-16.93501,-11.679,-13.47587,-1.55038,-6.261241,-6.12529,-11.90521,25.16269,10.04272,2.826598,12.2278,-17.21384,-0.6649888,-2.555747,3.973614,-18.96346,-15.31667,-19.86044,-14.34363,-8.127386,-7.086289,3.47176,-17.6464,-13.95572,-6.906374,-8.399448,-11.9845,-25.50153,-53.94166,-18.5083,-51.78529,-5.085242,2.083739,-1.952017,-0.1247813,-9.719104,-13.23337,-58.00994,-35.85654,-18.38116,-15.08388,-9.694273,-28.44194,-56.69411,-21.63441,-8.812364,-37.58876,-32.05615,-25.5871,-51.92537,-18.60702,-34.73243,-26.28927,-25.88589,-42.20403,-49.10824,-41.85105,-25.26381,-73.98735,-63.81158,-12.74066,4.142961,0.2502066,11.17372,-41.87748,-45.28251
104304.6875,prebase_instruct,-29.65521,-6.955842,1.087559,-28.75704,-22.85934,-5.081046,-4.441352,-1.009652,-33.31249,-19.95591,34.05412,-11.08192,-6.74883,-34.46694,-2.202568,-0.5111303,5.456059,-6.941133,0.2194447,-21.33991,-41.03615,8.828898,-22.54242,-30.10498,-12.36223,4.626595,-13.84232,2.558418,5.554945,11.73199,-2.61541,8.463766,-9.518523,-13.88475,-34.84343,-10.23571,-31.66018,4.530057,9.748991,-29.74148,18.10243,-18.12041,-15.32042,-28.24494,-36.86657,-5.649349,-32.66262,-20.40247,-11.40973,-27.88558,-29.66674,-26.96806,-1.433478,-14.97707,-8.130027,-4.267879,-1.398661,-55.69626,-18.99711,-29.62205,-35.78444,11.44219,-2.284904,-12.35644,-7.562645,10.54936,-2.907417,-36.96605,-43.96523,3.699222,5.127704,-56.16015,-37.81811,-27.47382,-29.96586,25.17735,-0.3814306,-13.45656,-8.163149,-27.77826,0.1836552,-23.70548,-6.518433,-5.720519,-17.73322,-16.26447,-8.468633,-16.55941,-15.08709,4.274102,-43.67237,-27.21043,-26.41983,17.58459,-13.66463,1.958815,0.3671456,24.62634,-28.14785,-5.210637,-4.6706,17.30355,18.1488,-7.379925,-8.593451,-14.18679,-10.52244,-10.46862,-30.5371,-13.99828,-29.29416,-30.13712,-29.40233,-29.83599,1.500487,-0.6311552,1.364494,7.587786,1.217605,-1.663607,2.774798,-7.865351,-6.78512,1.780191,0.04485939,-12.37169,-2.159252,-0.6502443,-11.02037,-17.79504,-7.185646,12.64109,-15.74576,-15.40648,-26.71745,-17.80431,-31.98133,-20.9424,-5.066681,-9.966901,-19.99087,-14.99852,-34.59224,1.849688,-6.406411,-18.63426,-18.74832,-21.18086,-13.82699,-14.63953,-10.71387,-7.579636,18.56869,-0.09183329,29.2831,-3.283193,-19.0633,3.060261,1.907485,-4.160044,-19.11986,-13.52181,-5.343108,-8.912691,-14.92939,-15.14927,13.08576,-14.35302,-22.71443,-16.59487,-25.34029,-21.74299,-69.85733,-92.2002,-15.95077,-61.67098,-2.689843,-21.21691,-23.75764,-16.81787,-25.12161,-41.82988,-37.59027,-18.90439,-6.032452,-4.9385,0.03872075,-12.22022,-41.04285,-4.383702,10.42213,-16.22442,-10.32851,-8.873112,-34.5008,-8.229437,-22.06975,-8.95343,-13.45932,-26.0108,-13.96692,-24.27435,-8.939511,-40.00402,-29.92636,-13.70404,-4.517846,36.11729,-0.7295246,-11.8065,-31.86953
114750,prebase,-47.20358,-18.95552,-5.244339,-38.33053,-21.98627,-16.61019,-15.68808,-13.75392,-31.16093,-28.55791,23.47707,-18.42893,-15.17242,-44.0749,-5.03448,-6.379962,9.486749,-10.31157,-4.972866,-29.22112,-38.52419,5.194226,-29.00172,-35.34567,-15.31966,-1.756539,-18.95802,-4.387478,2.057019,10.20854,-2.538803,8.546735,-8.769545,-15.07071,-37.03325,-1.384902,-21.42373,7.057851,11.41985,-25.84042,15.52134,-6.052521,-8.808592,-26.0232,-32.25375,-2.91126,-27.76502,0.1247861,-4.251458,-23.75977,-11.72027,-15.21426,9.681374,-7.066697,4.500853,0.05948551,5.722426,-26.23239,12.15524,-18.76222,-16.56108,22.96652,12.08485,1.008051,11.01057,21.95969,11.56785,-26.29502,-28.05381,14.69778,21.02357,-25.83753,-19.05256,-4.113682,-1.369661,40.72066,-5.625673,-8.524167,-12.77918,-29.33161,-2.085348,-19.15961,-8.699957,-7.605738,-16.89546,-20.32022,-7.616633,-15.67331,-11.99689,6.694405,-44.9827,-27.83499,-26.61533,13.62555,-16.47178,0.8036383,0.9551567,27.3686,-25.55511,-15.21652,-9.221567,13.89322,11.84464,-10.08327,4.076027,-6.235286,1.867442,2.226204,-2.983928,7.635012,-2.329034,-3.641815,-2.173457,-2.864779,-7.392127,-9.296089,-8.070544,-5.683735,-4.241251,-5.946158,-7.352776,-14.44462,-10.24046,-4.88792,-8.877447,-10.24375,-7.61318,-10.08348,-9.99122,-10.4157,-4.949882,13.62149,-14.67713,-12.65843,-18.66145,-3.01785,-21.81334,-18.30725,3.34803,-4.948734,-14.11034,-11.86849,-31.55695,6.625598,-2.689116,-11.64213,-10.33778,-12.86206,-1.900118,-12.21406,-2.803967,-9.464771,20.65185,5.067741,-6.214745,4.467572,-11.39453,6.711079,4.833967,0.3222502,-22.80247,-7.317458,-16.13513,-13.00546,-12.27036,-5.919693,5.954313,-21.95388,-6.49226,0.3681741,-2.898048,-15.61964,-13.57103,-43.27053,-22.11206,-52.96312,-7.942778,-8.434832,-15.18458,-14.5294,-25.7444,-12.48269,-39.2746,-21.53529,-8.646416,-5.934983,-0.1582962,-12.07446,-39.48134,-4.088067,10.72788,-11.21166,-13.75009,-9.291895,-37.97192,-9.910881,-26.18427,-14.91962,-16.71309,-33.71557,-18.61054,-33.26585,-11.38867,-31.52771,-21.66473,4.453747,-2.727966,-8.413265,-4.914008,-21.7441,-26.46176
234750,exit,-32.85159,-6.960618,7.978229,-21.28721,-5.047749,-0.2474644,2.480457,-6.192067,-20.06371,-17.39582,38.83675,-0.6674506,-8.326668,-27.72237,-8.612709,-1.014551,13.88278,-5.220079,-3.213938,-20.79736,-31.1591,17.26634,-14.49924,-22.7859,-1.542281,7.658837,-4.233096,10.84558,12.66015,20.49546,9.457685,18.22419,-2.337965,0.04041183,-20.34619,6.92205,-5.409231,10.57139,12.73581,-22.29772,30.04042,5.665824,-5.488538,-24.89919,-30.75648,-4.645636,-19.82402,1.430464,-4.883607,-21.96324,-13.06271,-14.24618,10.74321,-7.813039,5.394577,1.235632,5.122902,-29.17992,7.998136,-18.28823,-18.82174,19.81728,12.17859,-0.6852679,8.29884,19.24155,9.398168,-31.37279,-27.64552,12.39156,17.54899,-29.89473,-21.1702,-6.766914,-5.182912,36.906,0.6919849,-5.563439,-6.225667,-17.65723,-3.269062,-21.45393,-7.269142,-11.01978,-17.90518,-16.26954,-7.731498,-13.30576,-11.706,2.998012,-38.32038,-21.89234,-19.36825,11.37449,-18.60278,-1.654734,-3.005507,21.15263,-30.27808,-16.86263,-12.73705,7.570692,9.736078,-8.7475,2.049835,-7.052169,-3.212602,-5.617848,-7.549333,4.398214,-6.894457,-7.419025,-6.20724,-6.835682,-15.31374,-17.50005,-12.16132,-8.475446,-12.38646,-11.77825,-12.74739,-16.84084,-17.47264,-12.37271,-17.00185,-18.95343,-14.04854,-17.0265,-18.13264,-20.05411,-9.117895,26.41146,-9.580457,-8.305697,-18.53774,-10.59667,-17.55939,-15.32888,5.369449,-6.211103,-19.3776,-16.21137,-30.58324,6.087248,-0.332937,-11.09698,-11.7226,-9.83339,-4.083043,-7.482582,-1.511189,-3.562461,26.15329,10.44709,-3.6605,5.657072,-10.73922,6.689415,7.050205,1.463512,-23.51918,-10.76842,-12.32376,-13.91104,-10.04888,-8.269478,2.745806,-17.16803,-12.73094,0.8619919,-16.053,-15.99264,-23.31516,-43.63248,-19.73724,-56.24101,-7.096664,-9.960326,-11.74071,-9.154016,-22.00257,-11.97759,-28.7291,-14.09519,5.499488,7.106898,14.12488,-1.768202,-29.32922,6.042896,17.19511,1.372941,-5.536236,0.5796959,-25.50602,2.168215,-13.32707,-3.031743,-5.527183,-21.82409,-14.13759,-20.16899,0.1635931,-31.56734,-25.12699,-6.410757,-2.016779,-10.9857,-0.9231889,-7.796589,-16.84301
234812.5,FeelingItInstructionsButton,-44.06961,-11.72226,-3.17984,-29.22777,-26.10926,-10.71689,-8.068631,-10.59947,-24.17629,-21.56798,31.93525,-11.58058,-11.98818,-33.65173,-7.374284,-3.092668,12.40374,-4.492381,-5.300836,-20.67132,-28.27674,0.7341207,-32.91354,-39.04565,-19.0405,-1.389514,-17.72277,-6.490576,-1.564799,5.43307,-3.417325,5.903024,-13.03447,-11.46911,-29.5701,-1.501592,-22.07174,2.834538,6.532889,-31.05209,22.60109,-5.957503,-7.667574,-32.57431,-33.46008,-10.30526,-25.03049,-5.418573,-10.19136,-29.94865,-17.23567,-16.95818,8.479792,-10.52736,-0.3737521,-4.384847,-0.7105536,-31.18696,7.057942,-20.34019,-21.19344,16.47218,6.612927,-6.332836,5.336883,16.12239,5.726441,-31.77036,-27.17318,10.103,15.82163,-29.47096,-23.46604,-8.661444,-5.151012,35.9447,-6.261525,-14.64418,-15.28908,-29.97299,-13.80414,-31.72707,-15.53387,-18.7693,-23.4116,-21.58337,-14.57506,-21.57849,-17.13358,-1.867138,-47.83033,-29.32612,-30.5721,6.642878,-19.12875,-1.002725,-2.987269,20.69159,-31.96165,-12.56481,-12.31989,9.868842,7.854599,-13.92135,2.349749,-8.071351,-3.014166,2.262177,-5.538879,6.873725,-3.573413,-4.268188,-2.622991,-3.561001,-9.148231,-11.84311,-7.765939,-6.775805,-7.042149,-9.581999,-7.727961,-11.88647,-14.66251,-7.174758,-9.212098,-12.82607,-4.761786,-10.7278,-13.05971,-12.65254,-10.84017,19.16309,-10.43349,-10.57031,-21.63831,-12.78749,-26.55516,-25.26315,-6.912775,-18.76425,-24.97521,-24.00829,-38.61882,-1.09543,-6.69613,-19.2958,-13.71389,-11.92951,-4.672795,-8.526484,-5.163869,-4.761458,22.24732,7.466683,-2.408623,4.775846,-19.42646,0.3245227,-2.436104,-2.042932,-21.76735,-15.06325,-8.375842,-12.07124,-14.86356,-7.498411,4.178481,-16.62561,-12.27058,1.513402,-6.495533,-17.99477,-23.68532,-44.56206,-25.31284,-51.61588,-8.104753,-6.356778,-9.77641,-3.056177,-16.54145,-11.56956,-44.36058,-26.90424,-13.97991,-13.56339,-3.98497,-17.82611,-47.4771,-9.966186,0.8682171,-18.17032,-25.60391,-22.52392,-42.59082,-14.70383,-30.66839,-21.65179,-22.97807,-38.43962,-32.8842,-36.69087,-22.86047,-49.08432,-41.38175,-10.50927,-17.50698,-20.88025,-23.98356,-20.19427,-30.45384
301800.78125,InstructionsForEnding,-35.90638,-22.88882,-12.35015,-38.62198,-29.25368,-22.42081,-19.3552,-12.31337,-32.13116,-25.46255,20.20634,-17.20719,-11.47074,-43.32325,-8.493067,-9.07577,7.420881,-14.28255,-10.23101,-19.36751,-31.08652,-0.7709414,-33.72773,-41.54746,-19.18846,-3.505399,-20.48787,-7.430012,-7.091035,1.439855,-9.848788,-0.9496955,-13.67954,-17.95693,-38.38433,-7.256508,-25.60158,-4.016716,2.841756,-31.54162,16.50934,-8.856716,-11.53744,-31.48204,-39.77801,-11.1815,-27.70631,-7.704935,-8.84337,-30.67996,-8.595899,-9.001287,19.31114,-9.833948,6.77,6.251343,8.771994,-21.76855,17.09163,-11.45347,-10.96072,26.24016,13.66738,5.070325,15.58634,26.40256,15.40779,-25.77447,-20.61418,19.80927,26.16334,-21.41054,-17.00938,-1.754992,1.640273,43.73507,-12.05983,-14.07283,-21.85495,-30.02133,-11.36434,-26.23945,-16.4562,-13.23123,-25.45312,-13.23622,-12.17286,-23.70934,-16.28113,-0.08733295,-49.10865,-32.41151,-30.83125,13.5273,-18.86211,-2.609003,-4.243821,19.52486,-30.07322,-11.83928,-11.51609,7.916977,13.35896,-9.601954,8.682064,-3.066449,4.097371,4.817745,-1.051325,10.05833,0.02566037,-1.783919,0.1083067,-1.288845,-11.22391,-12.75864,-8.552343,-8.787491,-10.63697,-12.28662,-8.977603,-20.38417,-18.91747,-10.67889,-12.34298,-17.82619,-9.373159,-13.32635,-16.51373,-19.00801,-8.90357,10.95249,-15.60935,-12.45939,-18.75905,-15.66338,-24.88611,-20.29241,-2.040999,-12.24285,-24.02032,-11.30353,-32.30477,4.705483,-1.404447,-11.51379,-15.51617,-13.45577,-4.203853,-9.843794,-6.28667,-12.02364,22.85422,5.246316,-1.049808,9.59185,-11.83054,5.078742,1.932652,5.40201,-20.5684,-12.30399,-10.53947,-11.03025,-11.66,-9.837221,6.532515,-11.84403,-8.974099,1.636423,-11.03972,-13.02933,-15.99863,-41.71199,-21.43211,-58.33234,-3.517924,-4.007141,-8.420258,-5.656159,-14.23844,-7.862974,-41.86822,-28.54661,-14.03898,-11.5665,-4.155612,-17.72138,-44.32765,-10.5644,2.838285,-14.88404,-24.47104,-17.51422,-39.42799,-14.41494,-27.43504,-19.07649,-20.56442,-40.12022,-29.28105,-39.39786,-19.07697,-43.34616,-37.70036,-4.19705,-0.9685878,-9.796425,2.166516,-30.15733,-24.89147
651601.5625,ImaginationSuggestions,-30.62475,-7.345945,3.593199,-17.168,-5.48623,-0.7198686,1.709309,-12.3656,-18.06711,-23.62266,37.31443,1.331317,-15.67886,-25.79905,-14.50943,-4.753453,8.235363,1.097524,-7.067512,-22.38213,-30.59724,10.10349,-16.42048,-23.00341,-3.207394,13.53166,-4.846849,9.550887,8.721334,13.27827,4.754336,13.69367,-3.028497,-0.696573,-26.5142,5.717492,-9.254183,3.927984,8.018415,-23.52086,26.85494,-2.388899,0.6443174,-17.16507,-30.12207,-9.483768,-19.08313,-3.67664,-4.473566,-28.93256,-15.16345,-24.80771,16.56503,-10.08518,0.9240723,-1.933106,-2.146556,-27.81973,12.02709,-17.37311,-15.94917,17.99409,7.715474,-3.885571,8.101809,16.79652,6.26164,-24.67643,-24.19997,13.25973,18.25245,-24.65841,-20.49788,-6.941922,-5.773188,38.95899,-1.451347,-8.396979,-6.477012,-18.62283,-9.354926,-21.42666,-6.231056,-13.38315,-13.35355,-18.5606,-8.478765,-19.21851,-15.19625,0.2115531,-41.17191,-23.56651,-15.51913,19.74557,-11.68661,-1.610422,-3.813495,15.1782,-28.8723,-11.17279,-11.26543,4.847765,11.78162,-11.21098,2.975641,-5.193429,-3.563625,-2.295556,-6.722724,4.274648,-4.957797,-4.174676,-3.943054,-3.552827,-14.26841,-16.17523,-9.187924,-11.08189,-9.795216,-14.28019,-9.921259,-18.61827,-17.64862,-9.110394,-15.70144,-16.58345,-12.61916,-15.86355,-17.07139,-15.60222,-8.115728,18.14885,-11.47165,-11.75078,-17.52421,-6.217156,-16.62566,-23.57114,-5.422604,-16.42475,-25.6062,-20.3913,-31.59839,2.327384,-4.4451,-14.84818,-14.65825,-16.06231,-3.435797,-10.0899,-2.935512,-3.821906,25.53947,5.659751,-3.842005,4.773337,-15.06763,2.666888,0.1706335,-1.638064,-26.10472,-25.34547,-20.85172,-12.9832,-14.97027,-16.71374,6.970017,-17.53252,-14.04374,-7.018004,-16.61335,-21.04861,-28.60441,-53.25483,-28.58963,-50.34538,-5.573679,-12.76711,-12.75365,-5.300085,-10.40984,-11.42046,-30.98569,-13.43069,0.5220975,0.6164621,11.91671,-2.940067,-30.63682,-1.307876,15.42697,-5.927679,-14.11366,-10.70553,-25.46148,-3.244861,-21.55317,-10.01948,-13.4132,-35.29768,-21.14999,-34.90561,-12.50304,-39.65189,-37.77835,-16.09433,-15.96886,-21.6517,-10.95184,-16.55921,-34.18903
713203.125,enter,-34.5901,-11.60825,-3.858424,-25.61006,-12.91488,-9.986624,-8.202541,-7.753182,-17.70187,-16.75082,33.77523,0.2132085,-16.14372,-28.19497,-9.045751,-0.4638886,16.29386,-5.193904,-7.327176,-19.74939,-22.38717,2.44873,-23.09155,-31.26402,-11.88968,6.317667,-9.055947,0.9166158,-0.8985407,8.973764,-0.3704151,9.23859,-2.926296,2.330073,-25.23658,1.557761,-9.716019,6.604068,10.76754,-19.96927,29.65075,0.875634,-0.07163443,-24.39592,-31.65608,-4.165549,-18.72939,-2.043889,-7.707593,-23.55015,-22.41392,-21.24068,11.26923,-14.27878,-6.625114,-8.203543,-6.776847,-30.42366,8.083206,-23.19821,-18.95861,12.77449,0.7269189,-10.43579,4.338632,12.39281,1.99642,-32.39115,-29.30358,8.649424,12.14134,-28.96157,-26.90929,-12.75494,-9.728398,30.71247,-6.315742,-10.38017,-17.26651,-24.61663,-13.29381,-18.85161,-15.44275,-14.49013,-19.37556,-17.28404,-13.46787,-22.49752,-16.95192,-0.4938335,-43.45126,-27.32176,-23.58069,14.28413,-14.81142,-4.482937,-3.504021,15.30845,-28.92978,-12.59346,-8.006089,7.067813,3.645977,-13.51463,-3.056086,-13.93705,-10.59543,-7.515551,-10.26032,-1.165307,-10.94792,-9.674705,-9.794678,-9.06798,-18.17447,-20.25029,-13.25202,-13.7608,-16.03789,-10.39454,-11.46632,-22.17243,-19.96139,-17.41486,-19.60729,-22.15511,-14.04946,-19.20213,-23.02918,-11.81032,-14.19568,21.61565,-9.131089,-10.92891,-22.44384,-5.660618,-26.86561,-21.0218,-3.621752,-12.15772,-22.86187,-18.07006,-31.96034,-2.2651,-7.588606,-21.15766,-17.80641,-14.26171,-10.74742,-11.50952,-1.394643,-0.84646,26.94667,9.133938,0.1264635,3.742777,-21.32519,-2.398829,-2.69885,-8.203607,-29.36068,-23.2209,-20.32235,-14.44172,-17.75147,-15.78706,1.75827,-20.00337,-16.27524,-12.66355,-21.6048,-23.38903,-29.98423,-48.4911,-34.73651,-59.2789,-10.49947,-9.628819,-11.71817,-8.780401,-9.535224,-21.42406,-37.7381,-22.46366,-8.940292,-8.013399,4.4477,-6.360445,-38.02228,-8.291718,6.354381,-10.32391,-20.05446,-16.55581,-32.79934,-11.06749,-27.71772,-17.30342,-20.58545,-40.89331,-25.647,-39.19833,-16.35936,-36.44238,-33.78788,-9.344024,-8.838396,-19.70699,-12.34706,-22.69516,-36.74605
851066.40625,awe,-34.39504,-9.234035,-4.466798,-25.72192,-12.64251,-7.093464,-5.474262,-13.52592,-20.50529,-23.74999,36.59961,-2.523865,-20.24294,-28.56146,-15.57384,-6.109245,2.500851,-5.37112,-14.90234,-19.23232,-29.44464,2.959703,-16.04916,-26.7471,-8.567616,4.283341,-8.39714,6.265969,4.803786,10.06531,0.6585621,13.84653,1.774903,-1.453769,-25.91058,6.14498,-4.152379,7.716635,10.50719,-24.28608,25.1904,-4.235287,-0.7306592,-23.79407,-28.28881,-5.158929,-15.69865,0.2832233,-3.688704,-17.48948,-21.70861,-17.5583,16.1261,-7.542191,0.1764389,-0.2304788,2.317843,-31.1901,8.540461,-18.09376,-9.470051,20.87611,5.528892,-3.332241,12.19589,19.46401,5.888127,-26.47578,-25.31916,15.56416,18.24845,-28.63325,-28.53362,-13.57823,-11.39737,34.46993,-6.613486,-11.50067,-14.74381,-25.1473,-14.69559,-27.49614,-13.08319,-12.26069,-21.4154,-21.68001,-18.2945,-29.37216,-21.06758,-11.23896,-47.92352,-33.1062,-23.57871,15.22096,-21.36616,-6.789853,-5.467084,6.944551,-34.12503,-7.450712,-16.76633,-3.034216,11.39807,-10.82033,6.261523,-6.502526,-6.470732,-1.106222,-10.41517,0.7487969,-9.644533,-10.1084,-8.775884,-9.970003,-21.97027,-24.65611,-13.61147,-14.6664,-18.95522,-20.89585,-19.18734,-27.42841,-23.68032,-18.69989,-23.71125,-23.2147,-14.88282,-24.48175,-24.05317,-16.50754,-4.63277,16.01133,-17.29323,-11.51159,-19.21961,-4.518327,-18.69967,-18.41526,-3.829056,-11.12699,-24.34652,-19.67145,-29.62167,1.769113,-1.540134,-11.72147,-10.82775,-15.4608,0.9535928,-8.755885,-6.351332,-7.30552,22.95879,9.653188,2.213366,10.88319,-11.6115,2.837131,-0.9295588,0.4631635,-27.11902,-26.55269,-22.73959,-21.74754,-20.87513,-19.95853,2.684921,-19.80514,-16.58603,-8.693282,-32.39512,-26.31508,-29.49718,-44.58577,-36.40812,-44.6577,-8.258657,-10.37222,-12.07905,-10.00368,-10.87294,-18.93578,-34.56004,-21.76109,-6.33566,-4.617399,8.867571,-10.7238,-36.81394,-9.739063,5.213351,-7.847045,-20.71736,-20.7669,-30.70108,-12.0432,-35.98055,-18.72589,-28.65215,-46.79261,-30.94719,-45.58522,-21.65002,-43.65357,-41.92123,-28.64188,-23.58589,-28.03071,-14.92374,-23.43533,-34.33986
