Time,Event,A1,A2,A3,A4,A5,A8,A9,A10,A11,A15,A16,A17,A18,A23,A25,A28,A29,A31,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B15,B16,B18,B19,B21,B22,B23,B24,B25,B27,B28,B29,B30,B31,B32,C1,C2,C3,C4,C6,C8,C9,C10,C11,C12,C13,C14,C15,C17,C18,C20,C21,C22,C23,C24,C25,C27,C28,C29,C30,C31,C32,D2,D3,D6,D7,D8,D9,D10,D12,D13,D14,D15,D16,D17,D18,D19,D20,D21,D22,D24,D26,D27,D28,D29,D30,D31,D32,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,F2,F3,F4,F5,F6,F7,F8,F9,F10,F12,F13,F15,F16,F17,F19,F20,F21,F22,F25,F26,F27,F28,F29,F30,F32,G1,G2,G3,G4,G6,G7,G8,G10,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G24,G25,G26,G27,G28,G29,G30,G31,G32,H1,H2,H3,H4,H5,H6,H8,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,EXG2,EXG3,EXG6
3445.3125,InitialInstructions,21.05272,-8.720553,5.962115,9.95617,38.68337,23.69379,30.29559,-0.5322517,4.976243,5.77732,33.33991,11.70392,10.91557,34.34831,37.39233,64.30997,19.68216,20.33788,66.65174,36.86756,-4.777302,2.537313,15.81126,39.23967,24.24171,37.65993,17.15193,-22.92808,50.99918,25.48899,0.906984,15.11271,32.70906,34.10929,42.08058,28.42163,24.96415,23.09877,-14.05931,-11.23709,6.758112,13.67567,-3.684567,-7.057437,-26.30185,50.25031,3.01015,-23.80896,-8.164351,-12.41777,-25.21711,5.867414,-29.15307,12.82742,-43.6314,-6.444141,-24.78042,1.820272,1.472965,1.974641,-21.17252,-9.613322,-7.495466,2.730107,4.759125,36.66296,3.795812,-32.82418,-35.64845,-11.07053,27.15749,20.71559,2.846395,-4.389817,-15.39264,-16.29232,-1.308909,-10.72953,-2.21101,-16.9951,-21.35682,3.634871,17.88119,-24.4931,-48.93393,-25.39297,-20.336,-11.81402,41.96441,26.39756,-12.21296,1.72471,25.41324,20.47629,-16.37566,11.27323,30.8192,22.23885,7.688494,-14.61391,-16.44188,-7.887009,8.627162,-21.96045,1.19694,0.3062052,1.334343,2.353632,16.65729,-28.55884,0.682031,24.84659,4.727955,4.012444,13.05907,19.57854,8.192048,32.53327,4.405231,35.96387,5.692485,-26.19285,59.71947,-9.810057,-21.03857,9.053264,33.73923,36.53249,-20.92836,5.58112,-10.59498,-9.090891,-6.719732,-13.39562,13.17442,-25.12464,-31.61413,-27.16919,-23.68568,-3.148647,-2.778069,-16.34935,-10.70493,-12.64975,-17.03156,28.91238,-22.34892,-36.33595,23.21637,-20.18251,19.3398,5.139643,32.48536,25.20132,45.39034,35.27704,14.47719,-14.68913,24.8695,-13.42842,24.52954,4.812128,-19.40733,-13.71585,-17.01941,-2.179655,5.62709,-11.90292,-18.91435,-17.01845,-51.50108,-36.31921,-30.50633,-18.95389,-6.533164,4.638524,-15.19783,3.344742,-2.77045,26.95321,10.90577,62.20652,38.1819,39.98232,-5.965146,0.7718974,-41.30285,-12.17415,19.63573,34.00443,-8.283708,18.12911,-11.37592,20.68125,-11.97696,-22.68425,-8.301184,-17.23996,-1.129892,-5.646501,0.4747947
103445.3125,prebase_instruct,11.62696,16.68006,20.43007,12.82297,39.74483,5.75325,21.78795,-7.894546,7.686803,-15.51555,22.74119,5.482903,4.410285,25.46431,27.25478,58.33364,15.21182,19.97811,60.44558,27.05719,-7.811748,-5.096362,17.97276,28.88807,16.49707,27.77326,5.237047,-24.75562,41.76781,18.33154,-1.909851,9.557721,26.5502,32.62777,41.4633,22.31643,21.81818,16.4746,-19.16208,-12.47588,12.70638,18.47611,-0.0315656,-8.517542,-18.30079,62.17482,15.08507,11.57462,26.53712,15.98038,-6.510394,17.12559,-31.42812,9.197175,-7.225235,12.72709,4.005693,21.01891,15.61895,18.19204,-5.681802,0.636116,6.158101,16.62183,21.78295,46.20512,17.79779,-17.45481,-20.78338,-10.1585,21.29635,35.7513,1.69034,-2.066192,-24.73534,-15.68791,9.134021,-8.321814,-7.557955,9.345622,-25.57755,2.500901,17.73929,-29.23957,-38.9892,12.72412,-15.44995,-11.01081,42.74115,24.80706,-12.28636,-0.5796322,20.27479,12.75783,-32.09309,7.366677,18.47482,5.225572,13.40006,-4.522069,-13.40933,-10.78232,6.379069,-23.82878,-4.512017,-4.333189,-4.678094,-1.947537,12.87898,-26.57656,-9.856966,12.9229,-12.42692,-12.65823,3.381071,6.094753,-11.08637,13.01191,2.487872,23.05175,-6.680624,-37.87243,47.76423,-27.61036,-18.00969,12.8458,39.60938,42.14172,-18.79677,13.29935,-7.234717,-6.998067,-6.574703,-12.93801,9.550474,-16.42188,-19.31035,-22.9802,-14.439,12.28816,11.57355,-4.081971,-7.470552,2.410245,-3.049811,45.15863,3.176541,-16.98757,32.18492,-11.20135,3.619226,-10.41964,22.18652,21.74306,34.29386,31.8674,11.40751,-21.51959,23.77144,-18.81004,23.96043,10.74551,-16.00328,-13.11056,5.068142,2.272095,10.91713,-4.541101,-6.732538,-6.873618,-23.13341,-7.783854,-17.84262,-5.633897,0.04288368,14.82367,-1.133655,14.29702,0.6932431,24.89953,13.27428,59.87336,38.72324,45.26173,0.1905891,27.54362,-7.730347,10.79581,25.67893,36.54453,20.50657,40.04824,43.60636,46.34771,34.46718,3.540477,36.13373,20.54255,-57.26925,-75.38297,42.33797
113890.625,prebase,-5.887583,-30.09319,-20.02767,-3.758679,23.18708,0.9181274,4.485637,-25.98103,-15.99431,-3.072777,22.55787,-9.798414,-5.036363,25.08797,23.64984,59.66249,16.70902,19.62107,50.93114,20.7538,-17.15976,-11.24001,2.127969,26.11989,11.25808,20.84653,0.8016433,-28.61975,34.51156,10.74337,-5.482219,6.917388,21.64548,24.51422,37.91263,17.80199,22.68139,13.14026,-16.65537,-15.88814,14.70791,19.10294,5.677256,-5.70535,-19.64454,74.3182,28.0007,27.38718,41.77742,29.69682,14.29945,39.94232,-18.94432,22.71434,7.185414,26.94131,22.46637,40.84819,26.75065,31.58914,16.11308,18.88292,18.35383,28.93077,39.45003,63.36848,28.83321,-3.8692,-8.533449,0.7433529,36.03813,47.53736,-0.4522039,-7.260239,-26.66567,-17.2732,10.40803,-6.945858,-3.071288,-30.44035,-12.93475,3.492105,24.83259,-20.19118,-36.41642,-15.17075,-9.765715,0.3070233,51.61948,35.11738,8.695083,12.21681,36.22098,35.79806,0.8562694,19.01156,43.04676,31.81132,27.6963,4.138497,0.2686374,4.520971,19.78097,-14.16251,8.302519,8.159439,9.564096,10.1344,24.25714,-19.43683,11.5502,33.32891,13.63284,13.19435,22.81321,27.4073,13.35776,36.86678,7.951322,43.79489,13.44933,-10.0007,69.06149,-5.839965,12.17362,14.47226,40.35762,43.05714,-20.23797,18.60284,-4.930772,-6.026552,-2.22641,-19.19822,19.13466,-16.61449,-9.699645,-13.08965,-9.812003,18.67136,18.68031,2.583161,-3.886747,5.117977,1.869127,50.52475,12.00383,-1.495489,50.15668,12.94534,15.2929,-1.698123,21.20656,22.24696,43.78839,32.36202,11.63467,-12.37202,32.19352,-12.98307,33.3773,20.49825,-7.501045,-9.089961,15.60923,11.44256,19.47494,3.387807,0.7577478,1.082011,-10.83606,2.824447,-11.02687,5.919428,9.653284,27.45809,7.906334,26.66503,-10.07777,11.72167,1.245424,48.795,21.30205,28.21478,-11.27517,-2.157259,-44.76575,-22.27732,7.903366,17.88555,-18.56894,-0.1884606,-22.73728,-1.637933,-25.68508,-43.90628,-14.37644,-25.34108,-7.937227,-23.2614,-10.96304
233949.21875,FeelingItInstructionsNoButton,-11.0162,-31.69096,-29.10629,-11.07573,12.69456,-6.286332,0.08164573,-28.17888,-23.47734,-9.093201,12.61232,-17.34306,-17.95929,15.91901,7.232697,51.79253,10.68092,5.915923,40.90891,9.490136,-21.98627,-17.4859,7.948766,12.88225,3.33296,14.88863,-9.089155,-36.10397,25.87894,5.444571,-13.34247,3.12438,17.626,22.32108,29.60952,14.00301,20.97928,11.82337,-19.31762,-20.02627,4.138472,7.168472,3.865534,-12.87568,-13.37816,55.78824,10.82674,-2.296977,12.94288,2.760469,-10.84683,14.96876,-29.12883,13.32924,-20.71297,9.247403,-9.538044,11.54276,7.506706,11.44266,-11.40452,-3.635593,-0.5146572,11.09814,16.08664,45.34838,11.00367,-20.75435,-24.52062,-11.51063,22.93183,32.33687,-4.276891,-6.916217,-28.41207,-19.86994,16.21317,-7.772076,-0.7657293,-16.16111,-13.37261,9.161858,23.31217,-23.40549,-30.44781,0.7525953,-12.44917,-4.085583,51.0347,32.65306,7.882316,13.84811,32.43729,31.45465,-2.927805,19.81659,37.70421,25.06906,16.85899,-6.149566,-9.541431,-9.06364,8.562828,-22.41602,-2.121242,-1.922328,-1.683972,-0.603361,19.73225,-18.33585,1.580155,28.88173,7.087568,6.373784,8.555762,18.62075,6.034864,30.59762,11.83462,36.03135,6.951156,-29.60977,56.07801,-20.04037,-5.580192,2.029124,28.66336,32.33685,-29.5501,10.3254,-8.103194,-13.83617,-1.904832,-10.80945,10.62039,-21.47917,-17.90037,-4.41919,-17.9661,4.322585,3.799724,-16.01992,-25.57005,-12.74492,-17.30303,36.96135,-5.087481,-21.01908,33.10115,-12.67973,8.321235,-6.608169,12.50918,15.62126,33.70709,28.19263,6.72751,-15.14966,20.31125,-19.75251,21.10873,7.429742,-18.25354,-19.50363,-9.166121,-1.534483,7.128211,-6.467386,-17.64963,-18.02573,-32.40325,-18.84641,-29.08371,-10.11192,-1.826123,10.27585,-13.11005,9.274923,-10.54254,9.250288,-3.622299,40.5131,9.742624,21.55219,-14.41426,6.127749,-36.21893,-23.73475,0.6800551,9.350185,-21.42539,-5.447686,-18.18293,-4.99861,-16.13026,-44.67837,-19.23735,-10.68542,-6.356306,-27.19749,-10.34725
269878.90625,InstructionsForEnding,-2.296154,-28.55972,-17.46888,-1.178317,22.49608,2.602336,8.551973,-19.40963,-11.16826,-0.0100775,22.80341,-8.34624,-6.775919,25.71623,26.26679,59.83104,17.33782,10.94115,52.79745,24.25941,-15.12404,-12.02183,8.555961,27.27848,14.39224,22.43979,2.144292,-27.72519,35.44952,9.859131,-7.971655,3.32373,15.78942,23.14796,38.23838,15.49516,17.90439,5.420243,-27.79428,-16.51552,4.840648,7.937128,-3.721491,-16.97493,-24.81284,54.78975,9.681316,-18.56006,-3.454642,-5.665012,-18.78855,11.35754,-27.49554,23.44447,-37.39949,5.517882,-15.35058,7.480514,5.944657,7.911105,-12.20308,-1.975617,-0.3510698,9.037081,13.86132,45.44709,9.528443,-22.18846,-25.11676,-8.140557,30.83877,31.42498,-1.726916,-5.339673,-19.98577,-17.20248,4.790923,2.166814,6.598562,-13.96379,-22.14977,7.591078,31.17676,-17.75727,-29.65211,-5.615993,-2.341347,3.593641,58.8594,42.3435,15.25409,18.31697,42.36056,38.55899,7.737755,28.93013,47.38601,36.33875,16.37926,2.497092,-5.007525,-2.02976,15.56945,-9.95595,6.613166,7.536802,7.092495,9.1119,27.39287,-10.66523,15.01517,40.46082,19.61553,18.36697,22.15435,32.34218,16.85006,42.54388,17.67349,46.45417,18.4385,-12.95024,65.65487,-10.28182,-12.0786,3.015477,31.35795,33.18271,-23.48284,2.102772,-18.99264,-15.40916,-14.58086,-13.51039,19.19019,-21.30579,-25.30467,-22.447,-29.72492,-3.261527,-4.262288,-21.35895,-21.7574,-16.89558,-20.54476,28.92529,-17.23811,-33.74187,25.89466,-12.17337,23.49023,4.586234,23.11255,23.91203,46.75364,35.87947,15.85442,-7.524738,29.8527,-6.870332,30.29793,11.04122,-11.41742,-8.712472,-16.57824,4.405853,10.12783,-7.12879,-20.53525,-19.95826,-41.80468,-29.08105,-31.70566,-9.41508,0.3605843,9.967213,-14.63019,8.695429,-6.837636,16.40139,2.682312,49.06392,19.04906,30.00681,-11.02592,4.604057,-38.04484,-16.86911,9.528665,18.48954,-18.04417,1.597775,-21.37228,-1.016173,-9.718907,-40.47224,-10.82884,-14.95073,1.916501,-0.3815103,-6.957039
619671.875,ImaginationSuggestions,1.899488,-15.49088,-4.090196,11.91437,30.40779,6.133978,12.53991,-11.82949,-10.30607,-5.091514,22.66893,-1.366543,0.5569947,28.2037,26.30363,55.17935,18.2454,21.49646,53.16278,33.11999,-3.633035,-1.137054,18.01558,31.82092,30.34249,33.93874,14.12923,-15.76955,43.99994,25.73612,-2.041394,16.24699,37.88197,43.00591,45.3833,25.25673,32.82573,18.65488,-15.12073,1.519079,21.59848,18.13819,11.40161,-7.068271,-10.12305,48.31462,9.56683,0.142279,19.87359,3.992382,-17.12224,10.84341,-34.47212,15.91313,-17.78601,12.74982,-8.57006,9.005945,7.556385,9.365448,-16.22646,-9.086785,-1.628377,8.415483,15.31016,42.6386,7.779202,-20.01099,-21.86181,-15.85355,19.54663,32.56776,6.344025,8.488014,-28.8949,-18.85084,16.84263,2.870926,9.186443,-16.79934,-12.90146,5.091084,24.80329,-17.89726,-29.78039,-1.331011,-1.822955,0.3998134,60.96099,37.94721,8.740438,8.832625,33.70827,30.25018,-0.03958205,22.24992,42.20832,30.22181,5.472619,-15.36122,-13.78815,-12.36263,1.289116,-25.6772,-6.123943,-3.326662,-4.880906,-1.628055,17.51506,-23.46672,6.612504,31.22771,9.07909,9.471395,17.1437,24.86507,9.61055,33.46193,0.8659925,38.76109,4.817238,-30.00049,54.06784,-13.89924,-18.16312,12.23392,42.08076,45.47813,-12.99563,13.33212,-7.961079,-17.73304,-1.268566,-10.14557,13.03313,-10.36986,-21.73009,-18.04229,-17.91762,10.79735,10.35136,-9.18753,-10.65518,-2.697034,-9.337976,40.98933,-0.9934043,-23.11191,25.50822,-21.48396,20.47177,-5.634678,20.82473,20.11214,38.47331,35.00769,13.8175,-15.13775,21.83989,-19.67834,22.86009,5.273689,-14.26108,-17.18605,0.5151518,-0.7452307,4.380316,-6.468001,-12.63336,-11.66574,-24.50352,-14.49346,-21.15429,-8.355121,-0.6859734,8.626916,-4.086949,7.536292,9.44689,31.27439,20.96389,56.63995,28.24394,44.36028,0.9800432,19.49891,-21.78078,5.230236,21.409,26.3335,-4.082523,14.9259,-5.894627,7.035567,-4.595929,-26.18874,-5.516958,-10.10443,-4.095233,-10.97391,2.27662
681289.0625,enter,3.406787,-10.58296,-8.737397,17.55403,34.96225,7.637378,12.78772,-9.799596,-6.686089,0.5413924,24.69948,2.348383,4.82519,31.68741,20.53616,56.56361,20.575,18.48605,52.90802,32.2923,-8.073939,-9.664451,17.84987,34.75063,24.5418,26.68516,8.198643,-29.11778,38.49756,13.25767,-6.987913,4.182621,16.20352,20.24212,39.27929,13.19906,17.11459,-2.106145,-34.51234,-17.32192,6.336527,3.920267,-5.683413,-29.29464,-34.91941,46.99076,15.63323,-6.114462,13.32886,-8.291893,-18.95981,8.346092,-31.70726,12.75786,-24.59843,18.05846,-11.43769,8.917246,12.31293,15.16137,-4.689269,-2.134866,5.35804,14.06639,24.25462,50.89805,15.82623,-11.75433,-13.87705,-12.8879,21.35645,39.36602,4.908436,6.380832,-24.23772,-16.06684,11.3496,2.467125,8.058029,-0.7782989,-27.60825,7.631393,24.53708,-25.90882,-27.55609,0.6370198,-9.504345,-6.322022,57.49566,38.30659,5.316173,7.384656,34.9342,35.02175,2.597089,22.29778,42.5449,29.31535,14.10909,-7.191718,-10.89238,-9.296295,-0.4553185,-24.61197,-9.349936,-7.871264,-9.385518,-7.103166,11.71986,-26.12297,3.576232,29.9655,9.832105,9.181234,14.44081,23.70315,8.042222,31.19246,-1.040492,38.59698,7.698592,-32.10736,51.765,-20.48279,-27.79377,-2.418143,26.71255,31.20885,-33.24556,-6.243437,-27.36774,-31.06415,-23.74953,-17.73902,6.903862,-28.82224,-36.67441,-27.15109,-36.21064,-4.114827,-4.912825,-20.77469,-23.56774,-14.06995,-22.29046,26.05462,-15.77921,-40.52894,16.82154,-24.42017,25.13228,0.5317585,23.43023,23.0457,46.26731,38.73275,17.30997,-6.642516,34.2731,-5.30239,36.92601,15.73026,-1.727301,-4.56496,-12.26412,11.22938,14.51739,-1.171907,-13.3905,-13.38287,-26.78342,-17.63739,-22.0232,0.5239249,9.608633,15.22915,-13.76856,14.50113,5.717561,26.63061,18.36431,56.66755,33.02721,46.05165,-2.115146,19.95946,-22.43385,-3.731614,21.84512,29.88949,-3.671564,20.65447,-7.365585,11.65382,0.09682328,-21.53645,0.430302,-10.97578,-1.913019,-8.467824,5.247565
1006468.75,happy,-7.523287,-26.22652,-22.91759,5.201145,19.7419,3.830191,1.259917,-19.37234,-23.40363,-0.05113649,23.79236,-6.805236,6.533405,32.42113,15.31443,60.97405,29.11695,-4.115,35.02412,20.24751,-13.12019,-13.68428,9.850314,23.22575,22.17993,21.96909,10.91541,-22.98584,34.6778,15.39913,-8.848044,9.536274,26.56421,36.359,44.12922,17.41438,30.84124,5.305657,-13.90825,-3.207006,21.59078,14.63473,14.8927,-1.236372,-8.810317,72.27206,43.10958,23.97004,46.79656,26.41656,16.87473,32.5989,-3.868919,48.21557,5.755627,50.43299,23.28382,43.77234,40.09814,43.27052,24.95513,29.85133,33.14619,41.37867,57.51627,83.72533,42.11179,17.68537,17.07407,12.2399,52.62765,71.37453,-2.689472,5.090183,-26.88478,-23.51327,10.57291,-2.631872,5.968928,-26.04911,-16.05293,2.793517,17.52814,-24.9516,-28.29953,-11.07014,7.376901,0.903982,59.38512,34.94278,-4.693767,0.4969068,29.97212,21.95009,-5.169796,23.47405,44.05352,26.25002,40.30398,11.40161,24.71886,13.59837,29.71811,-4.087179,21.65476,27.16893,21.71676,29.31624,31.01933,5.622143,7.518503,37.55327,9.437312,9.180991,27.12235,39.93427,13.06817,34.34951,36.5626,52.6515,28.64576,6.856085,68.04411,12.80847,0.4641727,8.866653,37.49199,42.77715,-16.03255,18.39417,-7.665977,-6.951528,-5.127163,-4.753284,19.80697,-13.2328,-9.545439,-5.837078,-8.689085,17.25555,17.15014,-5.23319,-7.109627,5.478698,-5.521259,43.86118,12.62774,-2.205211,49.05497,12.65923,28.15816,3.401903,24.31055,30.99747,48.30703,46.34891,26.53414,11.86163,50.31597,7.665861,53.04707,34.53281,17.23941,9.786596,9.29904,29.26438,33.25275,18.20775,4.208764,5.316643,-0.6790805,6.95255,-1.96494,25.55188,29.70184,40.24584,0.4111034,38.86588,3.815244,25.28668,11.07933,40.8938,16.68676,35.64492,-13.28501,14.0547,-35.27054,-13.39889,8.496772,14.80831,-24.05474,7.392598,-25.9308,-6.312084,-19.12626,-34.69052,-19.85014,-31.06654,5.892384,8.206362,-12.66038
1020128.90625,happy,-5.51641,-30.74501,-18.08778,18.18321,32.86094,-0.6609845,4.608992,-15.38584,-15.93458,2.991094,23.87468,4.068728,6.866042,33.43486,31.9234,56.85122,25.05085,17.21717,54.09078,43.6087,6.360265,5.250817,28.41127,46.3773,43.95395,46.90384,30.39391,-5.126006,53.88752,31.73643,7.988759,21.2968,31.9756,45.22278,55.2327,28.03842,31.01852,9.859522,-19.41624,-1.365219,23.54542,15.83716,4.150851,-9.372377,-14.17773,42.32152,17.15774,-1.026613,21.98341,-5.463678,-13.45512,7.072468,-23.57693,26.89377,-18.71745,23.48801,-9.027136,8.588211,13.52728,15.02431,-3.639762,-1.574159,7.621748,14.63984,25.86178,51.33694,14.94224,-9.827741,-10.33229,-8.764155,30.07833,42.40594,19.40212,19.73744,-9.831856,-11.46034,22.92186,12.1152,15.3976,-13.15528,-10.21963,15.72175,28.16117,-19.12311,-20.62909,4.690493,-0.6463353,-3.470835,58.72406,41.43106,20.79218,4.878882,35.67077,35.92186,17.10532,21.08867,49.12611,30.37052,11.79733,-7.960567,0.9197568,-5.307858,8.794709,-13.99231,1.429856,3.093472,1.371573,4.127548,15.08573,-22.93778,8.80164,32.80944,11.94957,12.14557,17.31956,26.59664,6.832447,27.54507,5.316229,42.77737,14.98049,-25.04491,53.78994,-10.58971,-23.07902,8.985286,37.57227,42.32787,-23.23092,5.534501,-16.71233,-16.38883,-11.29391,-1.947407,16.44059,-19.2017,-24.08809,-30.17183,-32.60635,4.212118,3.311517,-9.892273,-8.9555,-7.723094,-10.14819,31.24161,-9.829549,-32.35385,19.66961,-22.12465,27.25791,1.888208,23.7052,25.37625,44.32613,40.86525,20.97439,-7.459379,27.97677,-9.485563,30.08626,10.18631,-5.369518,-9.556369,-0.6069446,6.166719,9.752239,-2.481554,-9.431916,-8.363068,-23.35748,-17.05839,-16.50487,0.8205113,7.60638,15.31841,-4.757732,13.19143,20.50226,40.70168,31.03383,60.32491,30.59232,55.13383,6.167274,27.0816,-25.49239,-0.6632609,27.19074,27.76033,-13.26909,7.020447,-26.29707,-10.27157,-10.10455,-37.88942,-13.54598,-21.19832,12.41958,16.72222,-2.831869
1021679.6875,happy,-2.06329,-18.78363,-15.4847,14.98497,28.7225,5.771473,8.113866,-12.05642,-20.73092,-0.8334702,21.71185,-0.9879349,2.409811,31.96375,20.01315,53.45883,20.81698,17.99211,46.36345,33.49736,-4.165747,-6.570698,12.55549,36.30991,34.04821,32.14249,20.686,-13.11637,42.45097,29.72023,0.5336326,15.77633,39.57885,46.30569,45.35556,23.11849,33.44665,16.93407,-9.77082,-1.732989,19.67805,11.91467,11.29795,-1.651638,-10.4989,45.09606,12.70994,-7.476323,17.27874,-1.548492,-16.3884,8.603831,-30.61967,14.59825,-23.55926,19.10465,-10.07242,5.609046,8.223397,10.10105,-12.54441,-8.257154,2.412276,9.649242,21.47292,48.89965,10.39742,-13.5101,-13.85328,-12.60593,19.0325,38.80655,7.26924,11.39386,-30.7954,-18.64924,14.19287,1.59862,8.623507,-17.02453,-20.69216,4.98916,24.23691,-25.76049,-26.02674,-8.671976,-3.622951,0.8030171,67.85535,38.33393,6.36318,6.719357,35.23272,33.34108,7.298825,22.3465,48.09814,31.47823,5.580803,-12.3258,-9.232418,-2.795512,-1.866553,-27.96104,-10.7392,-9.768586,-11.20652,-8.460309,9.787041,-22.43703,9.408746,34.62762,12.75268,11.9932,16.62425,25.45131,10.42686,32.84413,-4.244241,39.34248,12.51844,-33.51247,44.724,-21.71507,-16.0186,5.075359,33.20927,38.70523,-18.92642,11.14673,-7.696448,-8.648282,-3.521333,-17.32531,11.87425,-21.39338,-25.6826,-8.644009,-17.38694,3.780087,3.650989,-18.29862,-18.58207,-11.79561,-18.54245,31.44146,-8.141269,-22.62704,25.05075,-17.36055,23.59783,-2.960676,21.94235,23.00792,44.27582,38.4144,19.14823,-8.322875,31.25546,-0.1979602,33.52868,11.23925,-2.800616,-3.949036,-9.916586,9.7603,11.28252,-3.664883,-16.81999,-16.40261,-29.39206,-23.50361,-24.14783,-2.111649,7.774389,12.15399,-15.34766,9.353803,9.833684,35.51987,22.37384,50.94216,25.98993,44.4234,-3.132435,19.01545,-23.91382,-1.540695,17.6658,24.96794,-15.8498,13.93092,-19.52847,0.982554,-9.175831,-27.04564,-11.78355,-16.82253,6.535432,-4.929052,-6.448094
