Time,Event,A3,A4,A5,A6,A7,A10,A11,A12,A13,A14,A15,A18,A19,A21,A24,A25,A26,A27,A28,A29,A30,A32,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C14,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,D1,D2,D3,D4,D5,D6,D7,D8,D10,D11,D12,D13,D14,D15,D17,D20,D22,D23,D26,D28,D30,D31,D32,E1,E2,E4,E6,E9,E10,E11,E12,E13,E14,E16,E17,E18,E19,E23,E24,E25,E27,E28,E30,E31,E32,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F32,G1,G2,G3,G4,G5,G6,G8,G9,G10,G11,G12,G13,G14,G15,G16,G18,G19,G20,G22,G24,G25,G26,G27,G28,G29,G30,G31,G32,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H22,EXG1,EXG2,EXG3,EXG4,EXG5,EXG6
1000,prebase,-17.66309,-39.0478,-17.93255,-10.91267,12.11514,-37.8706,-22.84725,-30.26026,-38.56087,-18.60174,-18.62954,-34.02786,-35.75982,-8.708695,-12.75819,25.52503,0.6468545,-8.420095,30.05964,-12.92211,7.031803,-8.150146,4.762503,-0.9681489,-9.272245,-2.001024,0.5114804,-8.226349,-6.19818,-9.485722,-4.114545,-28.24664,-13.07835,-0.6291308,-46.73148,-39.6614,-14.22876,-2.64481,-10.50379,0.7857992,10.54465,-14.6835,18.4953,3.451216,14.01871,-5.013894,-8.431497,4.188522,-12.55502,5.473246,3.12535,27.49062,-12.30936,-30.61018,9.553295,-15.11162,4.822649,17.43947,0.5778306,10.93686,-10.3009,-17.63169,-9.118468,-41.80157,-16.64291,-13.26597,-9.955392,-11.28559,-13.65995,-1.332717,11.03366,2.932124,-1.58219,-26.81454,-24.11216,5.065906,10.87254,-27.88017,-20.72066,-25.70058,-29.20715,-16.33036,-20.92674,13.58537,-4.534705,6.433678,-15.67756,-15.22202,-5.005121,-8.527722,-8.93021,8.941309,-10.35835,-9.574802,-23.87617,-11.34126,3.097108,2.369194,-40.76468,-29.94926,21.45817,12.3996,0.5612339,9.100774,2.348643,-18.16722,-5.74785,-14.04566,-8.559999,-17.61633,-10.35984,-21.85452,-55.19687,-26.23758,-24.89614,-26.08856,-20.68083,-18.42992,-20.28702,-19.23513,-20.3807,2.688263,34.11898,-22.60653,-0.5294273,-23.52944,-14.66805,-15.44021,-7.266905,-3.206002,-0.4129497,20.7176,29.55847,4.909123,1.977469,-5.716567,-8.74943,-9.317566,-7.008848,-8.392282,-6.963181,-17.62743,-19.75816,-13.19396,-15.456,-3.119366,-0.5966957,3.857425,9.077615,12.07475,-0.4252114,-2.777295,-19.43987,0.7584882,14.67627,28.35721,1.228787,-10.36776,-23.29558,-16.73512,-28.14255,-23.95158,3.644777,-16.23114,-21.39849,-22.88429,-23.57471,-20.85399,-24.71107,-22.60131,-29.63362,-28.75642,-28.51195,-30.96619,-53.00378,10.68414,-39.16127,-27.53696,-7.067201,8.08778,-5.895401,-5.390169,-12.45594,-36.11085,-29.05635,-17.48647,-2.155021,-23.06795,-46.37014,1.532297,-39.34178,-2.065357,-18.5363,-14.81045,-26.04914,-30.1266,-9.675645,0.003105387,-12.25513,-41.03947,-29.85487,-17.99954,-22.75452,-20.41298,-18.37039,-17.05937,-19.54333,-40.14252,-37.50455,-41.93497,-37.51946,-26.25163,-29.89712
112382.8125,FeelingItInstructionsNoButton,-15.62265,-32.01173,-14.13282,-4.851232,18.81009,-32.31405,-16.0517,-25.77737,-31.83027,-12.58298,-4.149055,-27.93311,-26.36332,-8.731662,-7.396071,33.02899,4.304066,-6.880671,36.45947,-5.489744,11.30589,-12.31505,12.52961,0.9345995,-7.48748,1.234819,11.40646,-0.3245527,-1.033248,-1.061842,-3.260853,-14.89531,-11.73844,-1.130242,-37.93268,-25.15911,-8.757519,3.951082,-1.86754,9.047686,29.70294,5.741192,17.77334,5.331856,17.11217,-0.3042601,-0.2413445,20.2982,10.45249,5.244847,-2.229907,26.07318,-21.68732,-12.32789,19.30998,-5.867162,-18.60352,-4.079632,-21.00902,-18.99956,-15.01728,-9.495626,3.598079,-32.27999,-3.107733,-34.28752,-12.79442,-2.350385,-16.87377,-12.0755,8.846971,10.52646,9.89552,-16.88207,-14.516,3.297701,19.02093,-18.04319,-10.93979,-15.06604,-21.00041,-7.683433,-6.937223,25.77695,8.02893,1.629162,-13.43127,-12.53356,18.96122,8.344418,-12.18544,20.03713,7.047732,1.47612,-17.14009,9.083458,18.24381,10.7493,-34.62243,-19.18657,30.42269,22.11624,7.572952,23.11034,12.20718,-3.88345,11.14202,6.795115,5.920147,-5.057725,2.368158,-8.986559,-4.583371,-6.603473,-0.9489928,1.804457,-3.279417,-9.805082,-7.974924,-6.976308,-7.430324,15.86832,46.22139,-8.240405,16.49251,-4.611274,7.684698,13.51322,12.42838,4.026801,-3.202433,8.511986,12.54454,-9.943714,-14.80644,-3.997491,-3.41721,3.104645,14.42797,13.52204,8.523489,3.625614,2.597993,-7.244976,-16.16406,-11.66055,-21.34811,-22.07344,-24.44539,-15.29064,-14.22602,-5.198411,-23.22466,-22.32482,-14.30648,5.086133,-28.68322,-18.97963,-7.096434,-9.573571,-12.38647,-4.978619,26.7317,3.591515,-2.728083,-4.889156,-10.6205,-3.232665,-4.740567,-15.17436,-19.32241,-17.8447,-17.50669,-18.4981,-42.33606,-14.68163,-27.53495,-19.36439,-7.30347,-1.73058,-21.66179,-15.65333,-9.801245,-24.92897,-15.67667,-7.551762,-14.46525,-12.47667,-39.43979,7.587134,-31.55009,2.539614,-11.66499,-6.266816,-18.94481,-24.53927,-7.117414,2.084756,-7.982535,-56.17957,-24.96315,-16.02689,-18.79786,-22.13922,-16.32125,-16.76773,-17.01196,-19.76006,-13.08834,-21.03563,-13.05606,-39.06952,-32.77929
148312.5,InstructionsForEnding,-10.48581,-30.32029,-13.13691,-6.902315,21.75116,-29.6859,-16.45032,-28.60742,-35.70186,-9.260272,-5.028864,-32.94403,-30.66307,-8.424642,-11.23847,27.4476,-1.411566,-7.765892,36.94643,-5.95628,7.22158,-13.99791,14.22844,7.645422,-2.542022,6.093742,13.92286,3.412401,6.330614,1.408344,5.121005,-7.139391,0.7386093,5.141645,-33.9521,-25.56142,-4.400472,8.933753,1.210905,13.77349,26.80077,-4.738792,24.97284,12.81768,26.22653,7.721097,3.651753,25.02032,3.109978,12.90096,11.74674,39.47082,-13.80001,-9.818231,16.06165,-8.990395,1.138583,14.22615,1.03957,21.60265,-0.6846325,-5.051188,-0.3869776,-31.43204,-4.361422,-16.19349,0.6299066,-0.984864,-12.9181,2.684701,18.40372,13.85381,8.274333,-20.90684,-17.43861,9.749991,20.54882,-19.98807,-15.73389,-19.87082,-18.97634,-6.847767,-8.913463,25.72114,4.280185,1.03238,-12.7999,-0.9951272,0.4124218,1.257519,-9.252756,15.97636,10.43472,-2.424828,-7.580407,-1.841353,13.9047,16.38554,-32.28444,-22.37959,30.3472,22.06212,12.58358,22.898,20.89975,-4.584683,16.35069,-0.574909,3.3005,-4.392811,4.915445,-0.8593804,-2.775562,-7.134582,-4.392908,-2.396499,1.867569,-1.4221,-3.972954,-3.561181,-3.749183,16.37246,47.98215,-2.213099,17.83843,0.03490867,9.5572,-2.57656,1.327414,9.63133,5.184098,22.7046,33.31948,13.97464,11.08072,10.81578,3.355642,2.138616,5.940912,0.7469134,-0.1715762,0.1681199,-4.708901,-7.955123,-0.1024681,8.839313,8.729701,10.8829,4.898284,6.646856,-2.359173,2.107593,-10.95055,-15.34914,6.792989,24.75875,4.065294,4.545997,-14.29048,2.006438,-14.96911,-11.67585,15.69,-6.368155,-8.4512,-11.23621,-22.11449,-8.222031,-2.840544,-10.55378,-19.08413,-15.80557,-16.35193,-21.43536,-38.87099,3.656127,-26.49653,-17.62125,-18.58361,-1.691363,-14.27022,-13.94443,-12.44445,-27.75138,-18.85641,-12.35308,-4.23166,-17.647,-33.17341,11.80804,-28.96367,7.414556,-6.602623,-2.039977,-10.44629,-19.33153,3.659188,14.87799,9.802602,-24.63511,-10.63584,-7.462801,-14.29583,-8.655316,-5.546091,-5.267235,-1.973517,-22.81111,-13.34953,-27.1343,-19.47006,-13.23952,-18.27061
497769.53125,ImaginationSuggestions,-15.69088,-28.16846,-11.99189,-7.697602,16.54136,-25.87292,-19.7611,-20.39272,-29.73483,-4.43316,4.841383,-27.10085,-19.36871,-1.921882,-4.994494,35.18961,5.034459,-2.012347,45.545,8.46909,17.70447,-7.389295,10.74095,2.186733,-8.725864,-1.851445,3.174274,-0.8383806,-1.044864,-8.266218,-2.705124,-14.60868,-12.01488,-9.809562,-41.03332,-30.9928,-17.00307,-11.08458,-12.46276,-6.464389,12.43701,-13.48577,11.73873,-6.098771,8.09977,-15.41288,-15.07486,4.913459,-3.222604,6.347623,-7.720496,19.72135,-19.80741,-23.77328,13.02697,-7.098731,-6.006186,11.72124,-14.72496,-4.876319,-14.46807,-12.1289,-1.102489,-30.34522,1.296428,-20.23966,-10.32679,-1.566668,-10.84668,-4.130306,15.58953,7.943833,14.94583,-19.10344,-16.06312,5.11462,20.89852,-16.962,-12.24437,-17.21142,-17.61062,-8.500153,-11.50049,28.57882,1.19928,2.283096,-8.577885,-5.339258,-4.379695,-3.162626,-15.67638,14.45529,-0.3105456,-2.644598,-19.61202,-4.31515,8.612367,11.43755,-39.99734,-24.23343,28.00794,19.48349,5.399641,21.51403,14.14655,-2.891471,5.331863,-2.465841,-0.974551,-5.188152,3.076469,-4.510401,-10.35485,-15.66379,-12.29781,-18.37275,-7.895553,-8.866653,-10.76479,-10.61486,-9.910376,7.333247,36.32306,-17.89951,-4.18175,-9.501967,-6.17837,-9.958173,-0.8016834,-1.736753,-7.308988,12.38094,16.06165,-7.106759,-14.06883,-15.51132,-15.0697,-11.2384,-10.68202,-8.073642,-3.709536,-14.62783,-18.07496,-22.26805,-18.81066,-13.68523,-17.90222,-13.40142,-12.03577,-0.3965805,-12.25889,-10.40508,-31.14325,-20.60158,1.212367,18.05369,-15.64894,-17.8658,-19.60343,-11.657,-2.858243,7.944517,29.7709,4.497337,10.14338,8.971806,0.9170744,11.79374,12.69007,8.703557,-12.16557,-11.11361,-9.272141,-16.24307,-31.58437,-0.8805825,-19.30753,-11.95658,-9.370129,6.42292,-5.766567,-5.48257,-6.196669,-22.65651,-10.53457,-7.933747,-2.42418,-13.83977,-33.58917,9.654381,-26.54723,3.02548,-10.51238,-3.146591,-19.10094,-24.0583,-3.684358,1.300206,-0.4304043,-25.87864,-18.98825,-14.37626,-18.33824,-18.61371,-7.409319,-13.62399,-12.62094,-22.12568,-8.994867,-14.10321,-11.21229,-33.31277,-22.68838
559394.53125,enter,-20.14186,-33.60333,-19.19163,-12.15721,11.90223,-32.86018,-20.86792,-23.38752,-34.35131,-12.54649,-13.22178,-34.65658,-26.68371,-11.23146,-17.20699,25.44108,-4.797225,-10.70026,29.88097,-5.730851,9.862628,-13.49223,4.038503,-6.544202,-19.16821,-12.17286,-10.89592,-5.254478,-8.179653,-17.88493,-15.40713,-32.30843,-13.81048,-15.42189,-53.40879,-28.43848,-18.3025,-15.35967,-17.32334,-12.63204,3.765374,-21.81818,7.482018,-10.26643,2.926997,-20.00199,-24.22911,1.254848,-8.78885,1.456503,-12.65384,9.614474,-32.53715,-36.99784,5.554431,-13.8474,-3.938359,13.82171,-15.51669,-9.687729,-15.32967,-16.72205,-5.883878,-28.40109,-0.8904313,-18.79904,-15.46779,-3.799294,-10.14863,-2.258256,14.8884,9.671246,11.73874,-24.7039,-22.72246,6.560405,19.73492,-18.66106,-19.3101,-22.96215,-16.73329,-5.53344,-10.23143,23.03942,-17.37477,-23.91682,-25.322,-12.0598,-12.88481,-17.15826,-20.42492,10.63186,-1.469947,-8.396433,-27.17795,-7.209016,8.180435,-0.747308,-39.32409,-24.70931,27.43515,16.98897,7.675443,21.54942,18.78381,-3.641591,2.879882,-4.931339,-2.300333,-11.65316,-3.226924,-8.92188,-9.434764,-15.01779,-6.447703,-7.940428,-5.378766,-11.48397,-8.887112,-9.337653,-9.298174,8.547801,38.60425,-9.939777,11.21077,-6.57707,7.029132,-18.81203,-4.291682,-7.044756,-11.88751,8.48667,11.94037,-14.77812,-23.5744,-25.54063,-22.64377,-21.39178,-16.81652,-11.82564,-11.30131,-21.75963,-21.77454,-28.52202,-24.83332,-16.44483,-21.22356,-16.73208,-13.14347,-4.714645,-16.03224,-14.9256,-27.98372,5.287057,-3.422554,17.64037,-14.41146,-16.09351,-27.9263,-15.59586,-19.72125,-4.31255,17.93805,-2.765425,-1.131221,-2.847169,-1.6377,-2.477327,-1.439283,-9.144578,-17.02537,-16.48917,-14.66905,-23.26743,-36.14458,-4.195317,-24.09524,-16.96536,-13.42262,3.301757,-5.727537,-10.22027,-9.850884,-29.26358,-17.2396,-14.70667,-4.592232,-20.11546,-44.00498,-4.660725,-35.95169,-7.28699,-16.87875,-12.35024,-25.85222,-35.7657,-15.48311,-3.598703,-10.80319,-36.53062,-23.25909,-24.06944,-27.45944,-27.47064,-16.27489,-23.32557,-19.80054,-14.3847,-22.72012,-52.75701,-12.23291,-32.31417,-37.73025
628886.71875,compassion,-7.923394,-24.92477,-9.123181,-5.689454,16.88678,-22.86011,-16.42163,-17.09283,-26.03893,0.998983,-23.30705,-29.57994,-21.9316,-3.694491,-10.11198,31.20767,2.261121,-3.983027,28.99676,-5.391541,15.36378,-3.855411,9.209314,-1.047427,-10.78354,-6.100741,-1.575985,0.7979379,-0.5528208,-7.325399,-7.027343,-23.33367,-11.74717,-7.370079,-42.43318,-23.41203,-13.85545,-5.609807,-3.765231,-1.579349,16.36576,-16.92779,21.44881,-0.687451,12.72456,-9.857959,-11.91189,6.101859,-2.778122,10.68819,0.1646197,21.5119,-13.29111,-22.57297,38.76651,19.6998,13.83206,33.44563,2.076028,-0.3589042,-4.904058,-1.153657,9.063741,11.4175,35.5652,-0.9852302,-5.244078,10.16621,6.187837,11.14995,28.19538,22.07691,30.21183,9.607141,12.4968,21.76089,32.81308,3.240625,14.35124,11.94063,7.55067,24.67798,18.29779,60.18679,-12.35933,-15.431,-17.96242,-8.660295,-10.94954,-14.5168,-17.0777,10.42507,7.791413,-14.52982,-30.21053,-6.09347,3.893871,1.007524,-41.93483,-19.60522,29.77292,17.06604,7.515115,14.78156,10.91775,-6.518893,-1.829185,11.40043,12.45517,2.396657,9.484189,-1.426705,13.33328,-5.659994,9.117587,-11.79988,-33.51118,-21.02375,-20.48983,-21.0442,-21.6608,-8.328332,21.19738,-35.78685,-14.3802,-34.44696,-43.41108,8.985028,11.25252,-1.88342,-2.779941,23.14915,27.28779,-2.966312,-10.61223,-19.65502,-10.11442,-8.446418,-4.795869,-10.09006,-2.405004,-17.66678,-11.26103,-20.35839,-15.39962,-12.05845,-12.8423,-4.33013,6.397639,17.0648,-1.842716,-4.44784,-12.73044,-4.475548,16.67709,35.34,1.331421,-11.41538,-9.77355,-4.208736,-28.56861,-26.00533,-2.240414,-11.67789,-22.76257,-25.80571,-23.79023,-24.69312,-35.77723,-36.60659,-36.46322,-36.2757,-34.11863,8.053973,-54.09749,18.43979,-42.28532,-33.86497,2.177306,17.28978,11.56054,10.26616,0.253251,5.048611,14.0978,20.7533,9.47627,13.95617,-29.88328,9.337278,-29.10316,5.256626,-6.636449,2.754198,-14.24042,-26.16077,-6.032189,7.335395,2.814493,-15.3586,-4.308559,-9.28734,-13.56914,-7.961468,2.125028,0.2351108,-1.708074,-35.0449,-48.85552,-48.98015,-33.4377,-19.1312,-9.078117
869859.375,exit,-1.47711,-12.09099,0.3738936,1.174392,21.12796,-10.83029,-6.713844,-9.593607,-17.71232,-6.318845,1.366509,-20.53573,-9.187659,1.382896,-0.3536883,39.15546,9.665798,1.563457,41.75671,11.83004,22.29237,-3.750189,15.76055,4.510991,-5.448598,-2.909929,-0.407386,4.710132,1.638494,-9.270886,-5.862064,-22.5348,-6.287005,-9.413103,-44.20862,-19.57257,-14.31877,-8.458231,-7.712181,-7.072554,12.2044,-18.2024,19.31699,-2.499651,11.36282,-10.76832,-15.20968,3.329679,-6.632561,10.89612,-2.564168,23.41375,-16.44556,-26.94703,16.11904,-0.767203,-0.8410344,19.25113,-10.03028,2.987267,-10.96461,-11.55881,-7.35211,-26.15475,3.040797,-15.01708,-8.423027,-5.566199,-2.1087,0.3078931,22.66353,10.01871,16.97389,-9.841045,-7.491361,9.893447,22.19012,-10.51167,-4.760558,-8.453775,-6.977718,-0.9251397,-12.24792,32.21569,-6.433151,-8.172874,-8.573997,11.40621,-0.6865395,-2.12496,-8.466002,13.19542,10.95656,7.522374,5.03494,-13.29079,6.654212,4.847096,-16.59874,-23.0162,39.40114,27.74932,-3.088799,33.47084,19.90056,7.193244,15.82702,-9.654263,-9.638478,-10.87855,-1.831037,-5.026728,-4.562762,-7.839615,-2.958752,-5.615273,9.055753,-6.926386,-8.888857,-9.471858,-8.830445,17.28836,44.12078,-24.23339,2.505922,7.409281,-8.813268,-11.95162,-9.413785,-4.334815,-5.613282,16.63252,18.11268,-10.65437,-7.510226,-13.31345,-16.24876,-13.17872,-10.88882,-14.29964,-10.79833,-20.06228,-17.01057,-17.77491,-16.11031,-5.18241,-14.60883,-8.820103,-8.134811,3.026431,-6.48293,-6.834792,-15.73509,0.9136376,3.827067,18.68307,-10.10111,-5.889208,-21.96386,-10.58614,-0.9476297,3.309064,22.86477,9.991261,5.982067,5.086127,2.958923,4.229815,1.795747,-3.287726,-10.20945,-8.210648,-6.309779,-5.371764,-26.26891,6.160603,-15.92495,-9.771317,1.596209,13.40039,4.108324,4.536002,1.293114,-12.19204,0.7078688,2.586442,5.397906,-3.417307,-20.69753,22.07902,-19.13056,12.52597,1.589807,12.55593,-4.697388,-12.18728,9.163646,21.51618,28.82827,-0.9257676,5.289841,-6.286356,-7.785026,3.379663,9.217731,9.542278,8.479345,-16.1743,-15.54457,-17.36832,-3.837319,-6.772059,-8.990521
927453.125,enter,-31.62498,-38.59872,-22.36955,-20.65129,7.055392,-32.3343,-27.29568,-28.03529,-31.95828,1.50775,-19.78667,-37.40271,-21.03766,-5.0554,-12.82124,25.70113,2.220399,-4.997613,27.98945,-1.752161,13.82623,-6.895002,-4.52744,-11.209,-23.02683,-13.93445,-16.23601,-6.773514,-3.196303,-19.794,-9.505017,-31.81287,-16.96952,-10.82755,-36.42376,-23.31467,-14.00731,-4.016568,-3.600155,0.595914,19.07179,-20.79574,29.88403,4.442841,18.96266,-6.976616,-10.90847,9.072391,-5.821936,16.2513,3.299135,27.70271,-16.44082,-25.03222,7.355142,-8.121696,1.518317,22.90622,-9.776967,-4.049011,-17.77356,-18.99156,-8.269719,-31.81911,-0.6160279,-13.49382,-14.57136,-6.929486,-4.852718,-0.5925746,17.24654,7.966341,12.6584,-18.48588,-16.64823,1.990663,15.68736,-19.21173,-14.3129,-18.35294,-14.69176,-7.928704,-17.05844,28.68143,-20.7352,-25.19393,-27.43952,-15.4649,-16.60584,-15.05533,-23.17973,7.48144,7.252464,-15.43919,-34.38046,-14.2922,-5.458652,-11.59599,-45.26051,-25.30576,22.51148,9.131686,-8.491521,11.27654,8.465507,-9.034099,-4.4409,-10.91256,-5.885842,-15.16335,-6.631514,-11.96953,-11.86396,-19.49392,-13.87888,-15.93316,-7.726204,-22.2845,-17.57331,-17.03462,-17.38917,1.999916,28.74909,-16.89162,-1.673034,-8.566157,3.735912,-21.61901,-7.714125,2.455895,1.586279,23.16781,25.32603,2.837955,-5.657875,-7.472742,-5.042776,-12.14357,-8.146465,-13.26944,-13.04702,-15.98877,-13.53874,-19.60844,-21.032,-8.741587,-11.66156,-3.81263,-1.114558,8.650627,-2.543283,-0.8447269,-14.62549,6.552751,9.673602,21.2878,-10.43922,-17.3157,-29.9608,-18.16761,-25.15693,-16.14112,15.81053,-2.249509,-13.76039,-13.72774,-6.616735,-14.35691,-4.365923,-14.76708,-20.10215,-18.98674,-17.15471,-17.68078,-36.56913,10.20013,-26.1209,-20.35071,-7.633156,10.09185,0.3225895,1.919042,-3.97805,-22.45787,-8.545976,-7.172026,7.469355,-15.27915,-42.05743,0.07604778,-39.72713,-12.02423,-22.9787,-14.90038,-32.75001,-41.88115,-22.4699,-9.530878,-13.09214,-43.13756,-30.85666,-31.23028,-34.33701,-39.1965,-25.31628,-36.67083,-33.907,-24.50378,-25.53768,-20.50621,-21.19517,-52.16084,-54.17167
1102093.75,grief,-14.47243,-27.43002,-11.52443,-11.71931,13.79855,-20.37444,-17.58246,-19.93992,-24.9047,-2.293924,-12.72424,-29.61235,-20.40795,0.4341684,-8.420923,28.45542,4.986154,0.7180756,31.51085,4.351182,15.44789,-1.13559,1.352791,-6.308706,-16.9416,-6.898714,-5.562666,-0.520074,3.658853,-16.378,-0.5932027,-16.77132,-13.07758,-6.53535,-30.44125,-18.32365,-11.63773,-3.934633,-4.285826,0.7573209,24.01831,-10.42989,27.22838,0.8816644,17.19693,-5.606465,-7.923896,19.36316,4.979719,14.71006,4.12583,24.35165,-16.77519,-15.84046,5.894436,-7.09917,10.08737,30.73608,3.452329,0.218571,-4.844983,-3.574222,8.593469,-29.49438,2.757271,-2.859211,-2.41849,1.539086,-4.21661,5.904754,24.14268,14.26826,20.42212,-17.47873,-15.48099,5.880868,23.96214,-11.42852,-12.98921,-15.69556,-10.01334,-5.697931,-11.20676,31.80011,-10.32692,-13.73094,-12.03849,-4.423593,-6.279977,-4.627726,-14.18207,19.09529,21.12794,2.995054,-18.85535,5.532138,15.26298,4.807686,-30.08916,-8.620258,30.66457,19.45448,3.90335,16.88523,15.16595,1.70248,2.064486,8.146735,8.605042,-1.302723,1.413393,-6.936379,-7.702302,-21.82159,-17.03837,-28.56631,-44.13551,-9.653716,-15.93258,-15.04256,-14.36153,4.300445,31.8219,-22.83542,-25.18033,-45.64855,-30.82291,7.876115,11.50302,-2.64711,-1.484099,22.54325,26.71207,1.208038,-7.464684,-5.790919,-4.576183,-3.709757,2.410475,0.2204722,3.026964,3.868543,-4.777481,8.570927,-6.907901,-2.62911,-9.060868,-1.21751,6.769149,16.33061,-1.558295,-3.022479,-7.55693,-1.332238,15.91633,28.52382,-0.1303271,-1.833777,-2.721084,-1.605596,-16.42855,-13.02615,13.01645,-2.571937,-9.781839,-12.0602,-11.03391,-10.70032,-8.791103,-21.90127,-20.4788,-18.45307,-16.23199,-16.09441,-35.03525,18.66918,-24.54431,-18.85963,-4.988992,18.42457,10.01685,4.582638,-2.102416,-21.14592,-6.581602,-6.126562,14.16349,-12.88785,-29.63745,6.849059,-24.63859,-1.006914,-10.29767,-3.705067,-18.84652,-23.42198,-7.145574,5.621313,7.489074,-22.53521,-11.53095,-15.98222,-21.58756,-14.5302,-3.457433,-8.031948,-13.38362,-24.69996,-12.47944,-25.29157,-15.09539,-32.32368,-26.84334
1163171.875,exit,-11.2411,-20.82687,-9.62228,-8.041998,16.04523,-15.50876,-12.41573,-13.6524,-17.11544,-3.108054,-19.94976,-21.12004,-8.872107,2.647609,-2.597268,35.167,12.49528,4.06801,35.33191,9.24918,10.13714,-4.876171,2.792874,-7.603449,-16.38127,-13.44271,-12.96286,-2.166004,-3.581999,-19.77011,-13.09685,-28.05749,-12.53581,-18.76916,-38.93953,-16.75842,-12.14163,-7.319248,-8.667374,-4.058543,16.73977,-28.08034,23.05898,1.3708,16.63202,-9.571131,-5.619318,15.66438,0.424349,14.70368,5.04519,28.08085,-11.08706,-17.91608,16.64284,2.846014,4.504618,26.94493,3.342273,4.279858,-8.489498,-8.606415,2.349639,-25.03267,-3.843675,-8.585516,-2.913866,-1.477632,-2.882089,5.782762,24.2452,9.527481,15.91979,-6.394458,-5.032505,7.202014,19.18538,-15.45317,-0.8284844,-4.643874,-9.239302,-5.399139,-11.45759,35.74847,-23.31923,-21.47444,-18.44225,-7.611797,-16.82752,-19.57943,-28.49791,11.5151,10.58956,-7.883324,-21.98783,-8.384712,6.189919,1.298735,-35.06189,-24.24521,23.71504,16.55015,-4.100814,18.9482,13.92174,-3.29388,-3.116825,-2.553717,-7.71144,-11.01609,-2.592808,-16.70757,-13.46893,-19.29875,-14.67439,-21.26264,-12.06401,-12.47761,-15.86464,-16.66542,-15.99922,2.512972,28.67023,-23.15065,-18.19975,-11.84951,-18.46297,-5.011357,-2.022243,1.10623,-2.690416,16.79778,25.47306,0.7264285,-1.135233,-8.69673,-1.330749,-6.04293,-7.978843,-16.73679,-12.72231,-22.68462,-13.8521,-7.08604,-5.972215,3.441245,-4.041452,-1.641471,2.632146,7.728299,-5.745867,-4.096282,-22.77424,-6.514164,7.948437,21.86032,-0.7175508,-6.514859,-7.154725,-5.89222,-21.90955,-17.46174,10.57404,3.354909,-13.3716,-15.79223,-7.931712,-15.83146,-13.36834,-11.64414,-13.1248,-11.11401,-8.200244,-2.928778,-26.66676,11.24769,-15.80474,-9.892647,-7.556962,9.717877,3.114072,1.570612,0.4396608,-8.427558,7.725469,6.956448,5.699727,-0.7003376,-31.4489,6.681459,-26.29606,-1.208408,-11.28198,-2.891013,-21.69495,-29.42391,-8.902823,3.545295,6.162951,-26.92175,-10.57884,-11.25572,-20.55052,-16.41147,-1.665641,-8.420796,-11.78141,-30.76236,-21.25756,-26.21869,-31.21541,-16.58119,-27.21117
