Time,Event,A3,A4,A6,A7,A8,A10,A11,A12,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A27,A28,A29,A30,A31,A32,B1,B2,B3,B4,B5,B6,B7,B8,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B28,B29,B30,B31,B32,C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D13,D14,D15,D16,D17,D19,D20,D21,D22,D23,D24,D26,D27,D28,D29,D30,D31,D32,E1,E2,E4,E5,E6,E10,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,G1,G2,G3,G4,G5,G6,G7,G10,G11,G12,G13,G14,G16,G17,G18,G19,G20,G21,G22,G24,G25,G26,G27,G28,G29,G30,G31,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H14,H15,H16,H17,H21,H22,H23,H24,EXG1,EXG2,EXG3,EXG4,EXG5,EXG6
6207.03125,InitialInstructions,-21.04167,-4.161281,-0.1569336,21.19523,8.911842,9.417996,-24.51796,-19.15972,4.361244,-17.12609,-2.831458,-25.06827,1.64639,-2.186008,14.4452,3.902631,2.04631,19.51749,47.93452,6.633073,30.6253,0.9445211,6.616324,5.283561,-2.538206,14.53483,22.27643,4.860929,18.59219,21.28133,13.96444,32.82982,10.04839,8.623566,9.135883,24.25392,18.3696,7.725251,21.05085,21.97771,29.84228,46.47028,58.75212,20.42286,37.25978,22.21884,17.05903,17.10469,55.8038,37.73462,26.62207,26.86209,14.3537,16.96406,4.049956,2.818678,6.17417,25.29763,17.90873,11.65321,11.17325,5.521208,12.04968,-4.376675,-7.370117,40.39184,8.55407,21.05235,3.352368,-14.37878,17.41422,38.38444,14.01995,22.90736,2.695344,6.150349,11.44868,20.28986,2.948833,-5.623666,-3.838295,-3.485443,2.885161,-18.41261,32.68452,52.69974,8.336068,20.36359,32.2899,35.29499,40.78861,-5.022154,38.74627,51.75135,37.37418,22.69159,33.06172,2.482077,7.437408,-16.64832,11.09663,7.999972,32.08767,1.390674,27.87491,10.11892,-8.376598,16.29264,19.54569,15.36795,21.37176,53.50051,18.83458,5.135038,9.164596,6.760579,2.270401,6.325913,-12.50078,-49.12358,-6.018004,-10.6098,-3.290124,1.327303,4.5192,4.548219,-2.880643,11.76479,11.99679,23.01588,22.87175,7.591111,19.25668,-27.28776,16.02941,5.217628,11.0852,6.868665,9.216759,25.15029,23.11672,19.42538,8.851693,13.79068,11.91786,2.512511,27.42615,22.90471,29.34091,13.52869,16.45337,20.12019,13.83478,4.641313,5.338913,3.606287,4.871061,12.1066,12.47873,11.65755,23.52848,25.2449,12.62902,3.515529,25.10141,13.61544,11.0983,8.720719,17.08293,6.389719,-8.925241,0.2167269,1.000523,13.60084,-11.54159,-5.528141,3.396122,10.51938,-7.726382,-7.92244,34.58743,-6.301948,-40.82047,1.423638,-5.036551,-29.13839,-5.433081,-1.020241,-4.632207,0.771435,16.10219,3.918181,-14.20903,-17.39647,-21.20101,-9.236711,14.18344,-11.28274,27.39334,32.25286,20.57883,16.59538,35.47021,2.799639,22.83742,0.3645369,22.51221,23.5819,-4.114181,-6.216973,-11.73234,-6.676725,-8.753407,-22.23592,-3.022484,-16.34694,-15.2585,6.22301,30.26149,17.33146,15.37153,-0.9989905,-2.172221
106218.75,prebase_instruct,-4.219121,13.71712,13.14298,29.07412,11.63279,25.07805,-0.5892917,-4.277198,11.26837,-8.467212,8.65493,-11.4793,15.61713,11.1324,22.46947,11.96386,10.15024,23.81796,57.92057,15.95643,40.13235,13.65048,13.95197,10.97076,4.449087,22.5193,29.27169,10.35185,21.31196,22.0037,25.90054,39.08361,13.27891,5.812831,18.10226,27.0567,16.10155,19.92333,30.98583,26.83629,32.77203,44.49858,50.64677,11.94991,41.52921,26.20837,21.30277,19.11094,35.68797,41.6203,34.67041,27.21815,14.50647,15.06935,-6.289098,4.647057,8.230669,22.63674,15.95782,11.96378,11.05473,7.435823,16.00128,13.23183,-5.264293,38.6684,9.561811,22.31454,8.439544,-17.02222,12.5027,39.43753,14.07733,26.76655,2.682809,3.628724,12.75946,21.57701,9.518649,-12.52018,-2.458576,-1.297328,8.543363,-0.9196417,35.36339,35.25531,-2.326717,16.31821,32.3815,10.08928,11.65963,-3.666575,34.88436,28.52625,32.79808,18.7544,30.41103,8.517993,6.067774,-11.86616,9.175165,10.47012,24.55731,6.434511,33.94497,12.91771,-3.716954,16.57854,18.42654,11.56005,20.9722,48.07245,10.78202,7.558904,11.28741,9.044797,5.625867,10.69399,5.166088,1.8296,-1.559355,-12.94416,-6.764967,-3.499346,-4.324704,-4.723798,-10.49684,6.083007,1.204394,13.22083,23.63367,5.410147,13.72884,-11.09353,16.31462,-0.01020501,8.478282,6.039739,16.53616,32.97998,27.05488,21.40907,13.65904,17.24451,12.38713,5.215976,26.38039,21.95493,18.77901,11.1082,17.75636,22.1321,13.36633,4.980541,8.618095,4.227744,7.680099,15.15554,17.00653,17.44268,29.96657,32.27166,15.06784,11.3969,21.30593,16.77962,12.79253,4.518102,16.58838,8.487175,-6.19145,4.80008,7.644532,19.67428,-11.54428,-5.896459,7.037325,8.574486,-6.771203,-10.4096,34.85683,-12.42323,-53.87864,-3.374378,-0.2374557,-56.81296,-23.447,-8.537143,-3.138237,2.87857,15.56377,-1.049499,-12.89259,-29.97404,-51.80197,-22.24987,18.58995,-11.39693,29.57268,36.57695,24.15577,28.12792,45.00279,10.18054,26.69386,2.808617,30.20882,27.86222,6.874909,9.726768,2.744827,10.53975,9.306687,7.006188,11.87107,-4.685814,-0.2796519,7.134737,31.6709,26.83461,18.4992,19.55393,19.97402
116667.96875,prebase,-7.563072,18.42813,10.00247,29.56982,11.38389,20.00835,-6.723292,-6.760471,8.782034,-11.39743,5.084495,-13.66372,10.36774,5.783755,19.82611,6.496608,8.222501,28.08321,53.90588,12.64382,35.29542,13.49838,11.49623,9.2288,7.87232,28.82373,37.9734,22.51191,34.73186,38.10304,30.1788,45.46442,23.83652,21.8095,22.22017,36.83235,21.49927,21.0609,34.53137,31.91123,38.96721,52.90561,63.29312,18.88926,46.38334,29.60219,25.97259,28.41987,46.14894,40.55946,37.85666,32.50498,21.80862,23.04042,40.13984,23.67033,14.29293,32.7423,23.82585,15.80608,14.54279,9.543287,18.97538,28.31665,2.16663,47.28802,13.64345,25.90897,10.8548,-4.315175,26.13231,43.14673,18.36289,31.73578,18.4286,18.38118,22.34537,31.0929,18.46165,22.00926,16.17922,13.62172,20.26229,12.43296,52.12256,50.49751,18.27133,35.29984,59.19505,20.52063,33.25372,25.29826,44.25205,49.48016,61.53588,27.20906,35.57348,17.81186,2.492405,-35.68338,16.27329,14.78436,31.75876,2.382546,26.06837,4.56422,-4.543748,11.66925,12.62007,5.244369,16.78507,43.66448,8.16167,11.86595,17.59746,15.25149,13.98607,18.62676,19.97456,-18.98835,-4.117828,-15.15802,-10.60147,-5.70255,-7.407916,-8.432722,-12.13298,-0.04287111,0.4332235,11.48821,24.05151,6.653904,17.84703,-17.91787,13.87071,2.09444,13.33071,12.87371,18.6149,34.50624,31.8091,29.39756,19.12994,23.46277,19.09996,17.40775,34.59588,34.73096,27.97463,19.64037,24.0898,28.02033,19.16905,9.509258,10.67824,11.04867,11.21205,21.15073,20.43743,18.03658,31.75598,34.52374,19.6922,11.45833,29.76522,19.94888,15.84728,16.13511,21.0449,9.687972,-9.27581,3.482991,3.182128,15.70008,-13.32623,-7.032181,5.947324,9.542266,-6.175071,-2.480042,3.005062,5.803425,-22.16679,10.81998,9.620468,2.350536,12.16076,9.224704,4.90546,12.48235,20.58862,9.32258,-1.89458,2.517731,5.600247,11.50642,22.38435,5.561423,42.49468,45.9957,32.56445,31.79115,47.78353,16.77502,41.8525,21.86414,41.51994,45.26279,17.78654,12.84741,5.805096,13.45653,10.1916,8.104074,17.59144,2.147682,-0.2096249,3.297444,29.6131,23.609,15.43239,23.43262,20.83381
236667.96875,exit,-12.0678,11.35993,-1.930514,21.18417,10.87483,19.77225,-15.49039,-12.98023,9.530215,-10.07459,4.673706,-17.16669,5.383778,-1.960906,15.00665,9.224789,7.146018,22.77728,49.02129,6.544594,35.38856,10.52598,11.46973,10.50343,2.821824,10.65034,21.38625,1.824377,13.58905,16.84111,11.02611,31.77514,5.611786,2.479938,4.487759,23.60888,13.67669,6.4556,22.80404,20.1177,25.42948,41.78137,55.37412,7.11312,30.34402,16.29954,13.471,10.4873,34.27834,30.28884,27.12438,24.87161,12.16706,15.33842,3.14851,10.08162,3.832397,21.93209,16.46891,10.08425,12.02859,5.486685,15.3276,16.49319,-9.740471,38.79737,6.547749,22.03085,7.22869,-11.43571,16.63212,38.1248,15.36752,31.49863,8.501319,11.38464,15.76255,26.5883,14.40246,-0.5394813,3.619619,3.73385,13.81979,1.779717,40.4446,39.32706,1.653495,15.97817,30.2235,21.53862,23.34759,-7.354955,38.85088,35.77764,43.03853,23.619,29.77052,12.29303,14.78156,-11.11129,13.53709,13.01746,32.05052,9.765701,34.90582,15.62604,1.75774,-17.97686,21.84162,19.08843,26.00792,53.13376,20.60687,6.355357,12.34943,8.959373,6.785654,12.53628,7.182514,-7.444468,2.478402,-12.0554,-2.936201,1.314624,3.97236,3.656074,1.39183,10.47763,10.79487,21.91913,31.99697,14.34048,27.13575,-11.88364,22.99084,12.99097,9.493405,8.244061,5.500657,22.17105,19.55088,15.19247,6.479707,13.30263,9.084259,6.847754,25.67507,27.72919,19.877,14.7272,15.5874,19.9397,13.4366,1.171534,4.566166,-4.488663,1.755575,8.989668,10.61234,10.58438,22.3282,27.07583,8.789373,5.943233,17.3173,10.58502,13.65745,8.402215,16.08687,5.767469,-3.293647,6.692986,9.233402,19.45699,-6.557868,-1.577133,7.797032,16.98908,-3.226157,-7.448249,10.99374,-3.222828,-42.90964,-3.153104,-0.08748107,-30.60304,-0.8453433,1.362235,-0.4520898,0.7973027,17.36985,5.340714,-5.660055,-10.8199,-15.3969,-4.272419,20.16095,-13.38493,27.37726,34.99902,23.98143,22.42356,36.65569,4.902067,22.92044,0.8179454,21.59197,22.63318,1.778006,0.06500235,-7.747202,0.6230588,-1.759877,4.783425,5.326034,-11.15148,-7.644523,2.462533,30.45196,19.28389,8.781185,7.460017,8.257738
237109.375,FeelingItInstructionsNoButton,-3.761157,9.887765,11.56036,29.31824,11.56792,25.26117,-10.17551,-6.800934,12.15202,-5.220351,10.51628,-11.53108,10.72549,7.792406,24.96632,12.80194,12.05596,31.9803,57.42149,18.48911,40.24269,17.23825,18.94901,22.19554,6.913107,27.40636,35.28233,15.48043,27.42945,25.9502,28.09991,47.05212,19.02864,13.16106,23.89983,35.04423,25.22023,19.5848,36.16401,38.52209,41.3802,56.49862,64.85647,20.92478,49.2205,32.01741,29.94782,29.23458,47.95153,45.41251,41.96801,36.95091,26.88768,28.34248,7.461325,11.83745,17.04601,33.07458,23.01581,19.09778,13.33592,13.61363,21.95245,13.52069,4.007639,45.34839,16.11632,23.76208,7.784662,-7.815382,22.11247,44.30245,14.76304,28.86009,10.99715,12.4825,19.39137,24.71534,10.49353,0.6597316,5.4032,4.539029,11.48094,-2.290937,41.48251,41.59844,1.232124,13.70272,35.90131,18.01191,17.3308,-9.839511,42.76534,29.23763,34.96623,26.32423,19.08838,6.506896,10.48476,-14.85797,14.4156,8.766279,29.12961,3.249745,29.37839,5.026688,-4.231805,19.38708,15.86215,7.568031,18.61742,44.99625,9.700118,11.14678,15.6373,11.79651,8.38544,13.0817,4.404666,-17.37324,-6.805257,-13.42681,-9.089954,-4.539237,-6.317317,-4.700897,-9.651152,4.33228,1.567208,12.62634,22.3881,4.40024,15.03202,-18.71655,15.56248,0.1024026,17.42103,12.46885,20.15045,38.61954,33.23764,29.47394,21.15627,30.4365,23.67601,20.91542,39.87,38.33347,33.72816,25.87549,26.58264,34.07394,25.9596,13.57846,11.0285,13.67582,15.38958,23.22853,25.05438,23.68592,34.07214,37.4309,23.28068,15.79352,33.78872,24.47852,14.80791,14.43401,25.59406,13.91581,-2.917056,7.153584,6.586647,20.58261,-4.213279,-1.317428,7.705575,14.01268,-2.855992,-1.809538,37.42116,5.484944,-28.13243,15.90148,3.977163,-21.1125,3.382828,4.899267,-1.494946,12.516,22.52677,11.18052,-7.525455,-10.33927,-11.42325,-2.857028,24.92879,-9.04205,31.89218,39.23714,25.62223,27.3373,42.79266,9.532516,29.29091,3.111845,27.10962,25.11295,4.058566,5.908687,0.3015413,9.006316,9.216286,11.56431,10.87423,-11.49759,-10.59468,3.364518,27.7726,30.0179,21.96165,19.79827,20.53286
273039.0625,InstructionsForEnding,-11.90531,11.1931,5.314008,24.6701,3.978644,15.14465,-14.35519,-14.3745,5.204321,-14.84852,0.2121022,-16.92969,4.552438,0.8116021,18.89783,3.452774,1.833925,20.52948,48.79295,14.03664,31.27687,7.64163,8.702705,14.60426,-7.745885,12.76933,23.35263,4.549109,15.82601,17.58322,17.10925,33.07721,10.65698,3.498045,8.853561,26.28773,14.30688,8.685863,25.76816,23.65109,28.65292,45.3509,55.20168,10.59336,35.82387,18.92988,19.23936,20.43067,35.62575,31.47624,30.22005,25.2003,15.82255,17.11143,10.94535,10.51287,7.619521,21.67644,16.84142,9.302748,8.214102,5.968351,16.1108,6.68387,-6.763147,40.50312,5.990565,17.45901,2.615617,-9.883729,18.03975,36.29378,9.493073,24.07336,7.514367,9.563681,15.94207,24.29084,10.42639,1.91307,4.338262,3.432093,11.14602,-6.943454,40.22427,38.76749,0.6178815,14.53976,30.50402,18.46632,19.55423,-7.608119,39.5693,33.24667,38.13916,23.95869,25.85058,10.15974,11.27853,-16.61604,12.49646,13.1607,30.58636,7.128783,32.85743,11.39752,-6.192391,20.62733,20.37758,14.14215,19.5181,49.66918,13.08925,3.652237,10.87002,7.030672,4.931396,8.998628,-2.200417,-25.79364,-10.89625,-15.2275,-9.432074,-2.966443,-3.095602,-2.214999,-10.81891,2.683934,2.905073,14.08285,19.90863,2.225735,14.91951,-27.69133,6.596198,-4.110832,9.842192,6.04685,9.561357,29.06893,22.85604,20.7164,7.993422,16.42199,13.09641,9.052735,28.15311,30.25719,21.03367,13.62438,15.98741,23.50227,12.06808,4.263746,7.683478,2.463172,5.195033,13.18227,13.2305,13.93951,29.82416,30.09177,10.72742,5.855847,19.2746,16.39975,9.550935,7.838277,16.42349,5.838966,-8.142389,1.647809,6.011286,16.39259,-10.34275,-8.635804,7.595566,-0.86581,-7.594006,-1.947926,1.361979,2.629489,-32.44837,16.44884,5.467554,-7.195745,11.13513,5.177873,2.399865,7.162028,15.38533,6.650023,-4.690106,-4.789553,8.359817,3.535336,20.88478,-12.12091,28.42484,36.98096,22.6064,19.72754,37.74606,5.234196,27.87106,0.6294355,25.18415,26.28071,2.964504,-0.351531,-5.491678,-0.5517622,-0.2902804,-1.753795,1.9833,-7.665617,-6.002885,0.9024805,23.60571,12.44743,2.753264,5.246409,4.730725
622488.28125,ImaginationSuggestions,-21.99118,0.6561505,-0.9299892,21.55398,-15.65452,7.034645,-22.94147,-20.37127,-13.58071,-25.3853,-6.723526,-21.68214,-0.1567169,-4.792383,16.2931,-5.893662,-4.210297,16.56719,42.94294,13.47506,22.75237,2.39884,8.030049,14.60293,8.502111,4.367578,19.51432,-0.6018028,8.569458,7.951363,8.824999,27.76826,3.263307,-1.134797,5.483734,21.66006,13.2474,7.558405,23.39334,20.01642,28.73293,42.55066,52.74874,4.946984,29.91708,14.18013,14.0182,13.85186,34.15408,30.79877,28.63175,23.81526,15.11111,17.31186,89.91432,43.21413,21.16875,40.8159,30.72791,20.99086,19.61798,9.817411,19.50441,12.58898,7.839762,53.37656,18.65157,28.53057,12.38676,9.512007,35.94647,50.25761,22.47462,34.78964,39.16132,32.37337,32.78094,35.35204,18.2632,55.86194,36.15002,30.71297,26.27022,0.8074947,67.86385,33.84095,-2.304697,3.022954,26.78756,12.30698,12.4749,-17.63643,32.60006,24.72345,21.31474,19.81101,20.3048,-2.531356,-7.163588,-33.00126,9.820842,6.400062,15.37031,-13.67577,10.36906,-9.722832,-22.91413,-8.36307,-7.241955,-16.10644,-3.399822,19.49072,-18.21082,4.750436,7.712963,8.912659,2.3929,8.336667,3.792375,-74.42752,-53.80451,-49.09282,-38.25364,-37.70996,-40.48359,-36.5649,-50.3751,-37.19854,-39.83873,-28.71107,-29.98685,-50.80916,-41.70562,-82.13216,-66.17569,-75.18497,8.957134,5.50159,8.406885,24.84989,25.89243,21.77379,8.830257,17.63854,12.47866,8.722013,25.11041,29.20366,16.93688,7.503686,14.70277,16.12076,13.92243,4.900823,6.112243,6.233265,5.899278,20.055,18.08932,16.65354,26.94773,30.881,18.91141,15.16353,34.82498,22.23611,21.01357,11.97967,15.66017,10.0649,-26.83904,-16.71131,-8.416331,10.59179,-27.60563,-33.65843,-1.185524,-22.22772,-20.42423,-2.924579,-6.285738,3.034958,-8.568301,26.51787,16.34131,39.13244,42.90331,31.6544,19.8616,12.68029,27.18479,28.11846,19.8357,36.70311,72.73363,46.16491,27.28183,-19.18407,21.58198,29.85347,14.34404,13.84087,27.52101,-3.599781,18.27237,-10.00558,14.8785,13.73183,-9.038023,-10.06924,-16.19804,-8.845785,-9.666445,-14.12603,-7.482463,-27.99645,-26.96336,-30.25115,-5.16789,-10.99064,-17.18526,-8.682779,-10.70804
684093.75,enter,-11.91028,5.768502,0.02373283,17.93332,-2.281255,15.2334,-18.39771,-14.88662,0.2902157,-16.9256,0.2412053,-17.08976,2.206308,-0.6352696,10.58512,-0.9145716,-0.5565159,18.17352,42.67686,4.265801,23.51171,4.548657,3.695295,7.548011,-7.0222,7.34055,21.79749,1.620446,10.31025,14.50166,11.01506,28.56387,3.093679,0.4121276,4.303127,18.34074,12.15432,7.895048,18.84298,18.54086,21.87482,35.83139,46.12706,8.324918,28.84971,7.797571,9.356199,5.619633,28.20727,20.70373,22.28333,15.93198,9.945333,9.476082,-1.629387,6.691978,1.208225,13.11224,9.376945,3.513526,5.489613,-0.3562717,12.6141,13.05711,-11.08237,32.69543,1.706698,14.72565,1.247531,-16.54432,11.88138,30.09654,8.5641,24.5294,5.26187,2.941772,9.17924,16.03556,7.823491,-6.51244,-0.3814293,-1.778422,8.70123,-0.003069868,32.60742,36.06926,-0.5481942,13.69628,32.71379,12.64671,17.86952,-6.426025,30.43797,33.66174,39.07297,16.68203,27.25631,9.566012,11.69367,-10.4901,9.824656,8.730222,28.16959,7.371561,30.23217,11.16357,-7.474719,11.4595,15.44247,10.89289,16.39597,42.92753,9.996301,1.614336,6.081898,5.016282,1.384583,6.763566,4.883896,-14.08236,-10.05531,-21.83364,-13.69752,-6.923779,-6.765687,-4.613689,-11.69806,1.251364,-2.036669,7.682471,18.69456,1.830409,9.77166,-19.36572,6.770968,-3.912808,5.080478,5.385691,2.197424,18.10332,14.19429,12.49391,1.263177,7.512374,3.798619,-0.9821721,18.2065,20.19027,19.34373,6.950268,10.08588,16.47597,4.476803,-1.921638,-8.053564,-8.429563,-3.346806,4.94761,4.264258,6.644648,16.93134,19.95328,4.176815,-0.9474146,12.26961,1.35406,8.162344,2.637049,11.76086,0.5340326,-13.38716,-3.84852,-2.483573,11.90911,-15.19535,-13.82405,0.5046673,3.457645,-13.16206,-11.31583,12.81982,-10.16425,-40.96975,-0.4834844,-0.9154205,-30.30841,-4.808033,-3.190729,-6.140639,2.259317,11.86408,1.01125,-10.64362,-13.63479,-16.20355,-5.510701,15.91455,-12.04103,24.24531,32.10194,17.5353,17.24548,33.34847,5.666858,25.44776,1.131384,25.95828,27.74001,3.343901,-0.1358105,-10.51746,1.299064,1.427756,1.995452,4.981536,-5.750998,-0.1821197,-3.399559,21.0542,12.66741,1.770809,8.809881,4.48995
757667.96875,love,-7.500346,12.8488,3.388077,25.20569,8.108565,19.99304,-10.14288,-11.61221,10.86926,-7.672371,6.815704,-10.0964,8.883553,3.377085,21.68733,6.631855,7.889772,23.26385,47.69147,14.58552,33.28728,10.71912,13.71794,12.95176,-2.843638,15.94517,25.0166,4.536084,15.52368,16.9056,14.90299,33.32194,7.172853,3.083559,14.50544,27.49314,20.78176,13.05281,30.11017,27.5372,29.93031,46.26688,56.30155,10.80463,34.94407,17.90715,18.96221,16.55574,38.0714,31.71227,34.08082,27.44523,18.33328,22.7692,8.341871,15.34416,16.40704,30.81313,22.21455,16.40456,16.12877,9.592752,27.883,17.03166,-1.324294,44.98524,12.63252,25.03704,10.7899,-5.662881,23.17164,42.12378,18.29546,33.07021,13.079,14.26053,19.45692,26.8321,17.1703,3.093599,9.941362,9.005862,16.25978,3.305989,42.89923,36.17347,-0.1531985,12.57761,29.13458,13.62757,16.59166,-6.333429,37.31628,27.79235,37.9139,24.47797,29.30044,12.13679,9.839327,-17.03789,15.45759,14.90625,31.62419,11.53795,36.09403,14.57658,2.589452,18.38198,19.71973,16.40676,24.45195,47.85018,17.10455,9.591223,14.42488,12.37679,9.541397,14.95774,8.172107,-14.52269,-2.676676,-15.37799,-4.242737,0.4177477,0.3093357,1.983592,-5.201657,12.09617,8.731096,18.71713,29.09588,13.54345,24.99279,-13.52981,20.84232,9.43007,13.17345,10.71218,13.65635,30.26407,24.9624,27.81152,13.2096,19.68489,14.96308,12.60481,29.55325,38.6033,21.28987,16.13352,22.10307,24.44194,16.1472,6.448678,10.23654,8.603644,9.78474,15.85401,17.80674,18.05811,30.02535,32.36034,17.1882,14.54765,22.55477,21.44974,18.30555,11.88305,21.84416,10.41171,-2.251028,5.761086,7.583838,18.98517,-8.79614,-4.255662,9.377502,9.75294,-4.669826,-8.313087,5.103775,-2.302221,-36.49949,8.128903,6.418943,-25.20826,1.453417,6.584806,2.050514,11.50755,22.16534,10.42695,0.1383076,-5.240517,-5.252412,2.03812,24.47927,-10.61489,27.65169,37.20943,20.74471,21.84802,34.18868,6.349883,25.95514,0.2440672,21.4849,23.0536,0.485682,2.905835,-3.367448,4.105634,4.619692,6.571179,5.995068,-11.57191,-5.514455,5.695792,29.95912,21.03528,9.54584,6.895659,7.86789
895210.9375,exit,-17.93314,7.381255,0.5735199,17.5703,0.3003778,13.20684,-18.34998,-16.21577,2.125076,-16.1048,-0.19274,-19.37164,3.626043,-1.666552,13.38797,0.173372,2.636671,17.84661,40.10728,6.876101,27.22096,7.112802,7.404351,13.39628,5.980298,3.162259,21.54395,-1.853326,9.677661,8.777081,8.359561,25.82433,0.5329085,-2.713641,3.691554,19.07597,10.86086,10.47233,23.23434,18.91323,20.42182,37.95913,40.96131,-0.3401392,28.96957,9.192101,11.71179,8.903469,31.70087,25.5716,29.25827,22.1813,7.876578,13.15405,3.765411,11.33324,10.28671,25.32394,18.32653,14.80195,14.34243,7.400918,23.92696,14.38192,-2.381824,42.73938,11.795,22.25923,7.943288,-10.19726,19.39068,40.80047,16.66504,28.85348,8.886511,10.36186,16.83151,21.57248,12.79691,1.170168,6.460729,5.432833,14.15049,2.067113,38.98995,30.01586,-6.673868,5.269141,23.25198,12.41877,11.58578,-11.08269,33.44171,26.26841,34.18797,19.30338,29.49863,6.545614,5.390045,-25.23611,11.13862,12.80585,22.53277,0.5891529,22.95674,3.801661,-7.135326,5.848501,11.20578,5.425548,14.0254,36.62764,5.330021,6.935801,10.3989,9.380814,5.675506,11.50156,6.238349,-12.96317,-8.183048,-20.91126,-12.25981,-8.283807,-9.427283,-8.673345,-11.78969,1.310395,-0.2803613,8.548553,21.22057,1.383511,12.77388,-18.71646,10.36372,4.075992,8.895748,6.956784,4.82608,22.25602,18.96059,19.94402,6.113756,17.23252,8.408891,5.279568,20.96155,15.20605,11.30071,6.1218,9.198667,10.90717,11.23339,3.483132,10.39247,2.519209,3.563451,14.03485,11.99066,12.15923,22.34433,25.61331,9.223229,8.898252,20.5579,15.57714,16.26343,7.086954,14.51192,8.406632,-10.57071,-0.5408683,0.7921744,12.52323,-14.15493,-10.16628,-0.9937921,6.491109,-7.880666,-9.850163,5.519594,-4.111176,-40.87344,0.227086,6.135774,-24.92085,-1.277534,1.671545,0.1094601,3.901511,22.20872,3.717042,-2.288646,-6.320389,-8.311403,0.9162763,21.12404,-19.80865,19.78583,31.10578,13.12185,13.4781,28.94251,-1.463128,19.80642,-7.647343,14.29035,15.15312,-2.138111,-5.895331,-7.570273,-2.290152,-7.087166,9.863774,-2.016953,-19.36866,-16.67242,-11.30585,19.62863,13.2533,3.871425,1.300228,4.680726
