Time,Event,A3,A4,A5,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A32,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,C1,C2,C3,C4,C5,C6,C7,C9,C10,C11,C12,C13,C14,C15,C17,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D14,D15,D16,D21,D22,D23,D26,D27,D28,D29,D30,D31,D32,E1,E2,E6,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E21,E22,E28,E31,E32,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F16,F17,F18,F20,F21,F25,F26,F27,F31,G2,G3,G4,G6,G7,G8,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G24,G25,G26,G28,G29,G30,G31,G32,H1,H2,H3,H4,H5,H6,H8,H10,H12,H13,H14,H15,H22,EXG2,EXG3,EXG6
4320.3125,InitialInstructions,49.87937,43.33681,56.06658,40.26439,56.01084,28.64923,37.63927,12.32572,13.14176,20.01843,33.99752,26.61025,21.08809,21.13435,53.19379,58.79905,38.58044,25.76398,32.35647,37.39264,38.69187,37.68926,47.89996,21.22102,19.5496,8.921788,61.5176,55.89392,67.07235,57.42007,48.64662,59.58513,41.57878,63.12437,70.44131,24.50617,56.92717,63.89915,5.887157,31.2683,29.51517,53.54256,42.81324,60.64858,30.02235,73.81409,53.20173,40.60404,47.36059,39.37112,45.53063,49.82133,48.46074,41.28654,42.79812,34.04416,15.96478,43.59305,9.269543,19.50255,31.80111,46.32159,23.08759,15.40364,13.57141,2.500309,21.04276,0.2891454,46.7692,16.28939,36.27167,2.215151,62.14988,41.84149,24.11941,-3.84927,44.98194,60.92023,57.24196,25.18879,17.6429,-6.754085,31.68133,50.79458,29.09834,72.53343,56.26835,43.49733,29.34111,49.70861,41.33641,43.99115,62.91253,57.20631,34.34712,51.13293,40.44819,57.76363,25.40761,17.31289,27.58736,25.07611,35.34933,37.7522,21.84459,50.06404,52.70275,35.52428,18.22916,48.01102,9.720438,3.962087,30.59439,63.48759,28.17398,42.63061,26.17911,25.04964,26.91814,30.08971,35.38977,24.53099,31.84657,27.7819,28.53236,33.77523,28.77834,17.27899,11.34427,66.48305,46.82735,29.34774,37.75778,28.21176,43.3868,40.2525,38.46914,14.48403,25.16331,6.8326,25.17118,20.93678,15.09268,28.1693,36.69934,39.73304,41.21561,28.91095,34.40926,29.66364,22.80101,30.67248,38.49489,25.44711,17.62309,11.48579,13.6468,16.82501,-15.24448,9.185811,25.3099,-2.144663,18.8255,17.67118,18.05442,14.97044,15.90149,20.03414,-1.467286,2.534523,15.29791,35.08331,17.45104,26.84946,63.91472,30.02793,56.49817,38.35369,45.34131,29.02196,44.38008,69.68711,32.31548,35.89587,45.26599,28.91863,49.34575,72.67044,46.9892
104335.9375,prebase_instruct,61.13248,40.30704,53.01756,44.41501,66.04039,36.11572,36.87617,20.198,28.92884,16.77834,31.35085,24.12851,22.77225,20.34689,59.25449,48.57149,33.96102,20.47248,26.10869,33.32675,29.9996,34.98006,43.31812,17.1868,15.5208,13.05665,63.25613,52.33229,61.82455,53.17734,46.85949,55.09021,38.5599,58.35051,68.46712,16.90104,48.11798,60.10086,5.61924,12.6162,23.70658,52.34699,41.37041,55.79285,28.1794,63.34368,46.39619,36.92978,41.66536,35.14839,46.33886,54.50107,43.22739,37.14033,40.75558,32.98697,16.47066,55.06342,22.00986,29.5655,42.01951,48.27813,29.23975,17.61064,20.75718,13.39741,29.70882,10.06758,53.41644,24.54105,45.40653,12.12252,68.25502,53.32432,32.64386,8.362123,47.18804,67.75991,67.01344,31.94641,27.63345,6.524395,38.03226,56.09325,35.04827,79.89777,48.05315,36.22606,28.93329,42.01509,30.56314,32.21927,29.56819,38.43717,24.35361,37.9816,9.837352,29.51705,11.19362,15.48277,20.85595,12.64502,32.15146,19.9648,30.55575,43.58915,35.20613,38.46457,11.11988,39.52556,0.1882824,-0.956214,34.92598,61.8905,27.47736,46.33693,29.11034,31.50915,27.39609,29.82693,35.07848,22.37355,18.34549,28.5236,32.2598,25.02396,28.74718,21.27956,3.849777,62.618,45.28482,33.08552,35.63454,37.22572,45.50245,44.91191,41.32327,13.22151,21.51691,14.79055,16.21432,24.74535,22.99066,31.50895,35.18155,35.89484,39.35808,39.86964,37.61218,25.74945,23.58387,24.23974,40.85738,22.18267,12.5054,18.50341,21.2856,24.13259,-6.994762,18.16558,35.25407,6.126565,24.41568,15.83612,15.29505,16.85578,25.89432,24.29268,6.381981,11.13991,22.90071,25.50588,24.29846,29.34723,60.73185,30.80297,62.06593,46.59402,51.89891,31.63571,55.15474,83.16837,53.30309,46.55484,48.43374,47.83036,38.10977,65.41619,66.2432
114781.25,prebase,79.21566,63.11017,66.60619,51.19502,99.34079,50.56853,55.51857,33.31132,10.77673,38.3992,40.51595,30.55091,22.24457,26.37594,29.91517,55.60476,36.89859,24.63548,28.11967,36.27504,14.61032,31.85769,46.06219,20.02497,17.95462,1.519959,86.49484,76.61472,85.13548,72.38717,69.32147,81.44066,60.17997,77.3815,84.91927,39.13894,70.19223,74.93413,18.20399,51.51532,45.17509,67.40816,50.64178,68.40766,38.50224,90.7893,62.51601,47.88148,49.67574,44.16308,57.80452,66.20505,60.16037,52.50114,49.61462,52.74914,30.51731,50.68528,18.06838,26.50452,39.65912,57.06205,37.75983,38.28336,37.58473,17.87349,38.70206,7.971952,62.33225,29.82572,57.34922,9.592948,81.38518,69.7135,51.04904,5.988439,56.91892,80.00205,79.24976,47.85308,23.87303,2.478281,50.8436,69.20152,45.79115,89.82045,74.60964,61.10723,59.65991,53.72894,52.16259,59.94898,42.34821,56.42982,39.36607,66.31325,65.75927,57.46156,38.78423,47.41401,35.49545,24.68328,47.14553,27.89511,33.15251,59.67422,57.41075,50.65795,32.2785,52.41907,20.96583,8.749244,41.84898,77.60509,39.99768,58.67185,37.66923,37.49427,36.73672,38.86393,40.18829,33.44698,34.53824,32.54989,40.31811,39.37345,35.73954,37.90001,22.0422,72.98075,51.7393,39.23169,49.60981,46.32805,55.11427,55.4469,52.43622,35.39082,35.31538,21.48361,42.0322,38.2718,29.91739,28.41887,40.83614,34.03051,36.08273,38.8407,55.09765,34.11915,30.76469,26.49496,49.89284,24.34716,15.01954,20.60848,20.72355,21.87477,-6.988063,18.59922,20.30041,4.055078,23.1621,17.88776,18.31294,12.55898,12.07285,25.35594,5.565187,9.222478,21.07232,21.39591,22.40508,50.83236,84.27882,52.57579,84.47895,69.57894,75.62786,54.36599,75.18535,111.5699,73.69155,70.40797,70.84309,72.11116,53.11937,81.62112,86.88052
234820.3125,FeelingItInstructionsNoButton,21.04726,13.87994,26.5299,30.25732,31.41066,3.510469,10.79356,-8.251185,-1.591584,-0.1335682,26.36708,6.953348,-2.046314,-2.05481,32.99412,36.17291,22.59734,9.27098,13.63461,21.71891,18.58117,22.79107,32.71204,6.858144,4.039784,-6.136907,35.83933,33.25462,39.46522,33.27198,33.48397,39.31495,24.51494,38.85456,44.07905,9.209823,34.62979,43.41652,-2.325674,14.08544,13.20095,43.35888,29.41839,52.07188,28.53905,54.29598,34.27168,30.12325,32.27181,30.79296,41.77324,60.11139,35.45947,28.95994,39.24234,32.47889,21.94665,47.7112,17.00938,24.27214,38.59092,50.67346,29.47452,27.1139,34.72101,15.06069,33.0013,6.097893,60.18472,23.83355,56.80603,8.313631,75.99774,69.66294,51.17986,4.31546,52.28759,71.66203,72.91045,28.69593,21.90692,1.935813,42.75322,53.71182,34.94649,83.07875,40.18114,32.00878,22.45594,46.11633,34.52184,34.75966,28.23322,36.05177,28.46383,40.9026,21.72208,33.15692,20.07913,21.74287,30.24916,19.54514,40.50787,29.15534,38.33193,63.82987,62.03576,45.90307,26.34406,52.97525,21.77258,17.61729,38.17578,73.40448,34.75844,47.63284,33.42431,34.04354,32.55731,36.66743,43.43095,25.34172,30.15563,30.7043,35.75056,33.51334,34.72509,37.96734,24.88836,51.86753,35.30369,26.68172,35.36387,40.61666,49.68308,53.86465,53.93768,19.28194,30.265,20.041,25.96891,30.29402,21.71971,22.5407,25.20312,19.48457,31.50638,37.97206,52.2676,29.52446,15.63022,11.46988,37.62188,10.68527,2.422433,10.5686,12.7818,20.966,-13.91859,10.47738,36.94566,4.177187,22.82011,15.66675,15.6974,9.380762,29.67565,23.43653,4.385736,10.1555,19.78347,17.94224,21.45102,8.077116,37.37097,4.125398,32.6392,18.30812,22.70567,5.437502,21.08032,49.41669,18.51123,7.463782,16.73709,15.9628,65.54723,84.95195,26.52438
270769.53125,InstructionsForEnding,38.26553,33.24117,45.71555,40.00087,47.03436,24.99078,29.61889,11.58463,20.49938,21.54757,38.17186,23.25446,15.47716,14.71807,57.95825,73.44321,37.2525,24.58735,28.31313,35.82751,34.03247,49.96886,46.64774,21.05676,18.75948,17.69485,55.21569,51.84802,59.9781,55.59909,54.83296,58.43289,44.11264,57.56802,70.82561,29.87941,55.41441,65.08131,21.07644,27.4541,30.96414,64.26714,51.93986,73.00764,52.07962,71.62085,56.66453,50.4087,53.1312,54.46275,65.65409,80.53898,56.10001,49.46458,60.55218,63.53822,44.72553,59.25103,26.90754,36.73866,51.13169,66.38908,45.5724,33.00896,43.7061,23.99986,43.33174,16.42847,74.00409,38.73912,59.60094,18.2098,89.06136,64.50458,41.98885,13.788,64.59578,85.75533,81.63165,50.91857,32.52922,12.1389,56.55283,73.69541,46.6669,97.4306,60.49295,42.47773,33.71186,63.10749,35.1088,37.17336,0.08279804,9.17674,32.52455,45.9145,35.61978,14.74852,33.42964,21.51431,21.58549,14.0838,37.67967,30.90139,38.78494,54.64004,56.43582,51.44965,26.70318,49.12741,17.28433,0.2405279,46.80843,75.45547,33.59123,59.49673,38.25317,37.87968,35.94992,42.15616,43.23168,24.97093,32.95865,30.47981,32.53737,35.81572,39.75701,44.34285,19.89229,73.31588,61.32041,52.53055,57.65545,57.49093,68.75095,79.95683,80.41921,21.56517,40.98386,45.26413,43.8104,52.69138,37.99662,50.09252,50.84587,46.4531,57.20331,50.3391,62.91252,42.65915,34.40464,25.49294,45.46651,24.64344,17.31245,20.90008,24.13348,30.24407,-1.895358,23.96302,51.92466,14.3609,30.93384,30.30583,31.45197,24.84995,44.41422,34.03979,15.07555,18.17263,29.46119,39.76951,30.97008,30.14155,58.61126,26.90777,53.6159,38.53698,43.84514,28.47117,38.98378,69.25013,31.62836,28.84348,37.93955,27.33437,59.06916,90.33507,37.47772
620554.6875,ImaginationSuggestions,27.6875,18.56534,28.37548,35.02828,45.58887,19.27921,18.08093,0.1373097,3.342886,10.85523,32.01415,16.02663,9.977966,-2.465311,29.61643,30.12661,28.46352,15.83537,17.04681,27.51029,14.21573,14.34956,38.0112,14.32516,10.97194,-3.999542,45.8783,44.07173,47.43052,40.51302,47.16077,45.67315,34.31554,43.50631,62.13198,20.22329,40.03024,46.71774,12.64313,22.5097,20.1145,54.39227,41.36274,58.18718,34.95588,61.96276,41.42929,43.77481,41.74371,40.51914,54.16661,63.42993,48.38528,41.50554,53.59087,48.30112,32.53841,58.1586,31.59295,34.47596,51.58144,60.15518,44.38912,42.05058,50.28763,25.39575,47.12912,17.44248,72.9857,37.24551,62.48726,20.80292,90.96761,76.28587,64.02092,19.17278,59.32443,84.66972,89.70494,54.97877,33.22787,15.94131,59.42948,70.49748,45.45475,99.47514,46.9997,34.81647,29.50913,46.38514,34.90345,33.30936,35.37111,44.69683,33.62375,36.56968,25.7976,43.12107,34.64265,23.88178,37.35295,25.83108,37.67531,34.50743,40.88342,54.25056,50.59326,42.68765,31.31033,50.62055,24.98941,15.19942,50.53088,75.46764,40.8073,58.19135,36.66092,35.85309,32.97903,33.43975,40.92205,28.43811,24.22747,30.0766,30.34539,33.43223,30.12151,49.69447,27.07849,65.37393,49.94485,49.1882,50.05315,50.58724,57.26331,54.32077,51.50457,29.20048,31.88231,29.85102,43.46386,47.53551,36.87875,40.30995,35.72536,23.49517,39.39063,51.26038,60.6656,32.79964,23.82149,15.17939,41.52322,17.69419,9.049516,20.44883,22.67874,27.41183,-1.077739,24.64245,32.10647,14.56367,29.07628,17.92747,18.25653,15.43649,28.91934,29.50688,15.24206,19.9149,28.58248,15.53047,28.70151,21.43462,52.18864,22.37077,47.205,27.85968,39.83859,29.31124,35.94352,68.20243,36.29615,24.70106,28.7831,28.10405,50.33772,77.49477,43.32727
682160.15625,enter,32.92216,21.61369,32.19175,26.65096,42.16272,19.26943,15.1774,5.001964,6.922587,17.97742,22.41585,9.069509,9.455869,12.67679,39.5183,36.41903,28.79199,16.36228,17.11097,28.97504,21.68071,20.32984,38.03934,14.83174,13.11414,-0.9351792,44.75345,39.57798,41.74609,31.33072,34.33624,37.37771,26.4858,35.58086,43.80643,7.96763,32.9026,36.99919,0.04499812,21.78681,16.83631,48.09236,28.18664,48.26265,23.29757,56.90636,34.07895,32.64722,29.94219,26.00543,42.3666,53.90935,41.95832,35.0387,45.09128,33.82732,19.7948,48.41779,21.33414,24.82735,41.20184,48.35908,37.42762,26.18829,27.67618,11.05104,29.5131,6.239738,64.15933,31.15063,49.02227,11.7171,77.64981,55.10648,49.6964,8.348949,48.05478,72.0983,73.85717,37.88257,21.99238,5.911825,47.82127,61.59795,35.71984,88.64956,46.25551,26.3033,19.13363,39.33727,30.27257,24.1473,27.97746,38.33329,22.08391,30.6667,15.99293,36.28288,26.24346,21.81884,27.55056,32.76874,29.3812,33.73999,31.55171,49.35262,46.55497,35.59309,23.27538,41.72549,15.79906,11.5918,37.49818,72.51806,25.03652,48.24164,22.69389,24.33459,21.37669,21.93159,34.77453,11.49167,21.48641,18.18336,21.82984,19.44979,19.20102,29.11201,13.86291,58.68181,36.08274,32.54103,35.74194,29.22479,44.70938,37.38417,39.17712,25.18875,23.3553,18.03073,27.01482,27.85521,29.95615,27.53274,26.78098,22.34005,33.91273,41.31733,41.93647,22.54152,14.14117,15.38811,29.56247,19.43737,10.42884,-1.884483,1.561384,20.57662,-21.43056,3.805931,30.40257,6.423341,20.9012,13.83593,13.73819,5.119748,26.99629,23.03032,7.653434,13.32533,20.42024,14.40011,20.5919,12.2233,40.6248,17.29097,45.38518,25.82525,37.2943,14.47482,26.5237,60.89702,37.56359,23.26398,25.60818,25.15976,39.32325,69.34042,40.59489
1051343.75,exit,46.59138,44.39963,50.934,23.42455,42.59556,32.96926,34.92544,29.52826,37.29985,37.35001,13.82925,21.55044,19.73827,28.2867,57.93707,51.16262,41.26548,31.04053,29.36073,41.21727,35.05819,35.43412,51.1802,30.56374,28.24981,6.979666,68.78908,62.9901,60.42933,49.0806,56.55274,57.05647,48.76767,50.97242,61.48383,29.35563,50.48481,52.57244,17.85611,39.07069,33.08393,66.23108,48.38286,61.90439,32.89149,71.52069,45.34351,50.15142,44.17786,36.971,51.80141,68.70851,55.91378,49.71771,55.14109,47.76825,34.14919,50.40711,27.41187,29.66874,46.81096,56.58978,42.24796,40.85637,37.76431,7.692455,30.28057,14.64044,74.76828,37.13569,63.55132,17.42172,84.90191,76.8721,68.55785,14.23745,54.82135,77.07268,87.43756,45.90926,27.59143,13.44002,52.88783,54.9289,29.05642,93.67181,52.1674,50.50974,50.50383,47.68212,43.9463,41.08954,35.34579,55.88477,38.45577,51.35107,31.30004,50.47976,36.31104,36.62415,37.58578,30.80055,48.93259,33.02637,47.21186,62.04379,63.14845,54.49988,33.0194,52.11943,19.74581,6.312158,46.54005,70.91895,26.20811,40.97275,23.96786,20.37986,24.00575,24.0018,33.80008,24.31449,23.6817,31.5713,26.22101,29.38562,21.65493,38.33644,20.09355,67.08715,48.74465,43.713,46.81934,47.6725,56.65591,51.90635,52.7943,24.21091,33.66116,29.24025,36.87816,40.25122,35.80491,40.76193,36.29292,27.58703,40.43348,46.38246,55.89904,20.00087,18.5829,26.83404,27.86746,33.43768,24.18761,9.527605,13.72773,24.30906,-6.714453,18.7153,33.55691,12.48126,25.43394,25.95002,25.12666,10.46488,31.9969,25.32133,11.87395,19.58016,24.45538,21.78803,23.5257,30.41157,60.39481,41.8016,74.73692,50.27686,69.71835,47.15195,47.58561,95.60144,64.58209,49.66912,50.79855,58.92969,55.10417,52.17199,70.30936
1109203.125,enter,46.21292,34.92033,42.62989,36.24976,51.64053,34.89776,23.04766,15.50846,25.95224,29.5673,31.27365,14.88315,24.52212,20.03147,45.08883,45.97842,35.85908,23.5245,23.92063,36.07576,39.15292,28.61106,45.03981,24.73981,21.76798,8.367088,58.39241,56.79102,52.43998,44.49049,50.56641,50.23236,42.52895,46.11708,58.09802,26.66587,44.6159,47.55227,16.41849,36.51434,29.76676,61.45376,40.16413,54.9486,31.37204,66.96141,40.43301,43.11832,37.66252,34.23469,46.23449,61.00494,51.68695,44.08806,46.38128,46.67206,26.3927,39.71879,17.41409,20.26179,37.72056,47.10341,38.36904,18.95287,22.20368,5.248612,30.35166,3.99227,64.84895,32.45268,43.83361,6.878215,72.51883,56.14624,47.91201,5.509592,45.28163,65.14677,66.62856,30.29825,16.45165,3.522005,43.82611,49.66813,30.9179,84.38433,56.19271,39.91594,33.94316,40.12893,37.6864,30.0435,33.00675,44.73426,34.11657,35.99508,5.018527,44.0045,28.92942,26.27633,23.65428,18.39651,28.13817,26.228,34.52325,47.05,44.05003,44.38292,24.06405,41.08495,2.19951,4.911582,32.63944,67.37832,25.53532,42.06915,21.57444,19.80481,18.19952,25.38186,31.38599,13.55741,15.86864,21.39654,19.52286,26.74622,23.83924,21.31324,6.602535,64.53741,39.93603,34.75312,34.56814,35.46513,47.99843,41.18317,43.74561,12.81029,25.46366,25.29925,19.76352,33.17838,30.44665,33.47527,35.07236,29.895,35.80721,38.6432,44.58685,23.87719,17.44799,21.08032,27.29774,28.48529,19.02899,2.181887,6.183918,13.60124,-14.93073,11.57031,30.53333,3.683313,15.88425,16.59972,16.30954,13.18734,29.67853,17.81884,4.725258,9.897939,15.19493,22.96177,15.08898,24.32913,53.4577,33.91018,64.79508,40.94705,52.84363,33.661,30.43505,70.12865,44.20039,34.52068,40.26112,34.32232,44.91994,69.45221,40.51568
1474664.0625,exit,37.2681,43.29631,44.1565,58.58807,67.56066,41.00389,34.51923,24.98936,25.56276,34.54179,50.59369,33.71863,45.09905,28.71609,48.20514,33.84256,53.36433,43.58767,41.03119,54.60812,39.37265,31.41858,63.48396,45.44745,41.51539,17.90266,64.14993,77.18879,69.46126,60.07961,74.99831,66.88877,68.25056,67.94508,83.30946,52.68534,64.42866,65.43761,36.26701,52.41648,50.00497,83.18118,64.34215,75.32121,45.01336,86.68593,59.59497,62.14211,52.84917,44.39295,53.19191,75.75755,71.92932,65.9222,54.58007,56.96812,35.96991,80.2506,61.66814,58.10537,77.58237,62.27794,12.0653,35.58339,41.24547,46.1188,56.2462,42.81592,86.39402,5.122685,55.52702,47.91556,102.6688,62.27777,75.98517,48.15443,64.60453,94.45528,104.6879,60.62498,59.65041,48.42525,80.04634,93.45191,56.50861,122.4846,68.27566,67.62581,57.57685,62.94804,63.61538,57.19985,58.10182,82.13064,60.72166,61.71396,28.44881,73.30271,50.59491,44.29749,64.94409,43.3192,52.59088,40.64618,48.34192,65.64329,78.02868,68.08235,48.07453,71.91241,34.17191,20.88156,58.31271,95.46581,40.56647,67.0281,47.20991,49.28809,43.2649,33.39122,42.89958,29.9998,42.63152,50.66949,36.55715,54.36667,31.9075,43.15937,35.526,75.92768,48.11594,45.12403,47.84133,51.22911,60.58406,38.53611,54.54896,34.09198,39.96189,22.80394,23.32516,44.82403,3.755317,35.27903,45.49495,44.12608,49.56725,74.50336,55.54389,56.45199,42.14141,39.00755,49.51931,49.69577,38.47334,16.02099,21.48725,55.64331,1.9712,29.02796,46.46252,47.57323,58.28481,43.85033,43.35598,25.13209,47.42764,54.67245,47.62931,56.09864,59.37071,38.20891,57.95646,43.37852,67.87389,46.7136,73.37403,47.04797,65.93298,52.43212,33.15836,67.72874,37.5228,35.02733,46.41335,21.32843,84.7432,113.2423,30.37932
