Time,Event,A1,A2,A3,A4,A5,A6,A7,A9,A10,A13,A14,A15,A16,A17,A18,A19,A20,A22,A23,A24,A25,A28,A29,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,C1,C2,C3,C4,C5,C6,C7,C8,C12,C13,C14,C15,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C31,C32,D1,D5,D6,D7,D8,D10,D11,D12,D14,D15,D17,D22,D23,D24,D26,D27,D32,E2,E7,E8,E9,E10,E11,E12,E14,E16,E18,E19,E23,E24,E25,E26,E27,E31,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F21,F23,F25,F26,F28,F29,F30,F31,F32,G2,G3,G4,G7,G8,G9,G10,G11,G12,G15,G17,G18,G19,G21,G22,G24,G25,G26,G28,G29,G30,G31,H1,H3,H7,H9,H10,H12,H14,H15,H16,H17,H19,H22,H23,EXG1,EXG2,EXG6
12265.625,InitialInstructions,3.821838,-56.48872,-37.95498,-42.14211,-36.38647,-16.61244,-4.604056,9.200975,-41.34011,-40.7717,-30.72814,-16.46639,-37.86213,-31.49819,-59.03487,-30.45456,-3.89997,-10.73481,-29.33126,-30.14938,12.79313,3.28462,-22.01722,25.48403,10.73103,3.644878,-3.18321,-6.73458,4.528169,7.855239,0.5869594,-7.473164,-28.07411,-0.663155,6.477352,-51.66815,-15.13363,-20.44084,10.14812,1.877753,23.90797,-7.243549,15.66145,2.273786,-9.535851,-11.95427,-9.181293,46.62596,2.075972,3.235026,-6.15371,27.48514,7.103779,-3.0186,33.08342,0.04994572,1.524661,19.86406,10.20569,11.09969,22.27966,17.48595,-14.24558,12.81004,15.08031,40.75986,-7.940192,24.74005,32.53874,12.13623,5.454227,-10.48669,-6.241994,25.55245,22.28342,-15.69618,0.3037142,-18.67753,-23.65704,-8.480638,20.58901,-17.48899,14.67994,-6.961926,-34.14458,28.06217,-10.78521,-24.30681,-18.1966,33.37631,5.387971,-41.1559,-7.146481,17.5006,32.30437,6.169448,10.63293,36.64796,-8.223194,-13.13022,-13.40079,-21.21286,7.436619,-18.31428,-17.41045,-11.04912,-24.42528,-0.2795752,1.833774,9.765483,54.42814,-18.53245,-6.032426,-5.402526,1.749533,-4.303813,-10.56267,20.75255,33.28858,3.364725,0.2197466,11.12062,11.7042,15.59778,10.97435,5.41583,6.741556,5.857646,-23.44903,14.03677,11.7618,8.406759,8.082596,6.136515,-10.65088,6.679245,7.468907,5.559788,28.0774,26.36994,32.254,15.92265,-19.38307,-18.88071,-48.75967,1.238486,-50.92454,-24.96344,-26.21428,-39.79441,-34.70304,-4.335238,-34.50016,6.822328,-14.96699,-8.805074,-1.003897,-0.4107011,-9.595332,5.984314,-6.681564,-8.805238,-9.76681,15.07276,-25.09226,-12.7188,-18.12253,-45.56863,-25.89226,-20.00639,-12.03149,-39.76937,-33.13173,-48.69709,-12.63945,-40.99736,-40.24936,-33.73064,12.32557,-31.17592
112269.53125,prebase_instruct,3.611094,-34.27807,-12.08113,-13.38769,-6.522799,7.190081,16.35187,14.82294,-25.36728,-22.86137,-19.25642,-16.83368,-32.62653,-25.20605,-52.38179,-19.56302,6.402869,-6.082666,-22.76952,-24.46667,19.08399,8.699436,-16.89207,55.10865,42.6575,42.36255,37.16897,38.47633,32.27968,38.6763,34.43418,29.24353,13.20924,23.70205,36.1582,-16.06615,9.143392,2.508856,31.58231,25.03422,48.28407,19.04458,34.542,19.06937,7.81183,10.83327,7.946077,65.54281,23.52855,26.95042,11.60755,44.42192,18.55321,14.39553,33.99249,1.07876,1.752196,19.02359,14.82549,19.12381,27.80505,16.46287,-14.9153,19.62485,16.26343,45.23144,-7.679188,30.78016,36.07111,14.127,7.292042,-9.637686,-4.976368,25.74896,26.10657,-13.66938,0.5509313,-17.34909,-22.09173,-4.742329,21.86979,19.67264,41.34993,26.47116,0.2090662,49.07207,24.31459,16.92972,28.86397,48.59771,24.14433,-11.53682,15.01687,46.01484,64.9521,19.74864,29.41084,52.62139,4.093368,-6.778574,-8.313225,-11.08905,13.18585,-11.94687,-10.29581,6.677754,-18.51812,10.27785,12.09372,14.65481,60.417,-12.63413,1.467622,-5.79195,3.357764,9.772093,0.4626393,34.94957,47.43961,18.81321,12.09706,24.72654,19.17026,22.72766,25.4558,24.74662,15.80298,22.79321,-13.4767,22.50175,19.91574,19.60291,21.30823,12.14837,-4.139186,10.22897,12.56375,11.94429,43.41836,32.43478,38.41671,21.49114,-15.35422,-14.1452,-42.35202,5.567481,-44.06747,-18.46689,-18.10647,-30.63558,-20.66879,-0.1660809,-26.68166,13.48722,-10.97684,-4.5766,-8.848305,-5.735199,-14.81054,-3.270356,-4.332848,-4.141165,-6.029536,11.33724,22.55233,29.66845,29.09389,15.28946,20.76413,30.8807,29.55686,-6.078466,12.38535,-12.83884,27.48792,-2.638709,14.81077,-18.74116,12.3264,11.57373
122714.84375,prebase,13.69948,-35.08665,-16.04142,-22.65512,-14.99701,-2.304242,5.373611,23.35303,-20.47722,-29.83683,-23.66403,-5.373241,-22.66777,-19.77144,-46.39233,-21.2617,1.954165,1.319945,-16.93937,-17.9186,19.56067,17.13433,-9.486831,36.90561,23.81325,18.70613,9.175511,7.150475,17.83678,18.29704,8.348743,-0.329374,-16.95844,8.111317,12.77649,-52.0046,-9.079548,-21.92512,5.512461,-9.056023,13.02902,-14.28489,16.94127,-0.7635532,-15.28769,-16.56054,-24.65699,23.61213,-9.582386,5.347956,-8.719408,17.17314,-16.70512,-23.85134,48.05819,15.63393,16.4733,33.55985,19.19704,3.157067,-0.07182702,-7.799198,-0.3735821,24.03195,16.1544,30.04823,6.045729,36.06767,35.23155,9.228481,7.292295,4.828285,8.589334,36.08448,30.26479,-6.995091,15.28838,-3.209225,-7.500969,1.494427,36.9012,-12.91062,8.399475,-0.9579134,-24.13456,21.01797,-1.179515,-5.722721,10.98758,26.00277,5.86087,-26.1892,-3.543173,29.48928,50.49768,9.558274,16.09716,47.06297,-11.46599,-8.241393,-1.3629,-11.26294,16.88688,-7.374798,-6.415757,-3.044619,-17.79263,8.339591,10.9448,15.92147,63.32313,-10.20029,-2.508269,-1.451589,-22.12088,-5.452123,-10.78369,21.8367,31.3548,-3.829332,-14.79555,-9.313195,-17.81141,-12.68767,-6.812212,-5.823275,-7.961776,-6.020626,-44.00586,-13.7132,-17.73435,-15.74989,-4.942801,18.23438,-17.60723,13.52548,20.66372,15.05882,9.014298,-7.710501,10.42378,-13.78181,-3.704684,-2.868915,-35.05003,15.14872,-35.29405,-11.01917,-13.67778,-23.84975,-14.21807,12.78744,-18.22658,20.78945,1.946977,6.881358,18.2589,16.82092,10.33748,23.43388,8.878025,9.453054,7.705243,26.74959,-6.334103,6.514929,3.515847,-23.54729,-4.766987,6.657992,11.76325,-19.41965,-4.990349,-27.03187,11.74862,-7.949022,-11.57879,-19.18883,12.03707,-13.23075
242761.71875,FeelingItInstructionsNoButton,-0.4904785,-53.42409,-34.62117,-42.68803,-36.04717,-22.86813,-9.043794,6.295817,-39.69767,-39.99137,-26.22701,-25.77623,-41.7951,-35.87128,-62.85337,-33.59913,-2.486743,-18.45973,-35.20395,-34.86494,16.39254,-0.478718,-25.43218,24.60302,11.96691,12.20722,9.350002,14.7076,2.553143,9.06965,4.244224,2.680393,-9.088591,-2.248732,7.356006,-38.28001,-13.37684,-16.60243,10.50826,7.803683,34.56801,6.656102,27.52913,5.517272,-5.508441,-6.595205,-2.304208,55.01866,17.27047,25.87026,7.8776,36.68477,18.03546,10.03018,29.69263,-2.157675,-2.30349,18.49152,19.7779,16.91291,20.60338,8.739492,-17.12554,26.25571,12.22925,36.47356,-11.53033,37.21595,32.21694,5.748318,-0.2745055,-12.13723,-8.453841,22.61656,19.02605,-21.02534,-2.223891,-19.51941,-24.50675,-17.20485,20.35202,3.163193,27.27016,13.59598,-11.29794,40.87393,11.12203,-0.415865,1.227468,41.44301,15.39455,-35.59613,0.5710867,27.34609,39.94695,5.40759,12.34261,37.29116,-12.01516,-20.20661,-19.42359,-24.69042,-3.549328,-27.74796,-26.17413,-23.62604,-39.39857,-7.087153,-1.542386,1.573223,47.28539,-31.73661,-17.13314,-20.40546,-6.599133,4.000533,4.254869,39.6369,50.61314,14.87323,11.1495,20.71127,17.44474,24.64671,22.82338,17.24774,11.8605,17.24634,-14.35421,18.5438,19.04782,16.61179,22.82806,21.55951,1.398564,23.61551,22.4417,17.05417,39.91444,24.05143,29.07237,15.94049,-26.03488,-27.15031,-58.1483,-8.415283,-58.85043,-30.32548,-31.79005,-46.03822,-36.70658,-6.975493,-44.09981,19.3467,-17.2186,-17.77121,-4.18802,4.952359,-9.873805,2.490246,-11.02775,-10.1053,-12.76626,25.40191,-4.99136,2.142983,-0.7667859,-23.85063,-2.614204,3.952364,-1.599514,-33.27934,-18.99251,-38.57835,-5.992491,-25.48342,-13.75729,-18.27986,16.76871,-23.03367
278687.5,InstructionsForEnding,11.6671,-43.85075,-34.28134,-40.1401,-36.82459,-17.45153,-7.520514,16.69581,-33.6892,-39.67836,-33.3531,-15.24318,-31.61646,-27.29635,-53.63152,-30.68726,-10.46856,-7.599885,-26.2184,-25.63343,10.35959,8.074302,-16.76283,25.75756,14.55747,14.06776,8.890008,5.504042,7.598758,14.2441,7.489737,7.577074,-9.058993,0.4894286,15.40681,-35.1919,-12.44351,-13.13246,18.69033,10.7646,35.65565,1.528016,21.41392,3.992605,-9.380783,-7.007491,-2.548485,50.0695,10.2842,11.5744,-0.4904495,31.75579,9.777809,0.05843421,29.60387,-3.446406,-1.65044,17.25744,10.94633,14.16345,22.42849,9.871079,-17.01231,17.09338,15.54149,39.85497,-12.43808,30.5761,34.1333,13.45593,5.675832,-13.92027,-9.194366,27.68603,27.42721,-13.33874,-3.398732,-20.4917,-23.80711,-12.25582,20.58158,-5.718186,14.82638,0.9367847,-25.73436,28.84344,-7.55163,-16.58825,-14.1606,31.70787,2.717603,-43.48907,-5.66796,20.01003,31.43858,3.272316,11.8427,40.24122,-3.693855,-12.53563,-12.34902,-16.00183,4.990797,-18.81249,-17.14964,-14.04231,-26.30405,-1.431163,3.181045,5.78168,53.06151,-21.54321,-9.923005,-9.813334,-3.79266,-9.011578,-12.20225,23.97391,37.324,6.413928,-1.717118,9.360603,8.06393,12.11782,8.83878,7.291534,3.488162,2.721206,-24.60529,7.887094,9.708243,6.991424,13.56218,5.657619,-3.877348,2.7988,6.493381,8.55126,33.12432,18.16827,26.5636,12.29271,-19.02088,-15.39639,-44.44411,1.673207,-44.53653,-27.67926,-33.68432,-45.07004,-37.71091,-6.142852,-31.91076,5.996023,-16.66071,-9.234965,1.074688,-1.797651,-12.02734,-0.1968494,-8.795527,-8.29906,-10.82905,14.2897,-14.36824,-1.443569,-7.234428,-35.11077,-17.34113,-11.16734,-3.652046,-32.31649,-23.06026,-36.68234,-4.25197,-30.71583,-35.40472,-25.65797,14.00444,-18.6484
628378.90625,ImaginationSuggestions,19.39446,-28.01641,-21.94145,-27.4377,-22.82826,-7.493553,-0.2628433,23.36394,-22.50867,-30.85204,-21.69727,-9.256856,-20.78941,-22.21028,-47.51043,-24.2009,-4.019964,-6.962092,-21.63546,-23.28281,18.29661,12.55523,-12.00473,25.35483,10.56525,5.64646,-8.495455,-1.924583,4.809477,2.583537,-7.347782,-14.61275,-29.02943,-3.435518,-4.98472,-52.75034,-18.76052,-26.22445,-3.817843,-11.19748,15.52946,-12.89587,20.14901,-4.526626,-17.43404,-24.99702,-22.68474,30.43508,2.05976,9.094932,-9.429679,19.85491,-4.098447,-8.81593,33.92328,5.899719,3.688274,24.22885,-2.392994,-2.940141,4.036189,-1.967343,-12.25749,9.121082,1.64414,25.88412,-5.198997,21.92355,23.59024,2.948811,8.972368,-4.565503,-2.409607,22.04872,24.37598,-8.724858,4.777022,-9.645554,-13.04345,-0.3295303,31.95047,-17.8139,13.59336,7.509774,-23.43307,34.01803,10.00378,-1.49765,1.836715,40.10841,10.67848,-27.29902,6.588514,36.12432,45.81327,14.63658,28.77933,53.5339,-5.878046,-4.229965,3.7983,-7.712563,23.98874,3.040933,4.387361,2.640467,-12.08294,9.652277,12.29409,17.56369,63.43414,-9.028322,6.534207,5.00914,-13.80091,-7.351387,-14.71952,15.22783,27.03701,-6.761549,-13.96851,-2.541529,-4.388224,1.896885,3.460308,-0.1633379,3.485304,5.569685,-27.07906,0.01782688,-4.42583,-7.436202,-3.37583,-8.342721,-19.82849,-6.590536,-7.398557,-4.441561,13.97294,2.631677,19.48678,-2.504323,-4.88735,-4.685871,-37.64291,15.87767,-36.78373,-11.79028,-12.26933,-20.34467,-22.77476,2.663626,-20.4979,-6.987694,-7.87288,-7.822081,-7.29362,-13.29689,-22.19013,-14.51212,-0.2999267,3.274694,-1.817192,3.281676,-17.70814,4.16138,-1.569257,-21.121,-13.64336,3.696595,1.906345,-24.43989,-12.37705,-22.46155,10.39679,-18.16009,-19.56746,-8.427134,22.59745,-20.08154
689988.28125,enter,28.0088,-19.98363,-14.4187,-16.44643,-6.793314,17.23206,38.55244,31.6495,-15.78676,4.572574,11.90594,0.78326,-12.36782,-10.84009,-37.20209,-17.10863,30.7357,5.640573,-9.20904,-10.55451,13.53441,25.85402,0.921819,43.99191,33.50258,25.34178,18.04861,13.91576,34.38103,33.90508,21.2727,17.59346,-2.985406,31.43491,31.89456,-28.00277,20.39007,7.009243,26.04514,10.1061,33.03381,1.347947,61.05717,29.87088,6.357766,3.322268,-8.287417,39.51054,3.63911,46.86294,22.88018,34.56357,-3.867246,-11.9602,39.35667,12.98359,11.18855,32.39412,13.00138,6.203175,2.849199,-6.151078,-4.917642,24.46858,14.95282,33.22888,1.394927,35.44393,37.79734,19.60964,16.8855,1.498226,5.009868,35.49642,36.41343,-6.32628,10.41324,-4.004591,-6.308708,-1.509694,38.63146,-4.105753,26.87057,13.86401,-22.31287,41.68921,4.44273,-8.545099,-10.85713,30.5628,-3.720392,-36.62581,-6.610178,24.27953,38.04462,3.65207,25.12619,55.56547,-14.56077,-6.029392,-1.076028,-6.266455,19.04466,-3.36268,-0.1521081,1.544508,-10.17882,13.16042,15.31516,21.8547,65.17828,-5.168837,6.835909,4.605776,-27.21083,41.35813,27.52781,48.44078,54.56058,14.87429,-4.291612,-0.7191266,-13.80288,-8.235492,-5.908932,1.229333,-12.9329,-2.110416,-41.34973,-15.78564,-16.34927,-10.96002,1.455688,18.74448,38.91701,27.92195,19.21291,12.31992,6.216917,-11.49258,-2.027211,-12.83248,1.557894,1.744139,-25.74094,28.34743,-24.49796,0.09150416,-5.161374,-14.3967,-11.54277,6.958538,-6.903468,16.36513,-0.3350885,4.810508,10.29318,14.76133,-0.4684575,7.038896,4.807451,8.800167,2.474002,42.89081,-8.346287,14.97049,2.460559,-16.61771,-11.13435,2.744066,10.46735,-15.76288,-6.037113,-17.18109,14.12357,-11.94455,-32.60308,-4.005899,29.54959,-11.50382
717757.8125,awe,15.56821,-34.01612,-31.68122,-40.44365,-35.10963,-20.88324,-7.031387,20.41925,-24.1614,-44.65031,-27.09693,-14.11495,-25.75311,-20.79426,-45.24258,-30.40495,-9.177309,-5.017877,-18.95971,-20.22187,23.3332,15.53818,-8.42634,17.92764,10.26934,4.759557,-3.171709,-1.133798,2.617567,5.466785,-2.393184,-4.751204,-21.70583,-3.344742,2.789589,-46.30252,-16.20958,-17.59691,3.389384,-3.428509,18.18223,-16.5471,26.69748,1.569802,-10.03839,-13.09799,-14.68944,32.66628,-3.820627,18.2363,4.981293,28.96383,-2.333134,-12.07902,34.9654,7.740135,5.446695,26.17592,13.7591,14.02306,17.35247,5.193208,-9.345831,25.86027,11.7311,33.74471,-4.459433,36.1876,35.12609,10.85615,9.645707,-3.557243,-1.301292,24.48851,24.75854,-17.28973,5.163272,-9.756266,-10.75867,-8.517189,34.28199,-22.09829,-4.899658,-11.40268,-35.18867,11.10626,-7.749205,-25.2264,-23.27929,14.8645,-8.297977,-55.42724,-17.84985,9.923291,20.18502,-7.682199,9.326446,34.33876,-16.57218,-18.10255,-18.60442,-21.81597,-0.1128554,-20.7631,-20.09072,-11.58773,-32.33206,-7.311128,-4.307405,3.478585,44.74887,-22.4481,-13.73464,-16.2632,-16.44019,-2.699119,-4.947658,28.97771,43.09169,4.424397,-4.907558,1.489615,-1.106951,-1.751413,-7.208671,-10.94117,-8.497696,-11.46998,-33.03784,-1.20826,4.934756,2.206168,14.44202,11.28962,-2.19304,10.64467,12.82698,11.22265,28.14119,8.287918,14.43791,8.641585,-15.3837,-12.88135,-37.94703,10.78668,-38.34722,-18.6307,-23.78861,-31.97433,-28.05109,-0.4034919,-23.98533,9.317843,-10.32227,-3.102514,4.606862,3.948137,-3.958853,4.760393,-1.705498,2.868651,-3.182495,16.00348,-23.50631,-4.075879,-13.9494,-40.10405,-26.2335,-11.60961,-7.095281,-35.0174,-25.58926,-34.1143,-4.180147,-35.61618,-35.14024,-24.36696,8.639242,-23.92166
880785.15625,exit,18.14859,-27.92498,-19.1136,-21.84782,-13.8676,-4.859344,11.00401,23.52974,-19.68604,-22.59222,-14.79935,-6.946627,-20.43599,-17.90267,-42.66503,-21.13857,2.465068,-2.192147,-15.81065,-17.55653,18.02215,18.29515,-6.265821,34.93544,28.50213,24.04896,16.76558,18.42594,21.24104,25.07861,18.91853,18.15159,1.138968,15.72883,22.51289,-23.58615,-1.4571,-1.333269,22.23054,13.31975,39.52068,4.102031,35.15525,9.885479,2.532863,-1.753684,-1.329001,51.78348,17.33622,23.62411,9.805704,33.84818,12.71917,6.50731,28.46337,3.883344,1.661237,22.29332,-3.186007,-5.067571,0.5912892,-6.743257,-14.2216,11.09606,2.421288,22.52904,-8.434001,19.35986,27.47873,5.273701,9.109586,-7.170492,-5.378046,23.6168,27.2274,-12.46438,1.03146,-12.35903,-14.73708,-5.849864,30.55343,-1.586836,15.51622,11.02144,-20.71935,29.43914,6.274928,-3.995825,-3.620533,31.60156,10.22032,-26.73876,-1.674146,28.01875,38.35705,0.6524373,21.15802,42.99581,-9.864243,-15.23873,-9.875121,-15.76551,7.487123,-11.47831,-11.19586,-3.787852,-27.43464,1.204336,4.700409,9.765667,51.08593,-18.96185,-4.937557,-14.1904,-15.61535,4.211852,-0.1089928,24.60599,35.43185,3.385644,-7.325949,10.46878,2.929642,10.95522,9.344688,8.807304,1.54255,2.709373,-21.87326,5.333919,1.701566,-0.3423941,-2.204033,-4.46221,0.7124669,-3.192571,-3.61239,-4.02155,14.62687,5.031173,16.62739,-4.619247,-9.395501,-6.335084,-33.03999,18.63187,-30.6768,-12.79745,-16.16855,-24.21409,-19.69079,-4.19394,-19.74413,-7.470403,-11.38185,-8.796925,-5.327273,-9.762096,-19.68736,-12.33104,-6.656633,-0.1223085,-6.957623,0.79515,-3.605945,17.88236,4.00234,-13.71477,-9.286759,9.292325,8.868431,-18.94208,-9.328323,-18.20045,8.061825,-13.75724,-22.32082,-8.291228,21.18717,-16.09632
938406.25,enter,13.94154,-30.42226,-23.68954,-19.96312,-8.066341,6.933654,20.95074,19.75768,-15.77279,-10.93579,-17.225,-14.18692,-28.62193,-20.5369,-45.14964,-20.19492,-0.5515076,-7.974535,-20.50814,-21.55508,28.45268,14.26757,-10.83506,41.04681,35.15588,30.14453,24.62811,24.32808,25.57209,30.04667,24.33792,25.96897,9.385711,19.52435,26.56164,-16.90348,4.95549,2.757966,24.10877,18.82485,45.26413,8.206424,42.00631,15.2653,5.052819,3.460935,3.602698,54.55025,20.43223,30.22251,16.11764,36.22515,13.99069,8.02491,25.54969,-0.5875905,-1.632151,19.88998,8.137215,7.463699,10.50986,2.149786,-16.16778,23.93563,9.742863,29.91468,-11.33063,33.38604,33.74116,9.414206,8.699576,-10.08133,-8.49943,22.23531,24.54145,-12.25158,-2.483323,-14.70552,-15.9297,-9.746457,28.15853,5.113879,22.12482,17.73561,-11.36324,37.64792,14.26316,-1.383238,-2.884976,36.20399,12.06969,-31.09207,-0.3318419,23.41133,34.08953,2.320532,21.13427,42.47369,-4.786573,-15.88194,-13.42867,-18.05618,6.226137,-13.39991,-12.58377,1.923569,-25.51468,0.5150615,4.001465,12.83552,52.74384,-14.76358,-4.598866,-3.556073,-6.84012,10.88659,2.360936,31.41959,44.09158,10.22413,4.817651,15.87795,8.757895,15.87161,13.29634,10.68158,7.252446,11.47566,-16.92618,10.25408,6.891109,4.833379,10.99091,8.671395,9.3566,9.104991,9.349426,6.828317,21.63839,7.988424,25.29551,5.752122,-11.69978,-12.31009,-39.22318,11.87457,-38.35938,-13.14749,-11.79128,-26.40095,-25.89954,-4.733736,-28.96132,8.733154,-12.40693,-8.374857,0.6046714,-2.653083,-8.674213,-2.591685,-7.434368,-2.110304,-8.593568,16.94095,2.779885,24.15231,11.12845,-5.329583,0.7320768,11.82477,8.984316,-14.45978,-5.686871,-15.83502,6.320769,-8.728135,-19.37419,-19.73882,19.03554,-22.17592
