Time,Event,A2,A3,A4,A5,A6,A7,A9,A10,A11,A12,A13,A14,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B32,C2,C3,C4,C6,C7,C8,C9,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,D1,D2,D3,D4,D5,D6,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D19,D21,D22,D23,D24,D26,D27,D30,D31,D32,E1,E2,E4,E5,E6,E7,E8,E9,E11,E13,E14,E15,E16,E17,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E30,E31,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F16,F17,F18,F19,F20,F21,F22,F23,F25,F26,F27,F29,F30,F31,F32,G2,G3,G4,G9,G10,G11,G12,G13,G15,G17,G18,G19,G21,G22,G24,G25,G26,G27,G28,G30,G32,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H20,H22,EXG2,EXG6
9968.75,InitialInstructions,-3.313661,-5.269169,-4.057732,-10.96095,-3.376181,24.16781,9.837762,-7.857368,-5.153443,-9.161061,-8.496888,-7.122983,-9.999931,2.419289,-14.72031,-7.583501,27.01639,-7.012412,31.0388,-2.042925,1.514085,30.31781,13.66274,-4.423719,42.57154,0.9990075,13.95217,46.11105,17.61726,11.1327,15.56184,28.22081,55.01926,5.293363,36.76053,21.94882,2.521576,33.10431,9.301281,-0.1435646,15.88986,2.726936,35.01305,28.72766,8.945928,37.56321,23.62791,11.90279,22.03826,9.182492,4.494859,28.33922,54.16282,31.2551,37.08105,38.00429,0.9277462,27.68344,32.06522,43.43002,43.65777,-14.94069,30.42237,37.82404,57.6993,10.48091,30.25427,10.76336,43.5829,12.51577,6.358345,45.11629,35.41566,29.43288,31.28798,13.76834,10.55358,64.43938,60.95793,2.282023,57.45026,2.440735,18.44644,13.28794,16.78836,54.06345,21.38445,25.51739,35.65295,27.49706,8.022527,-0.8556553,9.873285,22.15271,32.61406,4.821028,2.667219,3.278103,42.15906,23.57352,39.77742,4.058953,22.37234,47.38942,-2.222798,10.53407,33.37965,8.533196,19.98469,41.69923,42.74957,30.32422,-25.45818,5.768199,7.347662,-13.48489,-5.763327,-8.330905,-26.87188,5.553411,-1.929129,-16.05492,23.76215,11.89385,42.89847,13.14271,3.363528,-8.246888,24.13067,20.35213,-8.995362,15.21755,44.6834,-15.23892,14.90212,20.49905,3.6903,-32.42792,30.55363,27.84608,-2.059676,21.05619,9.934572,40.25821,12.94083,-4.092185,-5.301259,0.1199605,-5.414896,4.920504,0.3236172,-0.8613366,12.92368,-1.051207,-5.60032,-6.183755,-5.087103,-1.551724,-8.307672,0.8148408,44.51169,44.67696,14.56701,9.78518,7.148252,-9.779593,-2.429296,-1.763607,1.968785,9.936639,9.844408,30.79318,9.552341,15.55174,20.66198,1.212173,5.764229,7.421941,8.346176,6.300755,9.452441,17.72996,7.859425,16.59152,20.44007,-1.590003,9.434093,49.04773,22.44055,42.35178,27.33642,43.83203,49.50569,-24.83875,35.66009,25.157,80.87965,11.8593,35.01566,14.30969,12.75683,32.9675,54.89776,2.527448,13.92197,7.373718,4.971286,16.34783
109972.65625,prebase_instruct,-33.93296,-32.69099,-28.75742,-23.06626,-17.66208,14.83355,-15.77462,-32.00994,-26.73344,-23.27978,-20.31491,-12.10517,-28.17704,-16.56376,-31.5804,-24.8782,13.49123,-14.97141,12.67811,-19.51327,-12.80162,17.22947,3.575445,-9.945921,24.42752,-16.80897,4.594457,31.44997,8.226399,0.2565617,4.45036,19.87101,44.14441,-0.7406332,30.08389,19.03416,-1.949988,20.3684,4.562202,-1.037248,4.884381,0.7025416,32.00119,25.06093,8.32957,38.1819,17.33152,11.67958,23.00598,9.387126,4.613924,30.9877,52.38368,32.39696,40.03869,37.72821,-0.1446712,34.75749,35.66992,43.43887,45.90187,-8.879129,32.36847,44.42667,61.86606,11.08195,27.40978,15.99871,48.84151,19.30125,7.503064,45.92067,42.5502,33.69378,36.88369,17.6099,17.76458,67.57686,66.11378,8.827955,57.76115,9.582418,27.99673,21.49203,22.71014,64.05638,18.75388,20.05726,17.88809,15.06934,7.862064,-4.014489,11.7655,25.37251,27.47556,-4.916722,-30.52287,5.848355,45.37309,26.658,35.27748,-9.782064,23.13798,53.08583,-1.499159,7.393828,29.74909,6.721237,25.35583,43.82592,45.34243,30.309,-20.15606,4.625827,13.26379,-9.520965,-2.667086,-7.979159,-20.13544,4.653277,-13.62042,-26.36248,11.96956,11.56647,39.99216,9.924901,-30.27498,-3.844885,21.13207,17.88541,-9.741892,-21.60063,36.63255,-18.28821,13.71979,13.0245,6.162422,-27.60502,20.78383,27.55338,2.080128,25.81787,13.08623,40.93259,14.27095,-1.57091,-1.982676,5.553116,-6.102931,6.048533,4.473273,5.656501,25.90881,7.183504,1.240933,-1.408857,-3.546246,-7.879891,-1.138837,5.099388,47.758,50.21746,22.09287,14.17349,11.39745,-15.93472,-18.93723,-20.36547,6.154408,9.94705,9.414623,27.05771,14.27318,15.01966,13.02243,4.581485,6.218904,5.830982,8.244645,11.22062,16.69028,16.0274,9.484443,16.56254,18.94893,-1.314758,-4.11976,34.03594,4.913263,28.81499,4.826947,26.56188,29.24754,-40.84649,16.03077,1.068388,84.33455,-23.55255,2.433569,-11.64253,-6.476017,3.351441,42.43338,-28.77707,-20.34168,-22.67429,-5.265537,-11.40368
120421.875,prebase,-22.07767,-25.64328,-26.1733,-24.71086,-19.60598,11.18598,-10.23129,-24.22449,-23.26774,-22.71584,-23.08709,-14.3394,-23.51869,-12.27269,-27.82682,-23.54965,15.53057,-12.57359,17.07532,-15.38652,-12.37295,14.83087,5.307299,-10.05706,28.07451,-12.71937,5.469096,26.6617,3.385034,0.3147808,2.771886,16.06814,40.49435,-6.106184,23.19006,13.74664,-6.772544,16.99531,-3.833891,-8.618752,6.368577,-3.105851,28.31126,17.95087,-0.5088111,32.51927,19.50604,8.832075,18.55435,5.40466,-1.716844,22.46541,44.52288,32.41341,37.94022,32.22561,-4.277884,32.93871,32.5934,41.36789,38.33326,-15.90309,23.65636,30.49621,57.42123,7.138443,23.98171,6.396116,40.7566,7.165852,2.839618,41.78608,35.53274,27.25107,29.90161,15.58706,14.1094,61.46067,57.54171,-1.509376,60.41502,7.656465,19.57679,6.576585,7.800781,54.77788,9.792852,16.48158,15.56333,9.802106,-1.227125,-11.15234,4.872839,17.24093,22.05368,-14.86911,-22.42139,-3.424619,35.90319,15.41463,23.33418,-15.24541,18.61568,46.60247,-13.08083,-3.42123,8.857397,2.730533,10.50902,33.71759,29.98628,14.39349,-31.75166,0.5088269,3.899198,-12.12523,-12.63057,-15.23304,-27.81987,-2.543258,-15.17151,-33.06461,3.58702,-1.308697,26.80887,-2.343832,-38.73128,-20.23453,6.568664,5.48711,-22.71931,-31.52776,22.51296,-31.94774,-2.303879,-2.034024,-10.24251,-35.11751,30.21202,34.22127,-1.994968,18.9705,5.347077,37.31458,7.58999,-11.53736,-9.999854,-3.949806,-14.27783,0.1775583,-3.424903,-1.100518,16.8389,-1.226053,-4.146736,-1.550378,-3.349544,-3.930438,-1.684252,3.28268,41.94281,41.56902,12.26716,7.584666,0.1902232,-14.97396,-16.92506,-15.96564,-0.5725278,1.023197,-0.5560998,24.93881,4.099504,19.73309,19.40687,3.463139,9.770051,2.178267,3.823077,6.799566,11.03338,20.18827,10.88317,19.06242,22.64416,3.725677,-6.254943,33.64352,8.054355,26.22088,4.423795,27.33723,28.60944,-39.99103,14.36239,6.739907,55.57138,-14.23717,7.136362,-8.403258,-4.437956,9.60355,30.75782,-21.88976,-12.41006,-16.52816,-3.585029,-11.18151
240468.75,FeelingItInstructionsNoButton,1.90432,-3.811595,-1.547752,-2.79695,-1.106716,28.95044,6.160555,-8.057096,-4.151881,-3.219026,-2.344079,1.923866,-9.842466,2.189991,-10.24561,-5.691092,25.87313,-6.883323,26.55372,-2.250422,1.06009,31.54543,14.94682,-2.758502,40.78662,0.5654418,15.21552,41.26675,21.67114,16.68451,18.00195,32.99335,58.90054,15.46455,44.0538,31.32997,11.85956,32.59426,11.14556,7.898449,16.49492,9.559967,35.57022,30.68667,12.24473,38.87291,27.74786,16.83634,23.83248,13.15645,8.250869,31.01921,52.38911,40.9044,47.00136,41.36688,0.6662795,27.225,24.14939,32.79219,34.9646,-16.57965,24.32528,31.66664,37.54356,2.949662,17.70475,7.289839,34.19246,8.603456,-0.5652806,38.45055,33.7506,21.94289,29.81525,7.522038,12.38201,59.33345,56.32364,-1.043828,50.21314,4.563131,20.77064,12.9792,3.798755,56.82219,26.12854,36.39473,34.87001,36.39518,12.02143,6.634192,16.77461,31.55869,39.86361,10.59338,7.347847,6.173046,47.83554,28.92047,45.70956,9.713902,28.87183,56.58174,6.487637,16.18302,34.72669,11.19312,25.32476,44.29323,45.15768,25.74764,-27.43118,5.844174,5.241144,-15.69939,-12.9113,-7.285075,-25.24413,2.217176,-11.69627,-27.53383,9.615917,11.31424,39.90392,9.184098,-24.52169,-6.274739,19.88247,17.17726,-9.516405,-16.59103,35.74217,-20.25181,10.43163,10.71867,-0.3580196,-35.02538,33.66463,34.49838,2.791706,24.11884,11.77401,39.08453,10.29365,-4.260275,0.2767189,1.056481,-4.144994,1.563514,-1.496405,0.4640478,22.43055,3.704544,-1.454816,-4.278605,-3.791954,0.2503442,-7.688808,0.003216069,31.56253,38.97187,10.21795,7.731818,2.014184,-9.61931,-4.18209,-5.193235,5.953904,7.134243,3.487248,23.96667,10.27867,8.724955,13.71414,-4.444849,0.7000991,4.153398,1.001281,5.369377,8.943016,10.42873,2.440406,10.77867,14.36364,-7.409388,14.32793,52.92936,27.57816,48.40424,21.29184,47.58691,50.07273,-12.95014,41.56752,27.31837,79.08667,9.828604,31.35358,17.16489,16.56726,35.61079,58.28269,5.641997,11.55199,10.297,4.511508,20.06328
276394.53125,InstructionsForEnding,11.20719,5.062721,2.125054,-3.814183,1.547785,25.74419,8.454769,-2.813399,-2.085297,-3.832407,-6.302142,-0.2830733,-7.141571,3.290223,-9.596608,-2.925855,28.32659,-3.758865,26.80249,-1.367232,5.585366,32.43547,19.6584,1.905512,42.38635,1.623169,18.55099,35.95984,13.65967,12.94848,13.62987,29.26582,51.07942,3.15922,37.78177,25.90803,7.548162,26.01643,4.581935,6.927026,8.878865,0.8360093,28.80047,23.47779,3.887517,38.91839,18.71482,8.162695,12.75422,4.095262,-1.11729,30.11352,54.88816,31.71481,36.94847,35.12408,4.719676,11.76164,23.94088,28.64834,28.23875,-21.41641,21.36298,28.88342,51.62052,3.112431,13.41415,1.387235,29.41669,1.827333,0.2395614,33.22796,26.42378,16.23173,25.58372,-0.5808237,-4.69307,51.58655,50.16734,-6.657647,44.88596,-10.2172,4.813171,-5.401893,6.738999,40.03689,24.32163,41.9621,40.90515,46.93604,15.40058,7.968624,19.09494,35.37421,43.48727,13.5055,54.96025,12.73803,53.23524,26.50723,45.74232,15.58054,29.32722,55.57173,6.726798,16.87889,26.72388,8.785787,25.52585,45.121,43.75466,24.40153,-23.78593,10.01288,0.6600129,-13.54317,-10.59395,-8.449761,-28.51916,6.784623,-4.545703,-14.19364,22.92829,16.17941,39.88556,9.012398,-19.03792,-7.902343,18.87543,16.82705,-9.366814,-11.95753,35.78842,-16.90955,13.92542,13.37486,6.036767,-30.82523,26.61232,26.92957,-7.797383,20.75722,4.411913,37.78466,10.66231,-3.131027,-2.368036,2.179345,-5.223721,4.930573,-9.424156,-8.770494,26.71688,-4.478007,-5.55295,-6.91024,-4.183551,-1.93147,-6.102537,-3.007291,36.00457,32.6758,10.61895,6.975269,-3.986012,-16.77904,-8.40176,-8.979423,-2.145317,4.006597,-2.626229,14.52938,7.4693,1.396851,6.272335,-4.403462,-6.370461,-4.174632,-2.615755,-1.239177,3.03756,4.148878,-3.759433,4.02774,7.539469,-14.03457,17.82202,50.78959,27.28066,40.12362,14.97188,52.97825,63.01829,-11.46679,50.94008,48.24003,60.01004,70.34341,60.38991,35.90541,22.58177,66.52168,24.60637,35.80635,75.01326,39.86688,-2.847827,35.8411
626164.0625,ImaginationSuggestions,-1.555569,-5.71837,-6.61367,-9.966305,-6.999189,19.34453,1.979945,-9.413018,-7.885957,-5.50516,-3.808938,-0.6317822,-8.334618,-0.4556399,-14.27547,-7.020775,17.10133,-8.361291,19.72038,-3.207777,0.08301248,23.72003,11.41765,0.8167603,35.99405,-1.290205,14.55299,22.36097,7.351542,3.927033,2.522989,19.81144,41.63699,0.6712905,30.68986,21.45695,-6.561589,17.10374,-1.793695,-1.483017,4.925634,1.444071,22.9095,16.3774,2.062501,29.63554,18.63466,9.441951,12.85826,6.137587,0.5966355,26.36635,34.37214,33.51641,41.03548,30.4786,-0.6157943,24.61943,29.20769,32.6739,32.40393,-5.634493,36.31683,46.6814,70.02143,7.009895,21.41453,11.95764,38.8197,17.51348,3.983316,42.66723,43.70195,29.13845,43.69933,9.191474,9.555606,53.12014,52.99138,13.956,45.95645,7.922024,24.70086,18.23996,21.76416,60.71901,11.86503,28.5328,15.51725,31.00366,2.739814,-2.123625,14.64219,29.74059,38.58241,-3.850981,-7.080806,7.224137,40.43152,11.63924,37.43891,-0.7053186,37.08609,56.53019,0.2003102,8.044744,14.23512,2.631092,22.80821,47.3802,44.74887,21.73967,-6.523456,12.99072,15.17126,-2.654,1.729636,-2.860124,-11.42351,13.78262,-4.309902,-24.19057,10.37588,15.02457,40.99147,6.782096,-13.63313,-4.291276,16.90776,19.84442,-5.725447,-7.707178,34.82126,-7.812564,21.54685,15.73166,11.95065,-13.20456,24.25495,23.6292,-6.209978,15.29879,8.700459,36.49875,13.71379,-5.862625,-8.466645,6.913309,-5.119622,9.81478,8.556093,5.260449,21.47005,-5.32593,-5.828525,-7.949093,-4.13662,0.723045,-4.603356,-2.592512,34.46702,39.86083,22.3307,17.35429,14.35793,-8.272406,-7.965878,-7.896791,6.601333,12.78715,4.745227,22.17113,14.77325,9.698643,8.226794,-0.2574735,3.690139,5.556471,3.104984,4.73371,11.36373,11.56342,5.776428,11.35845,16.06249,-4.860506,4.924019,39.2012,13.81016,28.20894,1.25347,42.62665,38.91592,-24.43873,27.32848,12.74351,71.5608,0.6051589,17.88512,5.565713,6.982991,22.64061,54.17604,-3.856985,4.437752,1.332075,15.05772,15.09634
687796.875,enter,5.799288,2.525667,5.04623,4.17483,9.856189,36.38884,11.59738,2.054087,6.853648,4.636071,10.26977,14.13992,-0.2154727,8.258898,-1.154525,5.530675,30.27458,4.075064,27.18471,5.645506,10.66273,37.67501,24.65441,11.54335,43.77596,7.334826,26.19009,36.17309,22.6643,20.47009,21.29824,34.2178,56.57797,18.09562,53.45642,38.87283,14.45197,34.15956,15.44022,15.64881,17.32831,14.04054,31.56561,31.88175,16.03765,44.86248,29.89412,19.13273,20.22961,14.59941,8.770688,36.84204,48.19349,42.70834,51.02543,38.69876,7.011233,13.01002,22.49503,23.88415,24.24134,-21.10816,20.05105,30.26242,57.40213,-2.52474,14.73826,0.899422,22.70275,4.076291,-5.299856,30.79237,33.31342,15.28228,29.4565,1.128577,-1.028448,40.25348,38.41402,-2.215142,38.55737,-2.291873,13.91564,7.512938,7.548489,52.47593,28.91679,45.40141,28.4709,38.57008,15.03752,11.51211,20.92307,42.97033,48.73881,7.792388,2.118792,6.247127,44.4134,20.78659,45.90067,11.72367,29.21583,61.79327,7.048322,12.95349,24.70284,8.270184,29.51249,55.77165,53.21873,29.57984,-17.78937,4.349656,4.306369,-11.33911,-8.07641,-8.647783,-16.19545,8.456863,-0.8127965,-9.290246,21.56739,16.89954,46.33536,12.07163,-3.814741,4.034397,23.63636,25.41187,0.1233648,1.597474,40.68312,-1.726559,28.52729,23.20457,18.00248,-21.28481,29.08331,35.39079,1.007331,21.28183,9.827086,27.98836,11.51853,0.2911032,0.520876,1.670296,-3.980739,5.241162,-7.732795,-2.131798,16.94057,-0.5374509,-2.528002,-2.64065,-1.280287,3.907377,-4.485175,-1.117681,27.40687,28.25252,7.545895,8.819828,-2.749371,-8.322213,-3.19435,-3.418044,9.878843,13.01313,8.366127,25.99084,14.30473,-0.1037705,7.171617,-4.923526,-4.062455,1.97812,1.398039,0.7382572,5.148445,2.936135,-0.9417221,4.002036,7.340933,-15.12898,16.79609,56.91033,28.99903,44.53926,16.10522,55.04912,49.06373,-12.48498,38.10573,20.18689,73.97755,0.5808868,22.11327,12.36594,15.19215,25.8223,67.07546,0.9551857,4.294193,6.611073,19.46908,18.868
726511.71875,love,-6.321394,-12.1963,-4.725138,-1.794555,6.615681,36.86803,6.545323,-5.867008,-4.316658,-0.884667,6.395193,14.21709,-3.285876,3.003805,-9.534449,-0.9843441,26.9688,7.161436,22.43596,0.6487442,4.649024,31.45723,20.44912,15.32789,38.56757,3.073813,21.10214,30.80707,17.11939,9.162949,8.942263,17.05557,53.06688,11.25557,44.03847,31.83474,-0.6804361,35.40145,10.82817,6.839568,19.92503,17.384,34.87721,31.20362,13.83088,40.75822,36.70042,24.96249,26.73428,20.31946,12.48075,37.18815,43.62988,50.41967,62.64295,46.42984,10.56897,33.77171,40.79505,42.92439,39.47927,-5.05259,33.73259,39.44936,54.38048,17.64913,32.18058,17.60734,37.61604,16.62942,14.77042,49.19618,48.36241,32.95068,42.31766,18.68682,18.55182,62.04251,57.96192,6.072904,55.66351,17.04062,29.40975,17.19925,-0.8136874,68.94258,16.40538,26.65149,5.823693,22.91767,4.606086,-4.405451,14.5717,30.06607,32.05458,-10.05481,-25.6999,4.263562,38.33149,6.547472,27.13418,-14.47415,16.143,55.01552,-3.526288,-3.136427,4.165312,0.6503913,19.20281,46.86121,43.29823,20.03941,-14.03469,2.554073,7.751077,-11.15176,-3.815873,-7.295228,-20.91378,0.6343279,0.8635492,-7.66943,22.63888,10.42068,41.94233,6.5874,-12.26935,-5.585734,18.7932,20.90629,-3.57731,-5.040563,40.50522,-7.90378,22.3265,22.97399,10.84588,-15.62816,37.88385,40.72635,9.76626,31.06257,15.42626,36.97111,13.4521,-1.735699,-5.314008,2.461166,1.006422,9.230345,5.541411,9.909745,25.27232,10.89052,9.104487,9.075346,7.865251,7.688821,9.894889,12.49589,42.31417,40.33043,14.54361,14.87698,13.18301,-8.298151,-7.771946,-9.573254,4.770679,8.953063,6.190854,25.26989,10.75325,16.32596,9.866931,9.276902,12.13687,10.01607,10.46229,13.93673,22.12526,19.71423,14.96182,20.66354,24.76549,1.097074,0.3897145,40.40931,15.76744,34.00975,8.712398,43.49558,28.74509,-28.4021,19.00764,-1.072783,45.74488,-25.19829,-9.379347,-10.93538,5.073416,-1.080683,52.30745,-23.95795,-21.94179,-23.51604,2.717443,-13.14122
988082.03125,exit,0.9022672,-8.561914,-4.211068,-2.085589,-2.992628,24.75616,6.726604,-4.590036,-2.481298,3.186741,2.806721,7.741447,-1.001216,5.716279,-6.103225,0.4776582,23.44786,-2.401467,21.71395,2.52151,5.738824,27.73672,17.04708,8.488047,37.53728,5.302,18.77818,20.01143,8.788524,1.996955,1.532911,15.7138,38.18833,2.762538,35.51322,27.05419,-2.759148,22.60541,1.95132,9.4253,9.455226,6.891929,25.28852,21.84568,5.424677,38.62824,25.9066,13.8618,15.6835,7.832665,5.663329,29.64332,36.14734,37.10447,51.30309,32.31371,3.479248,24.36135,35.43404,38.23028,33.74298,-3.269058,34.51348,44.67568,65.24608,16.29431,27.71805,15.51598,35.70479,17.85975,12.76968,45.57639,45.56892,28.46988,43.08115,9.051657,12.40415,50.63874,44.88069,10.52216,46.19439,12.63743,25.68735,14.27925,15.75779,65.20537,16.30833,30.21528,5.811571,23.85978,4.155364,-3.476719,16.22859,30.52462,36.67386,-7.193318,-21.1471,-16.59536,17.54932,6.242353,29.82882,-3.337373,37.95533,50.09484,-1.825622,14.99228,5.039087,0.5063623,21.82198,49.28492,43.44864,18.33831,-8.469435,8.731965,11.68773,-3.733647,-1.072308,-2.27552,-6.827334,3.247833,-2.075356,0.4747295,29.04959,15.36262,44.62697,6.37787,-9.38844,-3.484124,19.29877,25.91055,2.943997,-2.221869,43.56269,5.219835,32.69036,28.09711,22.01892,-12.81524,24.84755,27.15755,0.2135615,21.63361,8.156812,28.60518,9.430316,-7.475205,-5.536483,0.8408864,-5.364199,4.288994,1.145371,4.358958,23.72783,3.996941,-0.4888068,-0.3389918,-0.01174701,2.296351,0.1046834,3.352023,32.75512,35.8821,12.36464,11.30906,11.65433,-6.848051,-4.718293,-5.2707,12.05047,16.72297,13.38416,27.6322,24.43607,12.60364,13.38208,6.205565,8.340028,4.458065,11.23178,9.891253,20.0638,15.74216,11.2734,16.70413,19.46704,-3.292939,-6.208331,34.46708,8.189651,24.57526,3.682211,40.87821,27.56688,-31.71846,6.04087,-2.231743,52.69873,-14.05794,6.717881,-4.008615,0.6979144,7.70627,50.8637,-13.35864,-12.40674,-6.386965,9.558175,2.448591
1044683.59375,enter,20.21259,12.26159,14.73456,12.12174,14.73267,43.77514,8.717044,9.135626,10.78813,14.78796,17.69287,22.68696,0.4912679,6.312533,2.304944,9.004891,31.92455,10.73274,21.2072,3.989612,12.31772,37.20338,26.08593,21.62345,37.52274,6.027658,27.01018,38.40842,28.36447,24.25493,24.70411,37.60091,55.74686,22.55634,56.15566,49.11587,17.95301,38.57724,20.34509,26.09134,25.45321,24.66931,40.05577,38.93034,21.4264,48.20041,43.57167,33.44417,33.72965,26.23997,18.09804,38.27891,41.01765,57.88132,72.96922,48.18121,9.592394,28.21118,28.57711,29.64827,28.10698,-11.11253,17.16128,29.56627,65.51633,7.698431,24.95012,7.922612,25.27021,4.093014,4.78625,42.93784,37.0855,23.57239,34.58944,18.28563,15.80996,45.12012,41.24211,3.961067,47.34013,17.23167,21.72527,6.316452,9.598229,61.47478,30.19957,49.85455,30.35581,54.10413,13.58349,16.25289,20.42649,41.99316,54.69477,15.84353,14.29736,5.280876,32.24787,15.62476,44.4864,18.42456,24.49577,64.05993,7.937498,28.18515,20.39451,3.064036,30.21725,55.06436,43.64657,21.21028,-18.2547,2.182091,2.26076,-15.93248,-4.968926,-9.159579,-12.83313,4.243625,0.9012695,-5.113659,21.70033,19.9967,49.95672,7.994883,-11.78773,-1.735336,20.38683,23.22213,1.270921,-7.874601,42.46684,3.993802,33.228,25.54863,19.96006,-26.88632,42.7896,43.70723,16.74345,31.64996,16.88025,28.84786,8.717724,-4.416181,-1.586444,0.7787465,-7.307194,1.478505,-10.57765,0.780601,23.36637,16.36326,11.43431,13.8926,14.55162,12.32052,8.773026,11.68172,33.92981,24.42833,-6.032817,5.904315,-4.991136,-9.427174,-5.95786,-5.981388,7.292571,10.22307,9.756179,24.92187,14.04448,12.70293,8.492021,6.645829,10.46933,6.291794,4.586655,11.26053,17.16615,15.54659,10.92614,16.60045,19.84936,-2.507154,23.98124,58.99214,35.14808,44.41935,19.6202,62.36946,53.51034,-0.6966486,49.0555,30.61904,93.39938,18.79083,34.24101,25.72213,22.61516,35.00024,64.01594,15.43948,20.81168,22.82844,2.799108,36.43032
